interval_label,original_category,chunk_category,weighted_row_share
2-6,Parliamentary Affairs,Economic & Fiscal Policy,0.025383491599707816
2-6,Parliamentary Affairs,Foreign Affairs & Defence,0.009508156805454103
2-6,Parliamentary Affairs,Government Operations & Ethics,0.07078159240321404
2-6,Parliamentary Affairs,Indigenous & Northern Affairs,0.001893109325541758
2-6,Parliamentary Affairs,Intergovernmental & Constitutional Affairs,0.029650596542488437
2-6,Parliamentary Affairs,"Justice, Rights & Immigration",0.01908935962990017
2-6,Parliamentary Affairs,Parliamentary Affairs,0.7897918188458728
2-6,Parliamentary Affairs,Social Policy,0.02119551984416849
2-6,Parliamentary Affairs,Trade & Industry,0.018754565376187
2-6,Social Policy,Agriculture & Natural Resources,0.01053033776555097
2-6,Social Policy,Economic & Fiscal Policy,0.07229863976769066
2-6,Social Policy,Foreign Affairs & Defence,0.006312089255693106
2-6,Social Policy,Government Operations & Ethics,0.04347394161699526
2-6,Social Policy,Indigenous & Northern Affairs,0.003950787100718325
2-6,Social Policy,Intergovernmental & Constitutional Affairs,0.019073819348922515
2-6,Social Policy,"Justice, Rights & Immigration",0.019035610576188293
2-6,Social Policy,Parliamentary Affairs,0.04449793672627235
2-6,Social Policy,Social Policy,0.750588415100107
2-6,Social Policy,Trade & Industry,0.03023842274186153
2-6,Trade & Industry,Agriculture & Natural Resources,0.07249316317228806
2-6,Trade & Industry,Economic & Fiscal Policy,0.0695913096323306
2-6,Trade & Industry,Foreign Affairs & Defence,0.01869492555454269
2-6,Trade & Industry,Government Operations & Ethics,0.06813278638711637
2-6,Trade & Industry,Indigenous & Northern Affairs,0.0016864175022789423
2-6,Trade & Industry,Intergovernmental & Constitutional Affairs,0.016826192646611973
2-6,Trade & Industry,"Justice, Rights & Immigration",0.009328471589182619
2-6,Trade & Industry,Parliamentary Affairs,0.0435278030993619
2-6,Trade & Industry,Social Policy,0.03276359769067153
2-6,Trade & Industry,Trade & Industry,0.6669553327256152
6-10,Agriculture & Natural Resources,Agriculture & Natural Resources,0.7537805662805663
6-10,Agriculture & Natural Resources,Economic & Fiscal Policy,0.04284641784641785
6-10,Agriculture & Natural Resources,Foreign Affairs & Defence,0.0058987558987559
6-10,Agriculture & Natural Resources,Government Operations & Ethics,0.024296618046618052
6-10,Agriculture & Natural Resources,Indigenous & Northern Affairs,0.006081974831974832
6-10,Agriculture & Natural Resources,Intergovernmental & Constitutional Affairs,0.024645180895180897
6-10,Agriculture & Natural Resources,"Justice, Rights & Immigration",0.006256256256256257
6-10,Agriculture & Natural Resources,Parliamentary Affairs,0.023469898469898474
6-10,Agriculture & Natural Resources,Social Policy,0.024975868725868728
6-10,Agriculture & Natural Resources,Trade & Industry,0.08774846274846275
6-10,Economic & Fiscal Policy,Agriculture & Natural Resources,0.05013560280855878
6-10,Economic & Fiscal Policy,Economic & Fiscal Policy,0.6754600512462148
6-10,Economic & Fiscal Policy,Foreign Affairs & Defence,0.01112275797810389
6-10,Economic & Fiscal Policy,Government Operations & Ethics,0.04956989784033809
6-10,Economic & Fiscal Policy,Indigenous & Northern Affairs,0.0010191008618681574
6-10,Economic & Fiscal Policy,Intergovernmental & Constitutional Affairs,0.023202222887757477
6-10,Economic & Fiscal Policy,"Justice, Rights & Immigration",0.006027253668763103
6-10,Economic & Fiscal Policy,Parliamentary Affairs,0.02830188679245283
6-10,Economic & Fiscal Policy,Social Policy,0.0845936907257662
6-10,Economic & Fiscal Policy,Trade & Industry,0.0705675351901767
6-10,Foreign Affairs & Defence,Agriculture & Natural Resources,0.025592362548884293
6-10,Foreign Affairs & Defence,Economic & Fiscal Policy,0.015700483091787443
6-10,Foreign Affairs & Defence,Foreign Affairs & Defence,0.8255118472509778
6-10,Foreign Affairs & Defence,Government Operations & Ethics,0.03702265930526801
