basepk,chunk_total,original_category,original_cluster,category_entropy_raw,category_entropy_adjusted,cluster_entropy_raw,cluster_entropy_adjusted,category_retention,cluster_retention,category_distinct_count,cluster_distinct_count,category_dominant_share,cluster_dominant_share
3444714,2,Agriculture & Natural Resources,5,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3444726,2,Economic & Fiscal Policy,3,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3445177,2,Parliamentary Affairs,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3445185,2,Government Operations & Ethics,16,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1.0
3445218,2,Foreign Affairs & Defence,18,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3445520,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3445737,2,Trade & Industry,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3445749,2,Government Operations & Ethics,4,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3445760,2,Social Policy,17,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3445780,2,Foreign Affairs & Defence,10,0.0,0.0,0.6931471805599453,1.0,1.0,0.0,1,2,1.0,0.5
3445839,2,Social Policy,4,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3445984,2,Agriculture & Natural Resources,17,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3445997,2,Parliamentary Affairs,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3446009,2,Parliamentary Affairs,4,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3446047,2,Parliamentary Affairs,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3446080,2,Parliamentary Affairs,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3446269,2,Economic & Fiscal Policy,19,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
