original_cluster,chunk_cluster,weighted_flow,contributing_speech_n,raw_chunk_n,is_retained
15,11,7.057958707958708,31,41,False
17,0,6.967288267288267,28,33,False
1,11,6.922483072483073,25,33,False
5,1,6.918900543900544,28,37,False
10,8,6.629761904761905,19,20,False
9,14,6.576190476190476,16,16,False
19,3,6.570704295704296,27,42,False
6,1,6.545249195249195,33,41,False
5,6,6.521642246642247,29,33,False
13,17,6.41541514041514,21,25,False
2,10,6.377763902763903,28,31,False
4,6,6.0,13,13,False
3,17,5.94563492063492,22,27,False
2,3,5.929112554112554,25,33,False
5,13,5.856696081696081,22,25,False
7,18,5.85,17,27,False
19,0,5.836757686757687,23,25,False
9,15,5.832936507936508,17,18,False
5,11,5.782356532356532,22,26,False
15,5,5.703601953601954,20,30,False
3,13,5.627294927294927,21,23,False
2,15,5.57465034965035,20,24,False
5,15,5.4635281385281385,27,31,False
19,15,5.443070818070818,22,32,False
6,7,5.353821178821178,24,33,False
7,0,5.310064935064935,26,31,False
1,5,5.287792762792763,24,28,False
0,18,5.130577755577756,28,29,False
13,9,5.087887112887113,16,18,False
10,17,5.068589743589744,17,18,False
15,8,5.022868797868798,19,26,False
19,18,4.998917748917749,25,31,False
0,19,4.938777888777889,29,33,False
17,19,4.862348762348763,26,33,False
7,1,4.772619047619047,22,26,False
15,18,4.670454545454545,14,19,False
0,11,4.575707625707626,18,19,False
8,10,4.50487012987013,18,26,False
15,9,4.478571428571429,15,20,False
3,12,4.40952380952381,12,12,False
4,7,4.4,10,10,False
9,13,4.366666666666667,10,10,False
14,15,4.288528138528139,13,15,False
18,15,4.199206349206349,16,18,False
18,9,4.198484848484848,15,16,False
15,6,4.110714285714286,12,15,False
9,5,4.027777777777778,12,14,False
9,12,3.9761904761904763,10,10,False
0,9,3.9154761904761903,13,16,False
19,1,3.9127705627705627,20,21,False
11,2,3.85,10,10,False
10,19,3.8206349206349204,14,14,False
15,14,3.748168498168498,15,18,False
3,19,3.725957375957376,17,18,False
15,19,3.676190476190476,13,13,False
11,9,3.5414335664335663,13,18,False
12,9,3.45,8,8,False
1,13,3.444877344877345,14,16,False
11,1,3.40523088023088,16,18,False
3,14,3.401923076923077,12,12,False
13,0,3.3527639027639027,13,16,False
4,19,3.342857142857143,9,9,False
3,2,3.2634421134421134,15,17,False
5,9,3.215079365079365,15,15,False
15,13,3.203088578088578,12,14,False
14,3,3.1607142857142856,7,10,False
13,15,3.1385281385281383,11,11,False
7,6,3.1336080586080586,19,24,False
9,8,3.111111111111111,9,9,False
0,13,3.1027639027639027,16,18,False
12,16,3.0833333333333335,8,8,False
3,6,3.0634421134421133,17,18,False
18,17,2.986111111111111,10,11,False
17,9,2.9114219114219115,12,14,False
