interval_label,original_cluster,chunk_cluster,weighted_row_share
6-10,13,12,0.0
6-10,13,13,0.44642857142857145
6-10,13,14,0.005116959064327485
6-10,13,15,0.006265664160401002
6-10,13,16,0.17528195488721804
6-10,13,17,0.015638053467000836
6-10,13,18,0.09377610693400167
6-10,13,19,0.0031067251461988302
6-10,14,0,0.0
6-10,14,1,0.0
6-10,14,2,0.0
6-10,14,3,0.027529761904761904
6-10,14,4,0.26628637566137564
6-10,14,5,0.0
6-10,14,6,0.0
6-10,14,7,0.0
6-10,14,8,0.0
6-10,14,9,0.0462962962962963
6-10,14,10,0.04348544973544973
6-10,14,11,0.01984126984126984
6-10,14,12,0.0
6-10,14,13,0.0
6-10,14,14,0.37202380952380953
6-10,14,15,0.005952380952380952
6-10,14,16,0.14699074074074073
6-10,14,17,0.0
6-10,14,18,0.06464947089947089
6-10,14,19,0.006944444444444444
6-10,15,0,0.000925925925925926
6-10,15,1,0.03793356848912405
6-10,15,2,0.006025867136978248
6-10,15,3,0.014579659024103468
6-10,15,4,0.24266607877718988
6-10,15,5,0.011845972957084068
6-10,15,6,0.004894179894179894
6-10,15,7,0.000925925925925926
6-10,15,8,0.003042328042328042
6-10,15,9,0.008112874779541446
6-10,15,10,0.13303938859494413
6-10,15,11,0.013932980599647267
6-10,15,12,0.019121105232216346
6-10,15,13,0.004012345679012345
6-10,15,14,0.0033509700176366838
6-10,15,15,0.4428130511463845
6-10,15,16,0.04688418577307466
6-10,15,17,0.0008230452674897119
6-10,15,18,0.002777777777777778
6-10,15,19,0.002292768959435626
6-10,16,0,0.007202775625017939
6-10,16,1,0.017720801400729066
6-10,16,2,0.003060506903183214
6-10,16,3,0.03251743735468871
6-10,16,4,0.3809541749189127
6-10,16,5,0.026556086569648953
6-10,16,6,0.0032022302591922843
6-10,16,7,0.007622563793449869
6-10,16,8,0.002366241855391946
6-10,16,9,0.012407072533654811
6-10,16,10,0.06121013806366428
6-10,16,11,0.012329931972789115
6-10,16,12,0.0017293837366170095
6-10,16,13,0.009274806969201183
6-10,16,14,0.0070969315996440765
6-10,16,15,0.01955961709578346
6-10,16,16,0.36825827377364445
6-10,16,17,0.0030945922672866613
6-10,16,18,0.019247466919257154
6-10,16,19,0.004588966388243061
6-10,17,0,0.007545850810099514
6-10,17,1,0.01890574882802862
6-10,17,2,0.0008635578583765112
6-10,17,3,0.030604901718891356
6-10,17,4,0.18364997121473806
6-10,17,5,0.05699481865284974
6-10,17,6,0.0
6-10,17,7,0.0029916111522329137
6-10,17,8,0.0
6-10,17,9,0.0008635578583765112
6-10,17,10,0.04394892672094745
6-10,17,11,0.0035261945883707543
6-10,17,12,0.0008635578583765112
6-10,17,13,0.011771116045727444
6-10,17,14,0.0008635578583765112
6-10,17,15,0.015801052718151163
6-10,17,16,0.07776132905666584
6-10,17,17,0.519553417221811
6-10,17,18,0.01407393700139814
6-10,17,19,0.009416892836581956
6-10,18,0,0.005238095238095238
6-10,18,1,0.004814814814814814
6-10,18,2,0.0022222222222222222
6-10,18,3,0.013068783068783068
6-10,18,4,0.2355820105820106
6-10,18,5,0.03812169312169312
6-10,18,6,0.0
6-10,18,7,0.003703703703703704
6-10,18,8,0.0
6-10,18,9,0.0022222222222222222
6-10,18,10,0.04722222222222222
6-10,18,11,0.0
6-10,18,12,0.006349206349206349
6-10,18,13,0.04478835978835979
6-10,18,14,0.03015873015873016
6-10,18,15,0.014814814814814815
6-10,18,16,0.12346560846560846
6-10,18,17,0.009814814814814814
6-10,18,18,0.41484126984126984
6-10,18,19,0.0035714285714285713
6-10,19,0,0.010725010725010725
6-10,19,1,0.013352638352638353
6-10,19,2,0.0
6-10,19,3,0.026946589446589446
6-10,19,4,0.14832689832689833
6-10,19,5,0.0605963105963106
6-10,19,6,0.0015015015015015015
6-10,19,7,0.004692192192192192
6-10,19,8,0.0
6-10,19,9,0.005684255684255683
6-10,19,10,0.037805662805662804
6-10,19,11,0.0
6-10,19,12,0.0
6-10,19,13,0.0015015015015015015
6-10,19,14,0.0022522522522522522
6-10,19,15,0.02313921063921064
6-10,19,16,0.1321053196053196
6-10,19,17,0.004182754182754183
6-10,19,18,0.023166023166023165
6-10,19,19,0.504021879021879
10+,0,0,0.46626574015954547
10+,0,1,0.007162012029268666
10+,0,2,0.0008849557522123895
10+,0,3,0.022804923689879443
10+,0,4,0.1379797193956486
10+,0,5,0.07572943280907883
10+,0,6,0.01855681191964378
10+,0,7,0.013761607124438982
10+,0,8,0.0
10+,0,9,0.003729456384323641
10+,0,10,0.043491316942644374
10+,0,11,0.002798086868883329
10+,0,12,0.0008849557522123895
10+,0,13,0.00451244920271469
10+,0,14,0.0
10+,0,15,0.013620892381954328
10+,0,16,0.1597345132743363
10+,0,17,0.012709561824606072
10+,0,18,0.007466132687371625
10+,0,19,0.007907431801237111
10+,1,0,0.01304066304066304
10+,1,1,0.365987345987346
10+,1,2,0.0022222222222222222
10+,1,3,0.017376327376327376
10+,1,4,0.3310870610870611
10+,1,5,0.021465941465941465
10+,1,6,0.0
10+,1,7,0.005413105413105413
10+,1,8,0.015726495726495728
10+,1,9,0.00202020202020202
10+,1,10,0.05987456987456987
10+,1,11,0.020517260517260518
10+,1,12,0.009870129870129871
10+,1,13,0.009268879268879269
10+,1,14,0.0
10+,1,15,0.04011322011322012
10+,1,16,0.07114034114034114
10+,1,17,0.003931623931623932
