cluster,gross_inflow,gross_outflow,retained_weight,net_inflow,absolute_net_flow
16,860.5398296148296,3109.1836885336884,2108.8163114663116,-2248.6438589188588,2248.6438589188588
0,165.3670634920635,429.151257076257,561.848742923743,-263.78419358419353,263.78419358419353
17,79.35657675657676,337.4716783216783,494.5283216783217,-258.11510156510155,258.11510156510155
3,418.256438006438,605.8168747918747,789.1831252081251,-187.56043678543676,187.56043678543676
6,67.36162448662449,226.72764457764455,292.2723554223554,-159.36602009102006,159.36602009102006
1,241.0970140970141,377.0377122877123,487.9622877122877,-135.94069819069819,135.94069819069819
11,148.99509934509933,281.70303307803306,448.29696692196694,-132.70793373293372,132.70793373293372
15,269.2142746142746,401.7959457209457,505.2040542790543,-132.58167110667114,132.58167110667114
5,374.5066516816517,485.4806249306249,614.5193750693751,-110.97397324897321,110.97397324897321
7,110.08699633699634,207.43088855588854,261.56911144411146,-97.34389221889221,97.34389221889221
13,119.52312687312687,213.77940392940394,292.22059607059606,-94.25627705627707,94.25627705627707
19,62.509165834165834,148.33526473526473,236.66473526473527,-85.8260989010989,85.8260989010989
12,185.78659673659672,268.4945887445887,481.5054112554113,-82.707992007992,82.707992007992
2,39.365964590964595,93.94755244755245,135.05244755244755,-54.58158785658786,54.58158785658786
10,881.479551004551,925.0035853035853,1247.9964146964146,-43.52403429903427,43.52403429903427
14,82.66084748584748,115.42274392274392,134.57725607725607,-32.761896436896436,32.761896436896436
9,175.64065101565103,180.90425685425686,270.09574314574314,-5.263605838605827,5.263605838605827
8,48.74928127428127,49.77615440115441,77.2238455988456,-1.0268731268731344,1.0268731268731344
18,301.61268176268175,246.65210622710623,322.34789377289377,54.960575535575515,54.960575535575515
4,4520.431854256854,448.4262848262848,2906.5737151737153,4072.0055694305697,4072.0055694305697
