category,0,3,6,5,7,11,13,16,17,19,18,2,14,4,8,10,9,15,12,1
Parliamentary Affairs,1.56165858912224,2.201550387596899,1.5069967707212055,0.851063829787234,1.0657193605683837,6.2023939064200215,1.7411052233156699,3.8730343622597556,0.628140703517588,2.1065675340768277,1.7484489565707841,3.225806451612903,7.33558178752108,12.444468233153135,10.590277777777777,53.581123407809564,12.028218694885362,50.29498525073747,84.52777777777779,42.888522789676
Economic & Fiscal Policy,80.12924071082391,10.418604651162791,4.090419806243272,47.53191489361702,17.317939609236234,4.6789989118607185,5.374716124148373,16.991846243447874,3.329145728643216,65.30359355638166,8.911449520586578,1.0752688172043012,1.854974704890388,8.62281218219772,0.1736111111111111,7.1622468156191275,9.700176366843033,4.375614552605703,2.111111111111111,9.225700164744646
Trade & Industry,2.3155627355950457,7.255813953488372,0.0,13.148936170212766,2.0426287744227354,11.697497279651795,78.34973504920515,18.782760629004077,7.726130653266332,13.135068153655514,37.33784545967287,1.9969278033794162,10.202360876897133,15.002943852700316,0.6944444444444444,3.84213823345166,9.876543209876543,6.1946902654867255,1.5277777777777777,9.115870400878638
Government Operations & Ethics,1.3462574044157243,6.015503875968992,1.829924650161464,2.851063829787234,2.0426287744227354,57.889009793253535,4.163512490537472,9.50786255096098,0.9422110552763818,5.700123915737299,2.6508742244782857,5.376344086021505,9.696458684654301,18.326821174329606,36.11111111111111,10.649404886197535,25.855379188712526,12.881022615535889,4.222222222222222,4.832509610104338
Social Policy,9.208400646203554,20.992248062015502,90.41980624327233,10.638297872340425,73.97868561278862,11.860718171926006,1.6654049962149888,16.569598136284217,0.7537688442211055,4.4609665427509295,3.7225042301184432,2.457757296466974,3.288364249578415,10.6085746400471,2.256944444444444,6.4731676759239924,7.6190476190476195,6.440511307767944,2.2222222222222223,7.688083470620538
Agriculture & Natural Resources,2.9617662897145935,15.937984496124031,0.1076426264800861,22.5531914893617,1.2433392539964476,1.958650707290533,6.131718395155185,10.468841001747235,86.24371859296483,4.337050805452292,15.961646926113932,10.599078341013826,5.733558178752108,13.573837178183377,0.5208333333333333,3.675088745040718,7.4074074074074066,6.538839724680432,2.138888888888889,6.699615595826469
Foreign Affairs & Defence,0.053850296176628974,1.0232558139534882,0.7534983853606028,0.7659574468085106,0.4440497335701598,2.3394994559303592,1.0598031794095382,8.343040186371578,0.06281407035175879,1.858736059479554,22.22222222222222,0.6144393241167435,52.698145025295105,8.082213777230637,1.215277777777778,3.675088745040718,12.063492063492063,3.2940019665683384,0.9166666666666666,0.6589785831960462
"Justice, Rights & Immigration",0.4308023694130318,4.186046511627907,0.32292787944025836,0.2978723404255319,1.1545293072824157,2.067464635473341,0.1514004542013626,8.823529411764707,0.06281407035175879,2.2304832713754648,5.019740552735477,1.0752688172043012,5.81787521079258,9.596959803029492,46.35416666666667,4.7609104197118395,5.044091710758377,6.637168141592921,1.361111111111111,13.783635365183965
Intergovernmental & Constitutional Affairs,1.830910070005385,30.108527131782946,0.7534983853606028,1.2340425531914894,0.3552397868561279,1.0337323177366704,1.1355034065102196,4.542807221898661,0.12562814070351758,0.7434944237918215,1.9176536943034406,4.147465437788019,3.1197301854974704,2.488893646630627,0.8680555555555556,5.617039047817916,9.135802469135802,2.4582104228121926,0.7777777777777778,4.063701263042285
Indigenous & Northern Affairs,0.16155088852988692,1.8604651162790697,0.2152852529601722,0.1276595744680851,0.3552397868561279,0.2720348204570185,0.22710068130204392,2.09668025626092,0.12562814070351758,0.12391573729863693,0.5076142131979695,69.43164362519201,0.25295109612141653,1.2524755124979927,1.215277777777778,0.5637920233869284,1.2698412698412698,0.8849557522123894,0.19444444444444445,1.043382756727073
