basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
1579478,ca.proc.d.1949-11-29.1,1949-11-29,,,,topic,CITY OF BROCKVILLE,,,,,,,
1579479,ca.proc.d.1949-11-29.1.1,1949-11-29,,,,subtopic,CITY OF BROCKVILLE,DISASTROUS FIRE IN BUSINESS SECTION,,,,,,
1579480,ca.proc.d.1949-11-29.1.1.1.1.1,1949-11-29,2f7b72f6-7623-44be-99f7-7f3880d0cc1d,ca.m.2914,Mr. G. T. Fulford (Leeds):,,CITY OF BROCKVILLE,DISASTROUS FIRE IN BUSINESS SECTION,CO-OPERATION OF OTHER AGENCIES,"Mr. Speaker, I rise on a question of privilege, and if I take longer than usual in stating my question I would ask your indulgence, sir.
I should like to tell the house very briefly a story of co-operation and courage that keeps alive one's faith in human nature.
Last Saturday at midnight a fire broke out in Brockville which at one time threatened the entire business section of the town, but, through superhuman effort, was confined to one city block. In spite of the heroic efforts of the Brockville Are department it was soon found that to control the fire was beyond the power of one department; therefore urgent appeals were made to other centres, whose response was immediate.
The first to arrive were the fire fighters from the Royal Canadian Regiment with army equipment. Almost immediately firemen and fire trucks from Prescott, Athens and Smiths Falls were on the scene, and, as soon as they could be ferried across the St. Lawrence river, a pumper, aerial ladder truck, crew and special police force from Ogdensburg, New York, arrived. Seamen from the Canadian navy sloop Oriol, which happened to be in port, joined forces with the firemen, soldiers and citizens, so the fire was ultimately brought under control by complete municipal and military aid and international co-operation.
Fire fighting is always hazardous, but with the temperature at almost zero it becomes an almost unbearable ordeal. Throughout the night a group of young women kept the fire fighters supplied with hot coffee and sandwiches, while others were on hand to crack ice off the fire fighters' coats, helmets, gloves and boots.
Fortunately no lives were lost and no serious injuries suffered, but nearly one hundred persons were made homeless.
On Sunday morning appeals for assistance were made from all the pulpits of the Brockville churches, and at one o'clock Mayor W. Fred Reynolds spoke over radio station CFJM to ask for money, clothing and other
necessities. By five o'clock on Sunday afternoon the receiving centre had been moved no less than three times in order to provide greater accommodation for the mass of goods that started to pour in, and by nine in the evening half the second floor of the city hall looked like a department store. In addition, the sum of $2,500 had been received in cash donations, and I am told the fund is now over $6,000. One farmer arrived with two dozen eggs, and emptied his purse, which contained $1.03. An elderly woman donated $1.85, and said that it was all she had at the moment, but that she would give more on Wednesday when her pay cheque arrived.
The generosity of the people of Brockville exceeds the bounds of any possible expectation; and what applies to Brockville extends to the entire district, which includes several communities in northern New York state. Truly the cardinal Christian principle, ""love thy neighbour"" knows no international boundary in North America.
A disaster such as Brockville has just experienced brings out, in no uncertain way, the best in all of us, regardless of race or creed, and serves to make us proud that we are Canadians and fortunate enough to live on the continent of North America.
I should like to thank the Prime Minister, the Acting Minister of National Defence, and the parliamentary assistant to the Minister of National Defence for the prompt and sympathetic attention given the request that certain huts at the Royal Canadian Regiment camp be made available to the municipal authorities at Brockville. I can assure you, Mr. Speaker, that these huts will serve a most useful and humane purpose in looking after the temporary housing needs of the hundred men, women and children who were made homeless as a result of the worst fire in the history of Brockville.

",Liberal,,George Taylor Fulford,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=2f7b72f6-7623-44be-99f7-7f3880d0cc1d&Language=E&Section=ALL
1579481,ca.proc.d.1949-11-29.2,1949-11-29,,,,topic,NATIONAL HONEY WEEK,,,,,,,
1579482,ca.proc.d.1949-11-29.2.1,1949-11-29,,,,subtopic,NATIONAL HONEY WEEK,NEED FOR INCREASED,,,,,,
1579483,ca.proc.d.1949-11-29.2.1.1.1,1949-11-29,ed7c9721-7803-4bd8-a892-696cdd38f5a0,ca.m.7401,Mr. H. O. White (Middlesex East):,,NATIONAL HONEY WEEK,NEED FOR INCREASED,CONSUMPTION,"I should like to inform the hon. members that this is national honey week. In their offices they will find samples of honey supplied by the Canadian beekeepers' council. Owing to the loss of export markets, producers are facing difficult marketing conditions. If each
2388	HOUSE OF COMMONS
National Trade Mark
Canadian would consume a half pound more before commission I, the fifth session of honey per year, some of the marketing the FAO conference, at Washington, D.C., on problems would be solved.	November 24, 1949.

",Progressive Conservative,,Harry Oliver White,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=ed7c9721-7803-4bd8-a892-696cdd38f5a0&Language=E&Section=ALL
1579484,ca.proc.d.1949-11-29.3,1949-11-29,,,,topic,NATIONAL TRADE MARK,,,,,,,
1579485,ca.proc.d.1949-11-29.3.1,1949-11-29,,,,subtopic,NATIONAL TRADE MARK,PRESS REPORT OF REMARKS OF MR. JONES IN DEBATE ON NOVEMBER 26,,,,,,
1579486,ca.proc.d.1949-11-29.3.1.1,1949-11-29,94902c67-5f80-4a34-bdde-3c7668720f94,ca.m.1296,Mr. O. L. Jones (Yale):,,NATIONAL TRADE MARK,PRESS REPORT OF REMARKS OF MR. JONES IN DEBATE ON NOVEMBER 26,,"Mr. Speaker, in yesterday's Ottawa Citizen there is a report of a statement made by the general manager of the Ottawa board of trade which refers to my speech on the bill to establish a national trade mark. I am charged with being unfair to Ottawa merchants. The article states that I implied that there was a general practice among Ottawa merchants of misleading the public by using well-known containers to hold inferior products. Such a statement is incorrect.
I mentioned that stores on Elgin street used containers bearing the ""O.K. brand"" label to hold a local product of inferior quality. My contention is that a container bearing the name of a well-known brand should not be used for any other product. Even today those containers are still on display, filled with other than Okanagan produce. The article in question makes the statement that I said merchants filled containers with these products, and marked them as coming from the Okanagan valley. What I did say was that Okanagan valley containers were refilled with other, and in the case under review, inferior, quality produce. I shall be pleased to supply Mr. Cairns with the evidence if he so desires.
The other point with which I wish to deal is the charge that I was derelict in my duty in not bringing this matter to the attention of the house earlier in the session. May I point out that a perusal of Hansard will show that I dealt with this matter earlier in the session, but so far no action has been taken. I did not at any time, nor do I now, suggest that the practice is general among Ottawa merchants.
May I repeat that the principle involved in my speech is that containers marked with a well-known brand name should not be used again, once the original contents which fulfilled the specifications of that brand have been emptied out.

",Co-operative Commonwealth Federation (C.C.F.),,Owen Lewis Jones,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=94902c67-5f80-4a34-bdde-3c7668720f94&Language=E&Section=ALL
1579487,ca.proc.d.1949-11-29.4,1949-11-29,,,,topic,"TABLING OF SPEECH DELIVERED BY MR. GARDINER AT FAO CONFERENCE, NOVEMBER 24",,,,,,,
