basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
740930,ca.proc.d.1925-05-04.3,1925-05-04,,,,topic,PRIVATE BILLS,,,,,,,
740931,ca.proc.d.1925-05-04.3.1,1925-05-04,,,,subtopic,PRIVATE BILLS,SECOND READINGS,,,,,,
740932,ca.proc.d.1925-05-04.3.1.1.1,1925-05-04,,,,stagedirection,,,,"Bill No. 48, for the relief of George Thomas Grigor.-Mr. Martell.
Bill No. 49, for the relief of Ethel May Sherrill.-Mr. Church.
Bill No. 50, for the relief of Max Arno Frind.

Mr. Hocken.
Bill No. 51, for the relief of Elizabeth Burns.-Mr. Garland (Carleton).
Questions",,,,
740933,ca.proc.d.1925-05-04.3.1.1.2,1925-05-04,,,,stagedirection,,,,"Bill No. 52, for the relief of Fred Herdman Ogden.-Mr. Church.
Bill No. 53, for the relief of Marion Gooder-ham Smith.-Mr. Hocken.
Bill No. 54, for the relief of Edith Maiy Wiles.-Mr. Garland (Carleton).
Bill No. 55, for the relief of Annie Kate Winch.-Mr. Hanson.
Bill No. 56, for the relief of Florence Kate Coutts.-Mr. Ryckman.
Bill No. 57, for the relief of George Ken-Jess.-Mr. Hanson.
Bill No. 58, for the relief of Thomas Aimer Shields.-Mr. Euler.
Bill No. 59, for the relief of Roderick James Ellis.-Mr. Boys.
Bill No. 60, for the relief of Florence Mann. -Mr. Sheard.
Bill No. 61, for the relief of Samuel John Pegg, junior.-Mr. Preston.
Bill No. 62, for the relief of Harry Hamble-ton.-Mr. Sheard.
Bill No. 63, for the relief of Izzie Klin-mentz (otherwise known as Izzie Climans).- Mr. Jacobs.
Bill No. 64, for the relief of John Hutchison Duraan.-Mr. Sheard.
Bill No. 65, for the relief of Richard James Wright.-Mr. Garland (Carleton).
Bill No. 66, for the relief of Mary Ellen Ayre.-Mr. Boys.
Bill No. 67, for the relief of Helen Marie Pritchard.-Mr. Garland (Carleton).",,,,
740934,ca.proc.d.1925-05-04.4,1925-05-04,,,,topic,QUESTIONS,,,,,,,
740935,ca.proc.d.1925-05-04.4.1.1,1925-05-04,,,,stagedirection,,,,(Questions answered orally are indicated by an asterisk.),,,,
740936,ca.proc.d.1925-05-04.4.2,1925-05-04,,,,subtopic,QUESTIONS,PAYMENTS TO EXPRESS COMPANIES,,,,,,
740937,ca.proc.d.1925-05-04.4.2.1,1925-05-04,0e1575e1-8782-4de1-8bdb-742a2019685e,ca.m.724,Mr. WARD:,,QUESTIONS,PAYMENTS TO EXPRESS COMPANIES,,"What was the amount paid, respectively, to the Canadian National Express Company and the

",Progressive,,William John Ward,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0e1575e1-8782-4de1-8bdb-742a2019685e&Language=E&Section=ALL
740938,ca.proc.d.1925-05-04.4.2.2,1925-05-04,651714ed-1fa2-4874-a656-3e55434ef8cc,ca.m.535,,Secretary of State of Canada,QUESTIONS,PAYMENTS TO EXPRESS COMPANIES,,"1.
Dominion Express Company by the following Departments, in 1924:	(a) Trade and Commerce; (b)
Customs and Excise; (c) Printing Bureau?

",Liberal,,Hon. Mr. COPP:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=651714ed-1fa2-4874-a656-3e55434ef8cc&Language=E&Section=ALL
740939,ca.proc.d.1925-05-04.4.2.3,1925-05-04,651714ed-1fa2-4874-a656-3e55434ef8cc,ca.m.535,Hon. Mr. COPP:,Secretary of State of Canada,QUESTIONS,PAYMENTS TO EXPRESS COMPANIES,,"Department of Trade and Commerce
	Canadian	Dominion
Civil government con-	National Express	Expresstingencies	$ 5 78	$ 1 00Commercial Intelligence	service	
Canada Grain Act, including Dominion	231 87	23 69government elevators Petroleum bounties ad-	1,067 52	597 11ministration	3 15	Motion Picture bureau	221 67	46 98Weights and Measures.	451 10	653 28Electricity and Gas..	607 71	215 20Bureau of Statistics..	175 56	24 40T otal	$2,764 36	$1,561 66
Department of Customs and Excise
(b)	Canadian National Express.. $13,667 84 Dominion Express Co	 7,773 26
Department of Printing Bureau For the calendar year ending December 31, 1924: the department paid to the Canadian National Express Company the amount of, $13,304.21; and to the Dominion Express Company the amount of, $4,639.91.

",Liberal,,Arthur Bliss Copp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=651714ed-1fa2-4874-a656-3e55434ef8cc&Language=E&Section=ALL
740940,ca.proc.d.1925-05-04.4.3,1925-05-04,,,,subtopic,QUESTIONS,HORSE BREEDING,,,,,,
740941,ca.proc.d.1925-05-04.4.3.1,1925-05-04,c7877003-a7b3-48bd-96df-1091b52e294b,ca.m.6496,,,QUESTIONS,HORSE BREEDING,,"1.	What amount has been spent in each province as federal assistance to horse breeding, under the breeding law?
2.	Does the special railway freight rate apply to the western shippers on the transportation of horses to the east ?
Statement showing amounts paid by the Dominion Stock Branch, Department of Agriculture, Ottawa to Horse Breeders' Clubs under the Federal Assistance to Horse Breeding Policy since the Inception of the Policy, 1915
It will be noted that, throughout the statement, the amounts shown as having been paid to clubs are in connection with clubs
organized for that year
Province	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	Total$ cts.	$ cts.	$ cts.	S cts.	$ cts.	$ cts.	$ cts. 419 44 3,701 20 -12,798 31 -13,342 93 5,225 71 2,298 04	$ cts. 397 22 2,158 79 14,711 09 10,484 74 4,422 83 2,295 49	$ cts.	$ cts.	$ cts. 816 66 51,795 02 136,120 00 89,731 91 38,095 39 7,290 75Alta	
Sask	380 00 1,410 26	446 56 2,637 37	8,092 18 18,827 30 7,890 78 5,750 11	16,939 90 28,340 95 19,756 62 5,941 00 288 00	9,271 26 20,695 38 14,256 37 6,417 78	6,097 80 13,972 34 12,802 79 6,526 39 250 00	2,i30 93 14,731 41 8,195 07 2,825 65 1,750 73	2,576 40 7,995 59 3,002 61 880 92 308 49	105 00	100 00	
126 40							1,253 32
P.E.I	351 67	386 66	359 99	155 00	Total.	1,890 26	3,188 93	40,560 37	71,392 87	50,992 46	40,035 98	38,145 62	34,625 16	29,633 79	14,764 01	325,229 45

- MAY 4, 1925
Questions
2.	The Canadian National railway officials advise that there are special freight rates from western to eastern Canada on horses in carloads, whidh apply for either breeding or general purposes.

",Liberal,,Mr. BOUCHARD:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c7877003-a7b3-48bd-96df-1091b52e294b&Language=E&Section=ALL
740942,ca.proc.d.1925-05-04.4.4,1925-05-04,,,,subtopic,QUESTIONS,CANADIAN NATIONAL RAILWAYS-PRIVATE CARS,,,,,,
740943,ca.proc.d.1925-05-04.4.4.1,1925-05-04,64133edf-0990-42a2-9245-175d93050aae,ca.m.652,,,QUESTIONS,CANADIAN NATIONAL RAILWAYS-PRIVATE CARS,,"1.	How many private cars are in the possession of the Canadian National Railways for the use of officials?
2.	How many of these have been secured in the past two and a half years?
3.	How many were used to carry officers of the company to Portland on the occasion of the departure of Mr. C. J. Smith for England?
4.	Who were the officers who used these cars for this purpose ?
5.	How many cars were on this same occasion sent around to Halifax and for what purpose were they so sent?

",Conservative (1867-1942),,Mr. WILSON:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=64133edf-0990-42a2-9245-175d93050aae&Language=E&Section=ALL
740944,ca.proc.d.1925-05-04.4.4.2,1925-05-04,d37caeac-e2c8-4010-a406-bd6c910d1265,ca.m.6702,Hon. Mr. GRAHAM:,Minister of Railways and Canals,QUESTIONS,CANADIAN NATIONAL RAILWAYS-PRIVATE CARS,,"The hon. member
is not in his seat again and I suppose we had better let this question stand. I am prepared to answer the part of the question that I think ought to be answered.	,

",Liberal,,George Perry Graham,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d37caeac-e2c8-4010-a406-bd6c910d1265&Language=E&Section=ALL
740945,ca.proc.d.1925-05-04.4.5,1925-05-04,,,,subtopic,QUESTIONS,MR. A. PETTIGREW,,,,,,
740946,ca.proc.d.1925-05-04.4.5.1,1925-05-04,f88a7275-f7f4-407e-9d45-89d5300f2919,ca.m.9510,,,QUESTIONS,MR. A. PETTIGREW,,"1.	Did Mr. A. Pettigrew, counsel for returned soldiers, at Quebec, do any active service with the Canadian Expeditionary Forces, from August, 1914, to November, 1918?
2.	If so, (a) with what battalion; (b) what was his number; (c) in what battles did he take part?
3.	Did he not receive his exemption from military service during the war?
4.	If so, for what reason?
5.	Since the war, did he join the Canadian navy?
6.	If so, (a) on what date; (b) what is his rank;
(c)	what is his pay; (d) is he also acting as recruiting officer; (e) is he receiving a salary for said service?
7.	On whose recommendation was he appointed counsel for returned soldiers, at Quebec?

",Liberal,,Mr. POULIOT:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=f88a7275-f7f4-407e-9d45-89d5300f2919&Language=E&Section=ALL
740947,ca.proc.d.1925-05-04.4.5.2,1925-05-04,651714ed-1fa2-4874-a656-3e55434ef8cc,ca.m.535,,Secretary of State of Canada,QUESTIONS,MR. A. PETTIGREW,,"1.	No.
2.	Answered by No. 1.
3.	A Mr. Achille Pettigrew of Quebec was
exempted.
4.	He was placed by the medical board in class ""E.""
5.	Yes.
6.	(a) 31st March, 1923.
(b)	Acting Lieutenant.
(c)	Officers of the R.C.N.V.R. serve without remuneration except whilst attending two weeks' annual drill when they are paid at R.C.N. rates of pay.
(d)	No.
(e)	Answered by (d).
7.	All soldiers' advisers, including Mr. Pettigrew, were selected by veterans' organizations whose nominations were communicated to the government by the Dominion Veterans' Alliance.

",Liberal,,Hon. Mr. COPP:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=651714ed-1fa2-4874-a656-3e55434ef8cc&Language=E&Section=ALL
740948,ca.proc.d.1925-05-04.4.6,1925-05-04,,,,subtopic,QUESTIONS,CANADIAN NATIONAL RAILWAYS-ANSWER DELAYED,,,,,,
740949,ca.proc.d.1925-05-04.4.6.1,1925-05-04,f88a7275-f7f4-407e-9d45-89d5300f2919,ca.m.9510,,,QUESTIONS,CANADIAN NATIONAL RAILWAYS-ANSWER DELAYED,,"1.	What is the name of the person or persons who sold to the government the land on which are located the workshops of the Canadian National Railways, at St. Malo, and what was the sale price?
2.	What is (a) the amount and (b) the value of the machinery transferred from the workshops of the Canadian National Railways, at Riviere du Loup, to those of St. Malo?
3.	What is the number of employees of the Canadian National Railways who were transferred from Riviere du Loup to St. Malo?
4.	Was this transfer optional?

",Liberal,,Mr. POULIOT:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=f88a7275-f7f4-407e-9d45-89d5300f2919&Language=E&Section=ALL
740950,ca.proc.d.1925-05-04.4.6.2,1925-05-04,f88a7275-f7f4-407e-9d45-89d5300f2919,ca.m.9510,Mr. POULIOT:,,QUESTIONS,CANADIAN NATIONAL RAILWAYS-ANSWER DELAYED,,"What was the total yearly amount of business of the Canadian National Express Company branch at Trois Pistoles, county of Temiscouata, Quebec, during the last two years, respectively?

",Liberal,,Jean-François Pouliot,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=f88a7275-f7f4-407e-9d45-89d5300f2919&Language=E&Section=ALL
740951,ca.proc.d.1925-05-04.4.6.3,1925-05-04,d37caeac-e2c8-4010-a406-bd6c910d1265,ca.m.6702,Hon. Mr. GRAHAM:,Minister of Railways and Canals,QUESTIONS,CANADIAN NATIONAL RAILWAYS-ANSWER DELAYED,,"One of the difficulties of getting information rapidly now from officers of the Canadian National Railways is that we have so many of the officers here attending committees. I had a letter from one of them this morning stating that it would be impossible to get these answers until they were relieved here.
ROYAL CANADIAN MINT Mr. BLACK (Yukon):
1.	Why is the Royal Canadian Mint idle?
2.	Why is no Canadian silver coin being minted at the Canadian mint?
3.	Why is the large amount of United States silver coin now in circulation in Canada not shipped out of the country and replaced by Canadian silver coin?
4.	When was the last Canadian silver coin minted in Canada?
5.	Is there any advantage to Canada in having Canadian silver coin in use and circulation in Canada instead of United States coin?

",Liberal,,George Perry Graham,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d37caeac-e2c8-4010-a406-bd6c910d1265&Language=E&Section=ALL
740952,ca.proc.d.1925-05-04.4.6.4,1925-05-04,3c716a03-43b1-401d-820f-7921b10e5565,ca.m.6937,Hon. Mr. ROBB:,Minister of Immigration and Colonization,QUESTIONS,CANADIAN NATIONAL RAILWAYS-ANSWER DELAYED,,"1 and 2. The operations oif the mint are dependent upon the circulation requirements of the country. Owing to the large amount of silver minted during the war and demobilization period to meet the then current and anticipated demands, there has been a sufficient supply available since 1922-23 to meet all requirements. Consequently, no silver coin has been minted since 1923, but the mint has been engaged on bronze and nickel coinage and the refining of gold.
3.	Trade returns for the last year show that $957,684 of silver coin was shipped out of Canada to the United States.
4.	1923.
5.	There is a profit to the government in the issue of silver coinage.

",Liberal,,James Alexander Robb,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3c716a03-43b1-401d-820f-7921b10e5565&Language=E&Section=ALL
740953,ca.proc.d.1925-05-04.4.7,1925-05-04,,,,subtopic,QUESTIONS,CANADIAN NATIONAL RAILWAYS-STATISTICS,,,,,,
740954,ca.proc.d.1925-05-04.4.7.1,1925-05-04,7220c8bb-644f-4214-b7d2-63a27895aa9f,ca.m.3621,Mr. MORIN:,,QUESTIONS,CANADIAN NATIONAL RAILWAYS-STATISTICS,,"What were during the year 1924 on the Canadian National Railways: (a) The number of tons of freight

Questions

carried; (b) The number of tons carried one mile; (c) The earnings per ton mile from freight traffic; (d) The number of passengers carried; (e) The number of passengers carried one mile, and (f) The earnings per passenger per mile?

",Liberal,,Louis-Simon-René Morin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7220c8bb-644f-4214-b7d2-63a27895aa9f&Language=E&Section=ALL
