basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2988340,ca.proc.d.1975-08-01.1,1975-08-01,,,,topic,ROUTINE PROCEEDINGS,,,,,,,
2988341,ca.proc.d.1975-08-01.1.1,1975-08-01,,,,subtopic,ROUTINE PROCEEDINGS,PENITENTIARIES,,,,,,
2988342,ca.proc.d.1975-08-01.1.1.1.1,1975-08-01,88de9baa-8839-401f-9aa2-55522b62d47f,ca.m.3979,Mr. G. W. Baldwin (Peace River):,Official Opposition House Leader; Progressive Conservative Party House Leader,ROUTINE PROCEEDINGS,PENITENTIARIES,SUGGESTED COMMITTEE STUDY OF RESTRICTIONS ON NEWS MEDIA IN REPORTING MILLHAVEN INQUIRY-MOTION UNDER S.O. 43,"Mr. Speaker, in spite of the natural enthusiasm which members are expressing in meeting here for the first time, I should like to move a motion under Standing Order 43 with regard to a matter of urgent and pressing importance.
My motion deals with the terms and conditions being imposed on the news media by Miss Inger Hansen in respect of their reporting of the inquiry which Miss Hansen is currently holding into an incident last November at the Millhaven penitentiary and the fact that this House should demand an explanation of what appears on the surface to be a very dangerous practice.
I therefore move, seconded by the hon. member for Malpeque (Mr. MacLean):
That the Standing Committee on Justice and Legal Affairs inquire into the restrictions placed on the news media by Miss Inger Hansen in regard to the inquiry into certain events at Millhaven penitentiary and report to the House whether this interference with the right of the news media to report freely and fully upon a public inquiry is justified in the circumstances.

",Progressive Conservative,,Gerald William Baldwin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=88de9baa-8839-401f-9aa2-55522b62d47f&Language=E&Section=ALL
2988343,ca.proc.d.1975-08-01.1.1.1.2,1975-08-01,1c84ed8e-0b0a-441b-a324-bedff3f898fc,ca.m.1648,Mr. Speaker:,Speaker of the House of Commons,ROUTINE PROCEEDINGS,PENITENTIARIES,SUGGESTED COMMITTEE STUDY OF RESTRICTIONS ON NEWS MEDIA IN REPORTING MILLHAVEN INQUIRY-MOTION UNDER S.O. 43,"A motion can only be presented pursuant to Standing Order 43 with the unanimous consent of the House. Is there unanimous consent?

",Liberal,,James Alexander Jerome,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1c84ed8e-0b0a-441b-a324-bedff3f898fc&Language=E&Section=ALL
2988344,ca.proc.d.1975-08-01.1.1.1.3,1975-08-01,intervention,,,,ROUTINE PROCEEDINGS,PENITENTIARIES,SUGGESTED COMMITTEE STUDY OF RESTRICTIONS ON NEWS MEDIA IN REPORTING MILLHAVEN INQUIRY-MOTION UNDER S.O. 43,"Agreed.

",,,Some hon. Members:,
2988345,ca.proc.d.1975-08-01.1.1.1.4,1975-08-01,intervention,,,,ROUTINE PROCEEDINGS,PENITENTIARIES,SUGGESTED COMMITTEE STUDY OF RESTRICTIONS ON NEWS MEDIA IN REPORTING MILLHAVEN INQUIRY-MOTION UNDER S.O. 43,"No.

",,,Some hon. Members:,
2988346,ca.proc.d.1975-08-01.1.2,1975-08-01,,,,subtopic,ROUTINE PROCEEDINGS,EXTERNAL AFFAIRS,,,,,,
2988347,ca.proc.d.1975-08-01.1.2.1.1,1975-08-01,aa40bd53-d3d5-4a04-8bff-608d6728890a,ca.m.3454,Mr. Edward Broadbent (Oshawa-Whitby):,,ROUTINE PROCEEDINGS,EXTERNAL AFFAIRS,REQUEST THAT RUSSIA ADHERE TO PROVISIONS OF HELSINKI AGREEMENT-MOTION UNDER S O. 43,"Mr. Speaker, I, too, rise pursuant to provisions of Standing Order 43. During International Women's Year a number of women's associations drew the attention of Canadians and of people elsewhere in the world to the existence of certain women political prisoners in the U.S.S.R. These women have been sentenced under certain articles of the Ukranian Criminal Code which clearly conflict with the constitution of the
U.S.S.R. and the United Nations Declaration of Human Rights.
I therefore move, seconded by the hon. member for Winnipeg North Centre (Mr. Knowles):
That the Canadian government urge the government of the Soviet Union to adhere to the human rights provisions spelled out in the Helsinki agreement and that Canada take the initiative in raising this question at the United Nations.

",New Democratic Party,,John Edward Broadbent,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=aa40bd53-d3d5-4a04-8bff-608d6728890a&Language=E&Section=ALL
2988348,ca.proc.d.1975-08-01.1.2.1.2,1975-08-01,1c84ed8e-0b0a-441b-a324-bedff3f898fc,ca.m.1648,Mr. Speaker:,Speaker of the House of Commons,ROUTINE PROCEEDINGS,EXTERNAL AFFAIRS,REQUEST THAT RUSSIA ADHERE TO PROVISIONS OF HELSINKI AGREEMENT-MOTION UNDER S O. 43,"The motion pursuant to Standing Order 43 requires the unanimous consent of the House. Is there unanimous consent?
Some hort. Members: Agreed.

",Liberal,,James Alexander Jerome,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1c84ed8e-0b0a-441b-a324-bedff3f898fc&Language=E&Section=ALL
2988349,ca.proc.d.1975-08-01.1.2.1.3,1975-08-01,intervention,,,,ROUTINE PROCEEDINGS,EXTERNAL AFFAIRS,REQUEST THAT RUSSIA ADHERE TO PROVISIONS OF HELSINKI AGREEMENT-MOTION UNDER S O. 43,"No.

",,,Some hon. Members:,
2988350,ca.proc.d.1975-08-01.1.3,1975-08-01,,,,subtopic,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,,,,,,
2988351,ca.proc.d.1975-08-01.1.3.1.1,1975-08-01,9a216666-6b6a-4761-9a98-afc11747bf5f,ca.m.9053,Mr. Eldon M. Woolliams (Calgary North):,,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,PROPOSED COMMITTEE STUDY OF CLOSURE OF BASES- MOTION UNDER S.O. 43,"Mr. Speaker, I rise on a matter of urgent and pressing necessity pursuant to the provisions of Standing Order 43. My motion relates to a special secret study being made in reference to the closure of certain military armed services bases, in particular Calgary, where land, armoured, infantry and services forces includes 2,300 officers and men and 480 civilians.
I move, seconded by the hon. member for Calgary Centre (Mr. Andre):
That before any Canadian base is closed, particularly Calgary, the matter be referred to the Standing Committee on External Affairs and National Defence so as the facts and reasons for the review are all disclosed openly in the committee so the public is made aware of the real reasons for such closures and for the purpose of avoiding any discrimination against any part of the country.

",Progressive Conservative,,Eldon Mattison Woolliams,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9a216666-6b6a-4761-9a98-afc11747bf5f&Language=E&Section=ALL
2988352,ca.proc.d.1975-08-01.1.3.1.2,1975-08-01,1c84ed8e-0b0a-441b-a324-bedff3f898fc,ca.m.1648,Mr. Speaker:,Speaker of the House of Commons,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,PROPOSED COMMITTEE STUDY OF CLOSURE OF BASES- MOTION UNDER S.O. 43,"The motion under Standing Order 43 requires the unanimous consent of the House. Is there unanimous consent?

",Liberal,,James Alexander Jerome,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1c84ed8e-0b0a-441b-a324-bedff3f898fc&Language=E&Section=ALL
2988353,ca.proc.d.1975-08-01.1.3.1.3,1975-08-01,intervention,,,,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,PROPOSED COMMITTEE STUDY OF CLOSURE OF BASES- MOTION UNDER S.O. 43,"Agreed.

",,,Some hon. Members:,
2988354,ca.proc.d.1975-08-01.1.3.1.4,1975-08-01,intervention,,,,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,PROPOSED COMMITTEE STUDY OF CLOSURE OF BASES- MOTION UNDER S.O. 43,"No.

January 26, 1976
Air-Sea Rescue

",,,Some hon. Members:,
2988355,ca.proc.d.1975-08-01.1.4,1975-08-01,,,,subtopic,ROUTINE PROCEEDINGS,FINANCE,,,,,,
2988356,ca.proc.d.1975-08-01.1.4.1.1,1975-08-01,807db12b-220f-4f7f-936f-6c7eba43595e,ca.m.3920,Mr. Eudore Allard (Rimouski):,,ROUTINE PROCEEDINGS,FINANCE,SUGGESTED STUDY OF POSSIBILITY OF REDUCING INTEREST RATES-MOTION UNDER S.O. 43,"Mr. Speaker, pursuant to Standing Order 43, I request unanimous consent of the House to present an important and urgent motion.
Because the ravages of inflation constantly reduce the real purchasing power of Canadians, because the low-wage earners, the poor, the underprivileged are forced to borrow money at high interest rates to solve their problems and make ends meet, and also because interests rates are really too high in Canada, I move, seconded by the hon. member for Roberval (Mr. Gauthier):
That this House study, at the very first opportunity, the possibility of lowering interest rates in Canada.

",Social Credit,,Eudore Allard,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=807db12b-220f-4f7f-936f-6c7eba43595e&Language=E&Section=ALL
2988357,ca.proc.d.1975-08-01.1.4.1.2,1975-08-01,1c84ed8e-0b0a-441b-a324-bedff3f898fc,ca.m.1648,Mr. Speaker:,Speaker of the House of Commons,ROUTINE PROCEEDINGS,FINANCE,SUGGESTED STUDY OF POSSIBILITY OF REDUCING INTEREST RATES-MOTION UNDER S.O. 43,"The House has heard the motion of the hon. member. Pursuant to Standing Order 43, the motion cannot be put without unanimous consent of the House. Is there unanimous consent?

",Liberal,,James Alexander Jerome,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1c84ed8e-0b0a-441b-a324-bedff3f898fc&Language=E&Section=ALL
2988358,ca.proc.d.1975-08-01.1.4.1.3,1975-08-01,intervention,,,,ROUTINE PROCEEDINGS,FINANCE,SUGGESTED STUDY OF POSSIBILITY OF REDUCING INTEREST RATES-MOTION UNDER S.O. 43,"Yes.

",,,Some hon. Members:,
2988359,ca.proc.d.1975-08-01.1.4.1.4,1975-08-01,intervention,,,,ROUTINE PROCEEDINGS,FINANCE,SUGGESTED STUDY OF POSSIBILITY OF REDUCING INTEREST RATES-MOTION UNDER S.O. 43,"No.

",,,Some hon. Members:,
2988360,ca.proc.d.1975-08-01.1.4.1.5,1975-08-01,1c84ed8e-0b0a-441b-a324-bedff3f898fc,ca.m.1648,Mr. Speaker:,Speaker of the House of Commons,ROUTINE PROCEEDINGS,FINANCE,SUGGESTED STUDY OF POSSIBILITY OF REDUCING INTEREST RATES-MOTION UNDER S.O. 43,"As there is not unanimous consent, the motion cannot be put.

",Liberal,,James Alexander Jerome,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1c84ed8e-0b0a-441b-a324-bedff3f898fc&Language=E&Section=ALL
2988361,ca.proc.d.1975-08-01.1.5,1975-08-01,,,,subtopic,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,,,,,,
2988362,ca.proc.d.1975-08-01.1.5.1.1,1975-08-01,c66cf26a-e903-46cf-9b31-057ed4080f6c,ca.m.505,Mr. James A. McGrath (St. John's East):,,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,REQUEST FOR STATIONING OF AIR-SEA RESCUE AIRCRAFT IN EASTERN NEWFOUNDLAND-MOTION UNDER S.O. 43,"Mr. Speaker, I, too, rise under the provisions of Standing Order 43, to present before the House a matter of urgent and pressing necessity. In view of the fact that there is no air-sea rescue unit in Newfoundland, the last unit having been removed to Nova Scotia in 1964, and in light of the most recent tragedy in which two fishermen were lost on the east coast of Newfoundland, underlining the need for such an air-sea rescue unit in our province, and because of the critical time involved in having rescue operations carried out from Nova Scotia, I move, seconded by the hon. member for Humber-St. George's-St. Barbe (Mr. Marshall):
That the Minister of National Defence be directed to have air-sea rescue aircraft stationed in eastern Newfoundland.

",Progressive Conservative,,James Aloysius McGrath,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c66cf26a-e903-46cf-9b31-057ed4080f6c&Language=E&Section=ALL
2988363,ca.proc.d.1975-08-01.1.5.1.2,1975-08-01,1c84ed8e-0b0a-441b-a324-bedff3f898fc,ca.m.1648,Mr. Speaker:,Speaker of the House of Commons,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,REQUEST FOR STATIONING OF AIR-SEA RESCUE AIRCRAFT IN EASTERN NEWFOUNDLAND-MOTION UNDER S.O. 43,"The motion requires the unanimous consent of the House. Is there unanimous consent?

",Liberal,,James Alexander Jerome,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1c84ed8e-0b0a-441b-a324-bedff3f898fc&Language=E&Section=ALL
2988364,ca.proc.d.1975-08-01.1.5.1.3,1975-08-01,intervention,,,,ROUTINE PROCEEDINGS,NATIONAL DEFENCE,REQUEST FOR STATIONING OF AIR-SEA RESCUE AIRCRAFT IN EASTERN NEWFOUNDLAND-MOTION UNDER S.O. 43,"Agreed.

",,,Some hon. Members:,
