basepk;speechtext;speakername;year
4708817;move messag sent senat acquaint honour hous agre amend made senat bill c act amend control drug substanc act make relat amend act propos amend b amend delet section renumb subsect section replac word shall offer word may offer delet subsect;Karina Gould;2017
4708818;mr speaker pleas rise hous common today speak support bill act amend control drug substanc act make relat amend act discuss amend adopt senat import bill member know bill save live first would like thank senat hous common stand committe health stand senat committe legal constitut affair swift thorough consider bill c clear discuss debat taken place may agre way forward understand urgenc situat share goal save live reduc grow number opioid overdos senat adopt amend bill c deal propos applic process requir obtain exempt control drug substanc act supervis consumpt site first amend adopt senat modifi ministeri author post public notic solicit input concern specif applic version bill c adopt hous common propos allow minist determin appropri length time public comment maximum day amend adopt senat requir consult must minimum day retain previou maximum day govern support amend understand question public health stakehold whether set minimum consult period could delay applic want reiter consult period requir public notic post need author would use concern commun consult suffici input would help make decis instanc ensur reason amount time provid public comment specif applic think make sens therefor support amend second amend adopt senat specifi minist health may establish citizen advisori committe approv supervis consumpt site deem appropri committe could seen way maintain open ongo dialogu surround commun repres level citizen oversight influenc place health care servic know peopl use drug face discrimin stigmat prevent access servic need stay aliv includ process could add stigmat face peopl use drug amend run intent spirit bill c reason govern disagre second amend last amend adopt senat would requir staff supervis consumpt substanc site offer client access altern pharmaceut therapi consum illeg drug supervis consumpt site would like explain concern govern amend written want make clear govern support provid immedi access evid base treatment option peopl live addict readi will enter treatment would ideal situat situat practic supervis consumpt site complex write word legisl number factor must consid first mention peopl use drug face signific barrier access health social servic need due stigmat discrimin supervis consumpt site meant low threshold access servic requir rule ad process access supervis consumpt site access servic becom vulner popul meant serv amend includ legisl want make clear none supervis consumpt site oper applic health consider would meet legisl criteria oper singl word shall kept amend addit requir burden impos upon supervis consumpt site oper would make difficult establish new supervis consumpt site commun want need requir staff offer immedi access treatment could caus signific delay open new supervis consumpt site purpos bill reduc burden streamlin applic process commun open supervis consumpt site part comprehens plan reduc harm associ illeg drug use includ death given current opioid crisi consider rais major concern govern except certain specif circumst regul health care servic respons provinc territori govern taken concret action pave path forward toward improv treatment exampl remov barrier feder level undertak knowledg exchang activ improv awar option avail end day provinc must make health care decis base need citizen cost associ offer access immedi treatment someth would consid provinc weight health prioriti fact canadian die singl day commun urg set supervis consumpt site stop overdos death want feder govern stand way commun save live improv access treatment goal govern continu support assur hous govern continu support futur supervis consumpt site develop strong link treatment servic encourag potenti site work respect provinci govern make happen reason outlin govern submit word shall provis must chang word may everyon room awar critic urgent natur opioid crisi devast commun across countri rise mortal rate drug overdos concern real commun real peopl die commun front line worker exhaust friend famili lose love one face public health crisi need work stop claim live order action must collect comprehens aim protect health safeti commun complex issu requir comprehens approach minist health clear drug polici must comprehens compassion collabor evid base use public health approach consid address drug issu end decemb minist health announc updat drug strategi canadian drug substanc strategi would replac current nation anti drug strategi strategi restor harm reduct core pillar drug polici alongsid prevent treatment enforc pillar support strong evid base minist support approach introduc bill c bill propos mani import legisl chang address opioid crisi problemat opioid use involv intric web intersect issu must address use differ tactic today would like underlin import continu move legisl process propos chang contain bill would provid law enforc commun tool need better address suppli illicit opioid drug reduc risk divers control substanc sharp rise opioid relat overdos death intensifi increas illicit fentanyl come bill c would ensur law enforc equip keep drug like illicit fentanyl commun number way make crime possess transport anyth intend use produc traffic control substanc allow temporari schedul new psychoact substanc support safer dispos seiz chemic danger substanc critic support member law enforc commun work front line opioid crisi critic bill pass prevent illicit opioid drug reach commun govern commit work partner help reduc harm citizen commun associ problemat substanc use evid shown supervis consumpt site establish maintain potenti save live improv health without increas drug use crime surround area bill c propos support commun seek oper supervis consumpt site streamlin applic process renew process exist site align factor set suprem court without compromis health safeti surround commun key compon legisl involv ensur voic commun heard flexibl support abil tailor consult commun appropri improv approach preserv requir commun engag applic would subject comprehens review without delay implement life save site commun need import role play overcom crisi must support effort commun member volunt civil societi organ health profession legal profession cours law enforc group go tackl crisi legisl chang propos bill c demonstr govern concret support commun grappl crisi increas law enforc abil respond evolut illicit drug market take earli action suspect drug product oper furthermor chang propos bill remov unnecessari barrier establish supervis consumpt site emphas commun engag would support commun ensur site met object save live reduc harm govern continu work commun provinc territori key stakehold comprehens approach drug polici want thank work bill c commit urgent matter cannot turn back commun affect crisi across countri urg member hous move propos legisl chang would support commun save live;Joël Lightbound;2017
4708819;mr speaker want reiter got think member rememb bill put hous conserv offer split bill pass major agre major bill section regard inject site littl bit controversi want debat liber use major push committe without reason debat want thank senat member fulsom debat welcom wit someth say get amend support amend allow pharmaceut substitut addict present clinic ask help come vial poison made drug dealer basement safe danger amend would allow addict offer pharmaceut grade option forc use danger drug would minist allow addict treatabl condit get qualiti care pharmaceut grade altern offer time come clinic;Colin Carrie;2017
4708820;speaker point talk got reason got bill c conserv bill c establish criteria burdensom commun need want safe consumpt site scienc demonstr save live idea come criteria establish suprem court get closer criteria could move know singl day canadian die opioid use countri need take swift action act respect commun would establish need make sure need want safe consumpt site establish;Joël Lightbound;2017
4708821;mr speaker agre parliamentari secretari coupl thing agre nation health crisi british columbia vancouv commun victoria ground could agre agre need move ndp pledg regard agre character senat swift thorough assess month long time public health crisi like face govern said accept singl amend propos senat minimum day public consult period supervis consumpt site applic slow approv process hinder quick action case emerg better cite liber member health committe brampton south oakvil calgari skyview brampton south said amend would remov minist discret prevent site approv urgent situat need delay extra day urgent need site goe would govern face resist alli matter accept regress amend;Murray Rankin;2017
4708822;mr speaker thank ndp entir ndp parti respons opioid crisi work committe hous common bill know bill save live introduc previou govern amend concern note amend requir day minimum consult necessari request subject day minimum consult case necessari might need commun consult would consult period less day day case think right give public time heard said speech happen need consult determin case case basi;Joël Lightbound;2017
4708823;mr speaker want begin thank parliamentari secretari minist health excel speech gave insight govern approach opioid crisi context mention pillar explain hous key pillar govern approach help address import issu associ opioid crisi;Rémi Massé;2017
4708824;mr speaker differ pillar think clear polic import role play import thing stabil crisi affect ensur fentanyl find way commun need ensur drug dealer put drug hand young peopl commun punish need give polic allth tool need vital take public health approach respond crisi sinc know duti protect canadian believ safe consumpt site allow peopl use drug prevent overdos death reduc stigma associ use illeg drug discrimin user face overdos death safe consumpt site fact clear need adopt public health approach deal crisi devast effect mani commun across;Joël Lightbound;2017
4708825;mr speaker reiter parliamentari secretari answer know pharmaceut substitut success evid switzerland clear work amend put senat addict would commit crime addict would worri potenti overdos public would worri victim crime done switzerland saw dramat reduct illeg drug saw crimin activ peopl move treatment diabet need pharmaceut grade insulin obtain go medic facil ethic moral respons facil talk offer addict treatabl condit exact qualiti care would offer canadian requir treatment treatabl condit parliamentari secretari would give addict lowest point live qualiti medic care would give canadian treatabl condit;Colin Carrie;2017
4708826;mr speaker outlin reason speech pay attent noth allow pharmaceut option offer word shall amend caus problem chang word may would make accept awar jurisdict issu deliv servic work provinc territori will encourag get support look realiti word shall would jeopard oper safe consumpt site approv safe consumpt site goal;Joël Lightbound;2017
4708827;mr speaker across way defend govern accept first senat amend ground would anyth would requir day wait period case would happen necessari time would like clarifi whether govern support amend believ would improv legisl whether matter give senat pat head valid chang govern made senat embolden outdat undemocrat institut push need legisl pass great major elect repres hous common;Erin Weir;2017
4708828;mr speaker thank senat work support first amend think need consult requir consult consult period would minimum day allow public make voic heard circumst thank senat member hous work done import issu;Joël Lightbound;2017
