basepk;speechtext;speakername;year
401046;return brought contain offici document depart ie correspond privat confidenti;John Dowsley Reid;1914
401047;want complianc order hous depart concern suppos protect sought depart say document privat;William Chisholm;1914
401048;ask return brought cannot enter discuss explain matter minist understand;Thomas Simpson Sproule;1914
401049;complain day return ask time brought find march sent secretari state attent call laid return custom depart tabl yesterday morn hand return secretari state hand clerk correspond i3 depart;John Dowsley Reid;1914
401050;would miinr ister whether document relat public appoint mark person confidenti consid privat charact;William Chisholm;1914
401051;judg whether document address privat offici receiv;John Dowsley Reid;1914
401056;understand princip featur bill creation share warrant would minist explain;Rodolphe Lemieux;1914
401057;memorandum attach bill explain think say share warrant share certif transfer deliveri without record transfer made book compani warrant provid dividend declar compani advertis thereof set rate time payment must insert certain newspap dividend coupon attach warrant may cash certain bank appear advertis particular dividend holder warrant may present coupon dividend obtain payment thereof share warrant may time exchang ordinari share certif section enact great britain taken without substanti chang section present imperi compani act similar section ontario compani act main object section enabl compani issu kind secur import dealt european exchang kind secur popular franc small investor french law render share warrant dealt chang imperi act except necess act demand verbal chang bill report read third time pass;Louis Coderre;1914
401060;would minist explain;Emmanuel Berchmans Devlin;1914
401061;attent govern direct mani fatal occur explos railway camp mine throughout countri dr haanel director mine consid advis mr desborough majesti inspector explos look matter mr visit provinci minist mine variou construct camp mine throughout countri made report contain valuabl data confer met ottawa present dr haanel mr desborough repres mine owner manufactur explos deleg labour union countri confer listen great interest memorandum read mr desborough act suggest contain mr templeman ex minist mine draft bill brought last session old parliament bill reach committe stage ten claus pass found imposs get bill session present govern realiz import matter step taken last year bring bill hous account length session imposs desir govern get bill session offic depart mr desborough believ enact law number fatal accid explos would lessen although cours danger elimin give hous idea risk undergon use explos mine railway construct work may quot figur taken labour gazett year fatal accid occur countri explos mine railway construct employ believ law statut book mani accid would occur;Louis Coderre;1914
401062;way affect provinci law;Emmanuel Berchmans Devlin;1914
401063;bill introduc parliament session mr templeman examin mr newcomb deputi minist justic gave follow opinion regard examin draft bill respect explos left day return herewith point submit consider constitut author parliament enact bill bill contain varieti provis mani doubtless gener charact other instanc provid precaut observ manufactur explos local aspect respect provis entireti bill cover debat ground anticip bill enact parliament would upon principl construct british north america act laid judici committe privi council upheld compet dominion legisl govern consid expedi peac order good govern enact measur see suffici reason advis refrain promot bill reason base upon doubt constitut author parliament enact may add minist justic concur view express mr newcomb doulbt whether claus appear bill came within jurisdict parliament section found bill present time suggest present minist justic mr doherti struck;Louis Coderre;1914
401065;inspector present time appoint depart mine purpos look explos;William F. Carroll;1914
401066;present law;Louis Coderre;1914
401067;call attent roy friend day seriou fatal took place beloeil year manufactori explos think ten peopl kill come go montreal friend may see lie perrot manufactori explos know manufactori close track canadian pacif railway grand trunk railway common talk among travel train pass fatal may occur time spark engin may caus explos would seriou consequ beg call attent friend remind inspector see manufactori remov near railway track govern held respons say govern held respons law govern held respons locat danger place suffer provinc fatal think time come danger remov;Rodolphe Lemieux;1914
401068;friend speak manufactori lie perrot;Louis Coderre;1914
401069;ye;Rodolphe Lemieux;1914
401070;belong canadian explos compani told mr hudson depart friend find subsect j section govern power regul act case subsect provid governor council may make regul govern establish locat mainten factori magazin manufactur storag explos;Louis Coderre;1914
401071;bill retroact;Rodolphe Lemieux;1914
401072;order council pass regul case mention fr end;Louis Coderre;1914
401073;state section retroact would like hear friend minist justic point;Rodolphe Lemieux;1914
401074;see reason retroact cannot make offenc magazin pass regul determin futur magazin shall allow remain within certain distanc railway track without law retroact pass regul exist magazin place prohibit;Charles Joseph Doherty;1914
401075;wish injur compani think public interest friend allow manufactori maintain right besid track spark locomot might caus explos consequ disast explos isl perrot hull beloeil caus loss life powder mill railway track near vaudreuil constant danger pass vicin;Rodolphe Lemieux;1914
401077;regul carriag explos railway;Rodolphe Lemieux;1914
401078;board railway commission empow make regul;Louis Coderre;1914
401079;told railway compani take great risk explos carri passeng train stringent regul enforc;Rodolphe Lemieux;1914
401080;quit understand depart except would like know regul govern carriag storag explos belong militia naval servic depart;William F. Carroll;1914
401081;depart regul given effect;Louis Coderre;1914
401082;regul depart stringent appli mine mine expert understand explos present law accid nova scotia mine carri greater extent provinc provinc forti per cent injur mine injur explos nova scotia amount per cent section explos prohibit unless author;William F. Carroll;1914
401083;intent depart pass regul declar explos;William F. Carroll;1914
401084;ye section licens;Louis Coderre;1914
401085;section pass necess exist present appli differ provinci author certif establish powder magazin local;Emmanuel Berchmans Devlin;1914
