basepk;speechtext;speakername;year
1888036;mr speaker promis leader opposit mr diefenbak yesterday would endeavour give list matter apt may brought parliament session respect mention speech throne order paper hous place brought bill amend merchant seamen compens act revis feder district commiss act third ratifi north pacif fur seal convent matter may aris depend upon action provinci govern provinci legislatur would includ first enabl legisl concern hospit insur second act amend judg act depend upon whether requir result provinci legisl increas number judg provinc third amend lake wood control board act depend upon action complet provinci legislatur ontario manitoba bill confirm alberta northwest territori boundari survey constitut peac bridg author amend prairi grain produc interim financ act amend eastern rocki mountain forest conserv act northwest territori act yukon act small amend urgent might conveni dispos opportun bill amend prison reformatori act result fact govern british columbia establish new penal institut purpos legisl would author transfer prison exist institut new institut may bill amend canadian british insur compani act unit kingdom financi agreement act respect latter negoti progress complet minist financ make announc;Louis Stephen St-Laurent;1957
1888037;waiver interest;Howard Charles Green;1957
1888038;problem aris request submit waiver interest would involv modif origin agreement may bill amend canadian vessel construct assist act evid act fertil act legisl confirm tax agreement countri negoti cours legisl consequ upon budget usual appropri bill annual canadian nation railway financ guarante bill might matter would found conveni time bring forward legisl concern matter decis reach govern;Louis Stephen St-Laurent;1957
1888039;prime minist mention legisl implement find committe senat investig narcot drug traffic tell hous whether intend introduc legisl;Howard Charles Green;1957
1888040;bill place present time deal matter;Louis Stephen St-Laurent;1957
1888041;intent bring legisl necessari implement budget ministeri statement;Howard Charles Green;1957
1888042;intent time experi last day less controversi recommend parliament time taken speech everyon express qualifi approv submit;Louis Stephen St-Laurent;1957
1888043;could put way prime minist consid legisl implement budget go dissolut;Howard Charles Green;1957
1888044;hope legisl bring go attempt rush matter;Louis Stephen St-Laurent;1957
1888045;oh;Some hon. Members:;1957
1888046;want member feel;Louis Stephen St-Laurent;1957
1888047;big chang sinc pipelin debat;Hazen Robert Argue;1957
1888048;certain matter connect pipe line glad discuss time may appropri meantim assur gentleman happi discuss pipe line brought develop;Louis Stephen St-Laurent;1957
1888049;hear hear;Some hon. Members:;1957
1888050;endeavour matter dealt manner satisfi member given consider may possibl done respect everyth mention afternoon;Louis Stephen St-Laurent;1957
1888051;word elect import;William Earl Rowe;1957
1888052;mr speaker democrat system think elect import period elect best safeguard respect right peopl;Louis Stephen St-Laurent;1957
1888053;elector think;William Earl Rowe;1957
1888054;order;Louis-René Beaudoin;1957
1888055;call elect last year chang mind sinc last summer;Donald Methuen Fleming;1957
1888056;may suggest elect;Louis-René Beaudoin;1957
1888057;get;William Earl Rowe;1957
1888058;may supplementari prime minist understand made refer subject legisl probat understand dear heart minist justic hope might list;James MacKerras Macdonnell;1957
1888059;mr speaker hope might time good measur prepar consid adopt parliament;Louis Stephen St-Laurent;1957
1888060;may prime minist supplementari;Stanley Howard Knowles;1957
1888061;wait stage question reach;Walter Edward Harris;1957
1888062;prime minist last remark origin statement legisl might found conveni bring leav door open legisl respect old age pension;Stanley Howard Knowles;1957
1888063;mr speaker noth door regard old age pension would someth would consequ upon budget;Louis Stephen St-Laurent;1957
1888064;may assum door open;Stanley Howard Knowles;1957
1888067;mr speaker order motion may make announc explain request receiv govern think inform hous respect matter better way read letter propos send answer request address mr wilfrid p gregori stratford read follow dear mr gregori stratford shakespearean festiv may refer request behalf festiv financi assist consciou import statu festiv canadian cultur histori initi imagin display peopl stratford brought great credit commun peopl ontario whole would surpris therefor govern provinc ontario would feel initi great advantag accru continu accru activ festiv recogn note provinci govern contribut ask contribut capit program festiv share view perman theatr stratford would recognit uniqu contribut made festiv conceiv promot would last benefit canadian advis shall includ supplementari estim recommend parliament next month grant capit program festiv equal contribut govern provinc ontario;Walter Edward Harris;1957
1888068;may congratul govern;Jay Waldo Monteith;1957
1888069;need;An hon. Member:;1957
1888070;great assist nation enterpris;Jay Waldo Monteith;1957
1888073;like direct prime minist supplementari one ask yesterday victoria ont would good tell hous refus tabl letter direct sir anthoni eden;Lewis Elston Cardiff;1957
