basepk;speechtext;speakername;year
3727046;bill c act amend custom tariff report without amend stand committe financ econom affair concur;Philip Derek Lewis;1988
3727047;pleasur hous adopt motion;John Allen Fraser;1988
3727048;agre;Some Hon. Members:;1988
3727050;bill read third time pass;Philip Derek Lewis;1988
3727051;mr speaker thank opportun speak third read bill act amend custom tariff member know bill provid reduct remov duti narrow rang product manufactur bill c make technic amend custom tariff correct error new harmon system came effect januari allow facsimil transmiss equip diesel engin continu enter rate appli would remiss mr speaker make mention colleagu financ committe put collect expertis work deal piec legisl;Shirley Martin;1988
3727052;mr speaker want take minut add brief word behalf liber parti regard bill cours distinguish colleagu triniti miss nicholson would respond bill morn detain parliament hill sinc cannot address issu make remark behalf bill c design number thing correct error new harmon system tariff amend section restor duti treatment certain import alcohol beverag correct error new system relat remiss machineri program delet tariff item amend schedul bill item bill continu free entri facsimil equip made equip refer telecopi equip remov duti radio control model glider kit radio control propel power model vehicl kit hobbi equip manufactur therefor tariff board recommend free entri provid item bill address issu schedul ii provid remov duti burial shroud told made suppos time made would purpos duti protect industri exist present time number item involv tariff come attent member contenti rememb year ago case involv veterinarian veterinarian work farm anim specif piec equip attach back truck equip refriger compart keep drug space keep medic equip use veterinarian piec equip duti impos though made number member parliament includ wrote minist agricultur mr wise interven minist nation revenu mr mackay order duti remov sinc purpos creat hardship veterinarian happi say represent effect minist saw fit interven understand duti remov exampl tariff counterproduct told offici depart custom excis interpret equip part truck bodi april custom tariff gave recognit camper noth camp met specif purpos subject tariff want bring attent hous letter receiv concern tariff issu sinc deal act amend custom tariff act thought would use opportun rais specif tariff issu brought attent textil firm constitu known consoltex consoltex compani locat montreal plant constitu letter sent mr john f trickett consoltex inform correspond minist financ mr wilson announc march tariff reform textil cloth industri mr trickett said letter sent minist quot concern list fabric includ schedul tariff list consid contain sever item manufactur consoltex textil compani furthermor product list substitut other made essenti direct consult canadian textil compani take place final fabric elig custom exempt case mr speaker situat govern chosen time seem elimin tariff elimin remov hurt textil industri import ride glengarri prescott russel give exampl fabric accord list provid consoltex fabric weight exceed gram per squar meter line fabric seem type fabric propos tariff remiss consoltex inform manufactur product fabric contain per cent weight silk consoltex say item could result unfair competit fabric manufactur tariff remiss word particular product subject duti could substitut other manufactur jacquard fabric fabric manufactur consoltex manufactur fabric includ item might affect duti free import tariff item leno fabric contain per cent weight cotton consoltex manufactur leno fabric fabric includ item would affect fact replac duti free import mr speaker rest text read follow addit item product list requir clarif definit list vagu present form signific improv need mr trickett tri say although member hous imagin approv principl tariff remiss import garment manufactur ride forget manufactur fabric must protect provid tariff remiss make sure protect product manufactur replac product manufactur countri mr speaker brief comment morn bill c l want take opportun point manufactur ride dissatisfi govern tariff polici said mr speaker want thank liber parti intend co oper get bill hous possibl;Don Boudria;1988
3727053;mr speaker earthshak piec legisl come hous common nevertheless legisl second read debat parliamentari secretari deputi prime minist mr hawk suggest repres follow principl polici govern meet need busi sector individu amend tariff annual budget bill maintain tradit urg hous adopt possibl interest context statement recount hous common case machin manufactur plant constitu tri way machin ltd compani countri capabl produc machin system combin transfer mechan within machin system computer permit product produc high level toler rais case tri way minist financ mr wilson minist nation revenu mackay past year fact tri way offici came ottawa point govern tremend ironi exist present tariff schedul ironi import certain machin go make transfer system machin import tariff rate import complet transfer system machin transfer mechan built april pay tariff per cent could recogn detriment situat product sophist high tech machin structur tariff incent given plant bring countri basic machin assembl transfer system base machin creat transfer system ground tri way done windsor employ peopl process product case put minist nation revenu put minist financ bill claim repres amend custom tariff respons request privat sector respons request would give countri greater capac produc sophist machineri ground expand employ build base export futur tri way export great bulk produc countri unit state govern seen fit ignor straightforward legitim request import compani within constitu tariff chang think shame govern would act way respect specif compani think inher chang propos bill perspect futur reflect high tech machin base compani constitu kind chang take place respect bill consid detail indic open reduc incent canadian produc produc high technolog machineri crucial mani sector economi futur take instanc chang machineri employ mine recov produc crude oil shale oil sand tar sand see take place see vast varieti machin countri capac produc incent produc strip variou tariff exist gener preferenti tariff favour nation tariff see reduct free entri whole set machin includ bridg convey system mechan shovel multi bucket excav coke cutter cannot understand logic tri paint pictur prime minist mr mulroney countri sophist nation capac produc kind import machineri export base fact resourc sector requir machineri cannot see logic take incent canadian produc produc machineri tariff structur custom tariff bulk bill aim make reduct skill non technolog intens product give advantag develop countri abl export countri would problem would make sort sens take top sophist product sophist potenti futur countri repres machineri given duti free statu repres lack respons compani tri way produc sophist machin system say govern believ futur resourc produc say futur extractor raw materi high tech produc abl compet rest world make sens industri polici perspect whatsoev anyon look industri futur term compet lower wage lower benefit develop countri world come obviou conclus move toward sophist product move toward product type item talk sophist technolog machin good direct take direct make competit capac export product skill input import futur govern head opposit direct grant member start say major bill taken element exist govern trade polici direct conclus draw govern trade polici see leader high technolog product futur see tie depend term unit state trade agreement wish sign see compani unabl respond trade threat bill c talk yesterday demonstr see countri devot import peopl machineri give peopl advantag benefit cut incent exist countri respect high technolog machineri futur polici ridicul imagin send track year time make much competit depend time could take step albeit small one bill opposit direct could take step would give capac sophist machineri product futur case tri way constitut case variou machin good note bill april custom tariff bill failur omit tri way case tremend benefit machin transfer system produc ground could give countri bill failur term term cut incent exist favour move direct higher technolog sophist product give place world futur take place time prosper throughout countri might sit concern look statist see except small geograph part countri unemploy rate high see unemploy rate atlant shame accept see unemploy rate west lack diversifi manufactur base western economist western produc concern see much ontario quebec commun face seriou problem futur see textil commun instanc textil commun quebec face uncertain futur must tri someth problem refer present futur job noth bill show govern understand problem true ontario commun windsor unemploy rate per cent offici rate mani peopl commun think unoffici rate higher great part northern ontario unemploy rate bad wors brantford unemploy rate level reflect tremend collaps import machin produc sector past farm equip sector small except certain geograph area countri seriou econom problem unemploy unemploy basic fundament reason look futur give high technolog potenti potenti machin sector sector skill employ possibl futur sector export base skill growth technolog sophist product produc countri futur exist bill take step futur gone tri way plant windsor seen sophist product capabl offici plant put fact product vulner fair base protect establish high cost canadian buy equip establish fair import equip import part assembl would urg govern look bill realiz embark wrong direct give countri sens high tech futur bill present;Steven W. Langdon;1988
3727054;essex windsor mr langdon privileg hous govern introduc bill gone remark introduc behalf govern see explan bill brief descript good govern propos reduc tariff essex windsor opportun look reason tariff reduct post notic includ tariff item would reduc tariff structur part structur bridg bridg section lock gate tower mast roof framework et cetera short product made steel understood abil competit insight propos put case notic larg compressor permit better access outsid countri know use oil mine industri wonder insight effect chang steel industri produc materi door belt impact compressor industri know industri import calgari west great user compress air oil mine industri;Victor Fredrich (Vic) Althouse;1988
3727055;parliamentari secretari deputi prime minist mr hawk frank say particular chang introduc said polici govern meet need busi sector individu amend tariff annual budget bill maintain tradit accur statement need busi put minist nation revenu minist financ met except select basi certain thing govern state would accept represent put effect exampl represent tri way get capac better machin better product transfer system countri govern state select particular suggest logic say busi commun respons follow respect bill govern choos particular group individu say group individu say intrigu tri answer fact burial shroud go allow countri duti free mr speaker associ next elect fact would tremend demand part conserv parti burial shroud respect point rais colleagu humboldt lake centr mr althous seriou problem rais hit countervail tariff unit state specialti steel item establish reduct tariff level mani case free entri specialti steel item come countri seem hurt industri competit high technolog base tremend skill input friend ask make sens answer think make sens think logic put logic stage present govern attempt defend unfortun bill;Steven W. Langdon;1988
3727056;mr speaker hasten congratul excel speech bill first sight great moment context import legisl consid implement free trade agreement indic inform way implic involv lower custom duti good come part free trade agreement cours elimin tariff period time intend gain canadian access american market think canadian done last littl american market valu canadian dollar compar american dollar differ advantag overcam tariff barrier impos american sure colleagu would will examin situat birla industri windsor context free trade agreement increas valu dollar would consid context canadian dollar achiev unpreced level cent pariti would implic situat canadian industri citi represent share colleagu parliament custom tariff;Howard Douglas McCurdy;1988
