basepk;speechtext;speakername;year
2201211;mr speaker yesterday p depart state unit state issu statement press ottawa washington like comment releas commun ambassador washington depart extern affair ottawa half hour hand press;John George Diefenbaker;1963
2201212;shame;Some hon. Members:;1963
2201213;find difficult understand extraordinari procedur want speak matter affect great neighbour friendli nation restraint respons term statement action depart state unit state unpreced weigh word say constitut unwarr intrus canadian affair mr speaker statement view depart state express consid measur ought take relat nato norad defenc matter decis read document issu bear strike resembl statement made last friday leader opposit mr pearson friday last express view canadian govern matter go enter argument regard question detail dealt except say govern see need modifi view express govern consid open public pressur way press releas appropri method exchang view equal sovereign nation alli recogn channel exchang point view sovereign countri alli point view differ must express great regret unit state depart state see fit follow usual cours commun view ask canadian ambassador washington return ottawa order give first hand view regard matter said want emphas canadian govern continu work strive understand cooper honour oblig push around accept extern domin interfer make decis determin remain firm alli mean satellit;John George Diefenbaker;1963
2201214;mr speaker;Lester Bowles Pearson;1963
2201215;go yanke;An hon. Member:;1963
2201216;mr speaker demean begin recogn insult observ made side chamber accustom expect gentleman let matter go intend overlook reach substanc say insinu made prime minist statement repeat prime minist hous last friday repeat outsid hous effect statement defenc work consult unit state govern unit state statement prime minist refer bear strike resembl word statement made last friday statement come prime minist countri mr speaker unworthi;Lester Bowles Pearson;1963
2201217;deni;John George Diefenbaker;1963
2201218;cheap fals insinu hope assert deal matter prime minist refer statement issu last even depart state washington receiv communiqu said statement made public surpris repeat unit state extern affair govern consid necessari issu statement speech prime minist public statement nation defenc minist nation defenc question canadian polici left discuss decis canadian;Lester Bowles Pearson;1963
2201219;say last night;Gordon Minto Churchill;1963
2201220;prime minist parti monopoli determin parti stand right matter anybodi suggest rule appli canadian govern observ said may import clear involv matter statement made govern unit state larg part statement made prime minist last friday clarif statement made minist nation defenc concern mr speaker joint arrang countri common defenc joint arrang enter govern real issu canadian fact truth truth defenc polici common effort matter canadian peopl repres parliament entitl learn fact know truth saturday monday minist nation defenc public statement clarif contradict certain prime minist statement;Lester Bowles Pearson;1963
2201221;;Douglas Scott Harkness;1963
2201222;say true;Albert DeBurgo McPhillips;1963
2201223;yesterday unit state govern contradict statement feel inappropri done parliament parliament duti find truth let get truth let find fact without delay;Lester Bowles Pearson;1963
2201224;go instruct;John George Diefenbaker;1963
2201225;mr speaker search fact search truth let rememb prime minist macmillan word british parliament yesterday said free nation friend alli must remain friend alli let rememb real threat secur come unit state communist imperi unnecessari disput among western alli weaken moment enough differ free world today without ad unit state mr speaker polit leader countri polit partisan purpos stir enlarg differ countri;Lester Bowles Pearson;1963
2201226;oh;Some hon. Members:;1963
2201227;condemn;Gordon Minto Churchill;1963
2201228;would put parti countri;Lester Bowles Pearson;1963
2201229;speak;John George Diefenbaker;1963
2201230;would put vain hope immedi polit advantag mutual interest peac prosper countri share;Lester Bowles Pearson;1963
2201231;mr speaker wit last hour unpreced action friendli govern unit state america countri way blatant interfer canadian affair state press action taken unit state govern sever taken peacetim toward would seem could friendli effect way express statement indecis goad unit state make told confer unit state concern polici govern concern defens nuclear armament confer tabl could mean express thought unit state govern normal diplomat channel sure express sentiment canadian peopl newfoundland vancouv island say resent action unit state taken much said way govern seen fit say agre unit state america closest friend best custom agre prime minist canadian push around prime minist said push around make decis decis ask member hous common ask canadian across countri member press ask like quot editori appear ottawa citizen last night;Robert Norman Thompson;1963
2201232;order gentleman get may remind debat comment upon statement made realiz difficulti would co oper member right speak;Marcel Joseph Aimé Lambert;1963
2201233;believ right make statement anyon make statement would say gener confus posit statement made prime minist defin way minist nation defenc think right know actual decis govern matter hand believ enough leader offici opposit stand tri justifi accus prime minist make accus ought sens respons matter make clear someth difficult think would forc unit state make statement defin polici mr speaker time debat connect problem believ would particular situat littl differ action taken mr speaker opinion ought move debat matter clarifi move;Robert Norman Thompson;1963
2201234;order;Some hon. Members:;1963
2201236;adjourn hous stand order purpos discuss matter defenc polici;Robert Norman Thompson;1963
2201237;order would draw attent gentleman fact provis stand order permit time move motion extern affair;Marcel Joseph Aimé Lambert;1963
2201238;mr speaker opinion member new democrat parti statement issu yesterday unit state state depart constitut unwarr unpreced interfer intern affair;Thomas Clement (Tommy) Douglas;1963
2201239;hear hear;Some hon. Members:;1963
