basepk;speechtext;speakername;year
2472129;wish tabl copi english french report auditor gener hous common fiscal year end hous awar financi administr act requir report auditor gener laid hous decemb parliament session within day commenc next ensu session auditor gener ask express apolog member hous delay result circumst auditor gener control;Mitchell William Sharp;1967
2472133;among present member hous common name appear c b c station radio televis receiv sum money case amount receiv conflict respect regul law member parliament must compli hous common action govern intend take matter;Mr. Gregoire;1967
2472134;inform canadian broadcast corpor follow statement hous prime minist gave hous inform suppli canadian broadcast corpor effect member present parliament accept payment c c member previou parliament may septemb c c inform check matter discov individu previou list member parliament individu name happen coincid certain member hous correct total member present hous accept fee c c member previou parliament suggest member parliament situat regard follow member royal york humber receiv chequ corpor endors worthi caus b chequ issu temiskam return corpor uncash within day deliveri c chequ sent member medicin hat danforth accord c b c record cash leav member accord corpor receiv cash chequ c b c minist mine energi resourc member greenwood villeneuv st john west brandon souri c b c polici disclos amount paid individu none case individu payment exceed case member parliament receiv payment appear total payment p exceed see statement prime minist record hansard page;Julia Verlyn (Judy) LaMarsh;1967
2472136;mani time sinc septemb follow person invit appear c b c french radio televis network februari question make broadcast polit natur lucien cardin mauric sauv leo alphons cadieux jean luc pepin jean marchand jean pierr cote theog ricard martial asselin mr august cho quett p mr real caouett p mr pierr bourgault leader r n mr gill gregoir p presid r n;Mr. Gregoire;1967
2472137;c b c inform guest appear person involv interview discuss varieti subject public interest number low appear radio televi mr cardin nil nilmr sauv cadieux nilmr pepin marchand cote ricard nilmr asselin nilmr choquett caouett nilmr bourgault gregoir;Julia Verlyn (Judy) LaMarsh;1967
2472139;feder govern contribut construct commun centr citi rimouski quebec known john f kennedi centr amount contribut expenditur includ estim fiscal year end march answer part neg year item appear estim;Mr. Nesbitt;1967
2472140;inform sever depart follow see answer;Julia Verlyn (Judy) LaMarsh;1967
2472142;centenni train stop town new glasgow nova scotia consider given centenni train stop new glasgow nova scotia locat counti pictou;Mr. MacEwan;1967
2472143;centenni train itinerari compris exhibit stop exhibit day provinc among mani factor consid agre centenni commiss provinci govern centenni author popul provinc physic facil stop access largest area popul confeder train stop town new glasgow heavi concentr confeder caravan stop area confeder caravan stop stellarton new glasgow pictou make total exhibit day area train stop could stop exhibit day nova scotia itinerari confeder train work centenni commiss provinci centenni author railway repres period year agre govern chang would practic possibl;Julia Verlyn (Judy) LaMarsh;1967
2472145;north victoria success candid civil servic competit h683 protect offic fisheri offic held name address candid enter competit;Mr. Muir (Cape Breton;1967
2472146;inform civil servic commiss follow competit h683 protect offic fisheri offic complet written examin held februari centr provinc nova scotia candid regard right privaci candid possibl releas inform could prove embarrass prejudici commiss hold confid inform concern candid name appear elig list;Julia Verlyn (Judy) LaMarsh;1967
2472148;plan rout centenni train consider given stop shelburn nova scotia view site princip loyalist settlement februari henc earli manifest cana dianism plan return trip centenni train halifax yarmouth nova scotia consider given via south shore railroad addit stop constitu queen lunenburg plan consider given correct mile gap train nova scotia itinerari;Mr. Bower;1967
2472149;centenni train itinerari compris exhibit stop exhibit day provinc among mani factor consid agre centenni commiss provinci govern centenni author popul provinc physic facil stop access largest area popul practic next stop centenni train kentvil see answer nova scotia itinerari confeder train work centenni commiss provinci centenni author railway repres period year agre govern chang would practic possibl;Julia Verlyn (Judy) LaMarsh;1967
2472151;answer total number public servant employe work citi depart manpow immigr offic among public servant employe mani canadian citizen percentag citi depart manpow immigr offic;Mr. Allard;1967
2472152;repli submit refer personnel post total public servant post citi list repli canadian citizen addit canadian employe engag staff employ citi list canadian citizen see tabl distribut canadian engag staff figur bracket indic number engag employe canadian citizen question citi canadian staff enj athen belfast brussel kong madrid delhi stockholm aviv hagu;John Carr Munro;1967
2472154;work undertaken represent commission pursuant section chapter statut extent progress represent commission b offici undertaken b plan futur visit ii countri review studi matter refer said section outlin local b purpos visit undertaken plan c result visit undertaken interim report contempl may anticip represent commission anticip report requir said section readi deadlin establish said section answer part may report anticip februari question;Mr. Bell (Carlefon);1967
2472155;inform represent commission follow method registr elector absente vote use provinci elect british columbia nation elect unit kingdom australia new zealand trinidad tobago unit state america review studi represent commission ii ye b ye ii ye b ii b ii visit made provinc british columbia unit kingdom trinidad tobago state pennsylvania district columbia unit state america review studi refer complet method registr elector method absente vote use countri review decis made time determin visit represent commission offici countri necessari complet studi b purpos visit consult local offici respons administr method registr elector absente vote person familiar method c visit result knowledg understand practic applic method represent commission requir subsect section represent commission act complet report year june anticip report complet deadlin unknown factor number elect may held year period decid amount time requir represent commission discharg duti respons section said act turn determin whether full year requir complet report;Julia Verlyn (Judy) LaMarsh;1967
2472157;mani canadian immigr offic maintain follow countri unit kingdom b franc c west germani itali e poland f u r citi immigr offic locat size staff;Mr. Schreyer;1967
2472158;see tabl countri citi canadian staff emplcunit kingdom belfast bordeaux _marseil pari germani berlin milan canadian immigr offic maintain poland u r accommod offic warsaw present sought februari;John Carr Munro;1967
2472160;share cost highway project activ nova scotia atlant develop board agreement case project mani mile highway construct b question work involv c contract award amount contract price e total feder commit;Mr. Chatwood;1967
2472161;inform atlant develop board follow;John Whitney Pickersgill;1967
2472165;share cost highway project activ nova scotia atlant develop board agreement case project mani mile highway construct b question work involv c contract award amount contract price e total feder commit;Mr. Chalwood;1967
2472166;inform atlant develop board follow atlant develop board second agreement nova scotia project mileag type work contractor contract bid price total feder commitmentlittl brook coxheath road grade levatt construct compani ltd gabaru road trunk grand lake grade levatt construct compani ltd pleasant valley road jame grade latim construct compani ltd mile river south trunk grade latim construct compani ltd hilden road structur latim construct compani ltd lake yankeetown road grade tidewat construct co ltd bridg king hant co line grade nova construct compani ltd railroad shubenacadi river structur tidewat construct co ltd mile river grade tidewat construct co ltd hant cc line falmouth grade nova construct co ltd pleasant valley road short lake road grade structur latim construct co ltd brooklyn road underpass structur standard pave maritim mile river bridg structur latim construct compani ltd near sheldrak lake mile river grade nova construct compani ltd common debat februari question februari;John Whitney Pickersgill;1967
2472168;govern give immedi favour consider confeder year direct issu member corp canadian firefight serv second war volunt servic medal;Mr. Diefenbaker;1967
2472169;regul govern elig canadian volunt servic medal state may award recognit voluntari servic member arm forc medal intend campaign war medal corp civilian canadian firefight servic unit kingdom compon arm forc member elig medal cours impli reflect splendid servic render firefight world war ii member corp suffici qualifi servic entitl defenc medal war medal;Roger-Joseph Teillet;1967
2472171;mani peopl visit;Mr. Honey;1967
2472172;data avail total number entri non immigr visitor figur includ trip commut visit less day durat longer term visit;Jean-Charles Cantin;1967
2472174;former governor bank mr coyn draw regular pension bank result servic offic long vacat governorship draw pension;Mr. Sherman;1967
2472175;indic novemb hansard page repli cape breton north victoria mr coyn receipt pension bank pension fund effect date retir inquiri ministri educ;Mitchell William Sharp;1967
2472178;mr speaker would prime minist whether attent drawn number organ receiv fund central intellig agenc unit state prime minist look matter ascertain whether canadian youth organ receiv fund c prime minist advis hous part transact whether public pamphlet bear titl escap freedom issu student union peac action benefit wish escap militari servic unit state assist award govern privi council offic govern knowledg whether money go use unusu purpos;John George Diefenbaker;1967
2472179;mr speaker right gentleman ask question first concern inform fund central intellig agenc unit state foreign intellig agenc made avail canadian institut learn mr speaker refer newspap letter receiv lunch canadian union student receiv grant organ call foundat youth student affair assist meet expenditur canadian union student seminar intern disput affair canadian union student state letter direct contact union c oper grant receiv organ consid reput privat organ know time connect c state grant influenc content seminar way shape form second concern govern seen letter februari inquiri ministri kind distribut privat organ cours must bear respons kind literatur publish literatur kind mention right friend bear neither reflect canadian govern polici matter said februari govern give financi support kind activ encourag way grant friend refer made time ago particular organ concern supa believ call relationship activ way;Lester Bowles Pearson;1967
2472180;supplementari like prime minist whether inform hous inform avail regard unit state student attend univers canadian campus whether student support organ;Eric Alfred Winkler;1967
2472181;mr speaker inform sourc support foreign student canadian univers unless student scholarship bursari canadian govern privat canadian institut inform sourc fund unit state student canadian univers;Lester Bowles Pearson;1967
2472182;supplementari mr speaker would prime minist natur work done student union peac action return grant privi council appear page subsect public account;John George Diefenbaker;1967
2472183;mr speaker shall get exact detail believ report organ commun activ case might help know kind thing done relat govern auspic;Lester Bowles Pearson;1967
2472184;mr speaker aris supplementari right gentleman letter canadian union student right prime minist refer may whether repli accept suggest canadian govern protest intrus unit state govern agenc canadian affair way front organ second right gentleman assur hous royal canadian mount polic engag similar activ;David Lewis;1967
2472185;mr speaker inform matter receiv present time would seem warrant protest unit state govern respect offer small amount money foundat natur clear appear front organ c want make inquiri get background award decid whether case offici protest unit state govern mr speaker canadian organ kind mention kind canadian organ offer financi assist organ foundat unit state canadian govern would glad request give inform natur organ foundat;Lester Bowles Pearson;1967
2472186;mr speaker solicitor gener supplementari ask york south view report unit state central intellig agenc make use intern affili f l c would solicitor gener indic whether knowledg author extend f l c union affili canadian labour congress polit arm new democrat parti;Ian Watson;1967
2472187;order;Lucien Lamoureux;1967
2472190;mr speaker secretari state minist give inform today c b c program tirez au clair regard februari put last thursday ask c b c allow minist without portfolio take part program;Raymond Langlois;1967
2472191;answer friend tell saw telegram sent presid c b c premier quebec believ explain situat inform;Julia Verlyn (Judy) LaMarsh;1967
2472192;supplementari direct secretari state ladi ask hous regard matter cours week would inform member hous reason given c b c know read newspap order get answer ask hous;Marcel Joseph Aimé Lambert;1967
2472193;copi french telegram sent unanim consent happi tabl;Julia Verlyn (Judy) LaMarsh;1967
2472194;agre;Lucien Lamoureux;1967
2472195;agre;Some hon. Members:;1967
2472198;mr speaker may direct right prime minist concern press report trinidad tobago made formal applic membership organ american state barbado plan appli view prime minist statement decemb prepar act unison caribbean nation make applic admiss may prime minist whether intend immedi futur appli admiss organ;Thomas Clement (Tommy) Douglas;1967
2472199;mr speaker think said would act unison friend look sourc inquiri ministri see though report said hope would possibl act unison commonwealth govern hemispher trinidad announc intent join applic accept barbado follow appli within next month look though hope realiz;Lester Bowles Pearson;1967
2472200;supplementari may prime minist view import appli membership effect would relat countri area world whether assur step taken canadian govern without give parliament opportun express view;Thomas Clement (Tommy) Douglas;1967
2472201;say normal constitut posit adher matter hope decis made govern parliament sit would opportun parliament debat decis becam effect;Lester Bowles Pearson;1967
2472203;direct prime minist note right gentleman leav antigua sure wish bon voyag like inquir whether visit meet leader caribbean island whether talk schedul concern develop canadian sugar polici;Howard Earl Johnston;1967
2472204;mr speaker would imposs talk govern west indi behalf canadian govern without talk sugar;Lester Bowles Pearson;1967
2472208;like address prime minist govern intend plan bring hous extens amend indian act minist indian affair northern februari inquiri ministri develop announc saturday last would put year;Douglas Scott Harkness;1967
2472209;practic mr speaker certain amount import legisl order paper state legisl immedi prioriti dispos hope proceed import legisl includ propos refer;Lester Bowles Pearson;1967
2472210;prime minist mean answer expect legisl introduc dealt propos summer recess;Douglas Scott Harkness;1967
2472211;depend progress make legisl estim;Lester Bowles Pearson;1967
2472212;could minist indian affair northern develop supplementari whether intend earliest possibl moment introduc amend indian act may becom public knowledg give indian peopl chanc express view propos implement;Frank Howard;1967
2472213;indian peopl express view meet nation advisori board expect complet submiss third meet take place;Arthur Laing;1967
2472217;address minist labour view recent report hous shortag would minist whether consid termin cross countri symposium plan order may concret action anticip;William Heward Grafftey;1967
2472218;mr speaker;John Robert (Jack) Nicholson;1967
2472219;bring matter ten clock;William Heward Grafftey;1967
2472220;oh;Some hon. Members:;1967
2472221;member laugh laugh matter;William Heward Grafftey;1967
2472225;mr speaker like direct minist manpow immigr canadian polish congress state polish peopl would anxiou visit expo account red tape fewer per cent number abl come intent minist take urgent step order cope situat;Roger E. Régimbal;1967
2472226;mr speaker shall inquir know figur concern peopl come anyth per cent figur rate inquir see issu visa progress poland;Jean Marchand;1967
2472227;mr speaker supplementari could minist justifi secur bond per individu requir could justifi advis requir precis moment;Roger E. Régimbal;1967
2472228;mr speaker inquir situat answer;Jean Marchand;1967
2472231;mr speaker wish address minist nation defenc prompt concern sever elderli ladi perturb happen defenc committe recent day minist give consider member futur meet defenc committe given battl helmet battl dress order avoid casualti;Herbert Wilfred Herridge;1967
2472236;mr speaker minist nation health welfar wonder whether minist abl provid hous explan mean capit cost allow section page document deal guarante incom supplement ask number question constitu abl ascertain meant;Robert Carman Coates;1967
2472237;order pleas sure recogn type ask time;Lucien Lamoureux;1967
2472238;point order mr speaker problem face put order paper encount great deal delay get answer ask daili;Robert Carman Coates;1967
2472239;order pleas afraid problem sure littl effort might abl secur answer circumst convinc respons minist matter urgenc suggest cannot ask;Lucien Lamoureux;1967
2472243;mr speaker intend minist energi mine resourc absenc direct prime minist would prime minist author negoti contract dominion coal u w sinc miner union without contract sinc august;Malcolm MacInnis;1967
2472244;mr speaker discuss matter minist inquiri ministri veteran affair;Lester Bowles Pearson;1967
2472248;mr speaker minist veteran affair given brief notic wonder whether would abl reassur veteran northern alberta recent close number ward colonel mewburn hospit impair avail servic veteran apolog ask way face problem cumberland know minist readi answer;Marcel Joseph Aimé Lambert;1967
2472249;would apolog suggest place order paper urgenc minist prepar repli allow;Lucien Lamoureux;1967
2472250;thank mr speaker appreci privileg import veteran area reassur point assur chang taken place hospit way affect servic veteran region way downgrad servic affect number veteran accommod;Roger-Joseph Teillet;1967
2472253;leed mr matheson tour would prime minist whether author given produc canadian tartan confeder year author given produc red white tartan offic studi insult scot;John George Diefenbaker;1967
2472254;leed canadian citizen produc tartan desir offici author part govern;Lester Bowles Pearson;1967
2472255;author februari inquiri ministri travel day issu bulletin author;John George Diefenbaker;1967
2472256;glad answer import decid neg;Lester Bowles Pearson;1967
2472257;mr speaker right prime minist view announc singapor saturday malaya morn leed make import call trip wonder prime minist inform point arriv import term refer point polit econom;Eric Alfred Winkler;1967
2472258;order pleas winnipeg north centr;Lucien Lamoureux;1967
2472259;mr speaker rise order member hous depend c b c inform perambul leed saturday announc c b c arriv singapor import point tour morn heard c b c arriv malaya import point tour wonder import visit ceas;John George Diefenbaker;1967
2472260;order pleas suggest member import point trip return hous;Lucien Lamoureux;1967
2472264;mr speaker minist transport wonder whether minist tell stage studi maritim transport problem;J. Michael Forrestall;1967
2472265;believ progress;John Whitney Pickersgill;1967
2472269;mr speaker direct mr diefenbak minist financ take statement made effect report carter commiss tabl end week;Stanley Howard Knowles;1967
2472270;mr speaker mr carter chairman commiss touch govern intend deliv report govern end week plan tabl hous friday even p;Mitchell William Sharp;1967
2472271;report tabl would govern consid postpon ask third read bill increas sale tax;Stanley Howard Knowles;1967
2472276;mr speaker secretari state extern affair absenc parliamentari secretari might answer could parliamentari secretari report action taken regard seizur past week end unit state author new york canadian citizen en rout air pari mexico citi;Robert Douglas George Stanbury;1967
2472277;thank york scarborough given notic inform mr sniderman arrest arraign feder offenc grand juri new york juli jump bail left countri last thursday rout pari mexico aircraft travel made schedul stop kennedi airport new york mr sniderman arrest arraign reason believ irregular procedur follow unit state author apprehend mr sniderman came within jurisdict offenc alleg commit within jurisdict canadian consul gener new york make inquiri matter februari view ensur mr sniderman receiv favour treatment unit state law enforc judici procedur would accord unit state citizen similar circumst;Donald Stovel Macdonald;1967
2472281;mr speaker like prime minist wonder whether prime minist say today whether reach decis undertook give activ consider littl time ago refer parliamentari committe sever matter concern anim welfar;Barry Mather;1967
2472282;mr speaker made inquiri matter inform feasibl studi respect set canadian council anim care refer earlier repli made complet final report expect within week think report receiv reserv decis whether submit committe;Lester Bowles Pearson;1967
2472286;mr speaker govern hous leader like whether inform hous progress made place bill amend crimin code regard hate propaganda like expect legisl refer special joint committe establish purpos;David Lewis;1967
2472287;mr speaker difficulti item order paper provis hous set part joint committe dealt hous would hope give effect prioriti consist demand respect item order paper item hous moment matter get possibl inquiri ministri busi hous;George James McIlraith;1967
2472291;mr speaker like prime minist whether give firm indic time session termin committe know arrang busi whether arrang made committe carri ensu session without deliber engag go wast;Gerald William Baldwin;1967
2472292;think hous leader variou parti could get look situat light progress made friend recal express hope week indic list propos hope would dealt end session thing equal might abl finish session march begin new session march think optimist view progress make;Lester Bowles Pearson;1967
2472293;supplementari mr speaker take prime minist said intent end session march abandon like whether intent announc adjourn week day easter firm;Douglas Scott Harkness;1967
2472294;think reserv decis discuss among variou parti hous leader beyond bound possibl might finish session march;Lester Bowles Pearson;1967
2472297;mr speaker minist public work concern sequenc hous busi could advis intend bring item referr committe annual report depart extern affair;Heath Nelson Macquarrie;1967
2472298;mr speaker imposs indic order hous busi way would glad bring matter thought would pass without debat februari inquiri ministri pilotag;George James McIlraith;1967
2472300;mr speaker like direct minist transport whether appris hous may present report royal commiss pilotag like view cannot accept explain slowpok happen appoint commission;Frank Howard;1967
2472301;feel answer form ask think rule hous must show proper respect judiciari royal commiss gentleman know appoint right gentleman leader opposit govern believ thorough conscienti job anxiou see work termin assur gentleman report receiv receiv immedi consider;John Whitney Pickersgill;1967
2472305;mr speaker may direct minist labour whether attent drawn fact worker laid mckinnon industri st catharin ontario receiv transit assist benefit femal certifi male certifi adjust assist board may minist action taken depart see peopl receiv tab payment entitl;Thomas Clement (Tommy) Douglas;1967
2472306;mr speaker hour came hous receiv telegram contain inform along line ask gentleman ask date report expect receiv clock afternoon guid action may take content report;John Robert (Jack) Nicholson;1967
2472307;supplementari minist receiv complaint effect union abl secur adjust assist board name certifi abl get interview board minist deal matter;Thomas Clement (Tommy) Douglas;1967
2472308;order pleas;Lucien Lamoureux;1967
2472309;mr speaker take notic supplementari;John Robert (Jack) Nicholson;1967
2472310;supplementari mr speaker minist look matter enjoin member adjust assist board give opportun local union offici meet board review situat accord telegram receiv unemploy direct result automobil agreement;John George Diefenbaker;1967
2472311;mr speaker govern wish intent give direct board head canadian outstand abil professor bladen see right gentleman request pass professor bladen;John Robert (Jack) Nicholson;1967
2472315;mr speaker wish direct northumberland miramichi capac chairman committe privileg elect relat one ask chateauguay huntingdon laprairi order may studi matter campaign fund contribut polit parti may intend call committe deal report elect expens committe;Frank Howard;1967
