basepk;speechtext;speakername;year
1461845;march last repli inquiri peterborough west mr fraser report page hansard indic would tabl certain document regard sale canadair limit tabl document think everyth friend ask;Clarence Decatur Howe;1947
1461849;yesterday cape breton south mr gilli state labour condit unemploy veteran world war ii cape breton men would prepar move employ found part transport provid point rais would help gave hous fact regard programm suggest progress sinc year made statement did1 yesterday nation employ servic depart initi programm month ago cape breton part nova scotia encourag movement unemploy person steadi employ outsid nova scotia unemploy person regist employ offic area particular emphasi cape breton interview week find whether prepar take employ offer advis transport would provid place employ unemploy worker regist invit wide public type work offer construct mine oper ontario understood pressur place upon applic invit go refus deni unemploy benefit payment reason refus interview undertaken cape breton number area interest capabl take employ limit programm extend part provinc total men interview nova scotia includ cape breton found will take employ qualifi work offer pass first medic examin pass x ray test necessari mine employ friend know hard rock mine medic examin sever fail complet medic examin medic examin dispatch employ central major men come sydney area present time order secur line unemploy person cape breton area unabl qualifi job hard rock mine will take work outsid nova scotia employ servic advis steadi posit ontario avail unemploy area refer addit order receiv prospect substanti number employ vacanc central cannot fill depart pay transport expens case cost medic examin would think circumst mani men friend refer may interview men regist will take job first requisit regist nearest employ offic think recogn practic difficulti disinclin part mani men natur leav present place resid hous cours problem regard movement consequ hous difficulti employ opportun avail moment singl men men will take job await remov famili accommod found new locat need add transfer men nova scotia overlook interest worker local labour demand refer exist employ opportun abl locat men vicin work;Humphrey Mitchell;1947
1461850;minist tell hous mani person interview nova scotia movement central singl mani marri depend;Angus MacInnis;1947
1461851;sure friend would expect carri mind breakdown like friend marri man like know martial statu individu meet spark street;Humphrey Mitchell;1947
1461852;martial;An hon. MEMBER:;1947
1461853;mean said martial statu;Humphrey Mitchell;1947
1461854;mr speaker may minist labour inform refer statement made start thing would like clarifi correct;Clarence Gillis;1947
1461855;question;An hon. MEMBER:;1947
1461856;understand;Clarence Gillis;1947
1461857;answer;Ian Alistair Mackenzie;1947
1461858;mani chipmunk;Clarence Gillis;1947
1461859;somebodi;An hon. MEMBER:;1947
1461860;lot time fellow hurri;Clarence Gillis;1947
1461861;;An hon. MEMBER:;1947
1461862;conduct busi countri;Clarence Gillis;1947
1461863;;An hon. MEMBER:;1947
1461864;policemen member oh oh;Clarence Gillis;1947
1461865;would member permit floor;James Horace King;1947
1461866;thank mr speaker sorri respect side correct understand statement minist made moment ago find solut problem start discuss last night respons local employ agenc conduct registr respons personnel affect men employ make applic regular way effect regul march year select servic regul provid machineri went commiss;Clarence Gillis;1947
1461867;order;James Horace King;1947
1461868;give minist inform;Clarence Gillis;1947
1461869;order put minist brief point make statement;James Horace King;1947
1461870;would like answer;Clarence Gillis;1947
1461871;;Ian Alistair Mackenzie;1947
1461872;ask minist select servic regul provid machineri describ go date march year;Clarence Gillis;1947
1461873;understand would say friend cover lot territori think finest employ servic countri god green earth;Humphrey Mitchell;1947
1461877;depart mine resourc experi respect obtain coal distil ga estim cost product per gallon coal mine nova scotia estim averag cost produc ton nova scotia coal estim number gallon gasolin could produc ton nova scotia coal action taken respect set pilot plant scientif centr research nova scotia studi produc coal distil ga use coal product;Mr. ISNOR:;1947
1461878;offic depart mine resourc conduct small scale laboratori investig direct hydrogen nova scotia coal product gasolin work done date altern modifi fischer tropsch process coal first gasifi ga synthes gasolin heavier oil experiment work small laboratori scale suffici data avail make reliabl estim commerci cost comprehens answer given report royal commiss coal chapter page mani variabl factor difficult give averag estim cost could use produc ton nova scotia coal estim gallop gasolin could produc per ton coal includ coal requir power hydrogen gener nova scotia govern establish nova scotia research foundat studi gener way problem research nova scotia undertaken specif investig product gasolin coal use coal product coal expert depart cooper foundat;Mr. GLEN:;1947
1461880;depart nation health take build parkdal avenu citi ottawa inquiri ministri firm individu build bought rent cost rent build total floor space build depart public work renov build firm individu alter done estim cost work fournier hull rent ontario hugh owen co ltd rental si per annum gross area squar feet net area squar feet intent depart public work build fit special plumb sink partit etc meet requir depart nation health welfar contract award estim cost cannot made definit requir known;Mr. FRASER:;1947
1461883;mr speaker like minist fisheri view fact american halibut schooner lunenburg anxiou ship canadian crew minist fisheri state whether canadian ship foreign vessel minist state prevent action whether step taken permit limit number canadian fishermen ship american vessel circumst;Robert Henry Winters;1947
1461884;matter brought attent yesterday queen lunenburg cape breton south mr gilli would allow stand notic make statement concern matter tomorrow;Hedley Francis Gregory Bridges;1947
1461887;mr speaker sure whether secretari state imr fraser minist justic mr igor gouzenko grant canadian citizenship procedur taken connect matter;Gordon Graydon;1947
1461888;mr speaker mr igor gouzenko issu certif canadian citizenship made british subject grant letter patent deniz issu prerog power sovereign practic governor council;James Lorimer Ilsley;1947
1461889;canadian govern confer british citizenship canadian citizenship idea grant british citizenship canadian citizenship;Major James William Coldwell;1947
1461890;british subject may appli canadian citizenship certain resid qualif compli set citizenship act;James Lorimer Ilsley;1947
1461891;offshor citizen;John Thomas Hackett;1947
1461892;applic made person canadian citizenship;Gordon Graydon;1947
1461893;sure whether applic made know whether resid qualif compli believ intent mr gouz enk appli canadian citizenship;James Lorimer Ilsley;1947
1461894;citizenship taken author grant;Robert Ross (Roy) Knight;1947
1461895;think refer canadian citizenship;James Lorimer Ilsley;1947
1461896;british citizenship;Robert Ross (Roy) Knight;1947
1461897;cannot answer know right issu letter patent deniz ancient procedur mr gouzenko made british subject;James Lorimer Ilsley;1947
1461900;mr speaker like minist agricultur dairi farmer countri anxiou know posit remov subsidi end month ceil price butter rais take place subsidi ten cent per pound butter fat paid inquiri ministri;Robert Earle Drope;1947
1461901;mr speaker believ ask easter recess member includ fraser valley mr cruickshank new westminst mr reid kamloop mr fulton prescott mr bertrand add noth said chang may made regard price dairi product would announc may think assur member time govern intent reduc return farmer would receiv may compar receiv may form payment take posit say present time;James Garfield Gardiner;1947
1461905;mr speaker like minist justic base promis made recess consult cabinet colleagu possibl place certain legisl order paper time old age pension legisl matter legisl readi;Stanley Howard Knowles;1947
1461906;ye readi;Paul Joseph James Martin;1947
1461907;place order paper w e shall debat progress right j l minist justic mr speaker old age pension bill must preced resolut would imposs circul bill resolut dealt conclus best cours pursu finish legisl hous resolut put order paper;Stanley Howard Knowles;1947
1461908;could resolut put order paper;Stanley Howard Knowles;1947
1461909;mr speaker may make supplementari repli legisl readi time know told privat;Paul Joseph James Martin;1947
1461910;matter told answer get floor hous count;Major James William Coldwell;1947
1461911;mr speaker must rise privileg minist nation health welfar made statement inform claim gave contend thing given state matter fact minist told matter would proceed session without fail time tell legisl prepar;Stanley Howard Knowles;1947
1461912;may error disclos told admit fact gentleman knew put today legisl readi;Paul Joseph James Martin;1947
1461913;correct;Stanley Howard Knowles;1947
1461914;hous countri know hous countri right know;Major James William Coldwell;1947
1461915;intent govern made known speech throne reveal hous prime minist mr mackenzi king occas minist justic mr ilsley public audienc countri;Paul Joseph James Martin;1947
1461916;meantim old age pension wait suffer noth delay;Stanley Howard Knowles;1947
1461917;like suggest minist health welfar futur privat inform would like get public give unoffici scorekeep publish ottawa citizen;Park Manross;1947
1461918;would thought gentleman knew london free press would suggest give good newspap;Paul Joseph James Martin;1947
1461922;like minist mine resourc may expect major announc new govern immigr polici hint recent cartier byelect campaign;Gordon Graydon;1947
1461923;mr speaker govern announc polici due cours emerg power;James Allison Glen;1947
1461927;like direct secretari state extern affair view gerat public interest unesco activ unit state nation phase organ minist inform hous stage canadian govern plan reach set canadian commiss recommend preparatori commiss l st laurent secretari state extern affair could time would appropri take moment;Robert Ross (Roy) Knight;1947
1461928;minist think matter interest mr st laurent object disclos everyth connect proper time think could short answer order day;Mr. COLD  WELL@;1947
1461929;minist take notic;Major James William Coldwell;1947
1461933;mr speaker last even time adjourn deal power grant execut order council refer made appendix emphas necess restor court determin right individu sinc last even occas look import judgment hand britain last year deal right individu execut author exercis legisl pass sinc end war aris therefrom mr glen matter came court crimin appeal england case leachinski v christi judgment report law report page court deal endeavour place hous last even necess restor individu right take action wrongdoer occupi administr posit lord justic scott sum right individu point littl judg state appel breach cloth ration regul affect right person liberti transgressor law reli law assert law supremaci man took proceed certain polic offici intend go detail judgment signific particular refer suggest made minist justic mr ilsley last night untrammel exercis absolut power administr offici respons execut ought remov order council continu law bill pass lord justic scott use word page subject sovereignti parliament constitut make law english liberti depend court justic keep clear distinct function execut justic vital english nation wont past speak autocraci form enemi person freedom true good work democraci true sens abus word depend upon rule law goe say arrest execut uncontrol court happen past time english histori need intervent court curb execut refer variou author connect goe lettr de chachet eighteenth centuri franc afford illustr gestapo germani recent year afford third fear repetit vast insidi progress evil encroach execut proper sphere judiciari paramount men mind say fear hate bureaucraci judgment british court made declar necessari time time liberti preserv individu must right recours court execut appoint execut emerg power bill consist skeleton attach schedul schedul parliament ask second read bill approv principl order council annex descript order council reveal hodg podg delet expurg substitut c c f parti support type control frank say go along road interf right individu;John George Diefenbaker;1947
1461934;true;George Hugh Castleden;1947
1461935;say view impress would get;John George Diefenbaker;1947
1461936;go direct democraci;Stanley Howard Knowles;1947
1461937;democraci;William Earl Rowe;1947
1461938;control peopl thing affect interest;Stanley Howard Knowles;1947
1461939;definit object interrupt help cannot democraci control deni right individu recours court high court justic britain defend individu thing winnipeg north centr mr knowl say mind democraci sir democraci consist right individu freedom extend right quebec south mr power said number occas go foot throne appear king judg judg accord law accord administr capric ask bill year war honest merchant busi men saddl continu power make men guilti unless prove innoc ask give offici power interrog individu without common law right protect ask give board power exclus uncontrol untrammel say certain regul shall appli mass canadian peopl shall exempt applic man busi subject examin deni right found innoc take proceed wrong minist justic repli say whether remov power right exist outsid period war 83166 exist exist polic state someth want countri person liabl offenc regul order sir approv order council approv grant power board offici person incarcer infract regul order make liabl failur carri known requir direct administr offici happen convict offenc regul order offenc requir liabl penalti imprison exceed year ask blanket bill approv principl order council wherebi court shall circumv wherebi individu shall deni time honour right wherebi investig shall continu exercis overwhelm power investig interrog inquisit sir minist justic give consider remov unjustifi immun bureaucrat staff liabil action wrong thing stuff upon socialist govern must depend carri polici coercion situat today saskatchewan portion order council remov continu absolut permit undei order council speak day toronto right friend said time come restor freedom peopl govern tri thing govern concern fact freedom peopl interf minist fact parliament cannot regard liberti peopl regard liberti continu grant unnecessari extraordinari power govern offici exercis without regard consequ individu matter fact commit crime cannot convict power order council parliament ask make law cancel licenc individu stand right refus coerc whether power use remain emerg power law exercis power subtl intimid busi man dominion sir section grant extraordinari power remov matter noth continu control strike principl order council parliament ask give blanket support see situat vote bill whole parliament ask approv principl oppos think member side hous oppos right govern order council amend statut order council pass amend statut parliament ask approv extraordinari procedur follow war wherebi parliament pass law governor council order council amend suspend abrog interest today hear step taken connect mr gouzenko magnific step take instanc rais object govern use extraordinari ancient remedi give recognit servic render sir extraordinari vest recal crown prerog right exercis crown beyond parliament case without advic advis theoret background ancient oper procedur exercis case mr gouzenko ask mani member realiz bill parliament ask approv power wartim price trade board grant sugar corpor larger power corpor charter grant depart secretari state word corpor set statut govern set wartim price trade board grant power give corpor set statut greater power provid charter extraordinari thing ask approv refer may found page summari order council compris appendix bill hand extraordinari power delet minist say use freedom restor countri minist said govern intend restor start remov power harass busi men end countri hold brief man done wrong hold brief man endeavour uphold law harass coerc oper last year ask approv fifti order council good bad purpos bill govern ask hous accept holu vote bill uphold thing wrong vote bill conscienc demand order thing shall continu vote misrepres held vote certain order council would prepar support given opportun separ bill cannot approv perpetu principl order council character polic state realiz said strong word polic state foundat laid first deni individu right recours court use word lord justic scott great britain cannot approv order council continu give governor council right amend statut pass parliament cannot approv bodi wartim price trade board grant extraordinari power deleg corpor set underdominion charter greater right charter provid freedom indivis freedom cannot diminish remain freedom execut appoint administr offic say wrong right shall stand behind court protect wrong shall deal element bill matter committe today dealt thing amount appeal minist justic custodian king conscienc justic remov unfair restor canadian peopl right individu right citizen rich poor recours court assur peopl full mean citizenship grant today mr gouzenko emerg power indic statement made regard right respons prize;John George Diefenbaker;1947
1461940;permit take seat favour disapprov principl price control;Stanley Howard Knowles;1947
1461941;favour anyth good dominion provid right individu protect;John George Diefenbaker;1947
1461942;ye right l st laurent secretari state extern affair think necessari answer mani statement lake centr mr diefenbak tyranni bureaucrat destruct sacr right individu disregard liberti peopl tear pillar constitut lofti phrase heard mani thunder accent previou occas deal kind legisl necessari coordin effort peopl countri toward result happi see achiev year ago forget spite impress phrase make upon talk countri countri live last year countri coordin effort put period kind tyranni countri talk talk peopl live know go seen result enact oper measur admit distast liber mind man resort circumst make necessari safeti secur preserv institut measur critic felt proper subject critic kind thing accustom kind thing toward move pace mani friend hous feel rapid critic concern histor accuraci immedi polit advantag admit professor lower recent interest book entitl coloni nation measur interf freedom peopl page amus way professor express judgment upon kindliest thing historian say king war administr sever critic machineri exist coordin joint effort peopl consist men dot satur liber principl take advantag arbitrari power assum despit defenc regul despit neglect parliament remain free countri press remain free citizen retain freedom speech repres institut;Stanley Howard Knowles;1947
1461943;georg drew mr st laurent men charg govern within breast talk georg drew said men charg govern within breast spirit despot although erect machin war qualiti fine mechan power despot state could bring har way despot bill hous principl discuss bill provid period twelv month administr time leader opposit mr bracken suggest last gener elect unwind progress way coil tighten purpos coordin war effort bill enact new legisl refer bodi wartim regul bodi regul want get rid without bring chaotic condit period twelv month portion may necessari avoid chao retain use manner describ professor lower without impair freedom individu without destruct liberti peopl hear gentlemen say principl ask approv second read text effect languag order believ mean emerg power look bill preambl state wherea provis made expiri nation emerg transit power act wherea necessari reason exist nation emerg certain order regul governor council made war measur act nation emerg transit power act continu forc notwithstand expiri nation emerg transit power act order ensur orderli transit war peac whole principl bill everyth matter detail consid committe line word comma object rais principl hous ask pass upon time certain order council certain regul necessari war consid necessari provid orderli transit war peac continu limit period member say approv second read bill approv everyth order council sure mean order council consid committe anyth say sure ground trust next day hous prove confid regard mistaken member ask present time allow bill go committe parliament determin mani order regul continu period noth noth vote surpris hear leader opposit mr bracken say go vote bill go discuss committe vote leader opposit gave understood lie would vote vote go prevent go committe convinc spite vote go committe;Harry Rutherford Jackman;1947
1461944;say mr st laurent find statement hansard leav fair mind reader hansard say conclus drawn statement member say vote divis call suppos divis hope trust bill get committe let say say say noth bill continu let go countri say view parti noth bill continu everyth drop let go countri take attitud;William Earl Rowe;1947
1461945;whistl past cemeteri;Gordon Graydon;1947
1461946;split bill mr st laurent split bill let colleagu determin govern go busi countri go transact reason countri confid sidt respons determin measur allow fall waysid shall chaotic condit would aris fall go discharg respons previou occas hous measur extens power grant war measur act enumer order council want continu time say someth sit sinc januari much accomplish fifti bill could organ kind thing newspap call filibust would discharg respons canadian public intend discharg brought bill parliament parliament may take respons determin measur consid member wish take stand vote none consid let take stand;An hon. MEMBER:;1947
1461947;must say much enjoy speech lake centr mr diefenbak right secretari state extern affair mr st laurent though disagre extent bill parliament month know member get littl sick go detain hous minut chief purpos bill permit govern retain year certain control deem necessari emerg power group believ govern need power go support bill time concern fact hous debat bill control drop april last govern decontrol statement remov third remain price ceil vancouv east mr maclnni put begin wonder whether bill pass control left event whether believ govern last week yield pressur know whether pressur friend right whether pressur within liber parti whether pressur industri interest think govern yield pressur take certain vital control result cost live gone believ concern fact coast peopl agre throughout war govern credit job price control continu present decontrol polici may month undo good work mani year today govern member advoc pleas call orderli decontrol actual fact whether minist admit orderli decontrol today peopl given haphazard hasti remov essenti control latest announc week rental price decontrol think sound death knell hope might control inflat near futur ceil taken mani articl short suppli refer wash machin refriger stove articl made iron steel govern must realiz mani articl short suppli remov ceil mani manufactur take advantag demand take advantag short suppli rais price canadian concern sharp increas cost live seem year find dollar farmer worker worth littl less unit steel worker america set special consum committe duti month make certain purchas essenti foodstuff done sinc today find price essenti foodstuff gone sixti per cent accord statement made long everyon know price milk went price sugar coffe tea can good everyth housewif buy price fast reach point averag canadian find cannot pay step taken govern believ affect cost live refer revok order council war measur act custom tariff understand action result twenti actual tariff increas result imposit excis tax certain import unit state reimposit dump duti suspend war year see result tariff increas increas cost good concern told june govern intend reimpos tariff british good think mani articl affect tariff increas mean cost good go govern carri state intent time least face crisi tri stop inflat govern impos tariff increas unfair result govern decontrol effect farmer countri farmer see price produc part kept rigid wheat frozen f b fort william world market price beef live stock price frozen forti fifti per cent unit state level time farmer see price everyth buy go seem govern tell farmer thing keep price rigid fight inflat tell manufactur someth differ labour find difficult posit price rise wage remain less fix mani labour union across countri pass resolut protest situat written member parlist ment paid newspap advertis protest increas cost live let govern make mistak labour becom angri continu emerg power increas price rise stop countri like face labour unrest strike within month wage increas given across countri lead price increas turn give impetu spiral inflat face today contin discov first world war happen take place govern halt headlong scrap control believ face inflat unrest depress parti support bill support believ inadequ support feel skeleton bill believ govern reimpos price control articl affect cost live believ govern tri roll price sky rocket degre;Wilbert Ross Thatcher;1947
1461948;mr speaker debat caus consider display histrion develop ideolog discuss valu state plan economi compar free economi believ comparison taken place rest world maintain control abandon would interest point side whole matter control first side abandon control allow price rise includ price price raw materi wage paid industri worker great deal discuss great deal talk yesterday hous member socialist parti regard plan economi evil free enterpris proclaim entir exclus discuss let accept fact ted state control done price risen moment shall discuss matter consum resist point inventori satur like deal briefli basic wage industri worker connect would place record certain figur publish bureau labour statist washington figur set basic wage rate throughout great portion world wage rate given hour week unit state dollar offici rate exchang figur follow rate wage per hour countri week unit state britain hour week oo figur russia approxim shall go statement made respect russian scale wage believ accur author quot state basic russian wage rate lower weight index wage czechoslovakia let see lead contin unit state first abandon control see wage paid industri worker countri higher countri world see gone along line abandon control come next see greater control economi less industri wage suggest figur speak want high level industri wage fact speak minimum control condit worker industri may bargain high wage rate wage control govern find decreas wage wage rate decreas direct ratio amount control impos govern offici figur like say word abandon control unit state true price risen someth happen consum good capit good product increas today warehous countri becom fill today resist increas price brought oper basic law suppli demand expect estim bureaux washington recess price extent sixteen per cent expect differ line differ expect sinc shorter suppli other unit state allow law suppli demand oper expect price increas emerg power happen product went work product unit state great present time product automobil steel coal exce greatest product previou year histori countri suggest tremend increas product safest greatest safeguard rise price structur fact safeguard worth anyth govern regul broken would reason legal enforc servic law suppli demand cannot broken inevit like law graviti despit fact price increas unit state see countri abund good wherea suffer consider acut shortag mani line essenti product abund good see law suppli demand begun take effect peopl unit state get suppli abund suppli expect fact occur recess price mani articl spoke today show plan economi throughout world done thing creat scarciti creat low real cash wage must take way america island world individu freedom freedom group bargain remain sacrosanct urg accept econom way life suggest indisput fact show contin freedom goe better way abandon freedom individu privat enterpris would retrogress step countri could take;Agar Rodney Adamson;1947
1461949;mr speaker intend take part debat thing happen feel say someth receiv mani letter constitu selkirk connect take control assur govern support bill although think goe enough believ control kept much longer go bad effect countri larg cost live index risen januari april increas per cent period index agricultur price rose increas per cent word cost live risen increas farm price last fifteen month get edg anyth els rise price oatmeal;William Scottie Bryce;1947
1461950;haggi;John Ritchie MacNicol;1947
1461951;price shall get substitut haggi need look across opposit bench see oatmeal muscl brawn member opposit produc use oatmeal earli year would remind hous oatmeal best balanc food world;William Scottie Bryce;1947
1461952;scotsmen think;Solon Earl Low;1947
