basepk;speechtext;speakername;year
1078570;explain;Some hon. MEMBERS:;1936
1078571;explanatori remark brief point leav child doorstep govern;Jean-François Pouliot;1936
1078572;intent prevent discuss matter discuss mani way must submit mr speaker gentleman order propos bill kind bill deal govern offici salari expenditur money known rule hous bill introduc govern receiv approv governor gener point make bill order privat introduc fact adopt would mean transfer author appropri money spent salari translat vote estim secretari state depart includ appropri bill bill carri would mean esti mate would transfer depart sever depart reason submit money bill cannot prop introduc privat may say speak point full opportun given gentleman hous discuss matter form;Louis Édouard Fernand Rinfret;1936
1078573;speak point order gentleman taken seat said money bill understood stand order hous money bill bill contempl increas expenditur bill propos cent expenditur salari paid translat chang bill control differ main point fight parliamentari control offic hous seem absurd instanc mistak translat public paper issu hous go minist crown mr speaker error correct wrong redress hand speak point order submit distinct made bill involv increas expenditur money bill deal control civil servant humbl view secretari state mr rinfret wrong said money bill fact noth kind contempl bill everyth left governor genera council oppos principl form legisl bill draft way order thing complain greater control translat better follow gener parliamentari rule forc democrat parliament world therefor submit gentleman spoken although regret say wrong money bill consid merit said benefit colleagu hous benefit govern govern interest better control translat work done surpris see gentleman side hous laugh matter brought shown great ignor parliamentari principl sinc sit;Jean-François Pouliot;1936
1078574;order cririiin code fine;Richard Bedford Bennett;1936
1078575;think order;Walter Edward Foster;1936
1078576;withdraw;Some hon. MEMBERS:;1936
1078577;member would like speak point order;Walter Edward Foster;1936
1078578;imagin favour bill like support content seek introduc seem hous right bill place member idea term bill cannot judg whether money bill fact know whether speaker given bill whether posit say bill involv money seem come matter polici principl ought accept hous judg whether bill introduc;James Shaver Woodsworth;1936
1078579;wish speak point order reserv decis day motion stand;Walter Edward Foster;1936
1078584;equal payment wheat deliveri made date arrang payment complet;Mr. COLD WELL:;1936
1078585;regard equal payment wheat refer made may say sinc prime minist mr mackenzi king made announc regard matter repli necessari probabl date payment made imposs give definit date sinc payment cannot made legisl pass think may assur friend payment made author given parliament would therefor suggest drop drop;William Daum Euler;1936
1078587;object bill provid magistr judg crimin code impos fine person may give accus time pay opportun pay instal inquir abil accus pay owe year depress mani peopl relief work part time cannot pay fine go gaol mani first offend famili return soldier way impos imprison debt first section bill new matter section;Thomas Langton Church;1936
1078589;scheme approv natur product market act natur product market amend act titl b date public gazett c date adopt amend mani convict impos instanc local board violat order total amount fine collect restrict import export natur product adopt governor council date publish gazett investig made part said act mr bennett question mr gardin scheme approv natur product market act natur product market amend act british columbia tree fruit market scheme supplementari provinci scheme juli fruit export market scheme british columbia red cedar shingl export scheme british columbia dri salt her dri salt salmon market scheme flue cure tobacco market scheme milk market scheme lower mainland british columbia eastern potato market scheme western ontario bean market scheme british columbia interior veget market scheme b c coast veget market scheme jam market scheme british columbia halibut market scheme british columbia small fruit rhubarb market scheme b c hothous tomato cucumb market scheme ontario chees patron market scheme process berri market scheme dairi product market equal scheme british columbia sheep breeder market scheme nova scotia appl market scheme grand manan smoke her product scheme burley tobacco market scheme butter export stabil scheme date gazet date amend june decemb septemb octob octob septemb octob august januari januari april juli decemb januari octob march march april june august june june june june juli august august august septemb septemb si regul prohibit export hay straw without licenc export hay straw excess quantiti permit licenc publish gazett extra nil;Mr. FERLAND:;1936
1078591;counti market garden develop approxim valu market garden product;Mr. LACOMBE:;1936
1078592;counti greatest valu market garden product follow ontario york simco essex middlesex hast grey waterloo huron quebec lac st jean beauc temi couata bonaventur champlain new brunswick westmorland princ edward island queen manitoba censu divis no saskatchewan censu divis no alberta censu divis british columbia censu divis no nova scotia lunenburg valu market garden product;Mr. EULER:;1936
1078594;canadian tariff south african spini lobster call known crayfish question quantiti valu import spini lobster quantiti valu import date;Mr. KINLEY:;1936
1078595;import direct union south africa countri enjoy benefit british preferenti tariff sea lake river port per cent discount ten per cent statist classif item provid particular class fish examin entri import british south africa record gener item fish prepar preserv n p fish includ show follow import can crayfish enter consumpt pound valu calendar year jan feb;Mr. ILSLEY:;1936
1078597;mani cent dollar spent relief use overhead;Robert Fair;1936
1078598;place order paper hous would chang term word ask inform avail depart labour inform deal proport cent dollar spent direct relief would suggest might frame way mani cent dollar spent dominion govern direct relief use overhead;Norman McLeod Rogers;1936
1078599;accept;Robert Fair;1936
1078601;mani qualifi veterinari surgeon employ depart agricultur provinc name appoint mani qualifi veterinari surgeon rate temporari employe appoint propos bring employ veterinari surgeon civil servic commiss;Mr. MUTCH:;1936
1078605;civil servic commiss request hold competit connect replac mr g c anderson ns superintend mail contract competit held open time limit file applic form;Mr. BOULANGER:;1936
1078607;public work consist build harbour river work provid main supplementari estim fiscal year end march supplementari public work construct act undertaken abandon reason case failur commenc said work discontinu;Mr. STEWART:;1936
1078609;mani ton coal produc purchas depart public work use public build year mani ton coal produc unit state purchas use public build said year mani ton coal produc great britain purchas purpos dot said year much fuel oil purchas use public build year mention much coal classif purchas depart public servic said year;Mr. STEWART:;1936
1078612;desir minist pension nation health mr power refer order council p tabl last friday intent minist bring order council review hous select committe hous becom oper inasmuch appear benefit award former member forc restrict;Charles Grant MacNeil;1936
1078613;gentleman kind enough give notic whether intent submit order council committe hous difficult repli moment committe set may say intent govern set committe pension soldier problem whether order council would inop time committe time propos legisl regret retir allow dougla say believ custom usag govern submit administr order council committe hous shown hous committe injustic done return soldier class return soldier difficulti amend order council bring line requir person care depart;Charles Gavan Power;1936
1078617;mr speaker wish prolong debat resolut would like hear view minist financ mr dun resolut believ wait second next resolut order paper consid great import hous adjourn last night point object rais propos unsound point argument broadview mr church endeavour wave entir resolut label state social besid point leader last year radio broadcast made proposit principl similar made statement notic right leader opposit mr bennett shake head great deal admir respect right gentleman shake head stop ponder look second radio broadcast page found word time worker life must forgotten time old age abl work citizen secur normal essenti function state see peopl contribut product state given best support industri machin spent vigor manhood labour want work day next sentenc prime minist time point wherein differ resolut say system insur social econom principl unemploy insur involv recognit thrift part provid old age present old age pension act unscientif obsolet must give way someth serv better read wish tie right leader opposit mr bennett resolut want point broadview detail principl besid point tri wave import matter label whole thing state social melfort mr mclean tri wave propos attack underli philosophi motion say age scarciti age abund understood sir antediluvian believ age scarciti expect find hous common prepar go lengthi discuss matter irrelev day age necessari point group individu fact line industri power produc progress last ten year melfort base assumpt statement made known swedish economist effect product consumpt run rememb refer effect consumpt know effect consumpt possibl instal buy mortgag futur difficult distribut suffici purchas power consum larg quantiti produc remark fact sinc gone long way recent radio speech presid unit state point could return industri peak would unit state men would find employ place taken machin retir allow dougla word progress abl produc much produc without servic men employ time;Thomas Clement (Tommy) Douglas;1936
1078618;;Malcolm McLean;1936
1078619;unit state principl appli world day men unemploy abl feed peopl world keep standard live adequ proof fact produc produc gener ago melfort attack resolut ground whole difficulti day fact provid wept listen statement like think provid ought weep may point provid wept ontario provid wept british isl franc germani itali japan provid wept place spite fact econom crisi entir problem face due fact crop age scarciti mr speaker day shortag wheat govern wrestl surplu bushel crop normal last year surplu would bushel think attack upon underli philosophi attempt throw smoke screen connect matter think argument advanc north huron mr deachman ought think bring problem find money someth interest minist financ mr dun ought interest hous remark thing whenev bring legisl involv welfar happi peopl someon want know money come countri find money great mani thing dominion government servic government machineri heavi promin unit state social scientist said chicago univers time ago enough govern machineri run unit state put addit innumer commiss great mani would seem public least design provid job peopl suppos deserv reward cost peopl million dollar year provid comfort pasturag polit war hors enter upon reward judici system becom heavi complex overlap expens one ask money come pay million upon million dollar interest bond much money invest money interest collect day money dear purchas power money greater keep pay interest charg one ask money come day vote estim look health cattl one ask money come come talk look old peopl someon want know get money want suggest estim way money could secur purpos look past record find peopl receiv old age pension cost countri number increas person cost countri submit mr speaker paltri sum compar servic render compar huge sum money spend servic valuabl peopl submit might find money curtail certain expenditur certain appoint certain commiss reshap whole government polici order cut duplic refund reconvert loan lower interest rate collect incom tax govern bond believ way suffici money could rais meet cost undertak might possibl minist financ would prepar go institut bank nation credit fund would prepar issu credit secur dominion possibl govern issu credit govern bond deposit financi institut possibl govern issu credit secur peopl cours cri im retir allow dougla inflat need remind member orthodox economist admit quantiti theori money show inflat take place money issu excess good produc last year deflat rapid deflat withdraw currenc credit coincid increas good produc result relationship money good balanc would possibl day set larg nation credit account without way upset proper relationship currenc credit good produc therefor hous give resolut urgent attent support wish place govern spot wish stick detail know across day thousand men replac younger men salesmen instanc year receiv fair incom place taken young univers graduat month ago stood foundri winnipeg among men work great electr furnac temperatur degre fahrenheit men serv day gener sixti year age worn heard man thirti year servic told requir work steadi season winter men laid least part time abl lay larg amount money case man result meant resort public chariti wife member give resolut sober thought consider keep mind men women owe debt let best see need meet problem;Thomas Clement (Tommy) Douglas;1936
