basepk;speechtext;speakername;year
3018042;mr speaker pursuant provis stand order unanim consent hous move motion matter urgent press necess consid last weekend provinc quebec premier quebec great honour receiv distinguish guest right prime minist consid remark made prime minist premier quebec hand goal govern quebec hand sinc opinion sever observ thousand quebec remark qualifi offens arrog insult toward premier toward whole peopl quebec move second hochelaga mr lavoi hous deplor posit part prime minist time invit make statement member hous may better understand behaviour;Roch La Salle;1976
3018043;order hous heard motion pursuant stand order motion requir unanim consent hous unanim consent;James Alexander Jerome;1976
3018044;agre;Some hon. Members:;1976
3018045;;Some hon. Members:;1976
3018046;unanim consent motion therefor cannot put;James Alexander Jerome;1976
3018048;mr speaker pursuant provis stand order request unanim consent hous move motion concern urgent matter requir immedi consider sinc action propos minist justic public order secur program aim control firearm dissuad crimin sinc canadian want protect crimin killer firearm danger handl crimin move second roberv mr gauthier hous hire someon explain minist justic crimin firearm commit crime order prevent minist jail rifl let killer roam free seem logic outcom polici;Armand Caouette;1976
3018049;order pleas hous heard term motion pursuant provis stand order motion requir unanim consent hous unanim consent;James Alexander Jerome;1976
3018054;mr speaker pursuant provis stand order request unanim consent hous move motion concern matter urgent press necess move second humber st georg st barb mr marshal hous regret condemn crusad undertaken green peac corp illeg mean seek depriv fishermen eastern atlant region magdalen island quebec part incom deriv time year seal hunt govern enforc due strict regul enact promulg concern kind hunt;Albert Béchard;1976
3018055;order pleas hous heard motion pursuant provis stand order motion requir unanim consent hous unanim consent;James Alexander Jerome;1976
3018056;ye;Some hon. Members:;1976
3018057;sinc hous give unanim consent shall put motion second humber st georg st barb mr bonaventur ile de bechard move feder provinci relat hous regret condemn crusad undertaken green peac corp illeg mean seek depriv fishermen eastern atlant region magdalen island quebec part incom deriv time year seal hunt govern enforc due strict regul enact promulg concern kind hunt pleasur hous adopt said motion;James Alexander Jerome;1976
3018058;agre motion agre;Some hon. Members:;1976
3018059;mr speaker rise point order indic given honour motion agre correct;Stuart Malcolm Leggatt;1976
3018060;order unanim consent pursuant stand order refer present motion ask whether unanim consent motion present pursuant stand order impress disagr therefor present motion commot surround motion overlook identifi heard withhold unanim consent stand correct motion ought put;James Alexander Jerome;1976
3018061;motion ought put speaker;Stuart Malcolm Leggatt;1976
3018062;make clear unanim consent hous forthcom therefor motion ought put;James Alexander Jerome;1976
3018064;mr speaker pursuant provis stand order like present motion feder govern exist owe express provinc want keep ident integr contempt demagogueri express prime minist weekend toward mr robert bourassa direct attack quebec premier indirect provinci premier move second villeneuv mr caouett hous request prime minist make public apolog order prevent regrett incid untoward consequ;René Matte;1976
3018065;pursuant stand order motion cannot put without unanim consent hous unanim consent;James Alexander Jerome;1976
3018068;unanim consent motion cannot put;James Alexander Jerome;1976
3018071;mr speaker want direct minist public work must realiz answer hous last wednesday report page hansard put difficult posit hous senior govern yesterday minist consum corpor affair refus answer question convers minist public work would minist public work tell hous basi minist consum corpor affair ask approach mr justic hugessen;Charles Joseph Clark;1976
3018072;mr speaker support follow footstep colleagu minist consum corpor affair surpris gentleman accept convers member privi council privileg;Charles Mills (Bud) Drury;1976
3018074;supplementari mr speaker would suggest minist get excus minist public work claim privileg yesterday minist consum corpor affair claim reason answer matter court suggest spuriou reason may prime minist whether accept dodg mean keep hous common inform hous common know potenti involv intervent minist crown decis member judiciari respect matter court prime minist accept reason given refus answer question minist public work minist consum corpor affair;Charles Joseph Clark;1976
3018075;mr speaker answer great detail last week answer mani mani question could rehears answer leader opposit want hear heard minist mention justic mackay letter consult h march sinc saw fit mention guilti form contempt;Pierre Elliott Trudeau;1976
3018076;consult go;Robert Gordon Lee Fairweather;1976
3018077;listen version feel explan indic attempt influenc way judgment court said court feel otherwis pass inform minist justic request minist justic chief justic superior court quebec hear court feel aggriev take word minist;Pierre Elliott Trudeau;1976
3018079;mr speaker prime minist continu refus make avail parliament inform basi parliament come conclus proprieti minist action without moment accept evas hous regard convers understand limit scope inquiri chief justic deschen legal aspect case may prime minist specif question public report made chief justic deschen govern agre full public report;Charles Joseph Clark;1976
3018080;order pleas due respect must remind leader opposit ask third supplementari seri question put would seem presum privileg hous wonder leader opposit might put;James Alexander Jerome;1976
3018081;thank mr speaker prime minist tell hous govern agre full public report made justic deschen govern seek agreement mr justic deschen releas report full receiv govern;Charles Joseph Clark;1976
3018082;mr speaker would agre minist justic made clear procedur would write chief justic superior court chief justic commun minist justic inform might possess case disturb opposit;Pierre Elliott Trudeau;1976
3018083;purpl robe;Robert Muir;1976
3018084;chief justic feel someth commun minist justic would made clear hous day object contrari want make public decid tell chief justic act;Pierre Elliott Trudeau;1976
3018085;request oral question;Charles Joseph Clark;1976
