basepk;speechtext;speakername;year
4044260;chair must rule bill act amend elect act referendum act motion may submit hous recommend governor gener stand order requir notic recommend given latest sit day preced report stage motion group debat follow groupno motion group motion group motion group motion group motion group motion vote pattern motion within group avail tabl chair remind hous pattern time vote;The Deputy Speaker;1996
4044261;move motion bill c claus amend replac line page follow surnam given name sex date birth civic address;François Langlois;1996
4044262;move motion bill c claus amend replac line page follow surnam given name civic address;Stephen Harper;1996
4044263;move motion bill c claus amend replac line page follow given name sex date birth civic address mail;François Langlois;1996
4044264;move motion bill c claus amend replac line page follow given name civic address mail;Stephen Harper;1996
4044265;move motion bill c claus amend replac line page follow name given name sex date birth indic;François Langlois;1996
4044266;move motion bill c claus amend replac line page follow name given name date birth;Stephen Harper;1996
4044267;move motion bill c claus amend replac line page follow updat surnam given name;Stephen Harper;1996
4044268;mr speaker wonder would disposit hous deem motion read second might get busi day;Bob Kilger;1996
4044269;agre;The Deputy Speaker;1996
4044270;;Some hon. members;1996
4044271;move motion bill c claus amend replac line page follow list contain surnam given name sex date birth;François Langlois;1996
4044272;move motion bill c claus amend replac line page follow list contain surnam given name motion bill c claus amend replac line page follow surnam given name;Stephen Harper;1996
4044273;move motion bill c claus amend replac line page follow inform except date birth person requir;François Langlois;1996
4044274;move motion bill c claus amend replac line page follow tor surnam given name civic ad motion bill c claus amend replac line page follow tor surnam given name date motion bill c claus amend replac line page follow surnam given name rank motion bill c claus amend replac line page follow elector surnam given name;Stephen Harper;1996
4044275;mr speaker rise point order order paper notic paper yesterday thursday page x roman numer motion appear propos accord english version french appear propos colleagu stormont dunda rise make correct done believ move motion colleagu stormont dunda could confirm chair;François Langlois;1996
4044276;thank colleagu bellechass error yesterday order paper notic paper correct today order paper colleagu could follow today order paper would avoid problem bellechass rais;The Deputy Speaker;1996
