basepk;speechtext;speakername;year
2707330;mr speaker refer yesterday statement motion final communiqu commonwealth head govern meet commonwealth declar stand order like tabl document meet pleasur hous request print annex hansard conveni member done past;Pierre Elliott Trudeau;1971
2707331;agre;Lucien Lamoureux;1971
2707332;agre editor note text document see appendic b;Some hon. Members:;1971
2707335;mr speaker wish move motion stand order project takeov canadian oil compani unit state firm sinc per cent oil ga product per cent petroleum refin foreign control seem imper govern take action case denison mine preserv degre canadian ownership therefor wish move second winnipeg north centr mr knowl follow motion view announc negoti progress purchas home oil compani limit calgari alberta ashland oil incorpor ashland kentucki hous urg govern take step necessari prevent takeov largest remain canadian own oil produc;Thomas Clement (Tommy) Douglas;1971
2707336;hous heard motion propos nanaimo cowichan island stand order unanim consent;Lucien Lamoureux;1971
2707337;agre;Some hon. Members:;1971
2707338;;Some hon. Members:;1971
2707339;unanim motion cannot put;Lucien Lamoureux;1971
2707342;mr speaker minist energi mine resourc happi see look return halifax minist convers execut home oil compani alleg prospect purchas control compani indic briefli natur convers;Robert Lorne Stanfield;1971
2707343;mr speaker thank kind word want assur halifax paid respect peopl nova scotia regard mr speaker convers period week potenti buyer ashland compani presid home oil compani regard purport sale urg upon desir maintain major canadian ownership canadian control compani date presid home oil compani display keen interest canadian citizen maintain major interest canadian ownership law exist best abil continu maintain posit major canadian oil compani retain canadian compani;John James Greene;1971
2707344;sure mr brown anxiou maintain control compani govern make propos assist retent control import independ oil compani;Robert Lorne Stanfield;1971
2707345;oper law exist mr speaker within law exist everyth possibl assur mainten compani canadian compani assur februari inquiri ministri potenti american buyer mr brown presid home oil much awar govern concern compani maintain canadian compani;John James Greene;1971
2707346;may remind minist way accomplish thing issu order minist realiz propos white paper tax reform make difficult independ oil compani oper face futur confid;Robert Lorne Stanfield;1971
2707347;hear hear;Some hon. Members:;1971
2707348;nanaimo cowi chan island;Lucien Lamoureux;1971
2707349;point order mr speaker greatest respect seem honour jump gun littl minist repli would like hear repli;Eldon Mattison Woolliams;1971
2707350;order pleas jump gun suggest respect way comment chair reaction point order impress leader opposit satisfi let matter rest made comment natur comment argument debat would think leader opposit would insist chair fractur rule allow minist repli event chair recogn nanaimo cowichan island;Lucien Lamoureux;1971
2707351;sinc mr atkin presid ashland oil said negoti secur control interest minor interest home oil minist tell hous whether receiv assur mr atkin ashland oil mr brown home oil canadian major interest retain transact negoti;Thomas Clement (Tommy) Douglas;1971
2707352;legal undertak anyth strong brown presid home oil indic desir compani retain major canadian compani mr atkin presid ashland indic understand represent made desir govern compani continu canadian compani polit sensit canadian peopl regard make attempt assur enabl although said legal undertak regard;John James Greene;1971
2707353;view minist statement moment oper within law may gentleman whether govern prepar exercis power respect home oil compani remain canadian hand exercis govern respect denison mine order maintain measur canadian ownership industri;Thomas Clement (Tommy) Douglas;1971
