basepk;speechtext;speakername;year
3804242;mr speaker rise privileg bring speaker attent matter consid seriou contempt parliament thursday last novemb governor council appoint john bassett new chairman secur intellig review committe appoint mclnne committe make appoint govern fail compli direct command parliament contempt author parliament section canadian secur intellig servic act provid follow establish committe known secur intellig review committe consist chairman less member shall appoint governor council among member queen privi council member senat hous common consult prime minist leader opposit hous common leader hous common parti least twelv member hous consult leader new democrat parti oshawa cours leader hous common parti least member hous appoint submit direct contravent section fact evid summari submit commun letter prime minist oshawa date read full letter take veiy want make sure record read dear ed write concern composit secur intellig review committe member term expir know section act provid sirc member shall appoint governor council consult prime minist leader opposit hous common parti least twelv seat hous current chairman committe honour ronald atkey indic wish leav committe end current term would propos recommend appoint mr john white hugh bassett c chairman outstand canadian citizen distinguish militari servic long career public servic would propos recommend honour stewart mclnne replac honour frank mcgee retir messr bassett mclnni would appoint year term would propos recommend reappoint exist member honour jean jacqu blai honour saul chemiack honour paul gauthier term year underlin follow mr speaker would like know view propos appoint would propos announc brian commun mr broad bent offic deliveri letter offic afternoon thesday novemb cours known govern prime minist offic left winnipeg ndp convent time debat bill set mind govern say prime minist offic awar letter state end repeat would like know view propos appoint would propos announc deadlin put repli offic oshawa assum would dealt return winnipeg effort made prime minist offic contact mr broadbent phone effort made contact mr broadbent winnipeg view provid mr broadbent privileg oshawa respect appoint appoint made;John F. Brewin;1989
3804243;think put situat want thank fact stuck fact necessari consid matter basi letter alleg lack respons point would seem least surfac inconsist requir act matter look heard point put appreci someth;John Allen Fraser;1989
3804244;may mr speaker want emphas relationship section parliament mere breach act csi act provid section order parliament leader could consult sensit appoint would add element mere breach section act govern may happen time time given structur sirc establish overse csi establish parliament consult committe say special relationship would like speaker take account;John F. Brewin;1989
3804245;assur speaker awar section lot section year;John Allen Fraser;1989
3804246;mr speaker remark may assist honour come decis whether prima faci breach privileg first submiss would privileg pertin particular privileg would oshawa would aggriev cannot new democrat parti offici opposit privileg privileg pertin particular privileg member aggriev admit certain circumst seen mani lot suggest oshawa rais point privileg fact second consult letter clear sent leader new democrat parti similar letter sent leader liber parti copi read record part letter seem place emphasi fact state would like know view propos appoint would propos announc point set includ member polit parti order would balanc met member parti friend seem claim consult would suggest mr speaker privileg pertin rais contempl consult victoria contempl consult leader parti person would privileg fact suggest prime minist made clear state would like know view propos appoint would propos announc would suggest parti feel aggriev know offici opposit go becom engag debat proof letter receiv mr broadbent offic day sent know whether friend claim mr broadbent tri get prime minist prime minist ask comment get made announc suggest govern prime minist compli law suggest friend difficulti claim appoint invalid meet law decemb would argu court forum suggest breach privileg suggest govern act accord act honour find prima faci case privileg;Douglas Grinslade Lewis;1989
3804247;mr speaker notwithstand minist justic said think case breach privileg victoria correct rais want say outset think place member hous privileg comment appoint per se comment whether process follow requir act want make clear comment direct aim victoria quot correctli section canadian secur intellig servic act act requir consult leader opposit want say minist justic refer letter sent prime minist leader opposit understand tabl letter sinc quot cours remark letter sent leader opposit although copi understand deliv offic appoint made novemb hous act pass letter notifi intend appoint less hour made term view consult within spirit act think minist justic awar argu posit weak case tri defend view indefens could refer act instanc light minist comment think draw attent hous april year period respons pose deputi prime privileg minist discuss appoint commiss look elector law gave follow answer said mr speaker wait report chief elector offic look recommend brought forth discuss propos term refer process defin term refer would hope posit discuss member opposit near futur answer gave heard week last commiss appoint govern look elector law consult term refer member commiss leader opposit consult understand leader new democrat parti consult deputi leader consult elector critic side consult strang way indic answer go discuss fact discuss spite repeat request part letter inform act intern centr human right democrat develop act section provid board director centr consist chairman board presid centr director subsect provid appoint made pursuant section shall made consult minist leader opposit leader recogn parti hous common know rumour press may appoint board chairman bodi consult date leader opposit may parti know leader opposit hope consult undertaken hour notic letter kind thing would expect prime minist place telephon call leader opposit say would like discuss matter;Peter Andrew Stewart Milliken;1989
3804248;find decemb privileg;John Horton McDermid;1989
3804249;leader opposit last week known fact minist state privat awar fact hous ask question last week call could made discuss carri respect think meant consult prime minist choos consult letter give reason time submiss hour unreason whether breach privileg rais appropri submit argument relev issu whether rais behalf leader opposit victoria rais behalf leader new democrat parti besid point fact breach occur privileg certain member hous consult privileg member breach govern suggest honour rule;Peter Andrew Stewart Milliken;1989
3804250;mr speaker heard victoria kingston island rose privileg thought odd advanc act understand act oblig prime minist consult accord document read tabl prime minist consult realiz happen may seem short notic think odd member rose behalf respect leader sinc although evid effect letter may follow convers among parti leader think could logic stop act like outrag maiden aunt like former leader new democrat parti mr broadbent discuss appoint discuss futur prime minist;Mr.   Maurice@;1989
3804251;;An Hon. Member:;1989
3804252;stop act like maiden aunt consid letter intent act observ unless hear person concern point agre minist justic privileg rais leader opposit parti let know whether letter came previou privat convers;Maurice Tremblay;1989
3804253;mr speaker want deal point made govern hous leader privileg rais hous privileg offend want suggest necessari privileg rais someon feel harm alleg breach privileg citat beauchesn state parliamentari privileg sum peculiar right enjoy hous constitu part high court parliament member hous without could discharg function exceed possess bodi individu happen member rais question privileg argument accept without suggest made person rais point privileg way offend harm alleg breach exampl want bring forward privileg rais leader offici opposit sever month ago regard advertis place newspap govern convey idea hous made decis propos good servic tax noth sort taken place occas privileg rais someth happen happen respect parliament rais point gener submit done privileg rais victoria valid fact decemb rais oshawa undermin case second want say someth point rais conserv spoken awar convers leader opposit prime minist respect appoint member secur intellig review committe know would like tell hous think better posit inform hous score see problem form consult letter state point time respons given letter understand spoke get prime minist suppos mean suppos mean respons hour hour week week minut suppos mean prime minist felt get respons within certain point time prime minist intend meaning consult state letter heckl govern side show think weak case would prattl way thought sound case feel eas think realiz problem way govern ignor word spirit intent law call consult may superfici technic way send letter respect seek view appoint secur intellig review committe may deal respond act say think look spirit intent govern want obey law would sent letter time allow suffici check reflect convers necessari furthermor respect aspect rais kingston island letter prime minist invit view appoint new intern human right institut gone privileg done govern hous leader unabl give explan;Herbert Eser (Herb) Gray;1989
3804254;ask mr speaker think appropri confin remark point victoria rais specif point veiy clear may matter discuss leader offici opposit minist justic brought time context;Douglas Grinslade Lewis;1989
3804255;want conclud remark make correct thing said think true govern hous leader chanc respond point repeat rais kingston island fair recogn want sum conclud say necessari case point rais former leader new democrat parti suffici rais way done victoria second real concern underli support merit privileg lack adher superfici word spirit intent legisl call consult;Herbert Eser (Herb) Gray;1989
3804256;minist justic remark;John Allen Fraser;1989
3804257;mr speaker commentari suggest tabl copi letter prime minist leader new democrat parti letter state would like know view propos appoint would propos announc prepar tabl copi letter life mr speaker cannot understand leader new democrat parti view get prime minist got;Douglas Grinslade Lewis;1989
3804258;winnipeg;Peter Andrew Stewart Milliken;1989
3804259;appreci winnipeg decemb privileg would like render judgment matter would spell hous whether privileg fact rais oshawa like repli prime minist letter;Douglas Grinslade Lewis;1989
3804260;hear victoria point;John Allen Fraser;1989
3804261;mr speaker would like make quick point issu whether would entitl rais govern hous leader address point deal matter breach privileg oshawa breach particular privileg oshawa rais contempt parliament author parliament submit parliament rais second extent oshawa given particular role given capac leader hous common parti spokesperson parti issu csi capac rais third convers wish repeat oshawa said receiv person commun discuss matter prime minist anyon offic view issu mr bassett awar prime minist mind would assum govern hous leader would accept assur point least purpos make decis prima faci case make final find fact assur govern offer challeng statement respect evid rais govern hous leader fact consult commun deliver letter offic left winnipeg heard noth govern;John F. Brewin;1989
3804262;think heard suffici kamloop rise may someth addit hear;John Allen Fraser;1989
3804263;mr speaker short intervent want get busi hous cours import matter interven indic consult requir legisl thought would use remind consult mean refer collin english dictionari defin consult process confer someon confer mean must hold take part confer made clear leader new democrat parti time enter consult repli word prime minist notifi leader new democrat parti intent fine legisl explicit would requir dialogu peopl dialogu taken place member speak made clear hour adequ time arrang interchang import matter want make intervent;Nelson Andrew Riis;1989
3804264;briefli mr speaker thank challeng right victoria rais privileg think leader offici opposit right speaker august assembl duti consid letter intent law unless letter clear case letter law clear document tabl rais whether consult enough time tast fact letter law respect intent law respect case speaker must hear concern person speak behalf letter law document tabl effect section act observ come routin proceed;Maurice Tremblay;1989
3804265;wish thank lotbinier comment listen discuss consid matter want indic see distinct privileg contempt hous accept request minist justic tri defin certain circumst rais privileg consid point shall return hous summari discuss come prime minist sent letter leader offici opposit leader new democrat parti ask view reason view sent appoint made sever day fact pattern statut requir consult argument mean issu must decid;John Allen Fraser;1989
3804268;mr speaker pursuant stand order honour tabl offici languag govern respons sever petit editor note see today vote proceed;Albert Glen Cooper;1989
3804271;mr speaker pursuant stand order honour tabl copi offici languag report parliament new duti remiss order approv month end;John Horton McDermid;1989
3804274;mr speaker pursuant stand order honour present hous offici languag report annual meet franc interparliamentari associ held pari languedoc roussillon region editor note see today vote proceed;Jean-Guy Guilbault;1989
3804276;mr speaker pleasur present petit pursuant stand order certifi correct clerk petit number petition kamloop british columbia petition point whole varieti reason oppos govern good servic tax call upon parliament encourag govern proceed good servic tax fact go draw board attempt effort real tax reform;Nelson Andrew Riis;1989
3804277;mr speaker privileg today present petit behalf canadian citizen concern govern proceed cut via rail servic countri constitu ride northumberland concern trip ride day toronto januari left possibl trip toronto durat hour inadequ purpos go toronto petit govern put moratorium propos cut via rail decemb routin proceed;Christine Susan Stewart;1989
