basepk;speechtext;speakername;year
1188724;mr speaker wish present petit fact petit preambl prayer case shall treat unit first one sign busi men british columbia next one sport fishermen next fishermen provinc british columbia preambl lead prayer read wherefor petition pray honour hous may pleas pass necessari legisl prohibit take salmon mean fish trap water british columbia coast;Alan Webster Neill;1939
1188728;like direct minist trade commerc mr euler minist agricultur mr gardin base upon associ press item appear last even ottawa even journal head britain u plan big barter deal read line first part dispatch explain matter could london unit state ambassador joseph kennedi report day arrang barter bale unit state cotton bushel american wheat great britain suppli rubber tin deal report would made barter exchang propos made week senat jame byrn unit state littl byrn propos made washington april would doubl effect build wrar strength britain netherland belgium time get rid troubl farm surplus unit state view heavi farm surplus wheat view fact amount wheat involv would normal purchas great britain year may whether matter drawn attent govern whether action taken protect grain grower cut market deal;Robert James Manion;1939
1188729;item brought attent govern friend give notic would say moment govern cogniz situat take action protect canadian interest connect matter may possibl take;William Daum Euler;1939
1188733;like make inquiri minist transport mr howe minist labour mr roger refer return tabl april respect toll charg bell telephon compani minist transport minist labour truste statut railway act combin investig act volit truste power order request inquiri particular compani reduc number employe although larg surplu reduc employe salari effect save dual oper net oper revenu;Thomas Langton Church;1939
1188734;order;Walter Edward Foster;1939
1188735;applic made board budget mr dun transport commission inquiri bell telephon compani rate govern requir take action order set inquiri motion propos;Clarence Decatur Howe;1939
1188736;like hear minist labour;Thomas Langton Church;1939
1188738;answer;Norman McLeod Rogers;1939
1188739;minist look return find inquiri start;Thomas Langton Church;1939
1188901;mr speaker sure express view hous indic minist financ mr dun gratif recov health extent abl discharg day occas arduou task like congratul minist new system inaugur day believ adapt combin system vogu imperi parliament australia lay upon tabl hous call white paper contain schedul tediou read hard listen convey littl inform heard sorri cannot continu congratul point extend govern respect polici indic day minist financ like take opportun join minist pay tribut gone servic countri minist refer late mr sedgewiek concur said minist financ regard estim gentleman tariff board appoint felt quasi judici bodi left without polit interfer begin someth like scientif tariff end year trust govern choos successor offic chairman tariff board may choos high qualif possess late lament chairman bodi wish make comment day mr speaker mind listen earli part budget address could help struck fact eveiy time declin physic volum busi countri minist ascrib world condit time trade improv ascrib marvel power present govern matter negoti trade agreement next thing struck sentenc respect public spend minist said dare cannot contract expenditur industri peopl spend larg measur agre statement thought cross mind earth expect pri vate industri individu risk capit ventur privat enterpris year year govern present fiscal econom polici uncertainti affect condit industri oper brought mind usual fact enter hous day gentleman tell result chang tariff item contempl remov excis tax result industri countri employ men annual payrol close door chang becom effect unless juggl tariff seen past industri given relief result unit state trade agreement word comment time listen minist long dissert upon problem govern confront necess expenditur anticip reach proper point would announc deficit similar deficit amount must confess announc deficit estim wheat hope give great secret ventur suggest sum requir purpos may larger result overal deficit thought came mind afford taxpay littl prospect year come relief burden taxat possibl speaker opportun examin detail schedul figur file day deal length time budget move adjourn debat motion agre debat adjourn toronto harbour commission;James Earl Lawson;1939
1188904;toronto pay airport island malton respect purchas equip site mainten municip tran system pass ident land field airport built expens peopl polici citi toronto citi pay great amount tax differ polici place polici appli whole countri differ treatment differ local local provid maintain nation servic expens local taxpay;Thomas Langton Church;1939
1188905;depart transport follow polici assist municip rout tran air line bring airport standard polici depart build airport municip govern expens except case airport requir reason serv particular commun may adjac mind airport north ray north bay junction point servic montreal winnipeg toronto winnipeg airport local requir citi posit take part financ construct airport govern decid built oper govern expens reason servic citi north bay feder govern made larger contribut airport toronto made municip airport believ arrang made mutual involv toronto feder govern provinci govern work satisfact concern;Clarence Decatur Howe;1939
1188906;object principl bill citi toronto branch line north bay main line;Thomas Langton Church;1939
1188907;sure interpret place upon situat may say present time sinc passeng servic start plane toronto proceed winnipeg plane winnipeg gone vancouv presum branch line could said montreal branch line montreal plane goe north bay consolid toronto plane trust montreal make issu toronto dispos;Clarence Decatur Howe;1939
1188908;word;Ernest Lapointe;1939
1188909;like time sinc broadview mr church brought direct servic montreal toronto contempl notic go around take hour go plane toronto montreal;Douglas Gooderham Ross;1939
1188910;plane run toronto montreal purpos complet tran servic act direct servic citi moment engag put auxiliari facil permit oper rout montreal ottawa toronto thenc western ontario unit state citi;Clarence Decatur Howe;1939
1188916;bill mr speaker;Henry Herbert Stevens;1939
1188917;file read second time live slock poultri;John Ritchie MacNicol;1939
1188918;understand bill distribut intent move bill receiv second read refer committe agricultur colon discuss need take place moment regard way explan might say present live stock live stock product act enact deem expedi reenact incorpor certain chang experi administr chang condit transport market method indic desir certain definit throughout act amend meet chang condit provis made advisori committe compos repres industri assist measur deal market particular product respect first part bill present act depart exercis jurisdict stockyard oper live stock exchang owe insuffici number oper constitut exchang live stock exchang exist eleven stockyard throughout account administr act satisfactori appar exercis proper supervis stockyard prefer feasibl vest greater administr author manag stockyard provis made continu live stock exchang exist establish other stockyard may consid feasibl desir part ii import departur present act except inclus desir definit clarif power governor council greater stress laid import grade inspect brand mark live stock live stock product order keep step govern polici assur return produc commensur qualiti live stock produc educ consum public buy grade respect provid product standard qualiti grade design contain packag shall deem misbrand part iii bill provid done regul connect hatcheri poultri gen eral shall incorpor provis bill move mr speaker bill read second time suggest refer committe agricultur colon;James Garfield Gardiner;1939
1188919;mr speaker principl bill move second read plain committe committe agricultur cannot understand bill magnitud refer committe;Thomas Langton Church;1939
1188920;refer;James Garfield Gardiner;1939
1188921;oppos principl bill artifici barrier burden place agricultur minist day introduc new bill ad regul proviso opinion encumb agricultur industri add market effici restraint proper administr depart explanatori note say live stock live stock product act enact year deem expedi reenact incorpor certain chang experi administr indic desir bill deal poultri mani agricultur activ opinion committe know legisl go affect export trade old countri may scarciti food emerg may effect new restrict regul prevent necessari reservoir food store england believ time come hous mark time regul minist bring opinion mani public interest particular industri provinci regul overlap duplic restrict minist small stand armi offici variou statut advisori board bill provis made advisori committe agenc inspector grader increas number department offici impos addit burden industri time fewer restrict ontario legislatur said month ago readi cooper dominion legislatur strike live stock poultri burden taxat estim proport might agre upon parti notwithstand constitut practic pass bill late stage session like know live stock industri stockyard poultri industri notifi provis bill agre respect demand legisl legisl necessari norw session bill magnitud might left trade commerc repres live stock poultri agricultur industri chanc consult view provinci minist agricultur obtain mani approv bill mani disapprov;Thomas Langton Church;1939
1188922;mr speaker legisl hous last night form resolut allow go formal stage hous committe without discuss bill hous provis cours unknown;Mark Cecil Senn;1939
1188923;came;John Ritchie MacNicol;1939
