basepk;speechtext;speakername;year
2038183;mr speaker like make announc regard oat barley pool crop year pool close march surplu distribut oat pool surplu distribut barley pool chequ final payment pool issu commenc april;Gordon Minto Churchill;1960
2038186;mr speaker member hous read announc majesti tuanku abdul rahman paramount ruler malaya die morn kuala lumpur majesti malaya distinguish head state sinc countri becam independ play signific part foster malaya link commonwealth capac head state parliamentari democraci associ malaya admir record econom polit progress shall rememb gener hospit extend occas visit time spoke glow term relationship countri sure speak member hous canadian express condol malayan govern death majesti;John George Diefenbaker;1960
2038187;mr speaker opposit sorri learn untim death ruler malaya join govern extend govern countri deep heartfelt condol;Lionel Chevrier;1960
2038188;mr speaker c c f learn regret death ruler malaya join polit parti hous make unanim fact canadian parliament sorri hear majesti death extend sympathi govern peopl malaya;Hazen Robert Argue;1960
2038192;mr speaker like direct minist transport given repli monday minist receiv telegram quebec river pilot set grievanc request settlement thereof open navig minist tell hous whether grievanc studi depart decis reach;Lionel Chevrier;1960
2038193;mr speaker bring attent minist transport translat;Léon Balcer;1960
2038197;mr speaker like put minist agricultur inquir petit report sent minist farmer complain busi concern use registr number given farmer obtain defici payment hog would minist indic whether receiv petit whether intend someth text;Jean-Paul Racine;1960
2038198;mr speaker found long letter sign consider number farmer provinc quebec certain request inform statement effect rumour current inquiri ministri traffick go respect farmer registr number deliveri hog repli letter request know definit instanc inform may take appropri action put end practic translat;Douglas Scott Harkness;1960
2038199;supplementari would minist indic whether similar case brought attent action taken text;Gabriel Roberge;1960
2038200;indic wednesday believ first intim practic along line go anticip indic wednesday might attempt beat system shall say prosecut case discov indic system set way go difficult peopl carri practic kind extent without detect cours punit measur taken;Douglas Scott Harkness;1960
2038201;like supplementari matter refer royal canadian mount polic investig;Jean-Paul Deschatelets;1960
2038202;think unless receiv definit inform connect particular infract suspect infract rule regul member opposit definit case wish would bring attent take appropri measur;Douglas Scott Harkness;1960
2038206;wish direct minist nation health welfar minist awar report effect food drug administr unit state warn ordinari product household use caus children death year poison unit state bill congress call label danger deterg wax furnitur polish bleach paint home clean aid poison corros flamabl canadian govern consid introduct similar measur;Hubert Badanai;1960
2038207;mr speaker depart awar hazard accompani use sever household product situat respect danger close studi scrutini past number year present legisl within depart cover drug aspect gener taken industri discuss go;Jay Waldo Monteith;1960
2038210;mr speaker like direct prime minist whether attent drawn articl morn globe mail effect indemn member ontario legislatur increas whether similar action plan respect hous;Frank Howard;1960
2038211;first second;John George Diefenbaker;1960
2038215;mr speaker view great interest countri whole provinc alberta wonder whether minist trade commerc confirm specul govern receiv nation energi board report govern intend take action report;Arthur Smith;1960
2038216;mr speaker report receiv;Gordon Minto Churchill;1960
2038217;depend ask;George James McIlraith;1960
2038218;hope hous rise today inform hous matter decis govern announc;Gordon Minto Churchill;1960
2038219;may supplementari minist say whether govern polici regard decid;Hazen Robert Argue;1960
2038220;indic due cours;Gordon Minto Churchill;1960
2038221;supplementari answer mean minist statement polici arriv end march set;Hazen Robert Argue;1960
2038222;set anyth chang announc made;Gordon Minto Churchill;1960
2038223;polici decid;Hazen Robert Argue;1960
2038227;like minist northern affair whether agreement reach govern manitoba regard share cost flood control red river;John Whitney Pickersgill;1960
2038228;mr speaker;Francis Alvin George Hamilton;1960
2038229;minist say whether negoti carri present time light statement made last summer govern reach agreement;John Whitney Pickersgill;1960
2038230;matter take littl time mr speaker give take side decis arriv hous made awar;Francis Alvin George Hamilton;1960
2038231;minist say whether negoti go present time;John Whitney Pickersgill;1960
2038232;mr speaker;Francis Alvin George Hamilton;1960
