basepk;speechtext;speakername;year
256196;templeman minist inland revenu move leav introduc bill respect agricultur fertil said present act found unwork ineffect protect purchas fertil propos repeal present act substitut import chang bill along line exist act desir give greater secur farmer purchas fertil requir manufactur fertil shall regist shall sell product regist number provid guarante analysi shall place packag fertil sold provid penalti contravent act bill prepar last session submit senat brought second read circul view bring farmer other interest fertil great mani repli critic propos measur favour make chang present bill therefor form bill introduc senat last year certain modif chang meet critic receiv;Hon.   WM@;1909
256197;could minist insert claus bill introduc bill make similar provis refer sale feed stock mani complaint farmer purchas feed seed thing purchas found;John Dowsley Reid;1909
256198;act regul sale food stock consider sinc last session sever deleg visit ottawa interview min ister agricultur prepar submit bill present session someth along line bill receiv consider hope come conclus week regard;William Templeman;1909
256202;amend propos senat made suggest depart intend meet condit arisen reason larg number patent grant section act relat prepar sign patent provis made patent shall transmit secretari state secretari state shall countersign number patent becom great sign becom great tax upon time secretari secretari state amend prepar senat offer assent hous provid patent may countersign secretari state secretari state present person thereunto author governor council whole amend purpos amend concur;Frank Oliver;1909
256206;mr speaker leav chair desir bring attent hous letter receiv morn follow craig street west montreal dear sir want help get money refund grand trunk railway came toronto left tuesday last sold second class ticket check luggag one said word stop get p train conductor came round demand make leav train paid protest send receipt know man fight get right;William Findlay Maclean;1909
256207;hear hear;Some hon. MEMBERS;1909
256208;get littl compliment outsid hous letter continu;William Findlay Maclean;1909
256209;travel train p toronto montreal time taken second class ticket without word told compani bound carri second class passeng train put matter thank anticip;William Templeman;1909
256212;second class accommod train;George Eulas Foster;1909
256213;posit say whether man entitl travel rate make canadian blood boil indign thought grand trunk canadian pacif railway compani carri travel origin unit state across cent mile less accept fare time threaten eject canadian demand similar treatment stand countri go day investig prove time time travel origin michigan new york state true soo manitoba border carri cent mile canadian must pay cent given second class third class accommod conductor hold say pay addit sum stop train put wilder done case privi council aros stope train put report would pay addit sum antagon railway countri say anyth grand trunk railway first place carri charter oblig next place treat canadian treat american antagon railway make attack upon credit capit content bound would agre would make money peopl would appreci moment grand trunk railway compani suppliant parliament ask countri come relief connect grand trunk pacif railway told get relief manag road come parliament ask relief time put say go get help carri charter oblig agre give good treatment canadian give peopl across line know mr hay newspap friend countri say make unjust attack road canadian road cannot live carri peopl cent mile prove unit state prove wherev tri cheap railway travel increas revenu railway prepar stand prove case road go hurt attitud mr hay railway compani give littl servic possibl go public club content make money give better cheaper servic peopl spend much money railway travel get better servic better understand railway public hope assist minist justic minist railway tri get better treatment accord canadian travel public canadian futur eject train ask right equal treatment want pass rais day hous regard capit canadian pacif railway compani told hous capit railway compani import matter bore traffic charg said found case unit state would wait day would hear deliver incom presid subject first paragraph presid taft inaugur address day washington effect time come capit interst railway regul peopl use railway protect regard tariff rate regul capit railway compani found desir unit state somebodi exercis scrutini propos increas capit tailway compani allow canadian pacif railway compani increas capit immens amount divid amongst sharehold put unnecessari tax contend traffic countri extent earn may told concern capit prove statement presid unit state law exist state new york go show someth follow capit countri establish idea cut melon rule invest anyth railway secur unless melon goe strang say thing demonstr day canadian pacif railway cut melon becom rule issu stock way sharehold prospect becom shall say millionair continu busi nobodi buy railway secur bonu melon happen canadian pacif railway sell stock wish bonu melon cut grand trunk cannot sell dollar worth stock day come countri relief melon cut would get money investor would take stock investor look secur melon attach grand trunk pacif cannot sell secur man melon man make new class melonair sir tho shaughnessi abl come relief govern buy grand trunk secur cannot sold posit thing countri regard railway secur high time chang govern undertook scrutin issu stock govern ought confin canadian pacif eailway issu per cent bond told minist justic find actual invest canadian pacif eailway provid charter minist agre hang indefinit period ascertain actual cost canadian pacif eailway word canadian pacif eailway sentenc hang certain date pamper allow issu melon would hang posit regard regul rate entitl regul origin agreement want tell minist financ bonu busi got countri cannot issu secur kind unless bonu kind find canadian bank canadian insur compani parti new kind consid danger financ countri rais money day develop electr industri south america central america mexico secur put market assist canadian financ institut proposit shape bond bond goe bonu stock buy bond get bonu stock kind financ produc bad effect countri get peopl buy secur unless bonu stock goe say canadian capitalist ate free invest way like think canadian bank canadian insur compani save canadian peopl ought float proposit develop foreign industri enough industri home develop enough necess keen money want see grand trunk pacif built canadian money would like see put enterpris get invest kind taken canadian practic issu bonu stock continu gentleman defend insur compani day said regard gov mr w p maclean ernment propos limit compani indulg purchas bond along went bonu stock say legisl direct right practic got stop countri public action stop got tell canadian pacif eailway compani allow cut melon issu sharehold par secur worth worth got tc stop name canadian peopl tell govern day must occur intend test feel hous proposit want tell hous day must stop financ foreign corpor save canadian peopl basi issu bonu stock bond secur interest canadian peopl establish habit countri di tiibut bonus kind nublic secur give bonus secur first thing know govern goe london market get secur issu ask bonu go give give kind common stock dav use cannot get kind right thing go time stop must stop avail occas grand trunk pacif eailway canadian pacif eailway day ask canadian pacif eailway ask increas capit stock grand trunk pacif applic assist say time compel great corpor treat peopl countri give cent passeng rate give american travel road say canadian pacif eailway financ kind must stop dot way stop tell must come gener act control eailway commiss must use fund treasuri must sell land abandon exempt claus protect west al privileg wipe come suppliant kind concess got respect intend test feel hous got fact hous leav fact hous letter read common ordinari canadian travel grand trunk railway threaten eject would pay someth entitl pay commend consider minist railway hope compel grand trunk railway compani treat canadian ought treat compel tetum dollar odd cent forc pay;William Findlay Maclean;1909
256214;detain hous moment canadian pacif railway issu stock discuss discuss friend mr w f maclean tell someth presid taft address refer issu stock think statement gener point;George Perry Graham;1909
256215;;William Findlay Maclean;1909
256216;presid taft kept detail courag friend mr maclean nobodi earth know read address;George Perry Graham;1909
256217;bet;William Findlay Maclean;1909
256218;gentleman told presid taft go say tell go true newspap instinct scoop rest content address day advanc although busi use would fortun cent rate matter gist gentleman remark know particular complaint except tell man got fast train grand trunk second class ticket honor understand judgment privi council provid train day montreal toronto cent rate;George Perry Graham;1909
256219;;William Findlay Maclean;1909
256220;judgment court would allow man select fastest train cent ticket railway world would give cent rate fastest train train doubt select purpos show road would give second class fare train understand carri second class car fastest train grand trunk;George Perry Graham;1909
256221;went train day yesterday ladi sit seat front second class ticket sent second class car;Thomas Simpson Sproule;1909
256222;occur night train go;George Perry Graham;1909
256223;experi fast train go montreal west;Thomas Simpson Sproule;1909
256224;occur night train carri sleeper train grand trunk travel direct short time second class ticket would honour fast train carri sleeper first class car question mind whether gentleman wrote letter grievanc question whether law enforc day gentleman would caus complaint law requir grand trunk put train per day accommod second class passeng run mani train like without second class car violat charter cent rate larg friend notic within last day state quot cent rate law declar unconstitut railway cannot carri peopl cent mile live forget railway countri much import countri hous countri cannot prosper without railway partner railway believ make live contract give peopl good servic minimum price must run idea time attack railway someth countri fact may injur countri pursu cours say present moment believ railway run popul dens afford suffici traffic give peopl cent rate kind live profit railway believ situat present time parliament ask pass law compel railway compani give cent rate believ hous would consent agre friend mr maclean perfect right adher idea regard cent passeng rate inclin present take view cannot compar unit state great britain respect rate transport cannot govern densiti popul settl countri unit state million popul feed railway extend end countri unit state eighti million popul expect low rate unit state know anyth say compel grand trunk adher friend call term charter judgment given doubt gentleman wrote letter would claim g e foster toronto railway like th e grand trunk train honour second class ticket oblig point way advertis travel may know cent fare railway may get wrong train duti railway guard travel misapprehens kind mr graham think time tabl includ post wall station particular enabl glean inform citi toronto arrang imperfect imperfect larg citi peopl liabl get wrong train hold friend railway regul prevent peopl get wrong train chicago mr ticket agent sell second class ticket point purchas arrang;George Perry Graham;1909
256225;minist miss point american travel cent mile train canadian given unfair treatment;William Findlay Maclean;1909
256226;know proof;George Perry Graham;1909
256227;train;William Findlay Maclean;1909
256228;rememb regard railway travel rate govern certain extent place traffic origin true passeng rate freight rate traffic origin unit state compet rate prevail unit state sent american rout canadian rout railway give rate compli law unit state traffic origin would way compli law arrang feasibl brought board railway commission morrow would deal deal proposit friend get benefit place like citi toronto get distribut rate given place enabl citi toronto becom wholesal centr;George Perry Graham;1909
256229;friend idea carri logic conclus distribut rate would abolish larger citi would wholesal centr present time nibbl shell traffic problem give littl inform railway tariff base scientif principl cannot take isol case make system go tariff ascertain principl base form conclus;George Perry Graham;1909
256230;may minist canadian pacif railway compani dispos stock author given order council distribut stock among sharehold par divid among sharehold stock worth posit say railway commiss allow fix rate want lawsuit brought conclus;John Gillanders Turriff;1909
256231;suppos abl forc law suit conclus present time canadian pacif railway posit see great benefit deriv peopl push conclus present allow rate govern railway commiss say think noth hinder ask case push conclus govern thing;George Perry Graham;1909
256232;aros call attent minist case hand attent call remark overlook salient featur letter man appli ticket check baggag train would think made awar fact could travel train ticket second opportun afford come check baggag must present ticket told could baggag check train allow purchas ticket check baggag got train put although made previou trip circumst;Edward Guss Porter;1909
256233;knew;George Perry Graham;1909
256235;item want explain small expropri cover meant line cost half mile doubl track idea save run heavi freight citi high grade;George Perry Graham;1909
256236;go get;George Eulas Foster;1909
256237;reduc distanc larg extent get rid heavi grade make grade tenth per cent save go citi heavi traffic;George Perry Graham;1909
256238;get along;John Graham Haggart;1909
256239;shop move west citi distanc citi go loop grand trunk pacif connect intercoloni point;George Perry Graham;1909
256240;seem larg expenditur someth want estim cost complet cost dollar usual record intercoloni railway depart;John Graham Haggart;1909
256241;engin think necessari save haul distanc;George Perry Graham;1909
256242;begun;George Eulas Foster;1909
256243;begun intent lay yard;George Perry Graham;1909
256244;larg amount half mile railway;John Allister Currie;1909
256245;doubl track line;George Perry Graham;1909
256246;much cut fill make cost much;John Allister Currie;1909
256247;item acr land right way acr clear right way acr grub cubic yard solid rock excav loos rock ordinari excav earth excav yard standard fenc gate cattl guard lb rail culvert lb steel trussel hall creek cross north street mile laid;George Perry Graham;1909
256248;estim cost land right way;John Allister Currie;1909
256249;;George Perry Graham;1909
256250;intend use marshal track requir track;John Allister Currie;1909
256251;yard extens yard outsid construct new yard shop west citi start grand trunk pacif reach track run citi proper escap trade go citi;George Perry Graham;1909
256252;cattl guard mean street cross mile track;John Allister Currie;1909
256253;street doubl track make street told viaduct;George Perry Graham;1909
256254;land secur;George Eulas Foster;1909
256255;;George Perry Graham;1909
256256;line road run decid;George Eulas Foster;1909
256257;;George Perry Graham;1909
256258;gentleman posit laid railway track taken opportun secur land propos get land expropri;George Eulas Foster;1909
256259;line survey propos tie get man make estim get offer peopl get fair price expropri land;George Perry Graham;1909
256260;make whole matter public;George Eulas Foster;1909
256261;difficult see locat shop;George Perry Graham;1909
256262;land transact moncton minist urg think present deputi minist though sure refer moncton halifax land would let word get concern govern intent option land whole argument fact thing known govern would put hand land owner necessari cours secur option advanc depart differ minist think deputi think come parliament advertis matter expenditur although tie within small radiu land cannot see consist situat depart unless go expropri event would seem wise advertis whole thing manner rememb matter purchas sand land kentvil militari purpos told necessari get hold land becam known public depart want would pay nose new diplomaci minist railway canal introduc manag depart would like see work;George Eulas Foster;1909
256263;tell friend see moment purchas sand land purchas build site halifax differ case govern could buy place case rang choic littl railway go point;George Perry Graham;1909
256264;minist must go order make clear must known sever year shop erect must foreseen time would need mote land govern shop built take measur secur necessari land appli principl advoc secur control public knowledg govern intent make land valuabl minist like case pay great deal land would pay gone businesslik way expropri court give owner larger award would given;George Eulas Foster;1909
256265;line contempl shop built;John Graham Haggart;1909
256266;deputi tell part survey made year idea line connect way sinc build new shop build new shop render necessari burn old one;George Perry Graham;1909
256267;understand cut mile length exist line;John Allister Currie;1909
256268;mile longer;George Perry Graham;1909
256269;grade ton mile save piec road;John Allister Currie;1909
256270;grade reduc half;George Perry Graham;1909
256272;mani car take grade hundr ton locomot ordinarili handl freight;John Allister Currie;1909
256273;differ would ton ton;George Perry Graham;1909
256274;line use intercoloni transcontinent;Francis Ramsey Lalor;1909
256275;expect termin connect use grand trunk moncton termin least portion freight start use doubl track lesser grade part eastern line shop;George Perry Graham;1909
256276;minist charg whole amount capit account intercoloni divid line;Francis Ramsey Lalor;1909
256277;make arrang grand trunk pacif would pay right secur;George Perry Graham;1909
256278;improv necessari traffic intercoloni present;George Eulas Foster;1909
256279;could got along without work thought might make complet job compel go finish build shop get splendid shape whole work take year committe see amount ask vote;George Perry Graham;1909
256280;strike minist year larg expenditur unless necessari understand i3 necessari traffic intercoloni becom necessari grand trunk pacif go believ want cut get access traffic expect road enter moncton suppos run larg expenditur cut mile would would think whether necessari gone make larg expenditur moncton think inform would take finish shop shop cours would necessari intercoloni railway;George Eulas Foster;1909
256281;ye;George Perry Graham;1909
