basepk;speechtext;speakername;year
736324;name mr shaw substitut mr leader special committe appoint consid resolut give govern control certain ocean rate confirm agreement majesti sir william petersen k c b e set said resolut method offer effect control question;William Lyon Mackenzie King;1925
736325;unanim consent;Hewitt Bostock;1925
736330;special committe appoint parliament februari inquir agricultur condit make report regard ocean freight rate session said special committe seventh final report state owe imposs digest weigh evid submit time dispos prorog parliament recommend similar committe appoint earli period next session parliament recommend refer carri govern date appoint govern w r preston make investig alleg discrimin ocean freight rate cover canadian shipment atlant seaport refer special committe refer parliament session time appoint made parliament consult matter date content order council author said appoint time mr preston begin draw pay allow order council refer amount paid due connect investig refer pay roll;Mr. SUTHERLAND:;1925
736331;fourth fifth report refer ocean freight rate recommend refer made parliament action taken februari ye b februari februari expend januari travel remuner feb june day day live allow feb oct day sundri account hand pend supplementari vote travel remuner june jan day day live allow oct jan day day stenograph servic sundri addit time may engag work ocean freight rate inquiri;Hon. Mr. GOPP:;1925
736333;year payment subsidi steamship institut amount govern paid subsidi year sinc date total amount paid present time;Mr. McTAGGART:;1925
736334;public account cianada show payment made account mail subsidi steamship subvent onward local foreign servic servic s4 s9 os1897 question local foreign servic servic march;Hon. Mr. COPP:;1925
736337;b import kraft wrap paper calendar year countri whenc receiv quantiti valu lb total import sweden norway sweden b unit kingdom c unit state countri rate duti kraft wrap paper gener tariff per cent ad valorem preferenti tariff per cent ad valorem intermedi tariff per cent ad valorem treati commerc navig unit kingdom finland sign decemb ratif exchang juli articl treati provid stipul treati shall applic selfgovern british dominion unless said dominion desir provid good dominion shall enjoy finland treatment would enjoy similar good produc unit kingdom good produc finland accord favour nation treatment dominion custom tariff finland provid reduct convent tariff certain product interest canadian trade last session parliament bill respect trade finland pass canadian hous common senat committe rose without report bill trade finland consid advantag propos introduc similar bill hous common session bill introduc hous common respect certain trade agreement netherland agreement provid favour nation treatment french convent provid discount ten cent amount duti tariff item paper kind n p good countri entitl benefit favour nation claus receiv benefit reduct special investig made concern condit paper mill ascertain tlr fourth product kraft paper export twenti differ countri valu kraft paper import finland ten month end januari total export countri canadian paper period amount inform calendar year compil calendar year mill manufactur kraft wrap paper total product ton valu;Hon. Mr. COPP:;1925
736339;year lightship gro cap st julian purchas govern purchas price purchas boat built purpos amount spent govern remodel refit boat sinc date purchas gro cap station season place call gro cap lake superior place serv ga buoy question averag cost maintain ga buoy point season navig total cost maintain lightship gro cap calendar year wage crew b suppli includ fuel food cloth c repair expens mani member crew boat paid season navig mani paid full year latter employ winter season;Mr. SIMPSON:;1925
736340;vessel built toronto poison iron work limit war purpos transfer depart naval servic depart marin fisheri without cost ye establish lightship author order council p c august order council recit lighthous board receiv request dominion marin associ improv aid navig gro cap shoal inform receiv board show gro cap shoal danger spot main track heavi traffic lake superior sault ste mari numer accid occur lighthous board recommend establish lightship wage b suppli c repair sundri expens captain chief engin c keep vessel clear snow prevent damag ice make repair possibl make take care vessel;Hon. Mr. CARDIN:;1925
736342;date mr e lafleur c retain govern prepar contract majesti king georg v repres minist trade commerc mr lafleur engag contract part date mr lafleur complet servic connect contract refer amount charg mr lafleur servic period refer question amount paid paid mr lafleur;Mr. ROSS (Kingston):;1925
736343;decemb account receiv mr lafleur connect;Hon. Mr. LOW:;1925
736345;payment made park st charl compani limit land occupi quebec harbour commiss per verdict arbitr case sum paid date payment made made date payment made park st charl compani limit agent settlement payment made person firm refer said claim;Hon. Mr. STEVENS:;1925
736346;ye park st charl compani januari interest award park st charl compani januari interest award park st charl compani januari interest award park st charl compani januari interest award interest award august total last mention amount paid chequ order la banqu national la cie park st charl apart amount quebec harbour commiss paid legal fee attorney park st charl compani arbitr fee notari surveyor stenograph wit court fee travel expens premium secur bond addit sum;Hon. Mr. CARDIN:;1925
736348;amount revenu deriv unit state provis pelag seal treati year date sinc come oper said treati;Alan Webster Neill;1925
736349;total receipt unoppos motion paper amount credit advanc payment per year close season provid treati recoup;Pierre-Joseph-Arthur Cardin;1925
736351;member hous common attend exhibit wembley england past year expens dominion expens dominion govern case;Mr. SUTHERLAND:;1925
736352;geo w kyte l j papineau j fred johnston;Hon. Mr. ROBB:;1925
736354;accord contract subject examin depart trade commerc price per hors power paid aluminium compani america massena new york state plant power export cedar rapid power compani;Robert James Manion;1925
736355;although act provid export contract subject examin offic depart author exercis copi contract submit depart therefor depart inform matter depart right copi contract opinion would unfair compani export make public confidenti content contract;Thomas Andrew Low;1925
736357;govern purchas site public build buctouch kent counti new brunswick propos erect build near futur intent govern dispos site;Mr. DOUCET:;1925
736358;ye c j collett noth contempl present time respect;Hon. Mr. KING (Kootenay):;1925
736360;cost year administr copper bounti act amount paid bounti compani amount paid;Mr. EVANS:;1925
736361;nil consolid mine smelt co ltd trail b c;Hon. Mr. LOW:;1925
736363;copi correspond letter telegram commun pass skeena minist offici govern relat halibut treati unit state letter telegram commun whatsoev kind pass said skeena minist offici govern relat close season halibut pacif petit letter commun person iorward said skeena minist offici govern relat said halibut treati close season halibut;George Black;1925
736365;copi correspond exchang postmast gener civil servic commiss person rel appoint postmast glace bay nova scotia;William Anderson Black;1925
736368;within last year take present line;Alexandre Joseph Doucet;1925
736369;understand motion amend agre;George Perry Graham;1925
736372;minist railway canal think probabl head canadian nation canadian budget mr neill pacif come joint agreement regard peac river transport problem georg p graham minist railway canal would like say got repli someth effect gentlemen possibl agre joint report suggest may say suggest come think join confer discuss matter;Donald MacBeth Kennedy;1925
736375;march stand name refer establish rural mail rout pass order return like know brought right w l mackenzi king prime minist necessari direct attent postmast gener mr murphi give friend answer next sit hous;Milton Edgar Maybee;1925
736377;april last year order return pass correspond etcetera dismiss peter hickey lighthous keeper fish island light princ counti princ edward island investig held copi evid report return brought reason world brought would govern brought;Richard Burpee Hanson;1925
736378;shall pleas make necessari inquiri see return brought possibl;Pierre-Joseph-Arthur Cardin;1925
736382;mr speaker chang tariff indic budget charact give satisfact interest concern district repres princip one deal coal happen increas decreas indic budget benefit mine district mine hous know desper condit owe competit fuel oil princip market unit state reciproc item unit state tariff duti canadian coal go unit state rise fall way duti american coal come reduct duti bitumin coal cent ton advantag american market cent big reduct might amount per cent per cent reduct tariff better noth hand increas duti slack coal benefit market slack coal unit state produc littl case consider trade grow late year slack coal come unit state vancouv judg chang tariff done matter connect lignit like draw attent govern done want impress upon year ago govern made chang duti lignit put free list order facilit sale coal southern alberta unit state time influx lignit unit state pacif coast lignit bitumin compar term cannot say look coal particular coal lignit bitumin analysi custom depart order arriv basi gaug entri coal agre nation coal went per cent moistur would consid lignit result rule start trade lignit coal go vancouv bellingham mine state washington south trade thought contempl coal purpos analys went per cent moistur budget mr neill tenth per cent amount would allow free suggest last year govern analyz came per cent moistur bring lignit class submit lignit classifi hand bulletin washington depart conserv develop deal bellingham coal say refer lignit properli class low grade bitumin coal;Alan Webster Neill;1925
736383;percentag carbon coal;Edward Mortimer Macdonald;1925
736384;analysi defin moistur ash f c stand b u;Alan Webster Neill;1925
736385;f c;Edward Mortimer Macdonald;1925
