basepk;speechtext;speakername;year
1567124;ye thought proper place make second read prepar make stage statement hous concern commonwealth commun act prime minist state canadian govern indic willing nation extern telecommun servic word acquir oversea telecommun facil own oper canadian marconi compani limit cabl wireless limit think give hous brief outlin histori extern telecommun present organ servic goe posit creat competit beam wireless telegraph servic submarin cabl telegraph servic came review imperi wireless cabl confer recommend confer approv govern commonwealth result compani form merger compani own share old cabl compani marconi wireless telegraph compani known cabl wireless limit oper compani own commun asset merger compani certain cabl own govern commonwealth leas beam wireless station unit kingdom own unit kingdom post offic time establish commun advisori committe commonwealth commun council bodi includ repres dominion given certain power control polici rate committe offici mean commun variou govern compani format cabl wireless limit oper difficulti becam appar seriou contract intern trade addit compani face foreign competit new wireless telegraph servic difficulti led review relationship cabl wireless limit govern oversea telecommun act commonwealth certain chang made oper financi arrang come war year mention direct radio circuit establish unit state mani part commonwealth circuit open understand oper limit durat war becam evid would inexpedi close notwithstand fact retent would result loss revenu commonwealth cabl radio circuit problem arisen consid commonwealth telegraph confer held australia dot commonwealth commun council meet view council need commonwealth telecommun system serv chang organ compani exist dominion india main instrument commonwealth telecommun cabl wireless limit unit kingdom compani own substanti interest capit local compani council felt essenti dominion india greater share administr commonwealth telecommun system view build whole cabl wireless side felt compani oblig privat sharehold might posit provid servic would satisfi public need strateg requir lord reith behalf unit kingdom govern visit dominion india explain point view british govern follow discuss commonwealth telecommun confer held london confer recommend public ownership oversea telecommun servic commonwealth govern pursuant recommend unit kingdom govern purchas share cabl wireless limit agreement design agreement known commonwealth telegraph agreement sign london may repres commonwealth govern refer agreement partner govern agreement provid part partner govern territori local compani oper extern telecommun servic shall purchas mr chevrier l share local compani acquir local compani undertak purpos acquir local asset oper maintain extern telecommun servic partner govern shall nomin exist depart bodi establish public corpor power necessari carri effect provis agreement agenc refer agreement nation bodi purpos promot effici develop extern telecommun servic commonwealth shall establish bodi known commonwealth telecommun board function board advisori wider commonwealth commun council replac includ formul joint telecommun polici includ rate b co ordin develop wireless cabl system commonwealth c co ordin appropri author oj telecommun matter affect defenc commonwealth coordin conduct research e negoti foreign telecommunicatior interest request undertak bj commonwealth govern cabl wireless limit transfer public ownership unitec kingdom cabl wireless act effect januari shart capit compani transfer th unit kingdom govern compani remain govern ownec compani continu asset oper telecommun servic outsid unit kingdom thosi oper respect nationa bodi partner govern thi commonwealth telegraph bill present unit kingdom parliamen februari provid estab lishment commonwealth telecom munic board transfer th asset cabl wireless limit th unit kingdom unit kingdon gener post offic nation bodi effectiv govern australia new zea land south africa pass necessari legisl establish thei nation bodi southern rhodesia oper extern telecommuni cation servic april indi januari polici th govern pakistan ceylon nc decid oversea telecommun act approv financi arrang agreement base wayleav scheme recommend confer financi expert commonwealth countri includ held london octob understand final accept condit upon accept commonwealth govern concern brief arrang call first countri retain receipt origin traffic less payment carrier compani handl traffic carrier nation bodi second nation bodi make payment toward expens commonwealth telecommun board base proport receipt total net receipt nation bodi third nation bodi make wayleav payment central board toward expens maintain oper common user cabl radio servic commonwealth telecommun system base proport net receipt total receipt nation bodi wayleav scheme canadian bodi propos canadian oversea telecommun corpor establish provid bill brought accord figur made avail commonwealth commun council base traffic volum show annual profit technic offic inclin put estim higher figur might add financi effect wayleav scheme review central bodi figur year oper avail nation bodi resolut present hous believ divid head provid first establish corpor known canadian oversea telecommun corpor take telecommun asset cabl wireless limit canadian marconi compani limit object corpor oper telecommun servic countri cooper co ordin commonwealth countri second part resolut provid fund purpos stipul exceed sum provid work capit third part resolut provid loan may made corpor time time none occas shall exceed sum remain paragraph provid loss may made corpor loss vote parliament second payment receiv gener profit may made corpor hous desir would prepar make remark bill present understand resolut stage custom debat measur length might limit remark present time said;Lionel Chevrier;1949
1567125;mr speaker go committe time question may ask might direct question minist may indic whether would prefer give inform bill reach committe stage;George Alexander Drew;1949
1567126;would prefer give committe resolut may;Lionel Chevrier;1949
1567127;shall defer question reach committe stage may point present resolut follow cours follow dominion except pakistan ceylon keep confer held point minist think would appropri say time bill committe correspond bill hous common westminst cours bill creat largest segment integr organ special committe set examin consequ bill make recommend relat thereto would seem desir special committe appoint bill present hous common call upon deal may opportun go certain question aris connect oper way illustr canadian marconi compani oper broadcast station cfcf cfcf fm montreal short wave station cfcx think member hous common might opportun secur advic committe appoint consid incident result flow decis kind put propos govern may give consider bill present hous hous oversea telecommun act;George Alexander Drew;1949
1567128;mr speaker realiz action propos taken less consolid kind servic commonwealth hope hous look financi structur organ give care attent balanc sheet compani canadian marconi compani propos take mind fact time time taken enterpris place public ownership forc becom owner facil bankruptci part privat enterpris oper servic outstand exampl histori take system compris canadian nation railway therefor guard countri overpay look amount mention resolut record compani matter come hous hope member give care consider phase propos made minist suggest initi amount set resolut great although may amount paid scrutin hous order may protect anyth kind happen last war connect railway system;Major James William Coldwell;1949
1567129;mr speaker like add word said leader mr coldwel point measur concern balanc sheet canadian marconi compani limit check afternoon moodi find last year compani propos take lost lost past year current asset drop cash hand moodi point share drop compani last year bank overdraft year ago account payabl accru among asset includ patent valuat may may fictiti valuat like minist state whether govern pay patent agre principl may sound scheme wonder whether govern buy lemon compani profit loss continu last sever year may ask whether good thing compani fail govern start scream social enterpris work compani last own govern;Wilbert Ross Thatcher;1949
1567130;social enterpris own sinc own govern unit kingdom;Clarence Decatur Howe;1949
1567131;moos jaw destroy argument;Lionel Chevrier;1949
1567132;like minist explicit detail record canadian marconi compani good past sever year time compani get difficulti govern pull;Wilbert Ross Thatcher;1949
1567133;mr speaker happi resolut know unusu resolut brought earlier part session mention matter speech throne realiz speech throne contain detail legisl govern intend bring session seem take corpor size intern import warrant mention speech throne member would given ampl time think said great deal resolut fanci reason prepar;Ernest George Hansell;1949
1567134;may interrupt gentleman consult page vote proceed find speech throne mention bill incorpor canadian oversea telecommun corpor;Lionel Chevrier;1949
1567135;sorri particular point escap notic decid whether expedi bring measur know along measur goe difficult turn danger thing best thing turn get say danger might best thing world pass measur kind say ask littl inform moos jaw mr refer financi posit compani set volum hand might appear compani go might appear privat enterpris;Ernest George Hansell;1949
