basepk;speechtext;speakername;year
813312;explain;Robert James Manion;1927
813313;absenc minist railway mr dun unabl explain bill like introduc record motion agre bill read first time;James Alexander Robb;1927
813316;connect work superannu act attent call posit deserv class find believ entitl receiv anyth word act refer widow minor children former civil servant die act came forc wive minor children former civil servant live superannu date govern take step give case consider grain act;George Halsey Perley;1927
813317;matter ibeen consider time superintend insur instruct make believ make censu employe come act think complet inform variou depart matter complic receipt request civil servant employ mainten public build other retir calder act whole subject given care studi conclus reach;James Alexander Robb;1927
813318;refer matter may whether intent govern extend time civil servant elect come act understand eve last elect prime minist mr mackenzi king speech delivered1 ottawa made promis effect;William Garland McQuarrie;1927
813319;recal promis made carri;William Lyon Mackenzie King;1927
813320;carri ask;William Garland McQuarrie;1927
813321;promis made carri friend prefac statement prime minist made promis say promis made carri;William Lyon Mackenzie King;1927
813322;prime minist know whether made;William Garland McQuarrie;1927
813323;sure;William Lyon Mackenzie King;1927
813324;presum prime minist care answer;William Garland McQuarrie;1927
813325;answer;William Lyon Mackenzie King;1927
813326;refer answer given minist financ mr robb argenteuil sir georg perley like know whether superintend insur instruct consid case employe depart soldier civil establish employe soldier settlement board present class temporari last year entitl consider superannu act;John Arthur Clark;1927
813327;direct matter attent superintend although think submit board;James Alexander Robb;1927
813328;suggest confin return soldier;James Arthurs;1927
813331;view passag bill june equal freight rate fact crowsnest pass agreement forc relat commod go west abolish time view fact crowsnest pass agreement appli line railway western sinc bill carri crop haul want govern whether see justic done west matter charl dun minist railway railway compani understand take ground compli statut believ made appeal board railway commission respect matter evid argument believ appeal brought privi council decis railway commiss procedur judgment privi council appeal given week ago believ publish railway commiss request govern give decis connect matter earliest possibl date;John Evans;1927
813334;govern connect propos bill amend grain act aris ottawa despatch appear montreal gazett march despatch intim compromis agreement enter govern grain interest connect bill close paragraph state learn day mr malcolm bring legisl along line session submit bill grain commiss commiss consid recommend legisl introduc compel countri elev guarante grade weight georgian bay canal compani anyth less provis bill last year practic use farmer western would like assur govern truth report;Milton Neil Campbell;1927
813335;govern assum respons report paper govern assum full respons promis introduc amend grain act hope brought week;William Lyon Mackenzie King;1927
813338;view situat prevail china govern continu recogn pekin govern w l mackenzi king prime minist say friend matter consider;James Shaver Woodsworth;1927
813343;may gentleman sinc sought may call juryship would good illustr done lack effici manag ontario hydroelectr system;Edward Joseph Garland;1927
813344;mr speaker anticip speech might deliv bed rose evid fact bow river mr garland anxiou find let deliv speech let move bill refer committe light day shine spot pleas winnipeg north centr mr woodsworth certain embarrass page hansard said read clip elect ontario mean sens dawn new era electr gener power concern futur electr project peepul ontario carri hand hand call st jame street gang other word larg power interest provinc quebec situat may caus georgian bay canal compani sir adam beck turn grave welcom thought peopl continu ask time know long debat continu hope conserv friend good deal sympathi time time come sympathi great regard resolut abl throw light editori charact assur danger hydro electr ontario way imperil ought sure mani speech deliv sinc member conserv parti winnipeg north centr receiv answer guilti silenc find answer abl give answer say high time friend make mind someth wrong bill sent committe railway canal proper investig ye said public ownership great thing provid carri accord principl laid incept great believ consist wrong wrong feel bad inconsist bad thing shall someth say consist gentleman moved1 amend start deal amend let see brought amend north york mr lennox said paper ontario would support scheme cours tori paper ontario would support scheme sinc present minist railway canal mr dun cancel leas august ottawa citizen second day fire broadsid project ottawa citizen;Edgar-Rodolphe-Eugène Chevrier;1927
813345;globe;An hon. MEMBER:;1927
813346;oh globe repeat ottawa citizen certain thing exist exist day time presid chain newspap own citizen day director intern paper compani hold hand clip moncton time januari find interest bit histori clip say montreal jan canadian intern paper compani announc follow elect director get light upon encount opposit gentlemen sit conserv bench director;Edgar-Rodolphe-Eugène Chevrier;1927
813347;gentleman tri make polit;James Arthurs;1927
813348;oh;Some hon. MEMBERS:;1927
813349;catch gentleman;Edgar-Rodolphe-Eugène Chevrier;1927
813350;mind worth;An hon. MEMBER:;1927
813351;like answer put genial fashion characterist parri sound mr arthur gave view upon matter night courteou way let friend repli toronto constitu said remain polit remain;Edgar-Rodolphe-Eugène Chevrier;1927
813352;said;James Arthurs;1927
813353;toronto northeast mr young friend know mean;Edgar-Rodolphe-Eugène Chevrier;1927
813354;beg gentleman pardon make statement;Newton Manley Young;1927
813355;clip moncton time contain statement canadian intern paper compani announc follow elect director r b bennett k c f n southam smeaton white concern moment;Edgar-Rodolphe-Eugène Chevrier;1927
813356;gentleman quot part statement read whole;Richard Bedford Bennett;1927
813357;beg gentleman pardon hear;Edgar-Rodolphe-Eugène Chevrier;1927
813358;read whole statement georgian bay canal compani;Edward Joseph Garland;1927
813359;gentleman read purport list director confin read name omit balanc suppos name colleagu ottawa;Richard Bedford Bennett;1927
813360;hear hear;Edward Joseph Garland;1927
813361;best grace;Edgar-Rodolphe-Eugène Chevrier;1927
813362;circumst;Edward Joseph Garland;1927
813363;name follow r b bennett k c calgari raoul dandurand v druri sir lomer gouin g h montgomeri k c j w mcconnel donat raymond f n southam smeaton white brigadi gener j b wthite montreal laugh gordon c edward p ottawa;Edgar-Rodolphe-Eugène Chevrier;1927
813365;j ii fortier quebec laugh gentlemen opposit p graustein wonder gentleman friend applaud read name let continu read neil c head h c phipp h wiggin new york j comber boston j mccarthi quebec j russel e r wood hope west calgari mr bennett satisfi pleasant agreeabl compani public ownership privat ownership concern said citizen take stand take day time gentleman presid destini ottawa citizen director canadian intern paper compani know citizen today shed crocodil tear situat mr southam interest answer ontario paper much favour project interest hamilton spectat winnipeg tribun calgari herald edmonton journal vancouv provinc interest mortage vancouv sun own cours ottawa citizen might go littl quot moncton time ottawa ont jan ottawa citizen carri follow news line mr speaker time mention name refer believ local busi financi circl inclus r b bennett k c director canadian intern paper compani portend amalgam e b eddi compani new york enterpris purchas near futur mr bennett princip sharehold vice presid e b eddi compani rumour current mani month vital chang forthcom connect compani;Edgar-Rodolphe-Eugène Chevrier;1927
813366;rise privileg desir say statement imfound fact known gentleman statement made even basi remot near direct indirect statement;Richard Bedford Bennett;1927
813367;mr speaker mani statement contain clip order fair gentleman like afford opportun say statement true;Edgar-Rodolphe-Eugène Chevrier;1927
813368;statement link e b eddi compani intern paper compani director enlighten gentleman;Richard Bedford Bennett;1927
813369;enlighten shall delight;Edgar-Rodolphe-Eugène Chevrier;1927
813370;like statement withdrawn unfound fact think within right ask withdrawn statement made ottawa citizen e b eddi compani sold intern paper compani untru foundat;Richard Bedford Bennett;1927
813371;desir argu gentleman defer remark;Edgar-Rodolphe-Eugène Chevrier;1927
813372;ripe point order statement made given lie direct withdrawn;James Arthurs;1927
813373;benefit hear gentleman enlighten remark cannot answer;Edgar-Rodolphe-Eugène Chevrier;1927
813374;think rule hous bound accept word calgari west ottawa quot newspap clip georgian bay canal compani statement respect connect west calgari compani west calgari deni think ottawa withdraw statement;John Frederick Johnston;1927
813375;nobodi hous amen rule interpret grace interpret mr speaker statement quot statement read contain herein;Edgar-Rodolphe-Eugène Chevrier;1927
813376;cannot use languag anybodi;Richard Bedford Bennett;1927
813377;let fair matter will retract anyth retract gentleman say director intern paper compani;Edgar-Rodolphe-Eugène Chevrier;1927
813378;ought privileg settl statement made deni rule given rule hous statement withdrawn friend seek persist statement mr speaker definit rule;Hugh Guthrie;1927
813379;respect last utter tjje mr chevrier think heard west calgari mr bennett say director canadian intern paper compani statement given hous connect e b eddi compani gentleman withdraw;John Frederick Johnston;1927
813380;best grace withdraw statement contain citizen;Edgar-Rodolphe-Eugène Chevrier;1927
813381;;Richard Bedford Bennett;1927
813385;view fact matter bad retract whole statement statement gentleman director intern paper compani interest see stand take amend stand take come vote whether bill go committe find mr smeaton white mr southam director compani attitud citizen gazett take matter surpris newspap owner name cite partner hirel mr graustein new york angl look matter side studi pictur reveal newspap direct mr graustein new york foster interest say histori gross attempt made muzzl press countri order council pass august last renew certain leas prior moment noth heard discuss order council term furnish compani cost govern improv canal facil past carillon rapid ottawa river util compani water power adjac thereto order council ordinari languag mean barter subterranean mean mir natur resourc construct place word wou j like method dispos public resourc util appeal gentlemen opposit;Edgar-Rodolphe-Eugène Chevrier;1927
813386;agre statement gentleman made would like govern support will withdraw leas entireti power;Edward Joseph Garland;1927
813387;ask payment money one owe greatest possibl courtesi friend would like answer secret govern let tell leas expir may year;Edgar-Rodolphe-Eugène Chevrier;1927
813388;would like hear gentleman posit regard matter georgian bay canal compani;Edward Joseph Garland;1927
813389;cours favour renew leas renew leas grant august shadow govern suppos power find ghost survivor rise flutter hous oppos day fix sanction concret form remind effigi old roman coin look way histori repeat gentlemen opposit spoken matter member former govern grant renew remind ancient king judea order get newborn saviour order destruct male year old;Edgar-Rodolphe-Eugène Chevrier;1927
813390;leas renew short time last summer meighen administr leas extend time king govern august novemb octob;George Halsey Perley;1927
813391;answer tu quoqu brute done thing answer origin leas contain increas power shadow govern grant support elect know way would jump tremend differ renew leas ordinari way busi renew leas increas power verg elect continu kingdom come year dot gentlemen remind princ biblic time gentleman move amend remind ancient king forc mose bulrush day come gentleman would like conduct parti promis land meet fate pictur bring mind old god use devour children fear would day dethron amend conceiv purpos fear purpos hide accus past best evid found clip ottawa journal govern countri ought take right barter subterranean confer power resourc countri power polit friend backer propos concess ought advertis fact avail everybodi upon principl govern contract let public tender journal editori written may compar editori write day remind quilt grandmoth use make mani multi colour piec linen mani differ pattern dear old ladi call crazi work journal wrote date write day interest proceed littl see consist amend move leader opposit compar attitud past charter grant tori rule renew liber regim ought rememb date misfortun befel countri charter amend mr white tori north renfrew sponsor amend bill charter renew instanc mr white mr fripp tori member citi obtain renew word protest utter friend mr mcgiverin senior liber ottawa obtain renew slightest protest made gentlemen renew leas august made fort william mr manion south wellington mr guthri hous day kept quiet let refer ancient histori uncomfort bold hanid memori submit excel governor council word follow undersign member parliament may hous mark word consid transport need seem must urgent present futur commerci industri agricultur interest desir submit construct montreal ottawa georgian bay canal commenc earli date complet possibl goe hous mark understand understand montreal ottawa georgian bay canal compani made necessari prepar readi will commenc prosecut work possibl speed georgian bay canal compani find signatur variou member day among signatur h guthri wellington time consid transport need present futur commerci industri agricultur interest affix name memori ask excel author carri scheme wrong bad inconsist wors memori present excel governor council parchment fade would much like somebodi signatur fade find reprint memori submit govern year let quot follow page confront prospect delay rebuff friend promot canal part call meet autumn member parliament repres constitu favour georgian bay canal meet attend larg number member parliament petit submit sir wilfrid laurier recit undersign member parliament given care consider subject transport connect propos ship canal georgian bay ottawa montreal gentlemen ask matter dealt scheme put;Edgar-Rodolphe-Eugène Chevrier;1927
813392;sign;Edward Joseph Garland;1927
813393;find member ottawa time thoma birkett mr belcourt sign memori page interest notic signatur hugh guthri south wellington;Edgar-Rodolphe-Eugène Chevrier;1927
813394;liber;An hon. MEMBER:;1927
813395;oh consist crime commit thi name find gentleman distinct occas signatur ask renew charter complet canal given care consid attent transport;Edgar-Rodolphe-Eugène Chevrier;1927
813396;reform sinc becam conserv;Edward Joseph Garland;1927
813397;gentleman said noth follow thought friend bow river think gentleman look old cloth sanction principl said problem transport look gentleman get hous move amend state reason cannot conjur mind graver matter public polici moment great transport bill propos privat corpor shall construct great transport work charter sought renew day charter exist gentleman differ occas put name memori ask renew oh consist art thou apolog offer sponsor bill trust shall abl see proper conclus happi oppos amend member citi;Edgar-Rodolphe-Eugène Chevrier;1927
813398;impli amend submit leader opposit ulterior motiv behind;Herbert Bealey Adshead;1927
813399;mr speaker said noth along submit amend smoke screen purpos endeavour kill bill without investig merit committe say delight sponsor bill member ottawa other done moment singl protest except phonograph mr graustein vic trola ottawa citizen ottawa journal come ear way object stand take ottawa past stood construct georgian bay canal term charter submit renew;Edgar-Rodolphe-Eugène Chevrier;1927
813400;like know inform interest mr graustein intern paper compani georgian bay canal;George Halsey Perley;1927
813401;interest georgian bay canal interest hydro purchas power intern paper compani intent stop anybodi get power manner georgian bay canal compani show compani get power remain hand turn gigant monopoli realiz parliament dual oblig repres constitu time forget parliament repres constitu parliamentari system must regard good whole ottawa concern favour construct georgian bay canal reduc transport rate notwithstand leader opposit say turn ocean port advantag go therewith reduc cost fuel citi year shown report fuel board;Edgar-Rodolphe-Eugène Chevrier;1927
813402;sure friend wish mislead hous view contradictori statement editori column daili paper support statement ottawa desir construct canal read resolut repres bodi support proposit;Edward Joseph Garland;1927
813403;would requir much paper friend consum write speech introduc resolut present hous moment seriou resolut except small resolut alli trade labour council citi council said anyth know opposit would come somebodi connect ontario hydro;Edgar-Rodolphe-Eugène Chevrier;1927
813404;got citi council muzzl say anyth;David Spence;1927
813405;fortun posit noth citi council scheme would cheapen cost fuel ottawa year arnprior would reduc per ton pembrok per ton mattawa haileyburi;Edgar-Rodolphe-Eugène Chevrier;1927
813406;friend arriv statement;George Hamilton Pettit;1927
