basepk;speechtext;speakername;year
178003;matter consider public work depart;Charles Smith Hyman;1905
178005;depart marin fisheri purchas steamer sequin date purchas name vendor consider paid;Mr. BENNETT asked :;1905
178006;first answer answer appli question;Joseph Raymond Fournier Préfontaine;1905
178009;beg lay upon tabl hous return supplementari return laid tabl hous monday last respect claim govern manitoba extens boundari provinc time move rule hous suspend return print forthwith;Hon.  D. H.@;1905
178010;might inquir whether letter februari observ public press includ document brought;Frederick William Borden;1905
178011;shall refer moment make motion desir make statement desir moment call attent hous statement publish morn newspap citi understand publish press statement made mr roger manitoba govern concern action taken colleagu upon applic made time ago govern provinc manitoba instruct legislatur provinc extens boundari may say duti action govern concern matter give statement direct absolut categor denial order may misunderstand think read hous place upon record statement mr roger find citizen follow februari receiv formal invit telegraph sir wilfrid come ottawa conveni left februari arriv afternoon receiv letter sir wilfrid russel hous say would pleas meet offic mid day friday interview present claim provinc possibl repli sir wilfrid said would good remain ottawa day would send would posit give answer day time februari letter receiv monseigneur sbarretti ask confer invit accept excel present follow memorandum remark would place statut book provinc would facilit earli settlement mission fix boundari would extend shore hudson bay excel ad failur act past prejud claim extens westward follow copi excel memorandum contain propos amend manitoba school act;Wilfrid Laurier;1905
178014;add section b district shall fifteen roman cathol children fifteen nonroman cathol children truste shall requir petit parent guardian number class provid separ accommod class employ roman cathol non roman cathol teacher;Wilfrid Laurier;1905
178022;sir cannot conceiv papal ableg anybodi could state failur provinc manitoba amend school act prevent extens boundari westward done would facilit extens cannot conceiv possibl statement could made consid fact sinc month juli came offic month januari receiv govern manitoba commun ask extens boundari provinc may resolut pass legislatur ask extens boundari know told seen press resolut pass resolut pass understand resolut pass know resolut follow execut action call attent resolut pass legislatur manitoba follow execut action call attent govern morn read interview mr roger ask memori fault commun sent multitud thing call upon deal might forgotten inquir colleagu recollect commun sent answer recollect inquir clerk privi council anyth archiv depart would show commun receiv receiv memorandum clerk privi council june januari record privi council offic claim advanc provinc manitoba extens boundari may protest northwest territori extens boundari cd provinc manitoba sir preliminari remark shall proceed give version took place mr colin campbel mr roger came deleg govern manitoba shall take first place follow statement made mr roger dot februari receiv formal invit telegraph sir wilfrid laurier come ottawa conveni left februari arriv afternoon receiv letter sir wilfrid russel hous say would pleas meet offic mid day friday statement noth accord truth whole truth leav impress took initi accord gentlemen come manitoba discuss matter wherea truth respond au invit came govern manitoba brought whole correspond taken place upon subject state moment ago month june month januari receiv commun govern manitoba ask extens boundari repeat statement first commun receiv upon subject follow depart provinci secretari winnipeg man januari 20th right sir wilfrid laurier gjo g presid king privi council ottawa ont sir govern manitoba motion legisl assembl day forward excel governor gener memori relat extens boundari provinc direct write request pleas appoint earli date receiv deput govern manitoba relat matter would appreci date could name first second week februari honour sir obedi servant;Wilfrid Laurier;1905
178026;mcfadden manitoba accord promis made receiv memori govern manitoba brought attent privi council author seud follow telegram februari h mcfadden winnipeg manitboa refer last memori extens limit glad receiv deleg time conveni;Hon.  D. H.@;1905
178030;wish supplement briefli remark fallen right leader commun mr roger contain statement effect invit excel monseigueur sbarretti wait upon occas papal ableg said would make concess mission manitoba repres would success tbat mission tbe purpos boundari provinc extend shore hudson bay suggest difficulti way manitoba secur extens could way remov concess made manitoba govern school point wish address moment request first minist attend meet februari present gentlemen name know go object meet awar manitoba govern sent administr memori request among thing extens boundari hudson bay word memori hudson bay attend meet present mr colin campbel mr roger premier minist justic;William Mulock;1905
