basepk;speechtext;speakername;year
348089;grey mr miller pleas explain object motion;Wilfrid Laurier;1911
348090;offici hous tell mani request made print bureau copi evid taken regard bill known anti gambl bill evid print carri motion clerk special committe omit recommend evid print way print;Henry Horton Miller;1911
348091;bill;Robert Laird Borden;1911
348092;bill known anti gambl bill race track bill;Henry Horton Miller;1911
348093;motion speak evid taken connect bill last session mr jviillek ye;Thomas Simpson Sproule;1911
348094;object motion evid print evid print last year friend grey mr miller explain inadvert clerk done;Wilfrid Laurier;1911
348097;lay upon tabl hous yesterday report imperi confer state rule regul adopt committe defens put volum print receiv excel laid tabl hous upon tabl differ parliament interest yesterday made strong represent home offic paper brought attent canadian parliament canadian peopl excel governor gener receiv mr harcourt lord grey london th telegram day consider view telegram juli confidenti juli urgent prepar acquiesc immedi public paper inform fisher defer sir wilfrid laurier wish felt paper publish monday harcourt beg lay upon tabl hous memo confer paper copi laid tabl cours day move paper print connect paper confer;Wilfrid Laurier;1911
348100;beg lay tabl hous special report compar price unit state year report includ price agricultur fisheri lumber mine product year mention show actual market quotat;George Gerald King;1911
348102;order day taken would like inquir govern done regard seriou charg made sir sanford fleme concern bill privat bill committe adjourn intend taken resum would like know whether intent govern appoint committe inquiri ascertain whether alleg made connect format cement compani correct hous rememb state stock given improp way bonu sinc resum committe conven evid taken would seem view seriou charg made would incumb upon govern take action ascertain correct alleg correct reveal unfortun condit affair correct great injustic certain individu said connect matter;Thomas Simpson Sproule;1911
348103;hope hous would deal matter taken bill progress made upon;Wilfrid Laurier;1911
348104;reciproc bill slow much hope bill taken consider late period circumst thought appoint committe suggest friend may valuabl get hous vote upon reciproc agreement see;James J. Donnelly;1911
348106;march last hous order return show promot increas salari given post offic depart adjourn inform matter would taken day suppos overlook mention order bring attent proper author;Alexander Haggart;1911
348107;respect return laid tabl hous moment minist labour would like provis made made print return;Henry Robert Emmerson;1911
348108;report issu report depart labour paid appropri purpos order hous dot;George Gerald King;1911
348109;might minist labour mean use gather inform long gather;Joseph Elijah Armstrong;1911
348110;repli friend might say work cours prepar consider length time supplement volum brought year dealt wholesal price brandon said thought valuabl contribut econom literatur volum prepar person charg volum continu work;George Gerald King;1911
348111;minist labour sent expert similar men washington gather inform refer price side line;Joseph Elijah Armstrong;1911
348112;special expert offic depart gather inform;George Gerald King;1911
348113;understand minist inform hous continu work mr coat produc year;Arthur Meighen;1911
348114;mr coat continu work sinc discuss came hous variou articl mention reciproc agreement becam evid member hous wish get inform way price instruct mr coat make report detail would carri investig year get actual market quotat period time;George Gerald King;1911
348115;separ distinct work prepar sinc debat took place;Arthur Meighen;1911
348116;complet sinc debat commenc good deal inform gather last year;George Gerald King;1911
348118;would return move march relat paper touch claim macdonald mclellan construct portion intercoloni railway expedit;Robert Laird Borden;1911
348120;view mani refer made expedit busi hous necess chang rule wish right leader hous whether step taken propos taken regard amend rule tend toward expedit public busi wish read extract newspap may servic consider whole suppress bore pari paper describ method south african tribe deal bore tribe consid long speech injuri speaker hearer order protect tribal law public orat must stand leg make speech;Henry Robert Emmerson;1911
348121;speaker leg stand;William Stevens Fielding;1911
348122;leg brought ground orat must end suggest institut would con wabh valu countri new york time extract new york time might meet case hous suggest minist financ speaker leg stand refer obstruct taken place time past evid hous;Henry Robert Emmerson;1911
348124;would point minist financ connect affair farmer bank without inform upon tabl hous suggest might gentleman doubt rememb march motion made hous balton mr henderson royal commiss appoint purpos investig report certain matter connect affair bank minist financ answer govern upon motion refer first place answer given time said proceed engag attent court justic toronto lead full investig disclosur affair bank need appoint royal commiss minist ad anyth aris indic investig insuffici would consid said machineri court involv case occupi great deal attent court ontario saw reason doubt investig would thorough conclud need royal commiss investig matter investig court difficulti situat royal commiss evid taken report laid tabl hous hous would seiz evid report would enabl form conclus thereon anyth kind govern present laid tabl hous result investig curat liquid copi evid taken court would therefor suggest inasmuch royal commiss deni upon ground would investig toy liquid court would proper reason thing govern procur certifi copi evid taken curat liquid evid taken report made curat liquid copi proceed court judgment minist financ would serv purpos would serv inform hous concern appoint royal com mr emmerson mission investig report commiss would therefor whether step taken lay inform tabl hous step taken would whether govern propos assist hous respect matter procur offici copi proceed evid laid tabl hous seem reason request;Robert Laird Borden;1911
348125;public document relat farmer bank come govern sinc last discuss cannot moment say whether object brought respons request hous gener investig take ground matter investig toy court reason doubt investig respect thorough see reason departur usual practic respect public document matter come govern object bring;William Stevens Fielding;1911
348126;attent call sinc return debat parliament march left countri januari present discuss farmer bank made statement spoken minist financ refer issu certif bank minist financ said hous sure would make statement deposit made receiv gener certif issu met minist financ talk farmer bank told fraud peopl connect worthi method taken obtain necessari deposit illeg knew person knowledg knew applic made borrow money endors note know time saw financ minist good deal anxieti condit affair matter end concern time afterward learn certif issu spoke minist said sorri govern issu certif financ minist said saw law compli govern issu cer tific would open charg protect larger bank cours good deal reason think case closest scrutini ought observ notori men head bank worthi inform think given without prejudic establish new bank may say convers friend halton mr henderson told made represent financ minist make statement want put mouth leader opposit statement cannot confirm;Edmund Boyd Osler;1911
348127;awar gentleman intend bring matter day read debat see wra conflict gentleman statement sure statement gentleman make time time made good faith busi men hesit speak confid concern convers took place sever year feel hestit speak convers matter sever year know attitud mind relat farmer bank friend anybodi given substanti reason issu certif would welcom notori wish issu certif farmer bank friend right view begin anxieti rememb convers matter rememb gave inform bear subject would justifi refus issu certif matter import friend felt materi evid submit would content trust matter memori would sent commun give definit inform beyond anyth came subject quarter repres anxieti busi men concern flotat bank anxieti felt sworn testimoni man came offic swore compli provis law sworn testimoni outweigh casual convers may quarter moment imagin west toronto mr osier anyth matter except best intent sure desir misrepres way mean newmarket canal mr field move hous go committe way mean;William Stevens Fielding;1911
348128;leav chair wish bring matter discuss hous sever time matter come within purview depart railway canal may say object bring matter place hansard report hand tuesday last ask month ago suppos opportun shall discuss matter hous outsid condemn expenditur upon newmarket canal best interest peopl countri believ extravag expenditur one could justifi minist railway anybodi know fact first estim cost canal canal run lake simco holland land holland land newmarket next estim report show expenditur gone canal connect town newmarket lake simco suppos estim made canal would commerci valu plan devis furnish water canal know noth necessari canal water report made show water got float vessel canal therefor condemn expenditur extravag wanton wast public money attitud may appear singular peopl see part expenditur made counti repres doubt mani peopl would consid cours bad polit believ expenditur unjustifi must honest man oppos benefit temporari benefit may come peopl counti york expenditur lost failur oper canal wish place hansard report made mr e j walsh first engin charg canal would prefer minist railway canal present occas respons absenc read report ottawa januari sir desir place record depart may avail parliamentari inquiri observ explan concern holland river improv spoken newmarket canal follow polici carri work subject much advers critic parliament throughout countri chiefli account excess cost debat hous common govern silenc minist railway canal subtl suggest implic allow caus whole blame unpopular expenditur fall report debat hous common hansard march suppli newmarket canal mr j curri north simco state think minist railway canal rise place say hous singl figur given mr walsh respons minist charg depart connect work within per cent work cost estim made respons man mr grant mr walsh said origin work would cost someth like first report made mr collingwood schreiber place amount someth made subsequ report march minist quot amount mr walsh made sever attempt bluff estim second section mr grant without doubt experienc engin made estim work short lowest tender mr grant estim section lowest tender receiv answer call found estim land damag work wilcox lake one made estim work except good christian friend walsh say mr walsh estim work reach say work cost safe say cost less portion speech mr curri report first mention canal elect time octob mr walsh engin depart call orillia section countri make survey particular branch mr walsh goe countri day loos fish newmarket drive stake eat dinner countri expens way week elect voter could put work put work job within short time blew countri money mr wallac make survey bear mind elect desir proceed cfiar acter latter statement foundataomless ncal men staff told employ time date gener elect took place total amount expend connect holland river survey actual sum paid wage local men detail expenditur annex hereto verifi refer auditor gener report fiscal year mr curri statement refer report uncal unfair extravag doubtless mr curri parliamentari experi becom matur may realiz proprieti ask paper particular subject satisfi right premis make attack parliament offici preclud present defend hous common debat hansard march suppli newmarket canal;Thomas George Wallace;1911
348129;graham minist railway canal speaker give estim friend mr curri point low amount let go histori work proceed give digest mr grant find let take section holland river divis februari mr grant effici engin whole depart give result analysi point rainfal dri year less inch mr grant gone figur report although find rainfal less inch less mr walsh found mr walsh found record meteorolog observatori toronto averag annual precipit newmarket year inch minimum period amount inch latter base lii calcul water suppli vide report date septemb e j w countri commit build newmarket canal cost great deal money estim may state cost estim mr grant friend point dollar mr butler estim reservoir cost canal cost vicin dollar mr samuel sharp newmarket canal minist railway canal state origin estim ex cede origin estim someth subsequ estim increas amount due increas cost materi ithink place increas cost materi per cent fail inform origin estim increas per cent sir wilfrid laurier mr speaker send engin report work could done thought could use work done town newmarket ride north york expenditur ought turn work cost expect unusu work charact friend say go cost dollar mistak differ corrupt act mr walsh interview minist impress minist extraordinari present defenc newmarket canal polici parliamentari session might due person misconcept misrepresent part department offici concern true fact work writer call upon minist bail way canal day prorog may point advers critic parliament direct former connect newmarket canal work found fals premis plan propos section east branch holland land newmarket chang cost increas recommend standard construct commensur amount traffic like avail adopt messr butler grant copi elabor plan costli soulang canal overlook fact st lawrenc canal form link navig commun atlant ocean great lake tributari thereto possibl carri trade contin magnitud live person could forese wherea newmarket canal ambiti pretens regard prospect traffic attack made upon parliament certain member opposit minist come defens explain true situat affair chose leav parliament ignor content fulsom laudat mr grant call engin skill endors said attack implic _ question minist admit knew noth civil engin work explan utter parliament newmarket canal engin connect therewith inspir instig deputi r butler writer deal mr butler case impress upon minist fact rel newmarket canal inaccuraci injustic statement insinu parliament reason expect would seiz earliest opportun make suitabl explan follow excerpt hansard februari succeed session show trent canal construct;Hon.  G. P.@;1911
348130;gentleman appropri newmarket canal;Thomas George Wallace;1911
348131;last year spend sent mr grant engin depart first class man discuss newmarket canal assur state hous reput water canal word best engin servic regard hydraul reliabl man mr graham seen work visit purpos investig inform could give would base advic expert pay purpos trent canal improv;George Perry Graham;1911
348132;curri _;Mr.  J. A.@;1911
348133;engin report complet severn rout nottawasaga rout friend mr j curri come depart see propos;George Perry Graham;1911
348134;engin made estim made origin estim newmarket canal;John Allister Currie;1911
348135;mr walsh;George Perry Graham;1911
348136;wish challeng stand engin made report minist misl refer newmarket canal think would advis figur check ot;John Allister Currie;1911
348137;estim rout anyth done review mr grant engin trent make respons figur remark minist railway canal quot discourt infer convey reflect stand engin object minist frenzi commend mr grant engin name limelight detriment reflect innuendo implic time direct protest known mr grant year flagman staff staff late mr tho munro c e engin charg soulang canal construct;George Perry Graham;1911
348145;chang flight lock feet lift lock feet lift necessit larg addit expenditur provid artifici foundat pile c chang profil gener design work excav larg section new channel util much exist stream channel possibl substitut culvert wall lock valv near bottom lock gate fill empti lock chamber use metal cast hollow quoin lock shape quoin concret larg increas expenditur account build entranc pier lock concret larg increas cost work propos use pile artifici foundat structur larg increas excav propos deepen raceway channel dam increas cost work put stop log open dam substanti increas expenditur chang stream face spillway dam enorm increas cost work substitut concret core puddl core earthen dam embank increas expens unnecessari temporari bridg across river bradford road yong street cross cost increas substitut concret stone fill timber cribwork construct rest pier swing bridg cast increas substitut concret cribwork foundat dock newmarket larg increas cost propos dock holland land contempl cost propos water suppli ditch lake wilcock increas chang cedar culvert concret culvert c increas cost owe chang profil c necessit great amount stone protect slope canal prism cost increas substitut sod seed slope bank;Thomas George Wallace;1911
