basepk;speechtext;speakername;year
3963096;believ unanim consent statement minist nation revenu agre;The Deputy Speaker;1994
3963097;agre;Some hon. members;1994
3963098;mr speaker would like thank particular mission coquitlam allow step continu motion heavi heart rise hous today behalf revenu govern express deepest sympathi famili custom offic die tragic accid weekend new brunswick offic kill inspector david moor superintend jim finnamor perth andov swept death night sudden rise flood swollen water aroostook river want stress die careless error mistak die reason high concern safeti custom offic command briefli fact known follow custom offic tinker road kilometr perth andov offic threaten rise flood water saturday even although men spoken custom inspector duti tinker road told situat satisfactori mr moor mr decid check situat want stress type men dedic profession determin everyth power ensur safeti staff short distanc tinker road offic met rcmp offic sever provinci govern employe monitor rise flood water custom offic fact join rcmp offic remaind short trip arriv tinker road offic mr moor mr met custom inspector work review situat men agre immedi danger flood particular custom post men left rcmp start road perth road travel less half hour point tragedi struck ice build river releas torrent water swept river bank adjac roadway vehicl men travers low point road vehicl swept side road nose ditch submerg men success climb roof vehicl custom offic tri reach land rcmp offic stay vehicl fail reach shore search launch miss men rcmp offic locat taken hospit midnight search continu dark hour without success yesterday morn daybreak search resum bodi mr moor found bodi mr finnamor recov cope loss difficult difficult loss sudden result seri event cannot explain david moor surviv wife jame finnamor surviv wife franc children tamara brent peter yesterday spoke widow express profound sympathi loss tell depart support help difficult time david moor work depart year jame employe revenu year lost fine men profession public servant dedic work peopl miss home miss work colleagu friend know member hous wish join statement parti repres stand moment reflect tragic event rememb fine individu die servic countri;David Anderson;1994
3963099;mr speaker seriou note member bloc quebecoi agre comment minist revenu wish convey deepest sympathi famili friend mr david moor mr jim finnamor;Pierre De Savoye;1994
3963100;mr speaker join member govern express minist bloc colleagu express grief sympathi reform member tragic death inspector david moor superintend jim finnamor grew besid south saskatchewan river know first hand beauti benefit danger associ waterway fact rememb young boy father lost employe river sens shock pain sorrow involv situat experienc visit perth area envis landscap beauti saint john river valley roll hill western new brunswick met peopl region share grief caus accid confid commun rise situat give comfort support kelli franc tamara brent peter finnamor love one colleagu express appreci live jim finnamor david moor sympathi prayer go famili love one;Elwin Hermanson;1994
3963101;would rise moment silenc editor note hous stood silenc;The Deputy Speaker;1994
3963102;move opinion hous govern permit member hous common repres constitu view govern legisl program spend plan adopt posit defeat govern measur includ spend measur shall mean defeat govern unless follow adopt formal motion mr speaker time avail today would like explain motion member hous know ask vote votabl motion declar procedur hous affair committe first time least determin member opportun express issu confid flow issu freer vote hous would like address histori vote hous histori character polit parti disciplin vote along parti line refer experi jurisdict great britain notic relax parti whip research indic australia new zealand parti disciplin less great britain clear avenu backbench privat member influenc polici parti conclud deal critic allow freer vote member hous common must admit surpris critic support issu receiv last parliament spoke subject januari broadview greenwood took issu argument meet hous common committe procedur hous affair amaz argument rais member opposit believ necessari address fear put bed member hous may join support motion motion refer matter relax confid convent freer vote represent constitu interest relax confid convent mean vote label confid vote lost govern bring govern resign myth spread place mani year govern cannot lose vote must resign forc elect put governor gener posit call someon see form govern know nonsens practic follow hous motion would defin confid convent result narrow definit convent member govern backbench member feel freed strictur parti disciplin vote parti line fact benefici effect motion appli member govern opposit govern member would feel free vote parti line lose occasion vote mean defeat govern type think understood parti leadership vote parti line subject retribut punish time opposit feel free vote govern member time time govern cannot wrong govern incumb opposit recogn fact time time vote govern though parti leadership may tri convinc want make clear speak freer vote declar free vote done direct parti leadership would break come parti disciplin motion read would done repres constitu view exampl may done other want deal issu repres constitu view seem lack understand posit reform parti matter let clear unlik elect past elect signific recogn parti hous set canadian platform great extent detail parti would deal major issu issu present fall canadian vote vote octob great extent believ issu aris parti platform oblig vote parti line could argu liber red book may theori grandios short implement plan room departur parti line discuss liber parti polici main point issu come along new issu found address parti platform issu come mind cigarett smuggl constitu boundari redistribut issu issu like member feel inclin support parti line break parti repres constitu view member could repres view base common sens logic individu may bring issu feel member freed parti disciplin chao complet unpredict system member vote way parliament becom unwork countri ungovern motion lead recogn occas member without fear retribut parti leadership may vote parti line govern fall sun rise east believ interest canadian serv elect repres serv canadian public best abil content motion would like deal histori matter histori began got began feel dissatisfact among canadian peopl detect canadian studi parliamentari group gallup poll commiss ask mp behav vote respons per cent felt member vote accord judgment way contrast view vote parti wish receiv littl support nation averag survey favour mp parti loyalist per cent frustrat mp follow parti line public express survey found way report special committe reform hous common committe believ purpos reform hous common restor privat member effect legisl function give meaning role format public polici main method goal accomplish attitudin chang would result relax confid convent allow member vote parti line without fear bring govern retribut parti leadership report mcgrath committe clear subject confid convent freer vote committe state elect member parliament entitl act hous speak vote like choos deviat parti line free provid accept polit risk polit risk mcgrath committe recommend tri minim committe went describ ideal situat rigid disciplin compat philosophi democrat polit parti reason latitud consist loyalti parti permit individu member parti middl ground committe sought middl ground motion hous today seek establish loyalti polit parti blind loyalti loyalti combin latitud vote parti line occas mcgrath committe offer observ confid convent parliament govern command major matter confid settl elector short revers allegi major cataclysm polit event confid fait accompli govern parti wisdom permit member decid mani matter delib judgment overus parti whip confid motion devalu import institut fortun parliament member committe winnipeg transcona minist foreign affair hope find time speak motion come vote april hous manag committe recommend member parliament made awar confid convent observ special committe reform hous common except motion propos govern consid motion confid identifi govern committe made mani member parliament parliamentari secretari leader govern hous common minist health saint léonard realist predict effect recommend state canadian parliamentari system strong parti disciplin stronger mani system committe endors idea free vote hous hesit creat high expect procedur issu individu member parliament group member place previou parliament feel relax confid convent freer vote import believ member read mood canadian public advent inform age public inform polit institut work member institut result public will follow without question lead elect repres expect repres inform repres best interest constitu inform public respond leadership way use action canadian referendum charlottetown accord ampl evid refus led public expect elect repres led public feel disenfranchis member forc threat dire consequ polit futur vote fashion perceiv public repres public interest lack independ vote equat lack influenc polici make process involv polit process make argument influenc privat exercis caucu privat meet minist public good public want feel view taken consider year gener elect public want see public demonstr view heard act public demonstr occur act vote mp exercis independ member hous common occur great extent great britain system respons govern surviv period april april defeat govern great britain defeat import help destroy myth arisen effect govern defeat endang continu offic import influenc behaviour subsequ member parliament establish preced mp parti becam will accept parti dictat matter polici vote defi parti whip discov could littl neg sanction encourag other influenc turn exampl experi cross vote limit sixti seventi experi govern lose vote resign believ establish relax confid convent freer vote subject studi posit recommend least parliamentari committe mani member sit hous today know least jurisdict would result motion put action dire consequ respons govern prevail polit parti exist deem obsolet import public member hous common real influenc polici make process would like address critic levi relax confid convent freer vote hous argu freer vote would neg effect futur polit parti polit parti import system elect time develop polici support leader give individu candid elect polit parti give tax receipt contribut cannot stress enough freer vote neg effect continu polit parti abil meld variou diverg viewpoint freer vote mean issu member vote unpredict way state begin speech issu parti platform clear member would expect support parti area outsid platform believ freer vote allow argu govern critic bring legisl tell member defeat measur deem vote non confid govern argu govern wast hous time propos legisl care believ critic attitud govern prais allow elect member take part polici influenc process govern taken hous common grant pay lip servic obtain support critic vote laps dictatori demeanour argument present freer vote dissent allow govern abl make tough decis member duck make unpopular necessari decis possibl dissent may make tougher polit parti take unpopular stand present challeng challeng inform public necess unpopular decis may forc polit parti develop elect platform think possibl issu cover parti platform surpris public elect point made plenti avenu open show displeasur parti leadership vote parti line hous common first glanc may seem true realiti effect mean avail member express dissent exampl privat bill take long time becom law best circumst period list control parti leadership difficult time dissid govern backbench may get tough critic regard relax confid convent freer vote valid valid need polit courag necessari start freer vote leadership issu must come govern shown opposit parti must agre allow dissent member free express view may differ polit parti leadership requir chang attitud polit courag result member play vital role influenc public polici dissent worth time spent reduc parti disciplin look debat motion urg member support send clear messag canadian afraid parti leadership punish exercis independ thought action done past want play meaning role influenc format public polici address need canadian;Daphne Jennings;1994
3963103;colleagu statement earlier privat debat last p would member pleas refer peopl hous name constitu titl proper name;The Deputy Speaker;1994
3963104;mr speaker hear thought address mission coquitlam remind recent movi entitl futur idea reform parti constitut seem date read pre textbook without derogatori refer mission coquitlam would heard jen invok refer jen know mr speaker know taught briefli univers british columbia go greater fame arena sir ivor jen fact recogn throughout former british empir british commonwealth defeat govern measur warrant resign requir qualit judgment speed matter would remind hous spring govern day pearson govern defeat accid failur member return time place felt necessari govern resign appear nation wide televis ndp leader other conclud preced accept stage requir automat resign episod prime minist clark defeat said bad count whip fail think count number govern opposit mr clark conclud resign went govern hous believ governor gener tri suggest preced requir particular cours action know mr clark request dissolut grant governor gener suggest return parliament phone say issu confid interpret today centuri term matter qualit judgment regret reform parti paid attent canadian parliamentari practic prime minist remind address hous common januari hous group independ elect deal team law make today sophist process give take exchang discuss dialect process law make cite experi brief time receiv view constitu commun member provinci group meet week meet week region caucu member western provinc meet nation caucu discuss give take parti committe realiti law make today member particip vote ye vote event dynam process law make today requir contribut give take discuss measur evolv influenc law think undertak interpret role member modern contemporari sens say constitut law full evolut danger best intent mission coquitlam attempt legisl constitut convent life constitut convent logic legisl experi error test process interest thing law make today parti particip parti committe cite belong member reform parti contribut welcom seen chang measur might draft put welcom matter say member repres constitu repres constitu view neglect function today consult constitu bring provinci caucu speak region caucu speak nation caucu discuss parti committe life parliament today realiti law make way way jen wrote beauti work work studi part practic would welcom reform parti join move futur recogn chang made tri legisl therefor stultifi think arrest process creativ evolut today;Ted McWhinney;1994
3963105;mr speaker feel privat bill today could import parliament think recogn someth wrong place reason examin structur way oper look peopl say believ put head sand listen disservic peopl peopl lost confid place believ send mp get gobbl refer ottawa fever want call lead situat messag taken ottawa constitu revers seldom occur think elect result good indic sort thing occur mp come follow parti line littl free think attend drop mr fisher speak caucu come put said lot mp becom good constitu peopl give benefit doubt fact must work constitu work tri find answer say committe work other toe parti line kick freer vote believ solut least part problem recogn throne speech said freer vote way make better famou red book suggest mp given freer vote count committe hous goe vote dealt mani mani peopl institut come conclus feel way examin littl deeper reason first one might committe work said said make differ committe work old parti follow line sort thing seen discuss occur committe work committe day seminar look area interest committe member got feel member parliament committe come seem go organiz phase committe look thing like merit look countri whether fair region represent found parti whip assist came made decis bloc member vice chair committe matter whether represent part look estim parti posit seem come loud clear suppos report parti posit chairman vice chairman major situat opposit member left submit minor report know whether anyon look make wonder work hard committe let look hous hous sit listen know member awar excel idea good research good speech given parti come vote parti line suppos best exampl brought move amend motion exclud senat joint stand committe felt someth elector say place mp feel way place vote parti line could free vote could say peopl thought thought spin doctor parti polit develop nation pride trust politician go parti line decid vote go bill listen speech mention qualiti committe go depth issu look detail fact solut member made awar occur would get inform must get constitu involv must town hall meet day phone blitz tv show household polit propaganda mp feel good materi count someth tri inform elector impress gener public commun member parliament peopl given thought expect vote parti line think member see mani politician mani member public lost faith system procedur parliament would see would result bill introduc could state front whether confid motion committe would report detail bill member would speak member would come listen would count someth member speech would mean member must opportun commun constitu vote occur could pass modifi defeat would chang put aspers present govern order make happen must educ number peopl must educ member media cannot look defeat bill defeat govern must see posit side extra input govern must think thing defeat win lose situat opposit cours must take advantag situat bill defeat hold govern must look construct measur good countri public must realiz mp elect say happen care select mp make sure someon trust repres parti posit freer vote mean mp express view constitu take govern peopl execut power move cabinet hand true repres hous allow greater account mp member point parti line vote wish constitu mp respons wish constitu underestim abil elector get involv becom inform particip direct democraci complex form repres govern got deficit seriou problem let let freer direct democraci get problem;Bob Mills;1994
