basepk;speechtext;speakername;year
1953796;like direct secretari state extern affair view prime minist statement last night call increas resourc intern monetari fund larg increas lend capac intern bank minist tell whether canadian deleg econom social council unit nation meet geneva instruct pursu import object result;Lester Bowles Pearson;1958
1953797;take notic mr speaker except make observ clear matter represent econom social council repres board intern bank monetari fund;Sidney Earle Smith;1958
1953801;like direct prime minist base report la montreal date effect borden commiss complet hear whole countri prime minist clarifi present situat light contradict report statement hous tuesday commiss would hold sit atlant provinc later date;Hédard-J. Robichaud;1958
1953802;thank friend given notic complet hear issu interim report resumpt hear interim report complet hear said day maritim provinc;John George Diefenbaker;1958
1953805;wish address prime minist inform person award scholarship council deni opportun take advantag scholarship civil servant prime minist inform hous govern polici respect would matter look see conflict polici govern intent;Herbert Wilfred Herridge;1958
1953806;receiv notic come hous knowledg matter give consider commun council view abl answer gentleman earli date;John George Diefenbaker;1958
1953809;may direct minist transport cornwal standard freehold juli carri statement effect superintend ontario st lawrenc canal system announc retir men canal affect transfer foot navig canadian side unit state side articl goe state men inquiri ministri find employ follow plan minist refer branch depart transport superintend goe say remain men laid septemb happen men find without employ septemb;Lionel Chevrier;1958
1953810;sure assur state hous everyth done possibl find employ men laid;George Harris Hees;1958
1953811;may supplementari think superintend say pursuant plan minist employ found men direct remain happen;Lionel Chevrier;1958
1953812;take statement selfexplanatori possibl find job men job found men;George Harris Hees;1958
1953816;would minist financ care make observ grow number report interest rate municip issu rise;Erhart Regier;1958
1953817;think comment could made subject within recent time movement market movement market may june movement market sinc know particular date friend refer would care indic shall glad comment;Donald Methuen Fleming;1958
1953818;case record invest hous sent amend telegram municip council chang previou offer indic rise interest rate minist bond convers announc;Erhart Regier;1958
1953819;say mr speaker sinc announc convers loan current quotat provinci issu municip issu risen drop direct connect think drawn loan situat friend alleg;Donald Methuen Fleming;1958
1953822;wish direct minist northern affair nation resourc tender call award equip machineri use thermal plant east saint john new brunswick minist advis hous whether agreement sign feder govern provinc new brunswick regard;Hédard-J. Robichaud;1958
1953823;mr speaker inquir matter week find tender call year equip saint john east plant spoke offici govern new brunswick matter addit tender call routin sort affect agreement govern agreement concern progress made complet sign present time concern saint john east plant;Francis Alvin George Hamilton;1958
1953827;may direct minist transport press releas eman offic come announc appoint mr shepard act chairman air board perform certain duti minist act chairman air board capac hear applic air transport board transcontinent competit c author make investig competit field transcontinent servic;Lionel Chevrier;1958
1953828;mr speaker task chairman board transport commission perform act chairman air transport board limit hear deal transcontinent rout hous committe suppli mr rea chair;George Harris Hees;1958
1953831;may whether postmast gener statement make lefor go item;Azellus Denis;1958
1953832;introduc estim mr chairman attempt review briefli oper depart sinc last time estim came hous explain aspect oper cover detail depart annual report make present cannot help feel enjoy great advantag deni predecessor offic period sinc shall oblig deal question notr dame grace great deal curios depart;William McLean Hamilton;1958
1953833;think minist find other curios depart administ;Paul Joseph James Martin;1958
