basepk;speechtext;speakername;year
1724630;mr speaker honour present petit sign howard wightman creston british columbia canadian pray parliament consid enact comprehens nation health plan would provid citizen irrespect incom full medic dental optic health care;Major James William Coldwell;1953
1724633;march river mr balcer ask receiv protest instal rifl rang defenc project baie du febvr quebec depart nation defenc go rifl rang construct local intend refer would appear proof rang artilleri along south shore lake st peter counti nicolet yamaska construct sinc may provis made rang aircraft rang locat interfer navig within last week represent receiv depart nation defenc take addit land purpos take land add area intend protect peopl anim adjac farm amount addit land propos taken agricultur valu larg full compens paid benefit result countri mention town nicolet entir district provid continu employ expenditur local believ outweigh disadvantag result develop;Brooke Claxton;1953
1724636;first read bill senat relat trade mark unfair competit;Frederick Gordon Bradley;1953
1724641;defenc depart sinc januari build central heat plant comox vancouv island cost project work perform cost contract b contract tender cost contract name firm work tender call name firm tender amount tender name success tender mr dickey build construct date contract tender answer firm tender amount tender follow smith brother wilson limit richard street british columbia mutual construct compani limit burnard street vancouv british columbia g w ledingham compani limit west avenu british columbia smith brother wilson limit british columbia;Mr. Maclnnis:;1953
1724644;depart defenc product victoria invit quotat may propel diamet pitch question firm quotat receiv price purchas order issu propel date b firm c price;Mr. Bryce:;1953
1724645;invit tender issu may 1952 propel r h bore dia x pitch doubl charg bypass valv quotat receiv follow sumner brass foundri ltd bid propel tax includ deliv canadian sumner iron work bid propel valv tax includ deliv purchas order issu propel valv may b canadian sumner iron work b c c propel ea valv ea;Mr. Dickey:;1953
1724647;total amount spent term prairi farm rehabilit act provinc manitoba saskatchewan alberta british columbia sinc decemb total amount financi assist given tree fruit industri nova scotia sinc decemb total amount financi assist given tree fruit industri british columbia sinc decemb;Mr. Herridge:;1953
1724648;manitoba saskatchewan alberta british columbia nil prairi farm rehabilit act appli provinc british columbia expend special vote land protect reclam develop provinc supervis p f r engin;Mr. Fournier (Hull):;1953
1724650;year amount spent depart public work counti roberv wharf repair retain work wharf roberv along mistassini river;Paul Henri Spence;1953
1724651;answer yesterday answer appear yesterday hansard;Elie Beauregard;1953
1724654;name plant toronto area certifi whole part minist defenc product defenc plant within mean nation hous act;David Arnold Croll;1953
1724655;v roe limit malton ont canadian arsen limit gun divis lindsay ont small arm divis branch ont instrument radar divis scarboro ont instrument radar divis leasid ont dowti equip limit ont canadian steel improv limit ont modern tool work limit toronto ont luca rotax limit scarboro ont frigidair product limit leasid ont carrier macfeet toronto ont canadian john manvil compani limit toronto plant port union ont john ingli compani limit scarboro work scarboro ont aluminum good limit toronto ont canadian gener electr compani limit downsview work downsview ont chatco steel product limit tilburi ontario canadian acm screw gear limit york divis toronto ont canadian skf compani limit scarboro ont stark electron instrument limit ajax ont william compani limit west toronto ont psc appli research limit toronto ont fraser limit scarboro ont de havilland aircraft limit downsview ont kelvin thompson compani ont canadian radio manufactur corpor limit leasid ont;John Horace Dickey;1953
1724657;total amount compulsori war save collect world war ii date time limit claim repay total amount repaid;Mr. Fair:;1953
1724658;answer yesterday answer appear page yesterday hansard;James Joseph McCann;1953
1724660;certain properti acquir radio radar purpos situat brooklyn queen counti nova scotia sold war asset corpor depart agenc govern properti consist b sold c price newspap properti advertis sale tender call purchas thereof notif given call tender;Mr. Nowlan:;1953
1724661;acr land structur underground servic electr distribut system overhead heat main fenc b mr eucharist harvey st hubert p q c halifax chronicl herald mail star liverpool advanc bid solicit advertis newspap notic post local post offic send notic prospect purchas;"Mr. Dickey;";1953
1724663;govern employe wharf harbour grand bend ontario b duti c salari paid;Mr. Murphy:;1953
1724664;r g english b caretak rang light c per annum;Mr. Chevrier:;1953
1724667;defenc depart sinc januari build chapel r c f comox vancouv island cost project work perform cost contract b contract tender cost contract name firm work tender call name firm submit tender amount tender name success tender dimens build cost furnish;Mr. Maclnnis:;1953
1724669;govern rent build carl avenu clyde street ottawa order return occupi vipond construct compani limit properti rent price type construct build dimens use build go put chang renov requir structur cost chang renov pay cost;Mr. Dinsdale:;1953
1724671;last fiscal year revenu receiv port entri provinc british columbia period mani individu enter port b depart port c motor vehicl enter port motor vehicl depart port last fiscal year contract let construct connect custom immigr port much spent construct said year;Mr. Cruickshank:;1953
1724674;mr speaker like call attent fact yesterday order paper give answer answer delet today order paper;James Joseph McCann;1953
1724675;understand minist spoken south centr ask understand restor order paper;Elie Beauregard;1953
1724678;inquiri ministri amend delet word wednesday april substitut therefor word monday april ad word wednesday second last line thereof word;Clarence Decatur Howe;1953
1724682;like direct secretari state extern affair hous rise today easter secretari state extern affair inform hous regard prospect negoti armistic korea recent develop regard intern affair care abl inform;Major James William Coldwell;1953
