basepk;speechtext;speakername;year
2743510;honour inform hous messag receiv senat inform hous senat pass bill act respect construct intern highway bridg fort franc ontario intern fall minnesota concurr hous desir;Lucien Lamoureux;1971
2743516;mr speaker honour tabl offici languag report entitl propos new busi corpor law;Stanley Ronald Basford;1971
2743519;mr speaker stand order like tabl offici languag textil cloth board report inquiri respect cotton polyest obliqu cotton yarn press releas subject contain decis made govern;Jean-Luc Pepin;1971
2743522;mr speaker accord rule would like advis budget debat commenc today continu sit day includ june may take opportun refer item today order paper bill c respect stabil prairi grain sale proce normal rule would possibl call bill tomorrow accord prior understand suggest might possibl waiv condit call bill even clock report stage;Allan Joseph MacEachen;1971
2743523;would accept mr speaker agreement might includ waiv rule permit opposit proceed good amend offer report stage think suggest would accept;Gerald William Baldwin;1971
2743524;agre;Stanley Howard Knowles;1971
2743525;agre;Lucien Lamoureux;1971
2743527;agre order;Lucien Lamoureux;1971
2743530;eighth report stand committe procedur organ present hous friday june concur;J. Michael Forrestall;1971
2743531;mr speaker difficulti connect motion moment understand intend move concurr eighth report stand committe procedur organ unless gener agreement author radio broadcast proceed hous final day session summer recess certain attitud parti know june labour condit reserv side hous respect detail believ debat allow continu would consider discuss motion present time would remind hous discuss might take place today motion extens would remov possibl proceed budget debat earli stage difficulti reach conclus right thing believ right thing continu possibl budget debat observ understand believ reach stand committe procedur organ would suggest debat motion adjourn present time;Allan Joseph MacEachen;1971
2743532;proceed appear point order rais presid privi council might say chair assum propos motion knowledg consent presid privi council basi proceed put motion chair might reassur regard;Lucien Lamoureux;1971
2743533;might reassur honour intend attempt second guess chair make sure honour stood motion proceed;J. Michael Forrestall;1971
2743534;everyon seem agre motion stand motion stand motion stand;Lucien Lamoureux;1971
2743537;mr speaker instanc hous give unanim consent certain request hope mood continu unanim consent present motion term stand order confid move second vancouv east mr winch mr simon riesman deputi minist financ call stand committe financ trade econom affair explain assert unemploy level per cent labour forc accept;Stanley Howard Knowles;1971
2743538;hous heard propos motion unanim consent;Lucien Lamoureux;1971
2743540;;Some hon. Members:;1971
2743541;unanim consent motion cannot put;Lucien Lamoureux;1971
2743543;mr speaker leav second winnipeg north centr mr knowl move adjourn hous stand order purpos discuss specif import matter requir urgent consider broad implic program undertaken depart nation health welfar young peopl paid obtain inform young peopl seriou question rais avail inform govern agenc rcmp;David Orlikow;1971
