basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
458662,ca.proc.d.1917-02-01.1,1917-02-01,,,,topic,REPORTS.,,,,,,,
458663,ca.proc.d.1917-02-01.1.1.1,1917-02-01,,,,stagedirection,,,,"Report of the Post Office Department for the fiscal year ended March 31, 1916.-Hon. Mr. Blondin.
Public Accounts for the fiscal year ended March 31, 1916.-Sir Thomas White.",,,,
458664,ca.proc.d.1917-02-01.2,1917-02-01,,,,topic,ELECTION OF MR. RAINVILLE AS DEPUTY SPEAKER.,,,,,,,
458665,ca.proc.d.1917-02-01.2.1,1917-02-01,unmatched,,,,ELECTION OF MR. RAINVILLE AS DEPUTY SPEAKER.,,,"It has become necessary to appoint a chairman of committees of the whole House, and I need not say that the appointment is an important one, involving the duty of presiding over committees of the whole House, and also of presiding over the House itself in the lalbsence of the Speaker. I have very much pleasure in proposing to the House that Mr. Joseph H. Rainville, member of this House for the electoral district of Chambly-Vercheres, be appointed chairman of committees. Mr. Rainville, who has had experience for the past six years as a member of this House, has, I think, manifested a thorough acquaintance with the rules of the House, having been called on from time to time to discharge temporarily the duties of chairman of committees. He has also the qualities which will enable him to discharge his duties in a manner satisfactory in every way, possessing, as he does, the promptness of decision, impartiality, courtesy and tact that are essential to the position which he will be called upon to fill if my proposal should meet with the acceptance of the House. I therefore beg to move, Mr. Speaker:
That Mr. Joseph H. Rainville, member for the electoral district of Chambly-Vercheres, be appointed Chairman of the Committees of the Whole House.

",,,Right Hon.   S@,
458666,ca.proc.d.1917-02-01.2.2.1,1917-02-01,,,,stagedirection,,,,Motion agreed to.,,,,
458667,ca.proc.d.1917-02-01.3,1917-02-01,,,,topic,GERMAN SUBMARINE WARFARE.,,,,,,,
458668,ca.proc.d.1917-02-01.3.1,1917-02-01,5e8a24b4-f155-4f3d-aacc-e6da13c93756,ca.m.4254,Sir ROBERT BORDEN:,Prime Minister; Secretary of State for External Affairs; President of the Privy Council,GERMAN SUBMARINE WARFARE.,,,"Mr. Speaker, a telegram has been received from His Excellency the British Ambassador at Washington, which it is proper that I should communicate to the House:-

",Conservative (1867-1942),,Robert Laird Borden,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=5e8a24b4-f155-4f3d-aacc-e6da13c93756&Language=E&Section=ALL
458669,ca.proc.d.1917-02-01.4,1917-02-01,,,,topic,TELEGRAM FROM BRITISH AMBASSADOR AT WASHINGTON.,,,,,,,
458670,ca.proc.d.1917-02-01.4.1.1,1917-02-01,,,,stagedirection,,,,"Washington, January 31_ 1917.
Urgent.
German Ambassador has just informed Secretary of State that all pledges as to restriction of submarine warfare have been withdrawn from February 1st.
(Sgd.) Spring Rice.",,,,
458671,ca.proc.d.1917-02-01.5,1917-02-01,,,,topic,CONFISCATION OF COAL BY RAILWAYS,,,,,,,
458672,ca.proc.d.1917-02-01.5.1,1917-02-01,5e8a24b4-f155-4f3d-aacc-e6da13c93756,ca.m.4254,Sir ROBERT BORDEN:,Prime Minister; Secretary of State for External Affairs; President of the Privy Council,CONFISCATION OF COAL BY RAILWAYS,,,"A question was asked in the House a few days ago in regard to the commandeering of coal by the Dominion Atlantic Railway. In answer to the hon. gentleman who sought information upon the subject, I stated that it would be taken up by the Board of Railway Commis-

sion-ers, and I am to-day in receipt of a letter, dated yesterday, which is as follows:
January 31, 1917.
Dear Sir Robert Borden,-As the question of commandeering of coal by the Dominion Atlantic railway came to me through you, for your information, I beg to advise that the company makes the following explanations as to the situation.
Your telegram yesterday re coal for Nova Scotia Underwear Company. This coal was taken at Truro. Action made necessary in order to keep traffic moving. On night of 23rd Dominion Atlantic took three cars, one consigned to the Underwear Company and two to F. W. Dimock, local coal dealer, Windsor, who was under contract to supply Underwear Company with one car a week. Railway Company returned one of these cars to Dimock on the 25th and one on the 24th and three will be replaced to-day under arrangement with local coal dealer Wolfville and Mr. Ballantyne, Manager Underwear Company with whom company have been in constant touch. Am advised coal was not taken without first making sure that Underwear Company would be in no way inconvenienced. On account of very heavy demand for munition plants, etc., mines have been unable to meet requirements. Effective February first Railway Company is making heavy reductions its passenger trains in order to save coal and enable it to move overseas traffic. It is purchasing coal from whatever source possible at prohibitive prices in order to keep situation 1rt hand.
The coal shortage is, of course, severe, and our troubles many. On the one hand, train i have to move; but, on the other, factories have to be kept going.
Yours faithfully,
H. L. Drayton,
Chief Commissioner. The Right Honourable the Premier,
Ottawa Ont.

",Conservative (1867-1942),,Robert Laird Borden,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=5e8a24b4-f155-4f3d-aacc-e6da13c93756&Language=E&Section=ALL
458673,ca.proc.d.1917-02-01.6,1917-02-01,,,,topic,QUESTIONS.,,,,,,,
458674,ca.proc.d.1917-02-01.6.1.1,1917-02-01,,,,stagedirection,,,,(Questions answered orally are indicated by an asterisk.),,,,
458675,ca.proc.d.1917-02-01.6.2,1917-02-01,,,,subtopic,QUESTIONS.,ROYAL NORTHWEST MOUNTED POLICE.,,,,,,
458676,ca.proc.d.1917-02-01.6.2.1,1917-02-01,6e8d69a0-c443-4d32-9982-364df1473067,ca.m.2836,,,QUESTIONS.,ROYAL NORTHWEST MOUNTED POLICE.,,"1.	Is the Royal Northwest Mounted Police force now engaged in enforcing law in the provinces of Saskatchewan and Alberta to be withdrawn from the authority of* the respective Provincial Governments.
2.	If so, at what date is this withdrawal to take place?
3.	Is the force to remain in the provinces?
4.	In what duty is it to be employed?

",Liberal,,Mr. OLIVER:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6e8d69a0-c443-4d32-9982-364df1473067&Language=E&Section=ALL
458677,ca.proc.d.1917-02-01.6.2.2,1917-02-01,5e8a24b4-f155-4f3d-aacc-e6da13c93756,ca.m.4254,Sir ROBERT BORDEN:,Prime Minister; Secretary of State for External Affairs; President of the Privy Council,QUESTIONS.,ROYAL NORTHWEST MOUNTED POLICE.,,"I beg to lay on the table of the House the orders in council which are alluded to in this question, and which, I think, will give a full answer to the inquiry made by the hon. gentleman.

",Conservative (1867-1942),,Robert Laird Borden,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=5e8a24b4-f155-4f3d-aacc-e6da13c93756&Language=E&Section=ALL
458678,ca.proc.d.1917-02-01.6.3,1917-02-01,,,,subtopic,QUESTIONS.,REMOVAL OF RAILWAY MATERIAL TO FRANCE.,,,,,,
458679,ca.proc.d.1917-02-01.6.3.1,1917-02-01,d37caeac-e2c8-4010-a406-bd6c910d1265,ca.m.6702,,,QUESTIONS.,REMOVAL OF RAILWAY MATERIAL TO FRANCE.,,"1.	What trackage of railway is Canada sending to the Allies?
2.	What is the tonnage?
3.	Are ties included?
4.	From what lines and at what points is this trackage taken?

",Liberal,,Mr. GRAHAM:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d37caeac-e2c8-4010-a406-bd6c910d1265&Language=E&Section=ALL
458680,ca.proc.d.1917-02-01.6.3.2,1917-02-01,bd9df755-dfce-42dc-9ebb-55306d610edc,ca.m.3200,,Minister of Railways and Canals,QUESTIONS.,REMOVAL OF RAILWAY MATERIAL TO FRANCE.,,"1.	Three hundred miles.
2.	Approximately 45,000 gross tons, including fastenings, turnouts, etc.
3.	No.
4.	Prom yards at divisional points on the National Transcontinental railway.

",Conservative (1867-1942),,Mr. COCHRANE:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=bd9df755-dfce-42dc-9ebb-55306d610edc&Language=E&Section=ALL
458681,ca.proc.d.1917-02-01.6.4,1917-02-01,,,,subtopic,QUESTIONS.,PATENT MEDICINES.,,,,,,
458682,ca.proc.d.1917-02-01.6.4.1,1917-02-01,d68f3149-1746-4cee-8c31-9202fd5201eb,ca.m.2393,Mr. GAUVREAU:,,QUESTIONS.,PATENT MEDICINES.,,"Will the Minister of Inland Revenue introduce, during this session, a Bill respecting the classification of patent medicines, especially as to abortive drugs and medicines or their equivalent?

",Liberal,,Charles Arthur Gauvreau,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d68f3149-1746-4cee-8c31-9202fd5201eb&Language=E&Section=ALL
458683,ca.proc.d.1917-02-01.6.4.2,1917-02-01,5e8a24b4-f155-4f3d-aacc-e6da13c93756,ca.m.4254,Sir ROBERT BORDEN:,Prime Minister; Secretary of State for External Affairs; President of the Privy Council,QUESTIONS.,PATENT MEDICINES.,,"Any necessary announcement in regard to this subject will he made in due course.

",Conservative (1867-1942),,Robert Laird Borden,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=5e8a24b4-f155-4f3d-aacc-e6da13c93756&Language=E&Section=ALL
458684,ca.proc.d.1917-02-01.6.5,1917-02-01,,,,subtopic,QUESTIONS.,MAIL CONTRACT.,,,,,,
