basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2552779,ca.proc.d.1968-10-23.1,1968-10-23,,,,topic,PRESENCE IN GALLERY OF PREMIER AND CABINET OF PRINCE EDWARD ISLAND,,,,,,,
2552780,ca.proc.d.1968-10-23.1.1,1968-10-23,unmatched,,,,PRESENCE IN GALLERY OF PREMIER AND CABINET OF PRINCE EDWARD ISLAND,,,"Mr. Speaker, I should like to draw to your attention and to the attention of the members of this house the presence in your gallery of a very distinguished group of parliamentarians from Prince Edward Island. Hon. Alex. Campbell, premier, and the members of his cabinet are here today.

",,,Right Hon.   P.-E. Trudeau@Prime Minister,
2552781,ca.proc.d.1968-10-23.1.2,1968-10-23,intervention,,,,PRESENCE IN GALLERY OF PREMIER AND CABINET OF PRINCE EDWARD ISLAND,,,"Hear, hear.

",,,Some hon. Members:,
2552782,ca.proc.d.1968-10-23.1.3,1968-10-23,3e66b4c9-6dae-4083-8d96-5d3f94979e94,ca.m.4635,Mr. Trudeau:,Prime Minister,PRESENCE IN GALLERY OF PREMIER AND CABINET OF PRINCE EDWARD ISLAND,,,"When we see a delegation from that province come to meet us in Ottawa, Mr. Speaker, we are always reminded of the great beginnings of this country and the importance of Charlottetown in the establishment between all parts of Canada of greater bounds of friendship and loyalty. We are always pleased when delegations from that province come to discuss other bonds that might make the country even more united.

",Liberal,,Pierre Elliott Trudeau,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3e66b4c9-6dae-4083-8d96-5d3f94979e94&Language=E&Section=ALL
2552783,ca.proc.d.1968-10-23.2,1968-10-23,,,,topic,NOTICE RESPECTING PARKING AREA IN ENGLISH ONLY,,,,,,,
2552784,ca.proc.d.1968-10-23.2.1,1968-10-23,bca831f5-fe1d-4b1b-b227-ff89152987ff,ca.m.3491,Mr. Bernard Dumoni (Frontenac):,,NOTICE RESPECTING PARKING AREA IN ENGLISH ONLY,,,"Mr. Speaker, I rise on a point of order. We received a letter last night, the heading of which was given in English only, advising us that on Saturday, October 26, the parking lot adjacent to the building will be paved. Mention is made of gates and we are asked to leave our keys with the constable. It is signed D. V. Currie, sergeant-at-arms.
I wish to point out to the house that we did not understand this notice at all which, in fact, was written in English only. As this is often the case, we would appreciate, in order to comply with the requests, receiving bilingual instructions.

",Ralliement Créditiste,,Bernard Dumont,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=bca831f5-fe1d-4b1b-b227-ff89152987ff&Language=E&Section=ALL
2552785,ca.proc.d.1968-10-23.2.2,1968-10-23,3e0d75d7-a08d-413b-9413-e6054d79e797,ca.m.4170,Mr. Speaker:,Speaker of the House of Commons,NOTICE RESPECTING PARKING AREA IN ENGLISH ONLY,,,"Order. I have taken note of the representations of the hon. member and I will see to it that the situation about which he is complaining is remedied.

",Independent,,Lucien Lamoureux,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3e0d75d7-a08d-413b-9413-e6054d79e797&Language=E&Section=ALL
2552786,ca.proc.d.1968-10-23.3,1968-10-23,,,,topic,FISHERIES,,,,,,,
2552787,ca.proc.d.1968-10-23.3.1,1968-10-23,,,,subtopic,FISHERIES,REQUEST FOR STATEMENT ON MARKETING POLICY,,,,,,
2552788,ca.proc.d.1968-10-23.3.1.1,1968-10-23,53582230-b17d-4b34-9398-b8e59787ba07,ca.m.8978,Mr. Lloyd R. Crouse (South Shore):,,FISHERIES,REQUEST FOR STATEMENT ON MARKETING POLICY,,"Mr. Speaker-

",Progressive Conservative,,Lloyd Roseville Crouse,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=53582230-b17d-4b34-9398-b8e59787ba07&Language=E&Section=ALL
2552789,ca.proc.d.1968-10-23.3.1.2,1968-10-23,3e0d75d7-a08d-413b-9413-e6054d79e797,ca.m.4170,Mr. Speaker:,Speaker of the House of Commons,FISHERIES,REQUEST FOR STATEMENT ON MARKETING POLICY,,"Is the hon. member rising on a point of order?

",Independent,,Lucien Lamoureux,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3e0d75d7-a08d-413b-9413-e6054d79e797&Language=E&Section=ALL
2552790,ca.proc.d.1968-10-23.3.1.3,1968-10-23,53582230-b17d-4b34-9398-b8e59787ba07,ca.m.8978,Mr. Crouse:,,FISHERIES,REQUEST FOR STATEMENT ON MARKETING POLICY,,"I should like to ask the Minister of Industry, Trade and Commerce when we might expect a statement from him on the marketing of fish, as promised last week to the hon. member for Gander-Twillingate (Mr. Lundrigan).

",Progressive Conservative,,Lloyd Roseville Crouse,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=53582230-b17d-4b34-9398-b8e59787ba07&Language=E&Section=ALL
2552791,ca.proc.d.1968-10-23.3.1.4,1968-10-23,3e0d75d7-a08d-413b-9413-e6054d79e797,ca.m.4170,Mr. Speaker:,Speaker of the House of Commons,FISHERIES,REQUEST FOR STATEMENT ON MARKETING POLICY,,"Order, please. I wonder
whether that question should be asked at this time. We have just reached the written question stage of proceedings.

",Independent,,Lucien Lamoureux,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3e0d75d7-a08d-413b-9413-e6054d79e797&Language=E&Section=ALL
2552792,ca.proc.d.1968-10-23.4,1968-10-23,,,,topic,QUESTIONS,,,,,,,
2552793,ca.proc.d.1968-10-23.4.1.1,1968-10-23,,,,stagedirection,,,,(Questions answered orally are indicated by an asterisk.),,,,
2552794,ca.proc.d.1968-10-23.4.2,1968-10-23,,,,subtopic,QUESTIONS,PRIMARY LANGUAGE OF SENIOR CIVIL SERVANTS,,,,,,
