basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
99095,ca.proc.d.1903-09-18.1,1903-09-18,,,,topic,REPRESENTATION OF THE NORTHWEST TERRITORIES IN THE SENATE.,,,,,,,
99096,ca.proc.d.1903-09-18.1.1.1,1903-09-18,,,,stagedirection,,,,"The MINISTER OF JUSTICE (Hon. Charles Fitzpatrick) moved the first reading of Bill (No. 253) to increase the representation of the North-west Territories in the Senate. He said : Hon. gentlemen are aware that, under the British North America Amendment Act of 1886, it is provided that the parliament of Canada may, from time to time, make provision for the representation in the Senate and House of Commons of Canada, or either of them, of any territory for the time being formed in the Dominion of Canada, but not included in any of the provinces thereof. In the following year a Bill was introduced, which appears as chapter 3 of the statute of 1887, by which provision was made for the re-Hon. Mr. FIELDING.
presentation of the North-west Territories in the Senate by two members. Since that time the population has materially increased. The population of the organized part, Assiniboia, Alberta and Saskatchewan, which was only 25,515 in 1881, increased to 66,799 in 1891, and to 159,940 in 1901. Of course, since then there has been even a greater proportion of increase. _ The increase in the unorganized territory was from 30,931 in 1881 to 52,709 in 1901. Taking these two together and allowing for increase since 1901, the proportion of representation of the territories in the Senate will be about the same as it is in Ontario.
Motion agreed to, and Bill read the first time.",,,,
99097,ca.proc.d.1903-09-18.2,1903-09-18,,,,topic,YUKON TERRITORY ACT AMENDMENT.,,,,,,,
99098,ca.proc.d.1903-09-18.2.1.1,1903-09-18,,,,stagedirection,,,,"The MINISTER OF JUSTICE (Hon. Charles Fitzpatrick) moved for leave to introduce Bill (No. 254) further to amend the Yukon Territory Act. He said : This Bill is introduced merely for the purpose of setting at rest a doubt that was expressed by the Supreme Court at its last sitting with regard to the Court of Appeal for the Yukon. They expressed doubt as to whether or not, under the statute as we have it, two judges of the Court of Appeal form a quorum of that court. It would seem to me, as a matter of course, that in a court of three judges two would form a quorum. However, the Supreme Court expressed doubt on that point, and this is to set that doubt at rest,	1
Motion agreed to, and Bill read the first time.",,,,
99099,ca.proc.d.1903-09-18.3,1903-09-18,,,,topic,CONSOLIDATED REVENUE AND AUDIT ACT AMENDMENT.,,,,,,,
99100,ca.proc.d.1903-09-18.3.1,1903-09-18,5e8a24b4-f155-4f3d-aacc-e6da13c93756,ca.m.4254,Mr. R. L. BORDEN (Halifax).,Leader of the Official Opposition,CONSOLIDATED REVENUE AND AUDIT ACT AMENDMENT.,,,"Before the Orders of the Day are called, I would like to know whether or not the documents in connection with the Bill to amend the Audit Act have been laid on the Table, or when they are likely to be laid on the Table. I mentioned some of them the other day, documents and correspondence with which the Bill had to do. I should have mentioned at that time any opinions from the Department of Justice with reference to the difficulties that have arisen between the Auditor General and the Department of Finance. I understand that there is one opinion given, I think, by the Deputy Minister of Justice within a' few months.

",Conservative (1867-1942),,Robert Laird Borden,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=5e8a24b4-f155-4f3d-aacc-e6da13c93756&Language=E&Section=ALL
99101,ca.proc.d.1903-09-18.3.2,1903-09-18,intervention,,,,CONSOLIDATED REVENUE AND AUDIT ACT AMENDMENT.,,,"They will all be brought down.

",,,The PRIME MINISTER.,
99102,ca.proc.d.1903-09-18.4,1903-09-18,,,,topic,REPRESENTATION IN THE HOUSE OF COMMONS.,,,,,,,
99103,ca.proc.d.1903-09-18.4.1.1,1903-09-18,,,,stagedirection,,,,"House again in committee on Bill (No. 66) to readjust the representation in the﻿11693

House of Commons, as reported by a special committee.-The Prime Minister.
On item 54-the city of Toronto into five electoral districts.",,,,
99104,ca.proc.d.1903-09-18.4.2,1903-09-18,0584c1e1-b6cf-4b4b-bb53-943e8168b396,ca.m.1581,Mr. CLARKE.,,REPRESENTATION IN THE HOUSE OF COMMONS.,,,"I would like to know upon what principle the subdivision of the city of Toronto is made ? Every recognized rule supposed to govern a matter of this kind is completely ignored. Take the case of South Toronto, where the hon. gentlemen have succeeded in carving out a constituency where they hope to get a majority of 150. They have done that by taking a strip about 400 yards wide running from near the Humber bridge down to the Don bridge. They have taken a piece here and there off each of the other constituencies. It is the most extraordinary looking constituency that can be found in the Dominion of Canada. I would like to know why they departed from the recognized boundaries of the constituencies heretofore existing, from the boundaries of the ridings, from concession lines, and from every other landmark in making this division ?

",Conservative (1867-1942),,Edward Frederick Clarke,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0584c1e1-b6cf-4b4b-bb53-943e8168b396&Language=E&Section=ALL
