basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
3840511,ca.proc.d.1990-10-09.1,1990-10-09,,,,topic,ROUTINE PROCEEDINGS,,,,,,,
3840512,ca.proc.d.1990-10-09.1.1,1990-10-09,,,,subtopic,ROUTINE PROCEEDINGS,PETITIONS,,,,,,
3840513,ca.proc.d.1990-10-09.1.1.1.1,1990-10-09,40db217b-1580-4c83-b079-be605f3f2fab,ca.m.9759,Mr. Albert Cooper (Parliamentary Secretary to Leader of the Government in the House of Commons):,Parliamentary Secretary to the Leader of the Government in the House of Commons,ROUTINE PROCEEDINGS,PETITIONS,GOVERNMENT RESPONSE,"Mr. Speaker, pursuant to Standing Order 36(8), I have the honour to table, in both official languages, the government's response to 11 petitions.
\Editor's Note: See today's Votes and Proceedings.}

",Progressive Conservative,,Albert Glen Cooper,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=40db217b-1580-4c83-b079-be605f3f2fab&Language=E&Section=ALL
3840514,ca.proc.d.1990-10-09.2,1990-10-09,,,,topic,ORDER IN COUNCIL APPOINTMENTS,,,,,,,
3840515,ca.proc.d.1990-10-09.2.1,1990-10-09,,,,subtopic,ORDER IN COUNCIL APPOINTMENTS,TABLING AND REFERENCE TO STANDING COMMITTEES,,,,,,
3840516,ca.proc.d.1990-10-09.2.1.1,1990-10-09,7dcf3dd2-39d7-4162-a494-1c4ca12ab718,ca.m.6145,"Hon. Marcel Danis (Minister of State (Youth), Minister of State (Fitness and Amateur Sport) and Deputy Leader of the Government in the House of Commons):",Minister of State (Fitness and Amateur Sport); Minister of State (Youth); Deputy Leader of the Government in the House of Commons; Progressive Conservative Party Deputy House Leader,ORDER IN COUNCIL APPOINTMENTS,TABLING AND REFERENCE TO STANDING COMMITTEES,,"Mr. Speaker, I am pleased to table, in both official languages, a number of Order in Council appointments which were made by the government.
Pursuant to the provisions of Standing Order 110(1), these are deemed referred to the appropriate standing committees, a list of which is attached.

",Progressive Conservative,,Marcel Danis,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7dcf3dd2-39d7-4162-a494-1c4ca12ab718&Language=E&Section=ALL
3840517,ca.proc.d.1990-10-09.3,1990-10-09,,,,topic,AIRPORT TRANSFER (MISCELLANEOUS MATTERS) ACT MEASURE TO ENACT,,,,,,,
3840518,ca.proc.d.1990-10-09.3.1,1990-10-09,,,,subtopic,AIRPORT TRANSFER (MISCELLANEOUS MATTERS) ACT MEASURE TO ENACT,,,"['I want to thank the hon. member for Ottawa-Vanier for his comments. As hon. members are no doubt aware, similar points of order were raised last Friday and, as I said, it is probably not appropriate to have an emergency debate. However, I think that this week we would do well to consider with some measure of concern the events that occured in the other place. Today, however, I regret to say, is not the appropriate time. I thank the hon. member.']",,,,
3840519,ca.proc.d.1990-10-09.3.1.1,1990-10-09,761a9263-10e4-4b7c-848d-e7ba3a1f500e,ca.m.2746,Hon. Doug Lewis (Minister of Transport) moved,Minister of Transport,AIRPORT TRANSFER (MISCELLANEOUS MATTERS) ACT MEASURE TO ENACT,,,"for leave to introduce Bill C-85, an act to provide for certain
matters respecting official languages, employees' pensions and labour relations in connection with the transfer of certain airports.

",Progressive Conservative,,Douglas Grinslade Lewis,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=761a9263-10e4-4b7c-848d-e7ba3a1f500e&Language=E&Section=ALL
3840520,ca.proc.d.1990-10-09.3.2.1,1990-10-09,,,,stagedirection,,,,"Motion agreed to, bill read the first time and ordered to be printed.",,,,
