basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
3196114,ca.proc.d.1979-02-15.1,1979-02-15,,,,topic,ROUTINE PROCEEDINGS,,,,,,,
3196115,ca.proc.d.1979-02-15.1.1,1979-02-15,,,,subtopic,ROUTINE PROCEEDINGS,CRIMINAL CODE,,,,,,
3196116,ca.proc.d.1979-02-15.1.1.1.1,1979-02-15,9a216666-6b6a-4761-9a98-afc11747bf5f,ca.m.9053,Mr. Eldon M. Woolliams (Calgary North):,,ROUTINE PROCEEDINGS,CRIMINAL CODE,NEED FOR FURTHER DEFINITIONS RESPECTING SEXUAL OFFENCES-MOTION UNDER S.O. 43,"Mr. Speaker, I rise, under the provisions of Standing Order 43, on a matter of urgent and pressing necessity.
In light of the decision in the case of The Queen v. Pink Triangle Press, whereby Provincial Judge Harris dismissed a charge of obscenity because, in his words, ""Parliament has failed to define immorality clearly enough so that its courts can judge what is moral and immoral as far as it affects children"". I move, seconded by the hon. member for St. John's East (Mr. McGrath):
That as the Attorney General of Canada is severing Bill C-21, the big amendment to the Code, and bringing in a separate bill by consent of the opposition in reference to the definition of ""soliciting"" and ""public place"" as to prostitution, that he therefore also produce in the same bill a new definition of ""obscenity"" as far as it affects children and, in particular, make it illegal for any publisher, either by photograph or by writing, to depict a child engaged in or participating in an act of masturbation, sexual intercourse, gross indecency, etc., in light of the fact that the city of Toronto has already experienced the horrible murder of a young boy by the name of Emanuel Jaques, and child obscenity in that city is still flourishing.

",Progressive Conservative,,Eldon Mattison Woolliams,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9a216666-6b6a-4761-9a98-afc11747bf5f&Language=E&Section=ALL
3196117,ca.proc.d.1979-02-15.1.1.1.2,1979-02-15,1c84ed8e-0b0a-441b-a324-bedff3f898fc,ca.m.1648,Mr. Speaker:,Speaker of the House of Commons,ROUTINE PROCEEDINGS,CRIMINAL CODE,NEED FOR FURTHER DEFINITIONS RESPECTING SEXUAL OFFENCES-MOTION UNDER S.O. 43,"The introduction of such a motion for debate at this time would require the unanimous consent of the House. Is there unanimous consent?

",Liberal,,James Alexander Jerome,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1c84ed8e-0b0a-441b-a324-bedff3f898fc&Language=E&Section=ALL
3196118,ca.proc.d.1979-02-15.1.1.1.3,1979-02-15,intervention,,,,ROUTINE PROCEEDINGS,CRIMINAL CODE,NEED FOR FURTHER DEFINITIONS RESPECTING SEXUAL OFFENCES-MOTION UNDER S.O. 43,"Agreed.

",,,Some hon. Members:,
3196119,ca.proc.d.1979-02-15.1.1.1.4,1979-02-15,intervention,,,,ROUTINE PROCEEDINGS,CRIMINAL CODE,NEED FOR FURTHER DEFINITIONS RESPECTING SEXUAL OFFENCES-MOTION UNDER S.O. 43,"No.

",,,Some hon. Members:,
3196120,ca.proc.d.1979-02-15.1.2,1979-02-15,,,,subtopic,ROUTINE PROCEEDINGS,SOCIAL INSURANCE,,,,,,
3196121,ca.proc.d.1979-02-15.1.2.1.1,1979-02-15,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Jake Epp (Provencher):,,ROUTINE PROCEEDINGS,SOCIAL INSURANCE,REQUEST FOR CESSATION OF EXPANDED USE OF SOCIAL INSURANCE NUMBERS-MOTION UNDER S O. 43,"Mr. Speaker, I rise on a matter of urgent and pressing necessity under the provisions of Standing Order 43.
In view of the fact that employees at the Canadian Grains Commission in Winnipeg were informed yesterday that they
would not receive their pay cheques today if they did not produce a social insurance number, this directive including employees with 20 to 30 years' service, I move, seconded by the hon. member for Saskatoon-Biggar (Mr. Hnatyshyn):
That the government remove the directive that pay cheques will not be issued to employees if they do not produce a social insurance number, and further, that the government cease expansion of the use of the social insurance number beyond the social assistance programs to which the government assured the Canadian public the usage of the social insurance number would be restricted.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3196122,ca.proc.d.1979-02-15.1.2.1.2,1979-02-15,1c84ed8e-0b0a-441b-a324-bedff3f898fc,ca.m.1648,Mr. Speaker:,Speaker of the House of Commons,ROUTINE PROCEEDINGS,SOCIAL INSURANCE,REQUEST FOR CESSATION OF EXPANDED USE OF SOCIAL INSURANCE NUMBERS-MOTION UNDER S O. 43,"Such a motion can be introduced at this time only with the unanimous consent of the House. Is there unanimous consent?

",Liberal,,James Alexander Jerome,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1c84ed8e-0b0a-441b-a324-bedff3f898fc&Language=E&Section=ALL
3196123,ca.proc.d.1979-02-15.1.2.1.3,1979-02-15,intervention,,,,ROUTINE PROCEEDINGS,SOCIAL INSURANCE,REQUEST FOR CESSATION OF EXPANDED USE OF SOCIAL INSURANCE NUMBERS-MOTION UNDER S O. 43,"Agreed.

",,,Some hon. Members:,
