length_bin_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50–59,0.01586771337898781,0.023551027225655587,0.009353599465508603,0.03824954067145482,0.4641723734758644,0.022715884416235177,0.009520628027392683,0.012193085017537998,0.009019542341740438,0.06313679639218306,0.05912811090696509,0.022381827292467012,0.10806747953900117,0.013529313512610656,0.024887255720728245,0.034741940871889095,0.015032570569567395,0.01620177050275597,0.027726741272757642,0.010522799398697177
59–69,0.01804209822920147,0.02505846976277982,0.010858670230537921,0.045105245573003674,0.44136318075509523,0.023889074507183427,0.009021049114600735,0.013531573671901102,0.010691613765452723,0.06765786835950552,0.05897093217507517,0.03040427664550618,0.09371867691279652,0.016538590043434682,0.028566655529568993,0.026729034413631808,0.01971266288005346,0.018877380554627465,0.03090544604076178,0.010357500835282325
69–81,0.018209154694286668,0.025726695623120615,0.011693952555963916,0.04811226194453725,0.4213164049448714,0.031072502505846977,0.009522218509856331,0.01687270297360508,0.010858670230537921,0.06682258603407952,0.06348145673237554,0.030070163715335784,0.07701303040427665,0.023053792181757436,0.024557300367524224,0.029903107250250586,0.028900768459739393,0.022719679251587035,0.03040427664550618,0.00968927497494153
81–96,0.02539258269295022,0.02606080855329101,0.012028065486134313,0.049448713665218844,0.39759438690277316,0.03575008352823254,0.011693952555963916,0.018543267624457068,0.011861009021049114,0.061476779151353154,0.0691613765452723,0.032408954226528564,0.0691613765452723,0.02489141329769462,0.024390243902439025,0.032241897761443365,0.038255930504510524,0.020213832275309054,0.030738389575676577,0.008686936184430337
96–114,0.024557300367524224,0.02372201804209823,0.013030404276645506,0.051787504176411626,0.3802205145339125,0.0410958904109589,0.011359839625793518,0.019879719345138658,0.015536251252923489,0.06364851319746075,0.07317073170731707,0.03090544604076178,0.05997327096558637,0.021383227530905446,0.02221850985633144,0.02622786501837621,0.0547945205479452,0.01921149348479786,0.036418309388573336,0.010858670230537921
114–139,0.028232542599398596,0.024390243902439025,0.011025726695623121,0.053458068827263616,0.34396926161042435,0.03925826929502172,0.012028065486134313,0.021216171065820248,0.0138656866020715,0.059472101570330775,0.08486468426328099,0.028900768459739393,0.051787504176411626,0.02505846976277982,0.024056130972268625,0.027731373204143,0.07951887738055463,0.02054794520547945,0.03458068827263615,0.016037420648179083
139–180,0.03491480120280655,0.03190778483127297,0.009021049114600735,0.056298028733711994,0.2923488138990979,0.043267624457066486,0.012028065486134313,0.019545606414968258,0.009021049114600735,0.047611092549281656,0.09305045105245573,0.028900768459739393,0.05262278650183762,0.028900768459739393,0.018710324089542266,0.03357834948212496,0.12261944537253591,0.02505846976277982,0.028232542599398596,0.012362178416304711
180–277,0.03842298696959572,0.039091212829936516,0.00968927497494153,0.06164383561643835,0.2231874373538256,0.046608753758770466,0.018209154694286668,0.01687270297360508,0.0045105245573003674,0.025559639158035417,0.110925492816572,0.03174072836618777,0.04259939859672569,0.02355496157701303,0.013531573671901102,0.03842298696959572,0.18610090210491145,0.025726695623120615,0.028900768459739393,0.014700968927497494
277–602,0.04744403608419646,0.04878048780487805,0.010190444370197126,0.06582024724356833,0.12011359839625793,0.04894754426996325,0.023220848646842634,0.021717340461075842,0.0045105245573003674,0.01252923488138991,0.12094888072168393,0.03508185766789175,0.03357834948212496,0.02054794520547945,0.010023387905111928,0.046775810223855664,0.249582358837287,0.03792181757434013,0.024724356832609422,0.017540928833945875
602–2109,0.05913798864016037,0.03591713999331774,0.011861009021049114,0.0688272636151019,0.03675242231874373,0.05997327096558637,0.03859004343468092,0.027731373204143,0.006348145673237555,0.005679919812896759,0.06632141663882392,0.03625125292348814,0.012863347811560307,0.023220848646842634,0.007183427998663549,0.043434680922151685,0.3528232542599399,0.059472101570330775,0.02355496157701303,0.024056130972268625
