basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2175163,ca.proc.d.1962-10-01.1,1962-10-01,,,,topic,DEFENCE RESEARCH,,,,,,,
2175164,ca.proc.d.1962-10-01.1.1,1962-10-01,,,,subtopic,DEFENCE RESEARCH,ANNOUNCEMENT OF SUCCESSFUL LAUNCHING OF CANADIAN SATELLITE,,,,,,
2175165,ca.proc.d.1962-10-01.1.1.1,1962-10-01,546df72b-fbe3-4980-ad0f-abc7a4ceed2a,ca.m.876,Hon. D. S. Harkness (Minister of National Defence):,Minister of National Defence,DEFENCE RESEARCH,ANNOUNCEMENT OF SUCCESSFUL LAUNCHING OF CANADIAN SATELLITE,,"Mr. Speaker, last Friday night at 11.04 p.m. Pacific daylight time the satellite Alouette, developed by the defence research board here in Ottawa, was successfully launched into orbit from Vandenberg air force base in California atop a Thor Agena rocket provided by the United States national aeronautics and space administration. This culminated three years of effort to combine applied science and technical skill by scientists here in Canada, and marks the first occasion for a space craft to be completely designed and built by a nation other than the United States or the Soviet union.
Signals from the satellite are now being received by tracking stations around the world including eight operated by NASA and two by the British, while here in Canada three defence research board stations are already receiving important data. The satellite passed over Ottawa for the first time shortly after noon on Saturday, and on subsequent passes tracking and the reception of information has been very satisfactory.
The Alouette is being called upon to carry out four experiments, three designed by the defence research board and the fourth by the national research council. One will seek the electron density distribution within a specific layer of the ionosphere; a second will determine changes in the ionosphere directly below the orbiting satellite; a third will measure cosmic radio noise, and the fourth, designed by national research council, will measure primary cosmic ray particles which are related to auroral effects and the leakage of particles in the upper atmosphere. If these experiments are completely successful, and at the moment we have every reason to believe that they will be, they will have valuable practical application to the technology of long range telecommunications both for civil and defence purposes.
Our collaboration with NASA, which includes the launching of a similar satellite in the near future, will result in a pooling of scientific data that will add much to what we already know.
The government and industrial scientists and engineers who have contributed to this project have acquired new experience, knowledge and skills which will improve Canada's international stature and industrial competitive position in an expanding technological field. Valuable experience has also been gained by Canadian firms which have participated in this project, in particular the de Havilland Aircraft Company in Toronto which developed the unique antenna system for the satellite and which has already received large United States orders for similar antennae and expects more orders to come. Another Canadian contractor, R.C.A. Victor Company Limited of Montreal, has a firm prospect for United States orders for telemetry transmitters of the type developed for the satellite.
This has been an outstanding Canadian achievement which could not have been successful without the close co-operation and support of officials in the United States, industry here in Canada and, in particular, without the earnest endeavours of all who participated in this project within the defence research board.

",Progressive Conservative,,Douglas Scott Harkness,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=546df72b-fbe3-4980-ad0f-abc7a4ceed2a&Language=E&Section=ALL
2175166,ca.proc.d.1962-10-01.1.1.2,1962-10-01,6ffdccf5-fe20-4be5-b99d-1593863458ac,ca.m.1985,Hon. Paul Hellyer (Trinity):,,DEFENCE RESEARCH,ANNOUNCEMENT OF SUCCESSFUL LAUNCHING OF CANADIAN SATELLITE,,"Mr. Speaker, we on this side of the house would like to join with the government in congratulating all those who have participated in the successful launching of the Alouette satellite. It is indeed an outstanding achievement. It is a demonstration of the high quality of Canadian scientists and of their capabilities and endeavours in this collective achievement. It is also an indication of the successful teamwork on the part of government scientists working closely with those of private industry.
We also appreciate the excellent co-operation of our American neighbours, and particularly of the United States air force, in putting the satellite in orbit. We congratulate all those who participated in any way in the project on their magnificent achievement.

",Liberal,,Paul Theodore Hellyer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6ffdccf5-fe20-4be5-b99d-1593863458ac&Language=E&Section=ALL
2175167,ca.proc.d.1962-10-01.1.1.3,1962-10-01,124d5348-2f63-4e80-910e-78d16dfc5b72,ca.m.1855,Mr. R. N. Thompson (Red Deer):,,DEFENCE RESEARCH,ANNOUNCEMENT OF SUCCESSFUL LAUNCHING OF CANADIAN SATELLITE,,"Mr. Speaker, we in the Social Credit party would like to join in extending our sincere congratulations to those whose efforts have led to the accomplishment to which we are now referring. It is an example to the world of international co-operation in the peaceful development of modern science, and shows the progress which can be made and to what extent we can go forward in this field.

Proposed Legislation

",Social Credit,,Robert Norman Thompson,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=124d5348-2f63-4e80-910e-78d16dfc5b72&Language=E&Section=ALL
2175168,ca.proc.d.1962-10-01.1.1.4,1962-10-01,b815a117-7953-4900-b152-afc56dfc44a1,ca.m.5560,Mr. H. W. Herridge (Kootenay West):,,DEFENCE RESEARCH,ANNOUNCEMENT OF SUCCESSFUL LAUNCHING OF CANADIAN SATELLITE,,"Mr. Speaker, we join with the other members of the house in expressing our pride and satisfaction in these achievements of Canadian scientists. We are very glad to note that this program was initiated in the interests of peace, and members of this party sincerely hope it will remain so. We extend our sincere congratulations to all those who have worked toward this end on their successful achievement.

",New Democratic Party,,Herbert Wilfred Herridge,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b815a117-7953-4900-b152-afc56dfc44a1&Language=E&Section=ALL
2175169,ca.proc.d.1962-10-01.2,1962-10-01,,,,topic,BRITISH NORTH AMERICA ACT,,,,,,,
2175170,ca.proc.d.1962-10-01.2.1,1962-10-01,,,,subtopic,BRITISH NORTH AMERICA ACT,AMENDMENT WITH RESPECT TO RETIREMENT OF SENATORS,,,,,,
2175171,ca.proc.d.1962-10-01.2.1.1,1962-10-01,84909dc1-9a60-44b3-a939-2393ab563089,ca.m.3212,Right Hon. J. G. Diefenbaker (Prime Minister) moved,Prime Minister,BRITISH NORTH AMERICA ACT,AMENDMENT WITH RESPECT TO RETIREMENT OF SENATORS,,"for leave to introduce a Bill No. C-2, to amend the British North America Act 1867, with respect to the Senate.

",Progressive Conservative,,John George Diefenbaker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=84909dc1-9a60-44b3-a939-2393ab563089&Language=E&Section=ALL
2175172,ca.proc.d.1962-10-01.2.1.2,1962-10-01,intervention,,,,BRITISH NORTH AMERICA ACT,AMENDMENT WITH RESPECT TO RETIREMENT OF SENATORS,,"Explain.

",,,Some hon. Members:,
2175173,ca.proc.d.1962-10-01.2.1.3,1962-10-01,84909dc1-9a60-44b3-a939-2393ab563089,ca.m.3212,Mr. Diefenbaker:,Prime Minister,BRITISH NORTH AMERICA ACT,AMENDMENT WITH RESPECT TO RETIREMENT OF SENATORS,,"Mr. Speaker, this is in similar form and nature to the bill that was introduced at the last session.

",Progressive Conservative,,John George Diefenbaker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=84909dc1-9a60-44b3-a939-2393ab563089&Language=E&Section=ALL
2175174,ca.proc.d.1962-10-01.2.1.4,1962-10-01,intervention,,,,BRITISH NORTH AMERICA ACT,AMENDMENT WITH RESPECT TO RETIREMENT OF SENATORS,,"We were not here last session.

",,,Some hon. Members:,
