basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
1464172,ca.proc.d.1947-04-24.1,1947-04-24,,,,topic,REPORT OF COMMITTEE,,,,,,,
1464173,ca.proc.d.1947-04-24.1.1.1,1947-04-24,,,,stagedirection,,,,"Third report of the standing committee on railways, canals and telegraph lines.-Mr. Breithaupt.",,,,
1464174,ca.proc.d.1947-04-24.2,1947-04-24,,,,topic,REPORTS AND PAPERS,,,,,,,
1464175,ca.proc.d.1947-04-24.2.1,1947-04-24,,,,subtopic,REPORTS AND PAPERS,TABLING OF ORDERS IN COUNCIL UNDER EMERGENCY POWERS ACT,,,,,,
1464176,ca.proc.d.1947-04-24.2.1.1.1,1947-04-24,,,,stagedirection,,,,"Right Hon. L. S. ST. LAURENT (Secretary of State for External Affairs): I wish to table copies in English and French of orders in council, including minutes of council and of the treasury board, passed under the authority of the National Emergency Transitional Powers Act, 1945, for the month of March, 1947, and copies in French for the month of February, 1947.",,,,
1464177,ca.proc.d.1947-04-24.3,1947-04-24,,,,topic,ST. LAWRENCE WATERWAY CONCURRENCE IN PROPOSAL FOR TOLL CHARGES,,,,,,,
1464178,ca.proc.d.1947-04-24.3.1.1,1947-04-24,,,,stagedirection,,,,"Right Hon. L. S. ST. LAURENT (Secretary of State for External Affairs): In view of the fact that the St. Lawrence seaway agreement has been resubmitted to the United States congress for approval, it is felt that it would be useful to provide a brief statement of the present position for the information of members of the house.
The Great Lakes-St. Lawrence basin agreement was signed on March 19, 1941. Since that time the agreement has been regularly submitted to congress, but has never been approved. In 1946 the senate foreign relations

committee, after extensive hearings, made a favourable report on the bill but the matter never came to a vote in the senate.
The Canadian government was recently approached by the United States authorities regarding the possibility of reaching agreement in principle that the seaway be made self-liquidating through an agreed system of tolls the details of which could be worked out at a later date. The Canadian govern-1 ment has now concurred in principle with the proposal to make the St. Lawrence seaway self-liquidating by means of toll charges subject to the conclusion of arrangements satisfactory to both governments for the implementation of this principle.
[Later]:",,,,
1464179,ca.proc.d.1947-04-24.3.2,1947-04-24,a519c7ba-e092-4c85-95fb-2519b2cbfc06,ca.m.8326,Mr. JOHN BRACKEN (Leader of the Opposition):,Leader of the Official Opposition,ST. LAWRENCE WATERWAY CONCURRENCE IN PROPOSAL FOR TOLL CHARGES,,,"The minister referred to an agreement which had been made with respect to the seaway agreement. Can the correspondence be made available?
Mr. ST. LAURENT: The consent of the United States government would be required.
I am not sure how much of this was covered by correspondence. I know that there were negotiations which were conducted orally between the United States ambassador and the Department of External Affairs here, and there were other negotiations conducted orally between our ambassador in Washington and the state department there. There possibly has been an exchange of notes; if there has been, they will of course be tabled.

",Progressive Conservative,,John Bracken,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a519c7ba-e092-4c85-95fb-2519b2cbfc06&Language=E&Section=ALL
1464180,ca.proc.d.1947-04-24.3.3,1947-04-24,a519c7ba-e092-4c85-95fb-2519b2cbfc06,ca.m.8326,Mr. BRACKEN:,Leader of the Official Opposition,ST. LAWRENCE WATERWAY CONCURRENCE IN PROPOSAL FOR TOLL CHARGES,,,"The minister referred to an agreement in principle on a system of tolls. If there is an agreement could we have its exact terms?
Mr. ST. LAURENT: There was a statement made that Canada would not object to the principle of tolls provided they could be arranged in such a way that there would be genuine benefit to transportation in a reduction of charges by the construction of the seaway. I am not sure that there was a formal exchange of notes, but if there was I shall be glad to see that the notes are tabled.

",Progressive Conservative,,John Bracken,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a519c7ba-e092-4c85-95fb-2519b2cbfc06&Language=E&Section=ALL
1464181,ca.proc.d.1947-04-24.3.4,1947-04-24,3f27b0a5-3b86-4f3a-8bab-f44a940c0742,ca.m.9024,Mr. ADAMSON:,,ST. LAWRENCE WATERWAY CONCURRENCE IN PROPOSAL FOR TOLL CHARGES,,,"Was the legislation introduced in congress in the form of a bill, or in the form of a treaty? Will it require a two-thirds majority or a simple majority?
Mr. ST. LAURENT: I should not like to
express an opinion as to what is required constitutionnally, but my opinion is that a bill has been introduced.

Supreme Court Act

",Progressive Conservative,,Agar Rodney Adamson,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3f27b0a5-3b86-4f3a-8bab-f44a940c0742&Language=E&Section=ALL
