basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2491153,ca.proc.d.1967-05-25.1,1967-05-25,,,,topic,THE BUDGET,,,,,,,
2491154,ca.proc.d.1967-05-25.1.1,1967-05-25,,,,subtopic,THE BUDGET,ANNOUNCEMENT OF PRESENTATION ON THURSDAY. JUNE 1,,,,,,
2491155,ca.proc.d.1967-05-25.1.1.1,1967-05-25,0ae975c1-8187-4ab9-b0ff-dfe9da639543,ca.m.7756,Hon. Mitchell Sharp (Minister of Finance):,Minister of Finance and Receiver General,THE BUDGET,ANNOUNCEMENT OF PRESENTATION ON THURSDAY. JUNE 1,,"Mr. Speaker, I should like to announce that I intend to present the budget a week from today, June 1, at 8 p.m.

",Liberal,,Mitchell William Sharp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0ae975c1-8187-4ab9-b0ff-dfe9da639543&Language=E&Section=ALL
2491156,ca.proc.d.1967-05-25.2,1967-05-25,,,,topic,INTERNATIONAL LABOUR ORGANIZATION,,,,,,,
2491157,ca.proc.d.1967-05-25.2.1,1967-05-25,,,,subtopic,INTERNATIONAL LABOUR ORGANIZATION,TABLING OF INSTRUMENTS ADOPTED AT FIFTIETH CONFERENCE,,,,,,
2491158,ca.proc.d.1967-05-25.2.1.1,1967-05-25,928620b3-3f64-4cc5-bd23-a8acd6ca1756,ca.m.9561,Hon. J. R. Nicholson (Minister of Labour):,Minister of Labour,INTERNATIONAL LABOUR ORGANIZATION,TABLING OF INSTRUMENTS ADOPTED AT FIFTIETH CONFERENCE,,"Mr. Speaker, in accordance with article 19 of the constitution of the International Labour Organization, and with the permission of the house, I would like to table the text in English and French of instruments adopted at the 50th International Labour Conference held in Geneva in June, 1966. Four instruments were adopted at that conference-two conventions and two recommendations.
The I.L.O. constitution requires the government of a member state to bring conventions and recommendations adopted by the International Labour Conference ""before the authority or authorities within whose competence the matter lies for the enactment of legislation or other action."" In the case of a federal state, the constitution further obliges the federal government to refer instruments which are deemed to be wholly or partially within provincial legislative competence to the appropriate provincial authorities ""for the enactment of legislation or other action.""
[DOT] (2:40 p.m.)
The opinion of the Minister of Justice (Mr. Trudeau), a copy of which I should like also to table with the consent of the house, is that the subject matter of each convention is within federal legislative jurisdiction, and that the subject matter of each of the recommendations is partially within federal legislative jurisdiction and partially within provincial legislative jurisdiction.
Convention 125 sets up minimum international standards for certificates of competency for officers on salt water fishing vessels. In Canada the standards in this convention have been studied by the departments concerned. The requirements for engineers I am pleased to say are being met in Canada.
Convention 126 deals with accommodation of crews on salt water fishing vessels. Here we have associated problems to discuss with the provinces concerned. This convention has been studied by the departments concerned in order to ascertain the extent to which it agrees with Canadian standards for such accommodation. I am pleased to say there has been substantial conformity in practice, but there are still a few problems to be overcome before ratification can be considered.
Recommendation 126 outlines vocational training programs for fishermen. Recommendation 127 concerns the role of co-operatives in developing countries. As hon. members no doubt are aware, the I.L.O. constitution obliges governments of federal states to arrange for periodic consultations between federal and provincial authorities with a view to promoting action to give effect to the provisions of international instruments adopted by the International Labour Conference. In addition to our regular consultations my department is continuing to consult with other federa authorities in respect of provincial areas of the I.L.O. conventions.
I should like to add that I was privileged to take part in a ceremony last fall at which my colleague the hon. Secretary of State for External Affairs (Mr. Martin) formally presented the instruments of ratification of two I.L.O. conventions on behalf of the government of Canada: Convention 45 concerning the employment of women on underground work in mines, and convention 122 concerning employment policy. I might say that that occasion was made more pleasurable by the fact that the eighth regional conference of American states members of the I.L.O. was meeting in Ottawa at that time.
With the permission of the house I should like to file the conventions and regulations.

",Liberal,,John Robert (Jack) Nicholson,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=928620b3-3f64-4cc5-bd23-a8acd6ca1756&Language=E&Section=ALL
2491159,ca.proc.d.1967-05-25.2.1.2,1967-05-25,84909dc1-9a60-44b3-a939-2393ab563089,ca.m.3212,Righi Hon. J. G. Diefenbaker (Leader of the Opposition):,Leader of the Official Opposition,INTERNATIONAL LABOUR ORGANIZATION,TABLING OF INSTRUMENTS ADOPTED AT FIFTIETH CONFERENCE,,"Mr. Speaker, the subject matter
May 25, 1967

International Labour Organization of the minister's remarks once more underlines the great difficulties, under the federal system, of the federal government entering into treaties and conventions which in any way are concerned with matters that fall within the jurisdiction of the provinces.
In 1919, if my recollection is correct, a series of conventions was passed by the I.L.O. During the days of the administration of the late Right Hon. R. B. Bennett various social legislation bills were introduced in parliament, the foundation of which was the agreements entered into by the I.L.O. in 1919. The courts held that the legislative enactments were not within the ambit of the powers of parliament and gave the opinion accordingly.
In the last few years there has been more discussion of the constitution than ever before, particularly arising out of the doctrine of two nations enunciated by the Prime Minister (Mr. Pearson) in April, 1963. That has brought about within the nation divisions of opinion concerning treaties and the rights of the provinces. The minister with his wide knowledge of the law, which is apparent in the statement he has just placed before the house, has underlined and emphasized the seriousness of the situation facing this nation in the field of international affairs in respect of those matters which may or may not fall within provincial jurisdiction.
Once more in centennial year I suggest that what he has said is further evidence of the need for this nation to convene a national constitutional conference to the end that we will determine once and for all the rights of this nation as a nation to enter into treaties, and also at the same time to assure that the infringement of impingement of treaty rights by particular provinces shall not be compromised.

",Progressive Conservative,,John George Diefenbaker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=84909dc1-9a60-44b3-a939-2393ab563089&Language=E&Section=ALL
2491160,ca.proc.d.1967-05-25.2.1.3,1967-05-25,64ac8c88-87af-41f6-8ffe-90fa135ebb4e,ca.m.7958,Mr. T. S. Barnett (Comox-Alberni):,,INTERNATIONAL LABOUR ORGANIZATION,TABLING OF INSTRUMENTS ADOPTED AT FIFTIETH CONFERENCE,,"Mr. Speaker, I should simply like to say on behalf of the N.D.P. that we welcome the fact that the minister has been able to place before parliament today the fruits of some of the work of the 1966 I.L.O. convention. I was particularly interested, having had an opportunity of hearing some of the discussions on the matters that led up to the convention in respect of the fisheries aspect of the matter. It is my hope that the minister, and his colleague the Minister of Fisheries (Mr. Robi-chaud) will pursue with all diligence their efforts to obtain necessary arrangements with the provinces in order that we may ratify this convention without undue delay.

",Co-operative Commonwealth Federation (C.C.F.),,Thomas Speakman Barnett,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=64ac8c88-87af-41f6-8ffe-90fa135ebb4e&Language=E&Section=ALL
2491161,ca.proc.d.1967-05-25.2.1.4,1967-05-25,9b3dd9d2-7778-4d49-a34d-5f5d73259bfd,ca.m.7741,Mr. Gerard Laprise (Chapleau):,,INTERNATIONAL LABOUR ORGANIZATION,TABLING OF INSTRUMENTS ADOPTED AT FIFTIETH CONFERENCE,,"Mr. Speaker, we have listened carefully to the statement of the minister on various aspects of the policy concerning work and accommodation on fishing boats. We are glad not only to hear this announcement, but also to realize that some progress is made in the field of labour in terms of international organization. The experiments made and the results obtained in other countries will help us considerably, and I think that what is being done in Canada now might be useful to other countries, as far as international relations are concerned.
We will study more carefully the statement the minister has just made and we will be in a better position then to express our point of view on the situation.

",Ralliement Créditiste,,Gérard Laprise,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9b3dd9d2-7778-4d49-a34d-5f5d73259bfd&Language=E&Section=ALL
2491162,ca.proc.d.1967-05-25.3,1967-05-25,,,,topic,MOTION TO REFER DEPARTMENTAL ESTIMATES TO STANDING COMMITTEES,,,,,,,
