basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2269661,ca.proc.d.1964-04-03.1,1964-04-03,,,,topic,DOMINION-PROVINCIAL CONFERENCE TABLING OF OPENING STATEMENT BY PRIME MINISTER AND FINAL COMMUNIQUE,,,,,,,
2269662,ca.proc.d.1964-04-03.1.1,1964-04-03,51c861ef-0f17-4a79-8d9b-0854fb3ef33f,ca.m.6889,Right Hon. L. B. Pearson (Prime Minister):,Prime Minister,DOMINION-PROVINCIAL CONFERENCE TABLING OF OPENING STATEMENT BY PRIME MINISTER AND FINAL COMMUNIQUE,,,"Mr. Speaker, I should like to table copies in English and in French of the communique of the federal-provincial conference held this week in Quebec city, and copies in English and in French of the opening statement which I made dealing with conditional grants and shared cost programs. I propose to make a more extended statement on the conference itself on Monday; meanwhile members will have these documents before them for examination over the week end.

On the orders of the day:

",Liberal,,Lester Bowles Pearson,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=51c861ef-0f17-4a79-8d9b-0854fb3ef33f&Language=E&Section=ALL
2269663,ca.proc.d.1964-04-03.1.2,1964-04-03,103e48f0-b6bb-43eb-9c06-7ceffaf3ea78,ca.m.7989,Mr. Stanley Knowles (Winnipeg North Centre):,N.D.P. House Leader; Whip of the N.D.P.,DOMINION-PROVINCIAL CONFERENCE TABLING OF OPENING STATEMENT BY PRIME MINISTER AND FINAL COMMUNIQUE,,,"Mr. Speaker, may I ask the Prime Minister a question concerning the documents arising out of the federal-provincial conference which he tabled this morning? The right hon. gentleman said we would have them over the week end. In what way? Are they being made an appendix to Hansard or are copies being supplied to members?

",New Democratic Party,,Stanley Howard Knowles,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=103e48f0-b6bb-43eb-9c06-7ceffaf3ea78&Language=E&Section=ALL
2269664,ca.proc.d.1964-04-03.1.3,1964-04-03,51c861ef-0f17-4a79-8d9b-0854fb3ef33f,ca.m.6889,Right Hon. L. B. Pearson (Prime Minister):,Prime Minister,DOMINION-PROVINCIAL CONFERENCE TABLING OF OPENING STATEMENT BY PRIME MINISTER AND FINAL COMMUNIQUE,,,"I am sorry. I should have inquired whether the house would like to have these documents appear as an appendix to Hansard. I meant to have done that.

",Liberal,,Lester Bowles Pearson,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=51c861ef-0f17-4a79-8d9b-0854fb3ef33f&Language=E&Section=ALL
2269665,ca.proc.d.1964-04-03.1.4,1964-04-03,103e48f0-b6bb-43eb-9c06-7ceffaf3ea78,ca.m.7989,Mr. Knowles:,N.D.P. House Leader; Whip of the N.D.P.,DOMINION-PROVINCIAL CONFERENCE TABLING OF OPENING STATEMENT BY PRIME MINISTER AND FINAL COMMUNIQUE,,,"I suggest that that be done. Is that agreed?

",New Democratic Party,,Stanley Howard Knowles,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=103e48f0-b6bb-43eb-9c06-7ceffaf3ea78&Language=E&Section=ALL
2269666,ca.proc.d.1964-04-03.1.5,1964-04-03,intervention,,,,DOMINION-PROVINCIAL CONFERENCE TABLING OF OPENING STATEMENT BY PRIME MINISTER AND FINAL COMMUNIQUE,,,"Agreed.

",,,Some hon. Members:,
2269667,ca.proc.d.1964-04-03.1.6,1964-04-03,9a78a2e7-e965-4152-8817-3a12999a689b,ca.m.4546,Mr. Speaker:,Speaker of the Senate,DOMINION-PROVINCIAL CONFERENCE TABLING OF OPENING STATEMENT BY PRIME MINISTER AND FINAL COMMUNIQUE,,,"Order. Is it the wish of the house that the documents tabled by the Prime Minister this morning be printed as an appendix to Hansard?

",,,Maurice Bourget,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9a78a2e7-e965-4152-8817-3a12999a689b&Language=E&Section=ALL
2269668,ca.proc.d.1964-04-03.1.7,1964-04-03,intervention,,,,DOMINION-PROVINCIAL CONFERENCE TABLING OF OPENING STATEMENT BY PRIME MINISTER AND FINAL COMMUNIQUE,,,"Agreed.
[Editor's note: For text of documents above referred to, see appendix.]

",,,Some hon. Members:,
2269669,ca.proc.d.1964-04-03.2,1964-04-03,,,,topic,BUSINESS OF THE HOUSE,,,,,,,
2269670,ca.proc.d.1964-04-03.2.1.1,1964-04-03,,,,stagedirection,,,,"On the order: Motions:
March 27-The Prime Minister:
That, immediately after royal assent has been given to the bill providing for the appropriation based on supplementary estimates (E), this house adjourn until Monday, April 6, 1964.",,,,
2269671,ca.proc.d.1964-04-03.2.2,1964-04-03,9a78a2e7-e965-4152-8817-3a12999a689b,ca.m.4546,Mr. Speaker:,Speaker of the Senate,BUSINESS OF THE HOUSE,,,"Motions. The Prime Minister. Stand?

",,,Maurice Bourget,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9a78a2e7-e965-4152-8817-3a12999a689b&Language=E&Section=ALL
2269672,ca.proc.d.1964-04-03.2.3,1964-04-03,51c861ef-0f17-4a79-8d9b-0854fb3ef33f,ca.m.6889,Mr. Pearson:,Prime Minister,BUSINESS OF THE HOUSE,,,"Stand.

",Liberal,,Lester Bowles Pearson,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=51c861ef-0f17-4a79-8d9b-0854fb3ef33f&Language=E&Section=ALL
2269673,ca.proc.d.1964-04-03.2.4,1964-04-03,ba1f4916-0b63-4654-9f27-242c3d276e6e,ca.m.6904,Mr. Howard:,,BUSINESS OF THE HOUSE,,,"Mr. Speaker, would it not be appropriate to withdraw this motion?
Motion stands.

",New Democratic Party,,Frank Howard,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=ba1f4916-0b63-4654-9f27-242c3d276e6e&Language=E&Section=ALL
2269674,ca.proc.d.1964-04-03.3,1964-04-03,,,,topic,DOMINION-PROVINCIAL CONFERENCE INQUIRIES RESPECTING MATTERS DISCUSSED AND STATEMENTS MADE,,,,,,,
2269675,ca.proc.d.1964-04-03.3.1.1,1964-04-03,,,,stagedirection,,,,On the orders of the day:,,,,
2269676,ca.proc.d.1964-04-03.3.2,1964-04-03,84909dc1-9a60-44b3-a939-2393ab563089,ca.m.3212,Right Hon. J. G. Diefenbaker (Leader of the Opposition):,Leader of the Official Opposition,DOMINION-PROVINCIAL CONFERENCE INQUIRIES RESPECTING MATTERS DISCUSSED AND STATEMENTS MADE,,,"Mr. Speaker, while the Prime Minister has said that he intends to wait until Monday, I am sure the house would welcome some statement today regarding the conference in Quebec city, which turned out to be-

",Progressive Conservative,,John George Diefenbaker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=84909dc1-9a60-44b3-a939-2393ab563089&Language=E&Section=ALL
