basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2925641,ca.proc.d.1974-10-30.1,1974-10-30,,,,topic,ROUTINE PROCEEDINGS,,,,,,,
2925642,ca.proc.d.1974-10-30.1.1,1974-10-30,,,,subtopic,ROUTINE PROCEEDINGS,"HEALTH, WELFARE AND SOCIAL AFFAIRS",,,,,,
2925643,ca.proc.d.1974-10-30.1.1.1.1,1974-10-30,,,,stagedirection,,,,"Second report of Standing Committee on Health, Welfare and Social Affairs, in both official languages-Mr. Gaston Isabelle.
[Editor's Note: Text of foregoing report appears in today's Votes and Proceedings.]",,,,
2925644,ca.proc.d.1974-10-30.1.2,1974-10-30,,,,subtopic,ROUTINE PROCEEDINGS,CULTURAL PROPERTY EXPORT AND IMPORT ACT,,,,,,
2925645,ca.proc.d.1974-10-30.1.2.1.1,1974-10-30,c9947361-b10b-499d-b18f-118914c71526,ca.m.1178,Hon. James Hugh Faulkner (Secretary of State) moved,Secretary of State of Canada,ROUTINE PROCEEDINGS,CULTURAL PROPERTY EXPORT AND IMPORT ACT,MEASURE RESPECTING EXPORT OF CULTURAL PROPERTY AND IMPORT OF CULTURAL PROPERTY ILLEGALLY EXPORTED FROM FOREIGN STATES,"for leave to introduce Bill C-33, respecting the export from Canada of cultural property and the import into Canada of cultural property illegally exported from
fnnoiitn ctotoc

",Liberal,,James Hugh Faulkner,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c9947361-b10b-499d-b18f-118914c71526&Language=E&Section=ALL
2925646,ca.proc.d.1974-10-30.1.2.1.2.1,1974-10-30,,,,stagedirection,,,,"Motion agreed to, bill read the first time and ordered to be printed.",,,,
2925647,ca.proc.d.1974-10-30.1.3,1974-10-30,,,,subtopic,ROUTINE PROCEEDINGS,QUESTIONS ON THE ORDER PAPER,,,,,,
2925648,ca.proc.d.1974-10-30.1.3.1.1,1974-10-30,,,,stagedirection,,,,(Questions answered orally are indicated by an asterisk.),,,,
2925649,ca.proc.d.1974-10-30.1.3.2.1,1974-10-30,f8c074be-3032-4ab6-af4f-11618169c92a,ca.m.8084,,,ROUTINE PROCEEDINGS,QUESTIONS ON THE ORDER PAPER,"COST TO TAXPAYER FOR ELECTION JULY 8,1974","1. What was the cost to the taxpayer for the federal election of July 8, 1974?
2.	Of that total amount, how much was required for (a) the operations of the Chief Electoral Officer (b) the production of the various forms, including ballots, used in the election (c) the payment of returning officers and their staffs (d) the hiring of enumerators and other similar type officials (e) advance poll and election day staff?
3.	Of the total number of candidates involved in the July 8 federal election, how many lost their deposits (a) by political party (b) by province?

",Progressive Conservative,,Mr. Coates,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=f8c074be-3032-4ab6-af4f-11618169c92a&Language=E&Section=ALL
2925650,ca.proc.d.1974-10-30.1.3.2.2,1974-10-30,0ae975c1-8187-4ab9-b0ff-dfe9da639543,ca.m.7756,Hon. Mitchell Sharp (President of the Privy Council):,President of the Privy Council; Leader of the Government in the House of Commons; Liberal Party House Leader,ROUTINE PROCEEDINGS,QUESTIONS ON THE ORDER PAPER,"COST TO TAXPAYER FOR ELECTION JULY 8,1974","The answer in so far as the Office of the Chief Electoral Officer is concerned is: 1. The firm figure will not be available for several weeks but is estimated to be of the order of $29,000,000.
2.	Pending a compilation of a firm figure respecting Part 1 of the question, no meaningful estimate can be made respecting this Part of the question.
3.	(a) Liberal 25; Progressive Conservative 86; N.D.P. 211; Social Credit 135; Communist Party 69; Marxist-Leni-nist Party 107; Independent 59; No affiliation 31. (b) Ontario 222; Quebec 258; Nova Scotia 22; New Brunswick 22; Newfoundland 11; Prince Edward Island 5; Manitoba 38; British Columbia 54; Saskatchewan 22; Alberta 68; Yukon Territory 1 and Northwest Territories 0.
COST OF SUPPLIES FOR GROSSE iLE QUARANTINE STATION

",Liberal,,Mitchell William Sharp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0ae975c1-8187-4ab9-b0ff-dfe9da639543&Language=E&Section=ALL
