basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
1881203,ca.proc.d.1957-01-24.1,1957-01-24,,,,topic,STANDING COMMITTEES,,,,,,,
1881204,ca.proc.d.1957-01-24.1.1.1,1957-01-24,,,,stagedirection,,,,"Mr. W. G. Weir (Poriage-Neepawa) presented the report of the special committee appointed to prepare and report lists of members to compose the standing committees of the house, as follows:",,,,
1881205,ca.proc.d.1957-01-24.2,1957-01-24,,,,topic,PRIVILEGES AND ELECTIONS,,,,,,,
1881206,ca.proc.d.1957-01-24.2.1.1,1957-01-24,,,,stagedirection,,,,"Messrs:
Bourque	Meunier
Bryson	Nowlan
Cardin	Pallett
Carter	Perron
Cavers	Rea
Churchill	Richard (Ottawa East)
Dechene	Shaw
Dickey	Simmons
Ellis	Tucker
Fraser (Peterborough) Valois	
Hollingworth	Viau
Leboe	Vincent
Lefrangois	White (Waterloo
MacKenzie	South)
McWilliam	Zaplitny-29. (Quorum-10)
RAILWAYS, CANALS AND TELEGRAPH LINES Messrs:	
Anderson	Holowach
Barnett	Hosking
Batten	Howe (Wellington-
Bonnier	Huron)
Boucher	Huffman
Buchanan	James
Byrne	Johnston (Bow River)
Campbell	Kickham
Carter	Lafontaine
Casselman	Langlois (Gaspe)
Cauchon	Lavigne
Cavers	Leboe
Clark	Maltais
Decore	McBain
Deschatelets	McCulloch (Pictou)
Dufresne	Mclvor
Dupuis	Meunier
Ellis	Murphy (Westmorland)
Follwell	Murphy (Lambton
Gagnon	West)
Garland	Nesbitt
Goode	Nicholson
Gourd (Chapleau)	Nickle
Green	Nixon
Habel	Nowlan
Hahn	Purdy
Hamilton (York West) Small	
Harrison	Viau
Healy	Villeneuve
Herridge	Vincent
Hodgson	Weselak-60. (Quorum-20)
MISCELLANEOUS PRIVATE BILLS Messrs:	
Anderson	Brooks
Balcom	Brown (Brantford)
Batten	Cameron (High Park)
Blair	Campbell
82715-38J
Carter	Macnaughton
Casselman	Mang
Decore	Matheson
Dinsdale	McCubbin
Ellis	McCullough (Moose
Enfield	Mountain)
Eyre	McWilliam
Fairey	Murphy (Westmorland)
Ferguson	Perron
Follwell	Pommer
Forgie	Proudfoot
Garland	Regier
Girard	Reinke
Hansell	Roberge
Hees	Roy
Henderson	Simmons
Houck	Thomas
Langlois (Berthier-	Weaver
Maskinonge-	White (Waterloo South)
Delanaudiere)	White (Hastings-
Leduc (Jacques Cartier-	Frontenac)
Lasalle)	White (Middlesex East)
Lennard Lusby	Wylie-50.
(Quorum-15)	
BANKING AND COMMERCE	
Messrs:	
Argue	Hunter
Ashbourne	Johnson (Kindersley)
Balcom	Low
Bell	Macdonnell
Benidickson	MacEachen
Bennett	Macnaughton
Blackmore	Matheson
Cameron (Nanaimo)	Michener
Cannon	Mitchell (London)
Crestohl	Monteith
Deslieres	Nickle
Dumas	Pallett
Enfield	Philpott
Eudes	Power (Quebec South)
Fairey	Quelch
Fleming	Richardson
Follwell	Robichaud
Fraser (St. John's East)	Rouleau
Fraser (Peterborough)	St. Laurent (Temis-
Fulton	couata)
Gour (Russell)	Stewart (Winnipeg
Hanna	North)
Henderson	Thatcher
Hollingworth	Tucker
Hosking	Viau
Huffman	Weaver-50
(Quorum-15)	
PUBLIC	ACCOUNTS
Messrs:	
Anderson	Denis
Argue	Fulton
Ashbourne	Goode
Balcer	Hamilton (Notre Dame
Balcom	de Grace)
Beaudry	Hanna
Boisvert	Harkness
Breton	Henderson
Bruneau	Hollingworth
Byrne	Holowach
Cameron (High Park)	Houck
Cannon	Kickham
Cavers	Kirk (Antigonish-
Cloutier	Guysborough)",,,,
1881207,ca.proc.d.1957-01-24.2.1.2,1957-01-24,,,,stagedirection,,,,"Standing Committees	
Laflamme	Poulin
Leduc (Jacques Cartier- Power (St. John's West)	
Lasalle)	Proudfoot
Maltais	Regier
McGregor	Rowe
McLeod	Schneider
McWilliam	Thomas
Menard	Tucker
Mitchell (Sudbury)	Van Horne
Mitchell (London)	Weaver
Monteith	Winch
Nowlan Pommer	Zaplitny-50
(Quorum-15)	
AGRICULTURE	AND COLONIZATION Messrs:
Anderson	MacLean
Argue	Mang
Batten	Masse
Blackmore	Matheson
Boucher	McBain
Bruneau	McCubbin
Bryce	McCullough (Moose
Byrne	Mountain)
Cardiff	Menard
Charlton	Michaud
Clark	Montgomery
Decore	Murphy (Westmorland)
Demers	Nicholson
Deslieres	Patterson
Dinsdale	Perron
Fontaine	Pommer
Forgie	Proudfoot
Gingras	Purdy
Goode	Quelch
Gour (Russell)	Roberge
Harkness	Robinson (Bruce)
Huffman	Schneider
James	Smith (Battle River-
Jones	Camrose)
Jutras	Stanton
Kickham	Studer
Kirk (Antigonish-	Thatcher
Guysborough)	Tustin
Laflamme	Villeneuve
Legare	White (Waterloo South)
Lusby	White (Middlesex
MacKenzie	East)-60
(Quorum-20)	
STANDING ORDERS Messrs:	
Aitken, Miss	Hollingworth
Buchanan	Knowles
Carter	Michaud
Denis	Monette
Fairey	Robinson (Bruce)
Fontaine	Rochefort
Forgie	Shaw
Green	Van Horne
Hanna	Viau
Harrison	Winch-20.
(Quorum-8)	
MARINE	AND FISHERIES Messrs:
Anderson	Cannon
Arsenault	Ferguson
Ashbourne	Goode
Barnett	Hahn
Bell	Hardie
Bennett	Harrison
Boivin	Henderson
Brisson	Hodgson
Bryce	Kirk (Antigonish-
Cameron (Nanaimo)	Guysborough)

Kirk (Shelburne-Yarmouth-Clare) MacLean MacNaught Maltais Matheson McDonald Nowlan Patterson
Pearkes
Robichaud
Simmons
Stick
Stuart (Charlotte)
Thibault
Weselak
White (Hastings-Frontenac)-35.
(Quorum-10)
MINES, FORESTS AND WATERS Messrs:
Brisson
Brooks
Buchanan
Byrne
Carter
Dickey
Dumas
Eyre
Garland
Gauthier (Nickel Belt)
Hardie
Harkness
Herridge
Hosking
LaCroix
Lafontaine
Leboe
Leduc (Gatineau) MacLean
McCullough (Moose Mountain)
Mitchell (Sudbury)
Pearkes
Ratelle
Richard (St. Maurice-Lafleche)
Robichaud
Rowe
Shipley, Mrs. Simmons
Smith (Battle River-Camrose)
Stanton Studer Valois Van Horne Weselak Winch-35.
(Quorum-10)",,,,
1881208,ca.proc.d.1957-01-24.3,1957-01-24,,,,topic,INDUSTRIAL RELATIONS,,,,,,,
1881209,ca.proc.d.1957-01-24.3.1.1,1957-01-24,,,,stagedirection,,,,"Messrs:
Barnett
Bell
Brown (Brantford)
Brown (Essex West)
Byrne
Cauchon
Churchill
Cloutier
Deschatelets
Dufresne
Fairclough, Mrs.
Fraser (St. John's East)
Gauthier (Nickel Belt)
Gauthier (Lake St. John)
Gillis
Hahn
Hardie
Hosking
Huffman
Johnston (Bow River)
Knowles
Leduc (Verdun)
Lusby
MacEachen
Michener
Murphy (Westmorland)
Nixon
Philpott
Richardson
Rouleau
Small
Starr
Studer
Viau
Vincent-35.
(Quorum-10)
Balcer
Enfield
Hees
J utras
McLeod
Meunier
DEBATES Messrs:
Michaud
Nicholson
Power (St. John's West)
Purdy
Rowe
Simmons-12.
(Quorum-7)",,,,
1881210,ca.proc.d.1957-01-24.3.2,1957-01-24,,,,subtopic,INDUSTRIAL RELATIONS,EXTERNAL AFFAIRS,,,,,,
1881211,ca.proc.d.1957-01-24.3.2.1.1,1957-01-24,,,,stagedirection,,,,"Messrs:
Arsenault
Balcer
Bell
Boisvert
Breton
Cameron (High Park)
Cannon
Cardin
Coldwell
Crestohl
Decore
Fleming

Garland
Gauthier (Lake St. John)
Goode
Henry
Herridge
James
Jutras
Knowles
Low
Lusby
MacEachen
MacKenzie
Macnaughton
McMillan
Montgomery
Pallett
Patterson
Pearkes
Richard (Ottawa East)
Starr
Stick
Stuart (Charlotte) Studer-35.
(Quorum-10)",,,,
1881212,ca.proc.d.1957-01-24.3.2.2,1957-01-24,e6f6ca3d-7061-43db-9bd0-9ba97fb7b4c1,ca.m.7881,Mr. Weir moved,Parliamentary Assistant to the Prime Minister,INDUSTRIAL RELATIONS,EXTERNAL AFFAIRS,,"that the report be concurred in.

