basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
3571859,ca.proc.d.1985-12-19.1,1985-12-19,,,,topic,GOVERNMENT ORDERS,,,,,,,
3571860,ca.proc.d.1985-12-19.1.1,1985-12-19,,,,subtopic,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,,,,,
3571861,ca.proc.d.1985-12-19.1.1.1,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Hon. Jake Epp (for the Minister of Agriculture):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"Mr. Speaker, I move, seconded by the Minister of Indian Affairs and Northern Development (Mr. Crombie):
That, in relation to Bill C-70, an Act to amend the Family Allowances Act, 1973, one sitting day be allotted to the consideration of the report stage of the said Bill and one further sitting day be allotted to the consideration of the Bill at the third reading stage; and
That 15 minutes before the expiry of the time provided for the consideration of government business on the above-mentioned sitting days, any proceedings then before the House shall be interrupted, if necessary, for the purpose of this Order and, in turn, every question necessary to dispose of the said stage of the said Bill shall be put forthwith and successively, without further debate or amendment.
He said: Mr. Speaker, what we have before the House today is an approach by the Government to bring order to legislation which has had much debate at all stages that have been brought forward to date. First, the Bill before us had exposure in the Budget. In the budget debate, as all Hon. Members know, topics can be debated; it is a very wide-ranging debate and there is very minimal limitation, if in fact any exists, to debate the issues of the Budget and the economic affairs of the country.
There was a six-day debate in which, the Budget being the main motion, with amendments moved by the Official Opposition and by the NDP, the House disposed of not only the main motion but of every amendment and every sub-amendment.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3571862,ca.proc.d.1985-12-19.1.1.2,1985-12-19,efec68a7-e1fd-490f-8b6a-95313440440c,ca.m.3358,Mr. Boudria:,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"That was important.

",Liberal,,Don Boudria,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=efec68a7-e1fd-490f-8b6a-95313440440c&Language=E&Section=ALL
3571863,ca.proc.d.1985-12-19.1.1.3,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Epp (Provencher):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"I agree with the Hon. Member's intervention. It was so important that the House divided on it and the House approved the Budget and rejected the amendments. That is majority Government. That is what happened in the passage of the Budget.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3571864,ca.proc.d.1985-12-19.1.1.4,1985-12-19,efec68a7-e1fd-490f-8b6a-95313440440c,ca.m.3358,Mr. Boudria:,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"It is abuse.

",Liberal,,Don Boudria,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=efec68a7-e1fd-490f-8b6a-95313440440c&Language=E&Section=ALL
3571865,ca.proc.d.1985-12-19.1.1.5,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Epp (Provencher):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"That is not abuse; that is democracy. I cannot help it if the Liberals are down to 40 Members, a little rump. They do not yet understand why on September 4, 1984, the people rejected them. When there is a vote in the House, as is the case when there is a vote in the electoral
process, we accept the majority rule. They do not want to do that, nor have they accepted it to date. That is the issue with which we are dealing.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3571866,ca.proc.d.1985-12-19.1.1.6,1985-12-19,intervention,,,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"Hear, hear!

",,,Some Hon. Members:,
3571867,ca.proc.d.1985-12-19.1.1.7,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Epp (Provencher):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"Additionally, Bill C-70, came into the House and there was a long debate on it. When the Bill was being read the second time, again there was a division in the House and again the House decided, very clearly and in a wide majority view, that the Bill should be passed at second reading and passed in principle.
The Government did not stop there. This Bill was one of the first Bills which was subjected to the new House rules, namely reference to legislative committees. Under the rules on legislative committees, as all Hon. Members know, the size of the committee is generally much larger than that of standing committees. That Bill went through rigorous examination in committee.
Let us look at the British experience. When a Government or a Parliament has decided in principle on a Bill, then a legislative committee-and that is what its role is in the British parliamentary system-examines the principles of the Bill but, more important, examines it from the point of view of technicalities. This Government went further than that. Not only did we look at clauses, amendments and technicalities, we also asked witnesses from various groups in Canada to come forward. They made their points of view. That was also done, quite apart from what legislative committees had been established for in the British parliamentary system.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3571868,ca.proc.d.1985-12-19.1.1.8,1985-12-19,c561ac11-18ab-4c6c-8b7b-86b2e5484dfd,ca.m.4172,Ms. Mitchell:,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"You did not listen to them; they were all opposed to what you are doing.

",New Democratic Party,,Margaret Anne Mitchell,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c561ac11-18ab-4c6c-8b7b-86b2e5484dfd&Language=E&Section=ALL
3571869,ca.proc.d.1985-12-19.1.1.9,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Epp (Provencher):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"Again in committee the NDP and the Liberals were subjected to votes, and in each case they lost it again. That was also done.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3571870,ca.proc.d.1985-12-19.1.1.10,1985-12-19,c561ac11-18ab-4c6c-8b7b-86b2e5484dfd,ca.m.4172,Ms. Mitchell:,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"You ignored the witnesses.

",New Democratic Party,,Margaret Anne Mitchell,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c561ac11-18ab-4c6c-8b7b-86b2e5484dfd&Language=E&Section=ALL
3571871,ca.proc.d.1985-12-19.1.1.11,1985-12-19,822034f9-5ebc-445e-9b04-b00a22eda394,ca.m.6395,Mr. Frith:,Liberal Party Caucus Chair,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"They did not even listen to their own back-benchers.

",Liberal,,Douglas Cockburn Frith,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=822034f9-5ebc-445e-9b04-b00a22eda394&Language=E&Section=ALL
3571872,ca.proc.d.1985-12-19.1.1.12,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Epp (Provencher):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"Mr. Speaker, I am glad that we finally woke them up. We now come to the matter of report stage. We believe very clearly, for instance, that Clause 5 will give us more ability as a Government to deal in situations of family tragedies and not to move unless we have had consultations with the families. Specific members of the Official Opposition and of the NDP have tried to drag red herrings across the trail in order to stop the matter further. They know

December 19, 1985
Time Allocation
very well that what they have been doing has been explained time after time.
Thus, we come to the situation this morning. The situation this morning is that it is time for the House, after having those many votes, to decide, and that is the motion before us. In a democracy the Opposition does not always agree with what the Government is doing, and we obviously do not always agree with what the Opposition is doing. That is democracy, and I accept it. However, democracy also demands that at a certain point decisions must be taken. That time has come now, and that is why the motion is before us. I say to Hon. Members that the motion before us makes sense because we have had no indication whatsoever, at any stage, from members of the Opposition that they are willing to look at a reasonable time, beyond what they have already had, in which the matter can be debated and in which the matter can be decided.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3571873,ca.proc.d.1985-12-19.1.1.13,1985-12-19,c561ac11-18ab-4c6c-8b7b-86b2e5484dfd,ca.m.4172,Ms. Mitchell:,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"Oh, oh!

",New Democratic Party,,Margaret Anne Mitchell,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c561ac11-18ab-4c6c-8b7b-86b2e5484dfd&Language=E&Section=ALL
3571874,ca.proc.d.1985-12-19.1.1.14,1985-12-19,822034f9-5ebc-445e-9b04-b00a22eda394,ca.m.6395,Mr. Frith:,Liberal Party Caucus Chair,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"How about some reasonable amendments?

",Liberal,,Douglas Cockburn Frith,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=822034f9-5ebc-445e-9b04-b00a22eda394&Language=E&Section=ALL
3571875,ca.proc.d.1985-12-19.1.1.15,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Epp (Provencher):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"I can hear the NDP. I understand its Members because they have made opposition a fine art. They have never had to understand the other side of the parliamentary process. However, it is another matter when we talk about the Liberals. I would like to tell you, Mr. Speaker, what Liberal Members have been doing. It is one thing for them to talk but we have to look at their actions. Their actions have been very, very different from their words, and they know it.
Let us look at the time when the Liberal Government froze family allowances. What did Liberal Members do? They froze family allowances in January. Now Liberal Members rise in the House to say that we should not pass these Bills. I have a press release ready which will show that family allowances will be going up on January 1, 1986. However, Liberal Members do not say that.
Additionally, the Liberal Government froze the family allowance in January. Do you know when it passed that legislation? It was passed 12 months later in December. Now we can pass this legislation after these many steps of the legislative process have been taken, but that is not good enough for Liberal Members.
I say that the time has come for a decision to be made. I say to Liberal Members and NDP Members that the case has been clearly made and it is time to make a decision. That is why we put this matter forward and I would suggest that these two hours will provide sufficient time along with another two days to dispose of the issue. I suggest that we dispose of it now.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3571876,ca.proc.d.1985-12-19.1.1.16,1985-12-19,0d746214-3995-496a-b1c0-3f225da3d3a6,ca.m.1300,Mr. Jean-Claude Malepart (Montreal-Sainte-Marie):,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"Mr. Speaker, Canadians who are listening will now understand why most people call him the Minister of social injustice.
Mr. Speaker, this Minister has yet to understand what his role is supposed to be.
I think we should recall that in this country's history, whenever a Budget was brought down, every Minister of National Health and Welfare, and even the Conservative Minister of National Health and Welfare, and even the Conservative Minister of Indian Affairs and Northern Development (Mr. Crombie) who is here in the House, has seen it as his duty to defend the interests of the elderly, the sick and our families. This is the first time in Canada's history, under any government, that we have a Minister who is supposed to defend the interests of these people and who sees it as part of his ministerial duties to crush those very same people and take away their purchasing power.
Today he agreed to move a motion to impose closure on the Opposition. Mr. Speaker, if anyone asks us why the Members of the Official Opposition and the New Democratic Party are violently opposed to this Bill, our answer is quite simply that the people of this country have asked us to do so.
The Minister has tried to show us how to behave with parliamentary hypocrisy, but I refuse to play the kind of game he wants to play in the House. The people of Montreal-Sainte-Marie did not elect and re-elect me to indulge in parliamentary hypocrisy; they elected me not to defend our institutions but to defend the interests of Canadian citizens.
Mr. Speaker, the role of Members in this House is not just to consider the British system or Canada, but to consider the people who live in this country.
Mr. Speaker, what this motion means, and I find this absolutely shocking, is that the Minister is asking us to cease debate at a time when Canadians, and I have a copy of the telegram sent to the Prime Minister (Mr. Mulroney), and not only women are opposed to this measure, not just family agencies but the bishops as well, who are asking for a meeting with the Prime Minister on Friday . . . Mr. Speaker, these are the people who are asking their Members to object to the decision made by this Minister and by the Prime Minister.
We have received petitions from every riding in Canada, Mr. Speaker. Even people from the riding of the Minister of National Health and Welfare, even people from the Prime Minister's riding are against that measure.
And why are they, Mr. Speaker? First of all, because the Government wants to treat families the same way it tried to treat the elderly. They have been betrayed. People are angry with this Government, and angry with the Prime Minister because they have been misled.
Mr. Speaker, all this will go down in history. Remember when Mrs. Denis came up and told the Prime Minister in no uncertain terms: ""You lied to us, Charlie Brown."" She was right, and our Canadian mothers are saying the same thing. Mr. Speaker, this is the same Minister who bragged about consulting the people. This is the same Minister who, on behalf
December 19, 1985

of the Government, made a commitment to these people in a document bearing his signature, a document that says that any savings which may result from program changes will not be applied to a reduction of the deficit. That was to mislead the people and the organizations that came to testify. They thought they could trust him, but the Budget has proved them to be wrong.
Mr. Speaker, what the Minister then tried to have us believe about the new legislative committees was a lot of nonsense. First of all, Mr. Speaker, the Conservative Members who were there were totally useless. All they tried to do was to obstruct debate, and all they wanted to do was leave. They did not even want to hear witnesses. The Official Opposition and the New Democratic Party had to force Government Members to listen to people who wanted to have their say. Extraordinary steps had to be taken to force the Government to hear the witnesses.
Still with respect to another Bill C-70 clause which has nothing to do with the de-indexation of family allowances, the Minister wanted full authority to decide on his own whether a missing child would be presumed dead. One outrageous incident was the case of a Quebec woman who came all the way to Ottawa. The Government could not spare any money to help her, but it is not so niggardly when time comes to throw a party. I was the one who found the money to bring this mother here to testify. I offered to give up my ten minutes just so she might give evidence before the committee, but the eleven Conservative Members turned me down right in front of the media.
The Minister is going too far, openly misleading the people, and that is why all Quebecers and all Canadians are fuming mad, Mr. Speaker. No wonder this morning's polls reveal that the popularity of the Prime Minister (Mr. Mulroney) is going down fast. No wonder most Canadians are against the policies of this Government.
Mr. Speaker, we in the Official Opposition laid our cards on the table right after the Budget was introduced because we knew for a fact that three of its measures were unfair and unacceptable.
First, the de-indexation of old age security pensions. With the strong support of elderly Canadians we managed to make the Minister and all Conservative Members eat humble pie, and even the Prime Minister had to backtrack.
Second, the shameful tax on the health of citizens intended to enable the Government to recoup some money. Here again, in August, we were successful in throwing the Government off course, and the Minister of Finance (Mr. Wilson), the Prime Minister and all the silent Conservative Members had to eat crow. The Government had no choice but to retreat.
Mr. Speaker, I can assure you that our fight for family allowances is not over, and we intend to use every means at our disposal.
Today the Minister announced a 4 per cent increase in Canada Pension Plan and old age security pension benefits.
Time Allocation
Thanks to whom? Not thanks to the Conservative Government, but thanks to elderly Canadians who won their point. And then the Government has been unwilling to say by how much the family allowances cheques would increase. Canadians ought to know that if the Bill is adopted, monthly family allowances will go up by 37 cents in English Canada, and 18 cents for each child in Quebec.
Yesterday I listened to the Prime Minister on the Radio-Canada program ""Le Point"" when he kept repeating that he wanted to be generous with the people. Generous to the tune of 18 cents a month, big deal! At the same time the Government drops the guillotine to push through a Bill to bail out rich depositors who had over $60,000 in the western banks.
Mr. Speaker, you should not wonder . . . Which province does the Minister of National Health and Welfare (Mr. Epp) come from? Which region is he from? Whose interests is he trying to defend, Mr. Speaker? His western Canadian chums who had money in the bank that went belly up because they were bad administrators, but he simply could not care less about the three million needy Canadian families.
Mr. Speaker, I am speaking to all the Conservative Members of Parliament, even those who are not in the House today, since it is useless to speak to the Minister as he is a lost cause. If you do not take steps in each of your constituencies to stop this Bill from being approved, if you do not take steps to ensure that family allowances will be fully indexed, if you continue to grovel before the Prime Minister, if you continue to be so spineless, if you continue to grovel and to defend the wealthy as you are now doing, during the coming months and next year, people will go to see you at your offices and ask you to justify yourselves.
Mr. Speaker, in closing, 1 would like to say that 1988 will come quickly, and during the next electoral campaign, the Conservative Members will do door-to-door canvassing, they will go to meetings, they will go and see the senior citizens and say that they need their support. The senior citizens will reply: ""Where were you when I needed you? You did not take care of me; that's it!"" As for families with children, when these Conservative Members go and see the mothers to tell them that they need them, they will say: ""Where were you when it was time to defend our interests? You were not there so we are getting rid of you!"" The same thing has been happening on all the issues, but I see that my alloted time is over. 1 urge the Conservative Members to reflect on this. It is Christmas time, the time of family reunions. It is the most important family holiday of the year, and I trust that the gift that the Prime Minister brings to Canadian men and women on New Year's day will not be a reduction in their family allowance cheque.

",Liberal,,Jean-Claude Malépart,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0d746214-3995-496a-b1c0-3f225da3d3a6&Language=E&Section=ALL
3571877,ca.proc.d.1985-12-19.1.1.17,1985-12-19,c561ac11-18ab-4c6c-8b7b-86b2e5484dfd,ca.m.4172,Ms. Margaret Mitchell (Vancouver East):,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"Mr. Speaker, I would like to remind Hon. Members that yesterday Father

December 19, 1985
Time Allocation
Christmas visited us out in the front lobby after Question Period. He had a long chin and no belly. In fact, he was a very skinny Father Christmas. He gave out empty Kraft Dinner boxes to people who were there, in particular a poor mother with her child. He appeared at the behest of a low income support group from Ottawa. He was here to show the feeling which low income people have that this was not really Father Christmas but the Grinch in disguise-a green monster. I would not hesitate to say that this was a green monster who represents the Hon. Member who comes from the hills of Provencher who wants to steal Christmas from children, mothers and, of course, families. The message which is being given out by the Conservative Government is that it will cut the value of the family allowance for Canada's children and families and, in particular, mothers who are struggling so hard to raise children. The Government is doing this as a Christmas present.
While this was going on Members of Parliament, at least those of us who sit in Opposition, continued to present petitions, something which we have been doing now for weeks. We have presented hundreds of petitions with tens of thousands of signatures on them which have been sent to us from people all across Canada. They continue to flood into Members' offices, at least into mine, every day. We had hoped that, as a result of this particular protest and appeal from Canadians, the Minister, like the Grinch, would perhaps have his heart warmed and reconsider, or at least delay until after Christmas, taking any action with respect to Bill C-70. Of course, this morning we know what the answer is.
As a Christmas present to Canada's children, the Government has brought in time allocation which will force us to push through this Bill. This is only a repeat of what the Government has done since the introduction of Bill C-70. It brought in time allocation when we first debated the Bill at second reading stage. It imposed time allocation when there was no need for it. Then, when the Bill was before the committee, the Government reduced the number of weeks which had been allowed for witnesses to appear before the committee. It refused to hear from certain witnesses who had appealed to appear before it. I am thinking particularly of groups which are very concerned about the missing children section of the Bill and the child find groups which wanted to appear. I have before me petitions from about seven or eight of those groups from across Canada who appealed to the Minister to let them be heard. Of course, the committee refused to hear them on the advice of the Minister. Again, we had time allocation in that respect.
Native women were not heard. Native groups which suffer the greatest poverty in the country and which also have much larger families depend on a fully indexed family allowance for their families. They were not heard from. The Government brought in time allocation with respect to the proceedings of the committee and here we see it being imposed again at the report stage of the Bill. I think this is an absolute disgrace. It shows the insincerity and the mess which the Government is perpetuating.
The Minister has said over and over again that his social policy was to reinforce families. He has said that he cares about families and that he supports them. Yet, as a result of this Bill, he is attacking them. The Minister of National Health and Welfare (Mr. Epp), the Minister responsible for the status of women and, in fact, the Prime Minister (Mr. Mulroney) have said that women will be an important priority of the Government. Yet they were responsible for presenting a Bill the first thing this fall that attacks women. It attacks particularly low income women and those women are stuggling to raise children on their own.
The Minister can laugh, but it is no laughing matter to mothers across Canada who will see a reduction in their family allowance benefits as a result of this measure.

",New Democratic Party,,Margaret Anne Mitchell,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c561ac11-18ab-4c6c-8b7b-86b2e5484dfd&Language=E&Section=ALL
3571878,ca.proc.d.1985-12-19.1.1.18,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Epp (Provencher):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"It's going up.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
3571879,ca.proc.d.1985-12-19.1.1.19,1985-12-19,c561ac11-18ab-4c6c-8b7b-86b2e5484dfd,ca.m.4172,Ms. Mitchell:,,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"The Minister again says that it is going up. The Minister has not listened to the consultations. He is trying to create a myth and perpetuate misconceptions for Canadians. He is trying to say that there will be a piddling increase in January, while at the same time the CLC has given him figures to which he has not paid attention. These figures show that the family allowance will be reduced considerably for all families over the next few years.

",New Democratic Party,,Margaret Anne Mitchell,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c561ac11-18ab-4c6c-8b7b-86b2e5484dfd&Language=E&Section=ALL
3571880,ca.proc.d.1985-12-19.1.1.20,1985-12-19,a59b2ec7-63a6-4ab2-adc9-53f2dea03531,ca.m.3792,Mr. Epp (Provencher):,Minister of National Health and Welfare,GOVERNMENT ORDERS,"FAMILY ALLOWANCES ACT, 1973 ALLOCATION OF TIME TO CONSIDER REPORT AND THIRD READING STAGES OF BILL C-70",,"It is going up.

",Progressive Conservative,,Arthur Jacob (Jake) Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a59b2ec7-63a6-4ab2-adc9-53f2dea03531&Language=E&Section=ALL
