basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
536841,ca.proc.d.1919-06-11.1,1919-06-11,,,,topic,QUESTIONS.,,,,,,,
536842,ca.proc.d.1919-06-11.1.1.1,1919-06-11,,,,stagedirection,,,,(Questions answered orally are indicated by asterisks.),,,,
536843,ca.proc.d.1919-06-11.1.2,1919-06-11,,,,subtopic,QUESTIONS.,STEAMER CANADIAN WARRIOR.,,,,,,
536844,ca.proc.d.1919-06-11.1.2.1,1919-06-11,34308596-a425-4112-b653-9ed571725dc0,ca.m.6771,Mr. SINCLAIR (Antigonish and Guys-borough):,,QUESTIONS.,STEAMER CANADIAN WARRIOR.,,"1 Where is the Government steamer Can-nadian Warrior?
2.	Is she under charter? If so, to whom?
3.	What rate of freight is she receiving, what cargo is she carrying, and to and from what ports ?
4.	Is she insured? If so, by what brokers, in what companies, and for how much?
5 Is her freight insured?

",Laurier Liberal,,John Ewen Sinclair,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=34308596-a425-4112-b653-9ed571725dc0&Language=E&Section=ALL
536845,ca.proc.d.1919-06-11.1.2.2,1919-06-11,0e4f9dca-5c4f-43d7-af07-16546fe9215d,ca.m.2882,,Minister of Railways and Canals,QUESTIONS.,STEAMER CANADIAN WARRIOR.,,"1.	Vessel arrived at Barbados June 1.
2.	No. Canadian Government Merchant Marine, Limited, have booked cargo themselves in both directions.
3.	2,000 tons D.W. cargo and 6,000 feet of lumber from Montreal to Barbados and Trinidad, B.W.I. On return trip she will have a full cargo of sugar from Havana, Cuba, to Montreal. Standard rates were charged on miscellaneous cargo carried.
4.	Yes. Insured through Wilcox, Peck and Hughes for $750,000.
5.	Freight on downward trip was prepaid. Cargo would be insured by shipper.

",Unionist,,Hon. Mr. REID:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0e4f9dca-5c4f-43d7-af07-16546fe9215d&Language=E&Section=ALL
536846,ca.proc.d.1919-06-11.1.3,1919-06-11,,,,subtopic,QUESTIONS.,TADOUSSAC-LABRADOR WINTER COMMUNICATION.,,,,,,
536847,ca.proc.d.1919-06-11.1.3.1,1919-06-11,eb124d7f-4a4d-428f-9ac8-dd40b58d7fad,ca.m.5022,Mr. SAVARD:,,QUESTIONS.,TADOUSSAC-LABRADOR WINTER COMMUNICATION.,,"Are there communication facilities on the North shore of the St. Lawrence river between Tadoussac and Labrador, during the winter months?

",Laurier Liberal,,Edmond Savard,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=eb124d7f-4a4d-428f-9ac8-dd40b58d7fad&Language=E&Section=ALL
536848,ca.proc.d.1919-06-11.1.3.2,1919-06-11,0e29d17a-80d6-43a8-89b0-55c3664f17a0,ca.m.5198,,Minister of Marine and Fisheries; Minister of the Naval Service,QUESTIONS.,TADOUSSAC-LABRADOR WINTER COMMUNICATION.,,"1.	So far as the Department of Marine is concerned, there are none.

",Unionist,,Hon. Mr. BALLANTYNE:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0e29d17a-80d6-43a8-89b0-55c3664f17a0&Language=E&Section=ALL
536849,ca.proc.d.1919-06-11.2,1919-06-11,,,,topic,QUESTIONS PASSED AS ORDERS FOR RETURNS.,,,,,,,
536850,ca.proc.d.1919-06-11.2.1,1919-06-11,441e220e-1526-47d2-9b2f-ab5619ae3aac,ca.m.5796,,,QUESTIONS PASSED AS ORDERS FOR RETURNS.,,,"1.	What amount has been paid by the Government to the Canadian Car and Foundry Company, Limited, for the use of certain buildings at Amherst, Nova Scotia, as barracks?
2.	What claims, if any, are outstanding?
3.	How long were said buildings used?
4. How much was paid for lumber supplied for said barracks, and how much of this amount was paid to the Brooklyn Lumber Company, Limited ?
5.	How much has been received for lumber from the dismantling of the said barracks, and from whom?

",Laurier Liberal,,Mr. DUFF:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=441e220e-1526-47d2-9b2f-ab5619ae3aac&Language=E&Section=ALL
