basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
1205339,ca.proc.d.1940-05-27.1,1940-05-27,,,,topic,CANADIAN ACTIVE SERVICE FORCE-FIRST DIVISION,,,,,,,
1205340,ca.proc.d.1940-05-27.1.1,1940-05-27,b4773d7c-fb30-477a-9d14-c076e60905ac,ca.m.9274,,,CANADIAN ACTIVE SERVICE FORCE-FIRST DIVISION,,,"1.	How many officers, non-commissioned officers and men, of all ranks, by provinces, compose Canada's first expeditionary force?
2.	On what dates since the war started has the government sought recruits for overseas service, on what various dates was it stopped and restarted, and on whose recommendation?
Questions

",National Government,,Mr. CHURCH:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b4773d7c-fb30-477a-9d14-c076e60905ac&Language=E&Section=ALL
1205341,ca.proc.d.1940-05-27.1.2,1940-05-27,28eb2ff4-b1a9-437b-87d1-34c64f68f258,ca.m.7788,,Minister of National Defence,CANADIAN ACTIVE SERVICE FORCE-FIRST DIVISION,,,"1. Strength as at May 18, 1940-Canadian active service force (overseas)-
Province	Officers	Other ranksPrince Edward Island	6	165Nova Scotia	42	1,232New Brunswick	53	1,478Quebec	166	3,992Ontario	482	10,616Manitoba	61	1,189Saskatchewan	71	1,857Alberta	88	1,954British Columbia	56	1,595Headquarters and miscellaneous	137	441Total	1,162	24,5192 (a) Recruiting began with	the mobiliza-	
tion of the Canadian active service force.
(b) Recruiting for certain units has been suspended from time to time in order to control the intake in accordance with the unit desired to be recruited.

",Liberal,,Mr. ROGERS:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=28eb2ff4-b1a9-437b-87d1-34c64f68f258&Language=E&Section=ALL
1205342,ca.proc.d.1940-05-27.2,1940-05-27,,,,topic,CANADIAN ACTIVE SERVICE FORCE-THIRD DIVISION,,,,,,,
1205343,ca.proc.d.1940-05-27.2.1,1940-05-27,85e86cff-e37a-4ccc-937c-a3372202a60a,ca.m.4777,Mr. COCKERAM:,,CANADIAN ACTIVE SERVICE FORCE-THIRD DIVISION,,,"Will consideration be given to the inclusion in the proposed third division of an Irish regiment representative of Canadians of Irish descent?

",National Government,,Alan Cockeram,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=85e86cff-e37a-4ccc-937c-a3372202a60a&Language=E&Section=ALL
1205344,ca.proc.d.1940-05-27.2.2,1940-05-27,28eb2ff4-b1a9-437b-87d1-34c64f68f258,ca.m.7788,Mr. ROGERS:,Minister of National Defence,CANADIAN ACTIVE SERVICE FORCE-THIRD DIVISION,,,"In selecting units for the third Canadian division full and careful consideration will be given to the claims of all of the unmobilized militia units from coast to coast, including Irish regiments.
SUBVERSIVE ACTIVITIES-ANTI-ALLY PROPAGANDA*

",Liberal,,Norman McLeod Rogers,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=28eb2ff4-b1a9-437b-87d1-34c64f68f258&Language=E&Section=ALL
1205345,ca.proc.d.1940-05-27.2.3,1940-05-27,b4773d7c-fb30-477a-9d14-c076e60905ac,ca.m.9274,Mr. CHURCH:,,CANADIAN ACTIVE SERVICE FORCE-THIRD DIVISION,,,"Will the government give consideration to the appointment of a committee of the house to investigate all adverse anti-allies propaganda carried on in Canada by the so-called fifth army and those who are pro-German and proRussian, as well as American channels in the air and the distribution of certain American press publications carrying items detrimental to the cause of our allies.

",National Government,,Thomas Langton Church,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b4773d7c-fb30-477a-9d14-c076e60905ac&Language=E&Section=ALL
1205346,ca.proc.d.1940-05-27.2.4,1940-05-27,b11f5b30-7d32-44e6-b23c-a24561c1eaf5,ca.m.7719,Mr. MACKENZIE KING:,Prime Minister; Secretary of State for External Affairs; President of the Privy Council,CANADIAN ACTIVE SERVICE FORCE-THIRD DIVISION,,,"May I mention that there is on the order paper a notice of motion under my name with respect to the defence of Canada regulations and the intention to appoint a committee of this house to take up all matters that might arise in connection with a study of these regulations. I think the motion is sufficiently broadly worded to cover everything that my hon. friend would wish to have included in it, as is indicated by his question, and I would ask therefore that the explanation I am now making be considered as an answer to the question.
TMr. Church.]

",Liberal,,William Lyon Mackenzie King,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b11f5b30-7d32-44e6-b23c-a24561c1eaf5&Language=E&Section=ALL
1205347,ca.proc.d.1940-05-27.3,1940-05-27,,,,topic,INTERNMENT OPERATIONS,,,,,,,
1205348,ca.proc.d.1940-05-27.3.1,1940-05-27,b987b0d3-b67f-4474-96f0-02e3a7d68395,ca.m.5578,,,INTERNMENT OPERATIONS,,,"1.	Was one Doctor Schneider, of Loekport, Manitoba, interned since the outbreak of war?
2.	If so, when, where, and why?
3.	How long did he remain interned?
4.	Was he released? If so, what were the circumstances connected therewith ?

",National Government,,Mr. ROSS (Souris):,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b987b0d3-b67f-4474-96f0-02e3a7d68395&Language=E&Section=ALL
