basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2025152,ca.proc.d.1960-02-16.1,1960-02-16,,,,topic,STANDING COMMITTEES,,,,,,,
2025153,ca.proc.d.1960-02-16.1.1.1,1960-02-16,,,,stagedirection,,,,"Mr. John Pallet! (Peel) presented the second report of the special committee appointed to prepare and report lists of members to compose the standing committees of the house, as follows:
AGRICULTURE AND COLONIZATION Messrs.
Brassard (Chicoutimi)	Morissette
Broome	Morton
Bruchesi	Murphy
Campbell	Pickersgill
(Lambton-Kent)	Pratt
Campeau	Regier
Chown	Robichaud
Coates	Rouleau
Denis	Smith (Calgary South)
Deschatelets	Smith (Simcoe North)
Dorion	Smith (Winnipeg North)
Drysdale	Spencer
Dupuis	Stefanson
Fraser	Stewart
Grenier	Tucker
Hales	Valade
Hanbidge	Villeneuve
Hellyer	Winch
Keays	Woolliams
Lahaye Macdonald (Kings)	Wratten-50.
(Quorum-15)",,,,
2025155,ca.proc.d.1960-02-16.2,1960-02-16,,,,topic,STANDING ORDERS,,,,,,,
2025156,ca.proc.d.1960-02-16.2.1.1,1960-02-16,,,,stagedirection,,,,"Messrs.
Aitken, Miss	Frechette
Argue	Garland
Best	Grafftey
Batten	Horner (Jasper-Edson)
Bourdages	Loiselle
Brassard (Chicoutimi) McGrath	
Campeau	McWilliam
Danforth	Meunier
Dorion	Milligan
Forgie	Spencer-20. (Quorum-8) VETERANS AFFAIRS Messrs.
Badanai	MacRae
Batten	Matthews
Beech	McIntosh
Benidickson	McWilliam
Broome	Montgomery
Cardin	O'Leary
Carter	Ormiston
Clancy	Parizeau
Denis	Peters
Dinsdale	Pugh
Fane	Roberge
Forgie	Robinson
Fortin	Rogers
Garland	Speakman
Herridge	Stearns
Jung	Stewart
Kennedy	Thomas
Lennard	Webster
Macdonald (Kings) Weichel	
MacEwan	Winkler-40. (Quorum-15) PRINTING
(Members	to Act on part of the Commons) Messrs.
Allard	Howard
Asselin	Jorgenson
Barrington	Korchinski
Belzile	Lahaye
Bissonnette	Letourneau
Boivin	Lessard
Bourdages	Maclnnis
Bourque	MacLellan
Brunsden	Martini
Cadieu	McLennan
Campeau	McWilliam
Caron	Meunier
Clancy	Michaud
Cooper	Morissette
Creaghan	O'Leary
Deschambault	Phillips
Deschatelets	Rapp
Dubois	Ratelle
Dupuis	Richard (Kamouraska)
Fane	Robinson
Fisher	Rouleau
Fortin	Skoreyko
Gillet	Smallwood
Grafftey	Southam
Godin	Taylor
Gundlock	Webb
Henderson	Winkler-54.
LIBRARY OF PARLIAMENT (Members to Act on part of the Commons)
Mr. Speaker and Messrs.
Aitken, Miss Bourbonnais Bourque Brunsden
Campeau
Dorion
Eudes
Fairfield
79951-0-70i
Standing Committees
Fisher
Fleming (Okanagan-Revelstoke)
Forbes
Frechette
Grenier
Hanbidge
Houck
Kindt
Knowles
LaRue
Lennard
Lessard
Macquarrie
Martel
Matthews
McFarlane
McGee
Mcllraith
Muir (Lisgar)
Nixon
Pigeon
Pratt
Racine
Ratelle
Regier
Richard (Ottawa East)
Rouleau
Simpson
Skoreyko
Small
Smith (Lincoln)
Smith (Simcoe North)
Smith (Winnipeg North)
Southam
Stinson
Tremblay-45.",,,,
2025157,ca.proc.d.1960-02-16.3,1960-02-16,,,,topic,RESTAURANT,,,,,,,
2025158,ca.proc.d.1960-02-16.3.1.1,1960-02-16,,,,stagedirection,,,,"(Members to Act on the part of the Commons) Mr. Speaker and Messrs.
Bourque
Campbell (Lambton-Kent)
Carter
Deschatelets
Dorion
Doucett
Godin
Hales
Horner (The Battlefords)
Lafreniere
Legere
Letourneau
Martin (Timmins) McGregor McQuillan Muir (Lisgar)
Pratt
Richard (Ottawa East)
Stearns
Tardif
Taylor
Villeneuve
Weichel
Wratten-25.
Mr. Pallet! moved that the report be concurred in.
Motion agreed to.",,,,
2025159,ca.proc.d.1960-02-16.4,1960-02-16,,,,topic,POWERS OF COMMITTEES,,,,,,,
2025160,ca.proc.d.1960-02-16.4.1.1,1960-02-16,,,,stagedirection,,,,"Right Kon. J. G. Diefenbaker (Prime Minister) moved:
That the standing committees of this house shall severally be empowered to examine and inquire into all such matters and things as may be referred to them by the house, and to report from time to time their observations and opinions thereon, with power to send for persons, papers and records.
Motion agreed to.",,,,
2025161,ca.proc.d.1960-02-16.5,1960-02-16,,,,topic,BRITISH NORTH AMERICA ACT,,,,,,,
2025162,ca.proc.d.1960-02-16.5.1,1960-02-16,,,,subtopic,BRITISH NORTH AMERICA ACT,TABLING OF CORRESPONDENCE WITH PROVINCES CONCERNING AMENDMENT,,,,,,
2025163,ca.proc.d.1960-02-16.5.1.1,1960-02-16,bd7064c6-90b2-4e0a-9a8f-1c4d781bb30e,ca.m.4192,Hon. E. D. Fulton (Minister of Justice):,Minister of Justice and Attorney General of Canada,BRITISH NORTH AMERICA ACT,TABLING OF CORRESPONDENCE WITH PROVINCES CONCERNING AMENDMENT,,"Mr. Speaker, I should like with the leave of the house to hand to the Clerk, for the purpose of tabling, copies of correspondence which was exchanged between the government of Canada and the provincial governments concerning the amendment to section 99 of the British North America Act, 1867, as requested by the hon. member for Bonavista-Twillin-gate in this house on January 19.

",Progressive Conservative,,Edmund Davie Fulton,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=bd7064c6-90b2-4e0a-9a8f-1c4d781bb30e&Language=E&Section=ALL
2025164,ca.proc.d.1960-02-16.5.1.2,1960-02-16,5996b081-97f6-4bde-8dec-52df3dca3f76,ca.m.9560,Hon. J. W. Pickersgill (Bonavisla-Twillin-gale):,,BRITISH NORTH AMERICA ACT,TABLING OF CORRESPONDENCE WITH PROVINCES CONCERNING AMENDMENT,,"I wonder, Mr. Speaker, if I might be permitted to ask the minister if he would request that this be made an appendix to Hansard for the convenience of members.

Question of Privilege

