measure,n,mean_original,mean_chunk_aggregated,mean_change,change_ci_95_low,change_ci_95_high,median_change,share_increased,share_unchanged,share_decreased
LLM score,21822,0.24490422509394186,0.15062352980297028,-0.09428069529097162,-0.09582227268335645,-0.09273911789858678,-0.1,0.07167079094491798,0.31935661259279624,0.6089725964622857
K-means score,21822,0.29003986802309595,0.36632499953660935,0.07628513151351342,0.07350847296458518,0.07906179006244166,0.0,0.4431766107597837,0.36834387315553113,0.1884795160846852
LLM − K-means score difference,21822,-0.045135642929154056,-0.2157014697336391,-0.17056582680448504,-0.17377084589353547,-0.1673608077154346,-0.1428571428571429,0.14847401704701677,0.18559252130877096,0.6659334616442123
