basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2431065,ca.proc.d.1966-07-12.1,1966-07-12,,,,topic,PRIVILEGES AND ELECTIONS,,,,,,,
2431066,ca.proc.d.1966-07-12.1.1,1966-07-12,,,,subtopic,PRIVILEGES AND ELECTIONS,CONCURRENCE IN FIRST REPORT OF STANDING COMMITTEE,,,,,,
2431067,ca.proc.d.1966-07-12.1.1.1,1966-07-12,c9078f2d-6d76-4e8a-be67-ec745bda0f91,ca.m.8118,Mr. G. Roy McWilliam (Norlhumberland-Miramichi) moved,,PRIVILEGES AND ELECTIONS,CONCURRENCE IN FIRST REPORT OF STANDING COMMITTEE,,"that the first report of the standing committee on privileges and elections, presented to the house on Thursday, July 7, be concurred in.

",Liberal,,George Roy McWilliam,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c9078f2d-6d76-4e8a-be67-ec745bda0f91&Language=E&Section=ALL
2431068,ca.proc.d.1966-07-12.1.1.2,1966-07-12,acd5380d-f564-427d-821a-4528ecdba8f3,ca.m.9577,Mr. Gregoire:,,PRIVILEGES AND ELECTIONS,CONCURRENCE IN FIRST REPORT OF STANDING COMMITTEE,,"On division.

",Ralliement Créditiste,,Gilles Grégoire,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=acd5380d-f564-427d-821a-4528ecdba8f3&Language=E&Section=ALL
2431069,ca.proc.d.1966-07-12.1.1.3.1,1966-07-12,,,,stagedirection,,,,"Motion agreed to, on division.
[DOT] (2:40 p.m.)",,,,
2431070,ca.proc.d.1966-07-12.2,1966-07-12,,,,topic,CANADIAN CORPORATION FOR WORLD EXHIBITION,,,,,,,
2431071,ca.proc.d.1966-07-12.2.1,1966-07-12,,,,subtopic,CANADIAN CORPORATION FOR WORLD EXHIBITION,"AMENDMENT INCREASING PROTECTION FOR SYMBOLS, INSIGNIA, ETC.",,,,,,
2431072,ca.proc.d.1966-07-12.2.1.1,1966-07-12,bcf1b481-1534-4cda-8cad-80c22792e971,ca.m.8415,Hon. C. M. Drury (for the Minister of Trade and Commerce) moved,Minister of Industry; Minister of Defence Production,CANADIAN CORPORATION FOR WORLD EXHIBITION,"AMENDMENT INCREASING PROTECTION FOR SYMBOLS, INSIGNIA, ETC.",,"the first reading of Bill No. S-42 (from the Senate), to amend the Canadian Corporation for the 1967 World Exhibition Act.
Motion agreed to and bill read the first time.

",Liberal,,Charles Mills (Bud) Drury,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=bcf1b481-1534-4cda-8cad-80c22792e971&Language=E&Section=ALL
2431073,ca.proc.d.1966-07-12.3,1966-07-12,,,,topic,AIR TRANSPORT,,,,,,,
2431074,ca.proc.d.1966-07-12.3.1,1966-07-12,,,,subtopic,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,,,,,
2431075,ca.proc.d.1966-07-12.3.1.1.1,1966-07-12,,,,stagedirection,,,,On the orders of the day:,,,,
2431076,ca.proc.d.1966-07-12.3.1.2,1966-07-12,84909dc1-9a60-44b3-a939-2393ab563089,ca.m.3212,Right Hon. J. G. Diefenbaker (Leader of the Opposition):,Leader of the Official Opposition,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"Mr. Speaker, I would ask the Secretary of State for External Affairs whether there is any basis for press reports to the effect that President Johnson, or someone on his behalf, raised strong objections to Canada signing an air agreement with the Soviet union or Soviet government. When were those representations made, and were any of them in writing?

",Progressive Conservative,,John George Diefenbaker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=84909dc1-9a60-44b3-a939-2393ab563089&Language=E&Section=ALL
2431077,ca.proc.d.1966-07-12.3.1.3,1966-07-12,dbc81dd3-47f7-4448-a205-ccbf43047e83,ca.m.8658,Hon. Paul Marlin (Secrelary of Slate for External Affairs):,Secretary of State for External Affairs,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"Mr. Speaker, the Can-ada-U.S.S.R. air agreement, copies of which were tabled in the house yesterday afternoon, provides for air service between Moscow and Montreal only. It is expected that both Air
Canada and Aeroflot will fly one round trip per week between these two cities, but there is no question in the agreement of an extension to other points.
So far as I am aware the United States is not opposed to this agreement. Indeed, hon. members may recall that in 1961 the United States negotiated a somewhat similar agreement with the Soviet union, although this has not yet been brought into effect.
In any event, the agreement signed yesterday by the Canadian government is based on decisions taken by the Canadian government.

",Liberal,,Paul Joseph James Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=dbc81dd3-47f7-4448-a205-ccbf43047e83&Language=E&Section=ALL
2431078,ca.proc.d.1966-07-12.3.1.4,1966-07-12,intervention,,,,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"Hear, hear.

",,,Some hon. Members:,
2431079,ca.proc.d.1966-07-12.3.1.5,1966-07-12,84909dc1-9a60-44b3-a939-2393ab563089,ca.m.3212,Mr. Diefenbaker:,Leader of the Official Opposition,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"Mr. Speaker, the question I asked was whether objections had been raised by President Johnson or someone on his behalf, and it requires just a simple answer. If such did not take place then surely a negative answer would be the answer, rather than a generality.

",Progressive Conservative,,John George Diefenbaker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=84909dc1-9a60-44b3-a939-2393ab563089&Language=E&Section=ALL
2431080,ca.proc.d.1966-07-12.3.1.6,1966-07-12,7d99e6fa-2ea6-461d-a602-f3c8c754041d,ca.m.8259,Mr. Marlin (Essex Easl):,,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"Mr. Speaker, I have not used generalities in my response. I have given a pretty detailed reply to most of what my right hon. friend asked-

",New Democratic Party,,Murdo William Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7d99e6fa-2ea6-461d-a602-f3c8c754041d&Language=E&Section=ALL
2431081,ca.proc.d.1966-07-12.3.1.7,1966-07-12,84909dc1-9a60-44b3-a939-2393ab563089,ca.m.3212,Mr. Diefenbaker:,Leader of the Official Opposition,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"Most of it.

",Progressive Conservative,,John George Diefenbaker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=84909dc1-9a60-44b3-a939-2393ab563089&Language=E&Section=ALL
2431082,ca.proc.d.1966-07-12.3.1.8,1966-07-12,7d99e6fa-2ea6-461d-a602-f3c8c754041d,ca.m.8259,Mr. Marlin (Essex Easl):,,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"-but since my right hon. friend reminds that he had another aspect to his question I might as well address myself to that.
As my right hon. friend knows, it is not normal to confirm or deny whether exchanges of communications between heads of government have taken place on any particular subject. Such communications are privileged. Of course there has been an opportunity not only for the United States but for other countries to express their views, but I would repeat that the agreement signed yesterday, so far as I am concerned and so far as I know, is not opposed by the United States. I also added that in any event the decision taken was a decision taken by the government of Canada.

",New Democratic Party,,Murdo William Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7d99e6fa-2ea6-461d-a602-f3c8c754041d&Language=E&Section=ALL
2431083,ca.proc.d.1966-07-12.3.1.9,1966-07-12,84909dc1-9a60-44b3-a939-2393ab563089,ca.m.3212,Mr. Diefenbaker:,Leader of the Official Opposition,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"If there was not any
objection, wherein did the courage consist?

",Progressive Conservative,,John George Diefenbaker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=84909dc1-9a60-44b3-a939-2393ab563089&Language=E&Section=ALL
2431084,ca.proc.d.1966-07-12.3.1.10,1966-07-12,7d99e6fa-2ea6-461d-a602-f3c8c754041d,ca.m.8259,Mr. Martin (Essex Easl):,,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"In replying to my
right hon. friend.

",New Democratic Party,,Murdo William Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7d99e6fa-2ea6-461d-a602-f3c8c754041d&Language=E&Section=ALL
2431085,ca.proc.d.1966-07-12.3.1.11,1966-07-12,intervention,,,,AIR TRANSPORT,REPORTED U.S. OBJECTION TO CANADA-RUSSIA AGREEMENT,,"Hear, hear.
July 12, 1966

Inquiries of the Ministry EXTERNAL AFFAIRS

",,,Some hon. Members:,
2431086,ca.proc.d.1966-07-12.4,1966-07-12,,,,topic,LAOS-REPORTED BOMBINGS BY U.S. AIR FORCE,,,,,,,
2431087,ca.proc.d.1966-07-12.4.1.1,1966-07-12,,,,stagedirection,,,,On the orders of the day:,,,,
2431088,ca.proc.d.1966-07-12.4.2,1966-07-12,d34eb71d-3bc8-4258-8a3f-2007fa662c38,ca.m.4292,Mr. T. C. Douglas (Burnaby-Coquillam):,,LAOS-REPORTED BOMBINGS BY U.S. AIR FORCE,,,"Mr. Speaker, may I direct a question to the Secretary of State for External Affairs. In view of reports from Saigon to the effect that for several months the United States air force has been bombing targets in Laos to the extent of some 100 strikes a day, I should like to ask the minister whether he is in possession of this information; and was he ever given the information by the United States government or by the Canadian representatives on the international control commission?

",New Democratic Party,,Thomas Clement (Tommy) Douglas,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d34eb71d-3bc8-4258-8a3f-2007fa662c38&Language=E&Section=ALL
2431089,ca.proc.d.1966-07-12.4.3,1966-07-12,dbc81dd3-47f7-4448-a205-ccbf43047e83,ca.m.8658,Hon. Paul Martin (Secretary of State for External Affairs):,Secretary of State for External Affairs,LAOS-REPORTED BOMBINGS BY U.S. AIR FORCE,,,"Mr. Speaker, my hon.
friend will recall that some weeks ago this question was asked and I indicated that the commission had received a complaint about these alleged bombings in Laos and that the commission, which of course includes a Canadian representative, depends upon those who made the complaint to facilitate the commission's examination of the allegations. Such permission has not yet been granted.

",Liberal,,Paul Joseph James Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=dbc81dd3-47f7-4448-a205-ccbf43047e83&Language=E&Section=ALL
2431090,ca.proc.d.1966-07-12.4.4,1966-07-12,d34eb71d-3bc8-4258-8a3f-2007fa662c38,ca.m.4292,Mr. Douglas:,,LAOS-REPORTED BOMBINGS BY U.S. AIR FORCE,,,"May I ask a supplementary question, Mr. Speaker. Will any representations be made either to the government of Laos or the United States government for permission to investigate these charges?

",New Democratic Party,,Thomas Clement (Tommy) Douglas,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d34eb71d-3bc8-4258-8a3f-2007fa662c38&Language=E&Section=ALL
2431091,ca.proc.d.1966-07-12.4.5,1966-07-12,dbc81dd3-47f7-4448-a205-ccbf43047e83,ca.m.8658,Mr. Martin (Essex East):,Secretary of State for External Affairs,LAOS-REPORTED BOMBINGS BY U.S. AIR FORCE,,,"The permission in :his case in practical terms would not necessarily be given entirely by the royal government of Laos but also by those forces in Laos opposed militarily to the royal government. It is to these forces that a request by the Laos government to make an investigation must be made. The royal government of Laos does not fully control the whole territory of Laos.

",Liberal,,Paul Joseph James Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=dbc81dd3-47f7-4448-a205-ccbf43047e83&Language=E&Section=ALL
2431092,ca.proc.d.1966-07-12.4.6,1966-07-12,d34eb71d-3bc8-4258-8a3f-2007fa662c38,ca.m.4292,Mr. Douglas:,,LAOS-REPORTED BOMBINGS BY U.S. AIR FORCE,,,"I have another supplementary question. With reference to the United States airports in Laos and in Thailand from which some of this bombing is going on, has any request been made of the government controlling these areas with regard to an investigation?

",New Democratic Party,,Thomas Clement (Tommy) Douglas,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d34eb71d-3bc8-4258-8a3f-2007fa662c38&Language=E&Section=ALL
2431093,ca.proc.d.1966-07-12.4.7,1966-07-12,dbc81dd3-47f7-4448-a205-ccbf43047e83,ca.m.8658,Mr. Martin (Essex East):,Secretary of State for External Affairs,LAOS-REPORTED BOMBINGS BY U.S. AIR FORCE,,,"There have been communications quite recently-I am not familiar with the details-addressed by the commission along the lines of those referred to by my hon. friend.

",Liberal,,Paul Joseph James Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=dbc81dd3-47f7-4448-a205-ccbf43047e83&Language=E&Section=ALL
2431094,ca.proc.d.1966-07-12.5,1966-07-12,,,,topic,FINANCE,,,,,,,
2431095,ca.proc.d.1966-07-12.5.1,1966-07-12,,,,subtopic,FINANCE,DISCLOSURE OF INTEREST RATES ON SMALL LOANS,,,,,,
2431096,ca.proc.d.1966-07-12.5.1.1.1,1966-07-12,,,,stagedirection,,,,On the orders of the day:,,,,
2431097,ca.proc.d.1966-07-12.5.1.2,1966-07-12,acd5380d-f564-427d-821a-4528ecdba8f3,ca.m.9577,Mr. Gilles Gregoire (Lapointe):,,FINANCE,DISCLOSURE OF INTEREST RATES ON SMALL LOANS,,"Mr. Speaker, I wish to put a question to the Minister of Finance.
Can the minister advise the house whether he has received any representations to the effect that legislation should be passed in this house to lower the interest rates charged by small loans companies and whether he intends to have such new legislation passed this year?

",Ralliement Créditiste,,Gilles Grégoire,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=acd5380d-f564-427d-821a-4528ecdba8f3&Language=E&Section=ALL
2431098,ca.proc.d.1966-07-12.5.1.3,1966-07-12,0ae975c1-8187-4ab9-b0ff-dfe9da639543,ca.m.7756,Hon. Mitchell Sharp (Minister of Finance):,Minister of Finance and Receiver General,FINANCE,DISCLOSURE OF INTEREST RATES ON SMALL LOANS,,"Mr. Speaker, I cannot recall having recently received any such representations on this subject, although it is a matter of continuing interest to Canadians generally. It is my intention, as 1 said when speaking to the resolution preceding the introduction of the bill to amend the Bank Act, to convene a federal-provincial conference this year to discuss consumer credit, which of course will include interest and the revelation of true interest charges.

",Liberal,,Mitchell William Sharp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0ae975c1-8187-4ab9-b0ff-dfe9da639543&Language=E&Section=ALL
2431099,ca.proc.d.1966-07-12.6,1966-07-12,,,,topic,NATIONAL DEFENCE,,,,,,,
2431100,ca.proc.d.1966-07-12.6.1,1966-07-12,,,,subtopic,NATIONAL DEFENCE,REQUEST THAT NO CHANGE BE MADE IN NAVAL UNIFORMS,,,,,,
2431101,ca.proc.d.1966-07-12.6.1.1.1,1966-07-12,,,,stagedirection,,,,On the orders of the day:,,,,
2431102,ca.proc.d.1966-07-12.6.1.2,1966-07-12,53582230-b17d-4b34-9398-b8e59787ba07,ca.m.8978,Mr. Lloyd R. Crouse (Queens-Lunenburg):,,NATIONAL DEFENCE,REQUEST THAT NO CHANGE BE MADE IN NAVAL UNIFORMS,,"Mr. Speaker, I should like to direct a question to the Minister of National Defence. The men in the highland regiments of our armed forces are delighted to know that the minister intends to retain the kilt. In view of the interest in our seagirt provinces, would the minister give a similar assurance that the uniforms now worn by the officers and men of Her Majesty's Royal Canadian Navy and reserve will not be changed in design, pattern or colour?

",Progressive Conservative,,Lloyd Roseville Crouse,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=53582230-b17d-4b34-9398-b8e59787ba07&Language=E&Section=ALL
2431103,ca.proc.d.1966-07-12.6.1.3,1966-07-12,3e0d75d7-a08d-413b-9413-e6054d79e797,ca.m.4170,Mr. Speaker:,Speaker of the House of Commons,NATIONAL DEFENCE,REQUEST THAT NO CHANGE BE MADE IN NAVAL UNIFORMS,,"Order. I allowed the hon.
member's question yesterday, but I think perhaps this one should not be asked at this time. It might be placed on the order paper or discussed at ten o'clock this evening.

",Liberal,,Lucien Lamoureux,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3e0d75d7-a08d-413b-9413-e6054d79e797&Language=E&Section=ALL
2431104,ca.proc.d.1966-07-12.6.1.4,1966-07-12,53582230-b17d-4b34-9398-b8e59787ba07,ca.m.8978,Mr. Crouse:,,NATIONAL DEFENCE,REQUEST THAT NO CHANGE BE MADE IN NAVAL UNIFORMS,,"On a point of order; I believe the morale of our armed forces depends on many things, not the least of which is an adherence to tradition which builds esprit de corps among the men.
July 12, 1966

",Progressive Conservative,,Lloyd Roseville Crouse,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=53582230-b17d-4b34-9398-b8e59787ba07&Language=E&Section=ALL
2431105,ca.proc.d.1966-07-12.6.1.5,1966-07-12,3e0d75d7-a08d-413b-9413-e6054d79e797,ca.m.4170,Mr. Speaker:,Speaker of the House of Commons,NATIONAL DEFENCE,REQUEST THAT NO CHANGE BE MADE IN NAVAL UNIFORMS,,"Order, please. I think the morale of the armed forces will hold up until this evening at ten o'clock.

",Liberal,,Lucien Lamoureux,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3e0d75d7-a08d-413b-9413-e6054d79e797&Language=E&Section=ALL
2431106,ca.proc.d.1966-07-12.7,1966-07-12,,,,topic,UNITED NATIONS,,,,,,,
2431107,ca.proc.d.1966-07-12.7.1,1966-07-12,,,,subtopic,UNITED NATIONS,CANADIAN ATTITUDE TOWARD ADMISSION OF MAINLAND CHINA,,,,,,
2431108,ca.proc.d.1966-07-12.7.1.1.1,1966-07-12,,,,stagedirection,,,,On the orders of the day:,,,,
2431109,ca.proc.d.1966-07-12.7.1.2,1966-07-12,95d80bc3-ef90-4b95-aa06-66756301e54b,ca.m.8005,Mr. Heward Graffiey (Brome-Missisquoi):,,UNITED NATIONS,CANADIAN ATTITUDE TOWARD ADMISSION OF MAINLAND CHINA,,"Mr. Speaker, in view of the Prime Minister's answer yesterday to the member for Oxford I should like to direct a question to the Secretary of State for External Affairs. Has the government set up a special body of officials to advise on a course of action relating to the seating of communist China at the next session of the United Nations and, if so, will the government make its attitude known before the session begins? I think it is important that this question be asked at this particular time.

",Progressive Conservative,,William Heward Grafftey,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=95d80bc3-ef90-4b95-aa06-66756301e54b&Language=E&Section=ALL
2431110,ca.proc.d.1966-07-12.7.1.3,1966-07-12,dbc81dd3-47f7-4448-a205-ccbf43047e83,ca.m.8658,Hon. Paul Martin (Secretary of State for External Affairs):,Secretary of State for External Affairs,UNITED NATIONS,CANADIAN ATTITUDE TOWARD ADMISSION OF MAINLAND CHINA,,"Yes.

",Liberal,,Paul Joseph James Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=dbc81dd3-47f7-4448-a205-ccbf43047e83&Language=E&Section=ALL
