basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2932842,ca.proc.d.1974-11-29.1,1974-11-29,,,,topic,PRIVILEGE,,,,,,,
2932843,ca.proc.d.1974-11-29.1.1,1974-11-29,,,,subtopic,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,,,,,
2932844,ca.proc.d.1974-11-29.1.1.1,1974-11-29,9a216666-6b6a-4761-9a98-afc11747bf5f,ca.m.9053,Mr. Eldon M. Woolliams (Calgary North):,,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,"Mr. Speaker, I rise on a question of privilege affecting the rights of all parliamentarians. I served written notice of it on Mr. Speaker this morning.
Before I go into my question of privilege, I think that as the first speaker in the House today I would like to congratulate Mr. and Mrs. Jerome on the arrival of the new nine-pound baby girl who will be the new Speaker in the future.

",Progressive Conservative,,Eldon Mattison Woolliams,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9a216666-6b6a-4761-9a98-afc11747bf5f&Language=E&Section=ALL
2932845,ca.proc.d.1974-11-29.1.1.2,1974-11-29,intervention,,,,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,"Hear, hear.

",,,Some hon. Members:,
2932846,ca.proc.d.1974-11-29.1.1.3,1974-11-29,88de9baa-8839-401f-9aa2-55522b62d47f,ca.m.3979,Mr. Baldwin:,Official Opposition House Leader; Progressive Conservative Party House Leader,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,"Probably a loudspeaker before then.

",Progressive Conservative,,Gerald William Baldwin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=88de9baa-8839-401f-9aa2-55522b62d47f&Language=E&Section=ALL
2932847,ca.proc.d.1974-11-29.1.1.4,1974-11-29,9a216666-6b6a-4761-9a98-afc11747bf5f,ca.m.9053,Mr. Woolliams:,,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,"My question of privilege arises from the procedure now being followed in the Standing Committee on Miscellaneous Estimates. In a few moments I will submit that we have been denied our rights to carry out our proper function as members of the opposition which is to prod the government into action when that is necessary, to criticize the government constructively, and to offer positive suggestions.
The rules as set out assign a ten minute period to each member to question a particular minister in reference to the estimates of his department. Last night members were questioning the Minister of State for Urban Affairs (Mr. Danson) on the estimates of his department. Each member has an equal time of only ten minutes. Before the rules were changed removing the estimates from the House, the committee of the whole used to consider estimates. Then, they were transferred under the new rules to the standing committee. When the committee of the whole used to consider estimates, if we did not get the answers, we told the minister in no uncertain terms that unless we got answers to our questions, the estimates would not be approved.
Under the new rules, members are allotted two hours to consider the estimates of each department. If each member is allotted 10 minutes, it means also that the official spokesmen of the opposition parties are allowed 10 minutes each and the time can be taken up by the majority made up of government members so that the opposition members are never able to prod the government into action or to seek information. Therefore, the whole committee system becomes a farce.

",Progressive Conservative,,Eldon Mattison Woolliams,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9a216666-6b6a-4761-9a98-afc11747bf5f&Language=E&Section=ALL
2932848,ca.proc.d.1974-11-29.1.1.5,1974-11-29,intervention,,,,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,"Hear, hear.

",,,Some hon. Members:,
2932849,ca.proc.d.1974-11-29.1.1.6,1974-11-29,9a216666-6b6a-4761-9a98-afc11747bf5f,ca.m.9053,Mr. Woolliams:,,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,"When we considered estimates in committee of the whole House, spokesmen for the official opposition had equal time with government members and were thus able to prod the government into action or to question ministers. Speaking of the functions of the official opposition and other opposition members, a former prime minister and former leader of the opposition, the late Lester B. Pearson once quoted another parliamentarian who said:
If parliament is to be preserved as a living institution, His Majesty's loyal opposition must fearlessly perform its functions. When it properly discharges them the preservation of our freedom is assured. The reading of history proves that freedom always dies when criticism ends. It upholds and maintains the rights of minorities against majorities. It must be vigilant against oppression and unjust invasions by the cabinet of the rights of the people. It should supervise all expenditures and prevent over-expenditure by exposing to the light of public opinion wasteful expenditures or worse. It finds fault; it suggests amendments; it asks questions and elicits information; it arouses, educates and molds public opinion by voice and vote. It must scrutinize every action by the government and in doing so prevents the short-cuts through democratic procedure that governments like to make.
In the Speech from the Throne the Prime Minister (Mr. Trudeau) said there would be reform. If this is the reform, the result is that parliament cannot control government expenditure.
What is the main function of parliament, Mr. Speaker? Is it to control expenditures? If we lose control of the purse strings any government can ride slipshod over parliament and the people of Canada. This system is a sham. I do not know who made the rule that each member of parliament has ten minutes to speak but that is how it works in practice. One member from the opposition gets his ten minutes, then it is the turn of a majority of members from the government who have a love-in with the government-naturally they have a love-in-and it is in their interest to maintain the government.
How can we prod the government into action? How can we elicit information if we are only given ten minutes to study and consider millions of dollars worth of estimates, $1,750 million worth. Mr. Speaker, the committee system is a farce under this government.
Mr. Speaker, I consider this matter affects the right of members of parliament to do their duty and accept responsibility for Canadians. Last night I was denied the right, as were other members of the opposition, to elicit information from the Secretary of State. We asked one question and he was very .courteous and made a beautiful speech but gave us no information. It was a sham and a waste of time.
If Your Honour finds that I have made a prima facie case for the rights of members of parliament, I am prepared to make a motion to refer what happened last night to the Standing Committee on Privileges and Elections. I have a motion prepared.

November 29, 1974
Privilege-Mr. Woolliams

",Progressive Conservative,,Eldon Mattison Woolliams,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9a216666-6b6a-4761-9a98-afc11747bf5f&Language=E&Section=ALL
2932850,ca.proc.d.1974-11-29.1.1.7,1974-11-29,8cd6c785-293e-4f33-8d82-a119256eca2d,ca.m.1732,Mr. John M. Reid (Parliamentary Secretary to President of Privy Council):,Parliamentary Secretary to the President of the Privy Council,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,"Mr. Speaker, from the remarks of the hon. member, I think it is quite clear that what he is complaining about is the rules which the Standing Committee on Miscellaneous Estimates have adopted to control their own procedure.

",Liberal,,John Mercer Reid,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=8cd6c785-293e-4f33-8d82-a119256eca2d&Language=E&Section=ALL
2932851,ca.proc.d.1974-11-29.1.1.8,1974-11-29,9a216666-6b6a-4761-9a98-afc11747bf5f,ca.m.9053,Mr. Woolliams:,,PRIVILEGE,MR. WOOLLIAMS-TIME ALLOCATION FOR STUDY OF ESTIMATES IN COMMITTEE,,"Huh!

",Progressive Conservative,,Eldon Mattison Woolliams,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9a216666-6b6a-4761-9a98-afc11747bf5f&Language=E&Section=ALL
