basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
542855,ca.proc.d.1919-07-02.1,1919-07-02,,,,topic,SCIENTIFIC RESEARCH.,,,,,,,
542856,ca.proc.d.1919-07-02.1.1.1,1919-07-02,,,,stagedirection,,,,"Sir HERBERT AMES (St. Antoine) presented the second report of the Special Committee appointed to consider the matter of the development in Canada of seien-, tifie research.",,,,
542857,ca.proc.d.1919-07-02.2,1919-07-02,,,,topic,AGRICULTURE AND COLONIZATION COMMITTEE.,,,,,,,
542858,ca.proc.d.1919-07-02.2.1,1919-07-02,642e8a90-f159-4c59-9866-73a2fe554b97,ca.m.1801,Mr. R. C. HENDERS (Macdonald) moved:,,AGRICULTURE AND COLONIZATION COMMITTEE.,,,"That the third report of the Select Standing Committee on Agriculture and Colonization, relating to the printing of evidence taken 'before them during the current session of Parliament, be concurred in, in accordance with the recommendation of the committee in the said report.

",Unionist,,Richard Coe Henders,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=642e8a90-f159-4c59-9866-73a2fe554b97&Language=E&Section=ALL
542859,ca.proc.d.1919-07-02.2.2,1919-07-02,3c716a03-43b1-401d-820f-7921b10e5565,ca.m.6937,Mr. ROBB:,Chief Government Whip,AGRICULTURE AND COLONIZATION COMMITTEE.,,,"Does the report involve any recommendation? If so, I should like to know what that recommendation is:

",Laurier Liberal,,James Alexander Robb,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3c716a03-43b1-401d-820f-7921b10e5565&Language=E&Section=ALL
542860,ca.proc.d.1919-07-02.2.3,1919-07-02,642e8a90-f159-4c59-9866-73a2fe554b97,ca.m.1801,Mr. HENDERS:,,AGRICULTURE AND COLONIZATION COMMITTEE.,,,"The report recommends simply the printing of evidence concerning certain matters that came under the consideration and review of the Committee. That is all that is involved in it.

",Unionist,,Richard Coe Henders,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=642e8a90-f159-4c59-9866-73a2fe554b97&Language=E&Section=ALL
542861,ca.proc.d.1919-07-02.2.4.1,1919-07-02,,,,stagedirection,,,,"Motion agreed to.

I",,,,
542862,ca.proc.d.1919-07-02.3,1919-07-02,,,,topic,BILL RESPECTING ELECTRIC AND POWER COMPANIES.,,,,,,,
542863,ca.proc.d.1919-07-02.3.1.1,1919-07-02,,,,stagedirection,,,,Hon. J. D. REID (Minister of Railways) moved for leave to introduce Bill No. 168 respecting Electric and Power Companies.,,,,
542864,ca.proc.d.1919-07-02.3.2,1919-07-02,6c38f39b-1f70-4da5-ac6d-14d796590e55,ca.m.6574,Mr. McKENZIE:,Leader of the Official Opposition,BILL RESPECTING ELECTRIC AND POWER COMPANIES.,,,"Explain.

",Laurier Liberal,,Daniel Duncan McKenzie,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6c38f39b-1f70-4da5-ac6d-14d796590e55&Language=E&Section=ALL
542865,ca.proc.d.1919-07-02.3.3,1919-07-02,0e4f9dca-5c4f-43d7-af07-16546fe9215d,ca.m.2882,Mr. J. D. REID:,Minister of Railways and Canals,BILL RESPECTING ELECTRIC AND POWER COMPANIES.,,,"The House will remember that the other evening when we passed the Railway Act I promised to introduce a separate Bill embodying clause 374 of that Act, and also to strike out the words "" including compensation, if any "" in the telephone clause. This Bill is merely to carry out that promise.

",Unionist,,John Dowsley Reid,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0e4f9dca-5c4f-43d7-af07-16546fe9215d&Language=E&Section=ALL
542866,ca.proc.d.1919-07-02.3.4.1,1919-07-02,,,,stagedirection,,,,"Motion agreed to, and Bill read the first time.",,,,
542867,ca.proc.d.1919-07-02.4,1919-07-02,,,,topic,JUDGES ACT AMENDMENT.,,,,,,,
542868,ca.proc.d.1919-07-02.4.1.1,1919-07-02,,,,stagedirection,,,,On the Order for the first reading of Bill No. 115 (from the Senate) to amend the Judges Act:,,,,
542869,ca.proc.d.1919-07-02.4.2,1919-07-02,89103d9d-627c-4f56-8113-57b0d3865982,ca.m.3867,Hon. W. S. FIELDING (Shelburne and Queen's):,,JUDGES ACT AMENDMENT.,,,"I notice that a proposal has been made to strike this Bill off the Order Paper. I do not wish to champion the Bill but as an act of courtesy to the Senate I think we should give it a first reading, and for that purpose only I beg to move the first reading the Bill.

",Unionist (Liberal),,William Stevens Fielding,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=89103d9d-627c-4f56-8113-57b0d3865982&Language=E&Section=ALL
542870,ca.proc.d.1919-07-02.4.3.1,1919-07-02,,,,stagedirection,,,,"Motion agreed to, and Bill read the first time.",,,,
542871,ca.proc.d.1919-07-02.5,1919-07-02,,,,topic,QUESTIONS.,,,,,,,
542872,ca.proc.d.1919-07-02.5.1.1,1919-07-02,,,,stagedirection,,,,(Questions answered orally are indicated by asterisks).,,,,
542873,ca.proc.d.1919-07-02.5.2,1919-07-02,,,,subtopic,QUESTIONS.,CANADIAN GOVERNMENT RAILWAYS.- P.E.I. COAL PURCHASES.,,,,,,
542874,ca.proc.d.1919-07-02.5.2.1.1,1919-07-02,,,,stagedirection,,,,"Mr. SINCLAIR (Queen's).
1.	How many tons of coal were purchased and delivered to the Government Railway in Prince Edward Island in 1917 and 1918?
2.	Prom what coal mine was this coal purchased, and from what port was it shipped?
3.	How many tons of the above coal were delivered at the ports of Charlottetown, Sum-merside, Georgetown and1 -Souris, in 1917 and 1918?
4.	What was the means of transportation used to carry this coal to Prince Edward Island in 1917 and 1918?
5.	What quantity of coal has been contracted for, for 1919, for the Government Prince Edward Island Railway?
6.	From what coal mine?
7.	How is the coal to be carried to Prince Edward Island in 1919?
8.	Has the transportation of this coal begun yet?
9.	What number of tons will be delivered at Charlottetown, Summerside, Georgetown, and Souris in 1919?",,,,
542875,ca.proc.d.1919-07-02.5.2.2,1919-07-02,0e4f9dca-5c4f-43d7-af07-16546fe9215d,ca.m.2882,,Minister of Railways and Canals,QUESTIONS.,CANADIAN GOVERNMENT RAILWAYS.- P.E.I. COAL PURCHASES.,,"1.	26,777 tons in 1917, 25,036 tons in 1918.
2.	26,226 tons purchased from the Intercolonial Coal Mining Company, shipped from Pictou. 551 tons from Dominion Coal Company, Springhill, shipped from Point Duchene.
3.	In 1917 in Charlottetown 17,069 tons. Summerside 6,452 tons, Georgetown 1,920, Souris, 1,336. In 1918, Charlottetown, 16,209. Summerside, 6,641. Georgetown 745. Souris, 1,441.
4.	Chartered schooners.
5.	Order for 6,000 tons placed.
6.	From the Anglo Coal Company.
7.	In schooners of the company shipping or to be chartered.
8.	No.
9.	Approximately the same as in 1918.

",Unionist,,Hon. Mr. REID:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0e4f9dca-5c4f-43d7-af07-16546fe9215d&Language=E&Section=ALL
542876,ca.proc.d.1919-07-02.5.3,1919-07-02,,,,subtopic,QUESTIONS.,CLElRK OF WORKS OF NEW R.M.C.,,,,,,
542877,ca.proc.d.1919-07-02.5.3.1.1,1919-07-02,1731ef95-36db-4e61-9a7f-e27e0ed02f1c,ca.m.9557,,,QUESTIONS.,CLElRK OF WORKS OF NEW R.M.C.,BUILDING.,"1.	Who has been appointed as supervisor or clerk of works, in connection with the new R.M.C. building now being constructed?
2.	What salary does he receive, by whom was he appointed and when?
3.	What is the record of his military services overseas?
4.	From whom were applications received for this position and what is the record of overseas service in each case?

",Liberal,,Mr. EDWARDS:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1731ef95-36db-4e61-9a7f-e27e0ed02f1c&Language=E&Section=ALL
