basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
3695603,ca.proc.d.1987-10-14.1,1987-10-14,,,,topic,STATEMENTS PURSUANT TO S. O. 21,,,,,,,
3695604,ca.proc.d.1987-10-14.1.1.1,1987-10-14,,,,stagedirection,,,,[Translation},,,,
3695605,ca.proc.d.1987-10-14.1.2,1987-10-14,,,,subtopic,STATEMENTS PURSUANT TO S. O. 21,WAGE INEQUALITIES-IMPORTANCE OF EMPLOYMENT POLICY,,,,,,
3695606,ca.proc.d.1987-10-14.1.2.1,1987-10-14,d8c3a526-ec4a-4899-bd2e-fe277d92303e,ca.m.7652,Mrs. Lucie Pepin (Outremont):,,STATEMENTS PURSUANT TO S. O. 21,WAGE INEQUALITIES-IMPORTANCE OF EMPLOYMENT POLICY,,"Mr. Speaker, according to a report from Labour Canada, the income gap between men and women became even wider in 1985. The number of women entering the labour market increased by 46.3 per cent between 1975 and 1985, compared with 15.3 per cent for their male colleagues.
Women working full and part time are paid only 59.6 per cent of what men are paid. It is also true that among women, 35 per cent are enrolled in professional degree and postgraduate courses, compared with 6.8 per cent of men. Only 16 per cent earn more than $25,000 annually, compared with 48 per cent of their male colleagues. The gap, measured in dollars, shows a difference in salary of $11,613 per year.
This report, Mr. Speaker, demonstrates the importance of employment equity programs and the need for an employment policy for women. When is the Government going to take action on this issue? Bill C-62, which has no teeth and no substance, is not going to give women their rightful place on the labour market and in our society.

",Liberal,,Lucie Pépin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d8c3a526-ec4a-4899-bd2e-fe277d92303e&Language=E&Section=ALL
3695607,ca.proc.d.1987-10-14.1.3,1987-10-14,,,,subtopic,STATEMENTS PURSUANT TO S. O. 21,MEDICAL CARE,,,,,,
3695608,ca.proc.d.1987-10-14.1.3.1.1,1987-10-14,8c59af0d-182f-4deb-bdad-0b7b8194632a,ca.m.1764,Mr. Barry Turner (Ottawa-Carleton):,,STATEMENTS PURSUANT TO S. O. 21,MEDICAL CARE,AMBULANCE ATTENDANTS-EMERGENCY MEDICAL ATTENTION,"Mr. Speaker, when an ambulance arrives for a loved one who has suffered a massive heart attack one normally believes that the attendants on board can perform techniques to save him or her. Unfortunately, this is not so.
According to the Advanced Coronary Treatment Foundation of Canada, nearly half of the estimated 50,000 Canadians who have heart attacks each year die en route to hospital. Thousands of deaths, including those resulting from car accidents and other emergencies, could be avoided if paramedic care were available at the scene.
Ontario has expanded its emergency medical services so that a number of cities, including Ottawa, will have attendants this fall trained in one advanced life support skill.
Today and tomorrow the ACT Foundation will be holding a national competition in Toronto where emergency medical attendants from across Canada will perform life-saving procedures on victims of simulated heart attacks and accident-related emergencies. Their goal is to stimulate maximum public awareness of this critical and largely neglected area of emergency care. I wish them all very good luck.

",Progressive Conservative,,John Barry Turner,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=8c59af0d-182f-4deb-bdad-0b7b8194632a&Language=E&Section=ALL
3695609,ca.proc.d.1987-10-14.1.4,1987-10-14,,,,subtopic,STATEMENTS PURSUANT TO S. O. 21,CO-OPERATIVE DEVELOPMENT WEEK CANADA-UNITED STATES TRADE AGREEMENT-POSITION OF COOP ATLANTIC,,,,,,
3695610,ca.proc.d.1987-10-14.1.4.1,1987-10-14,1176bb3a-986d-4783-8dc0-a10cf6e1463c,ca.m.4437,Mr. Ernie Epp (Thunder Bay-Nipigon):,,STATEMENTS PURSUANT TO S. O. 21,CO-OPERATIVE DEVELOPMENT WEEK CANADA-UNITED STATES TRADE AGREEMENT-POSITION OF COOP ATLANTIC,,"Mr. Speaker, the week following Thanksgiving is well established as Cooperative Development Week. It serves as an annual opportunity to appreciate the role of co-operative organizations and credit unions in community-based economic development. This year the week also provides an opportunity to assess the trade deal with the United States.
Members of Parliament recently received a letter from Coop Atlantic in which we were told:
Even if Canada could easily obtain the advantages which the negotiating team (sought), there would be solid ground for co-operators to oppose a Canada-U.S.A. free trade deal. In a unified continental market the odds favour large, vertically integrated, national and multinational corporations.
It is in the nature of such organizations to aim for maximum profits and minimum social accountability. This places them in direct opposition to the democratic principles which co-operatives espouse. They operate through centralized, hierarchical control; co-ops operate through broadly-based community participation. They exploit resources to maximize present profits; co-ops stand for careful stewardship of resources in the future.
The members of Co-op Atlantic, Mr. Speaker, believe in a much larger Canada than does the Government. They favour beneficial fair trade with many partners rather than a bilateral deal which could limit other economic and trade options while

October 14, 1987
concentrating corporate power at the expense of local ownership and control.
I urge the Parliament of Canada to listen to these words of wisdom from co-operatives in Atlantic Canada.

The CECs say they are snowed under, and they realize that the system penalizes the workers. An efficient way must be found as soon as possible to accelerate the processing of these pay cheques. Our solution might be to computerize the card processing system. In any case, this intolerable situation should not be allowed to go on. When will the responsible Minister take action and put an end to the delays in issuing Manpower Adjustment Program cheques?

",New Democratic Party,,Abram Ernest Epp,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1176bb3a-986d-4783-8dc0-a10cf6e1463c&Language=E&Section=ALL
3695611,ca.proc.d.1987-10-14.1.5,1987-10-14,,,,subtopic,STATEMENTS PURSUANT TO S. O. 21,"ORDER OF GREY NUNS-250TH ANNIVERSARY TRIBUTE, THANKS, AND WISH FOR LONG LIFE",,,,,,
3695612,ca.proc.d.1987-10-14.1.5.1,1987-10-14,c164100b-ea4d-4967-8dd8-1f341c1c2b7b,ca.m.378,Mr. Gabriel Fontaine (Levis):,Chief Government Whip's assistant; Deputy Whip of the Progressive Conservative Party,STATEMENTS PURSUANT TO S. O. 21,"ORDER OF GREY NUNS-250TH ANNIVERSARY TRIBUTE, THANKS, AND WISH FOR LONG LIFE",,"This year we are celebrating the 250th anniversary of the Grey Nuns. We pay tribute to Marguerite d'Youville, the founder of the Order of the Grey Nuns. Her work, continued for two and a half centuries by a group of exceptionally dedicated women, quietly involved in meeting the daily needs of the community, has given us hospitals, schools, orphanages, and shelters for the needy.
Is there a family in Quebec that does not have at least one relative with the Grey Nuns? We have all known the excellent services they provide, and many of us still enjoy those services provided by the Grey Nuns. They are not dead. They will never die. Their material achievements may perish, but the education and philosophy of life these women have inculcated in our mothers, aunts, cousins, sisters and brothers that, Mr. Speaker, will not die. It is a lasting intellectual and social contribution that will continue to grow. I wish to pay tribute to our Grey Nuns and say a heartfelt thank you and long may they live!
* *
*

",Progressive Conservative,,Gabriel Fontaine,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c164100b-ea4d-4967-8dd8-1f341c1c2b7b&Language=E&Section=ALL
